report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,352253000000.0,312428000000.0,38661000000.0,26264000000.0,27853000000.0,,4227000000.0,1669000000.0,1684000000.0,2.12,1901000000.0,3875000000.0,54117000000.0,11.4917,2.12,,0.10933498874835106,0.011999897800728453,,,1.3997827267789245,6373000000.0,2111000000.0,3.2199999999999998,3.2199999999999998,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2012-12-31,353855000000.0,313588000000.0,38998000000.0,25516000000.0,26302000000.0,,-2671000000.0,-1297000000.0,-1066000000.0,-1.33,-3819000000.0,-2636000000.0,51818000000.0,10.5713,-1.33,,-0.06849069183035028,-0.007548289553630724,,,1.328734806913175,5647000000.0,2138000000.0,2.84,2.84,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2013-03-31,355447000000.0,314600000000.0,39531000000.0,25239000000.0,27126000000.0,,1428000000.0,458000000.0,558000000.0,0.73,1867000000.0,1668000000.0,52365000000.0,11.0437,0.73,,0.03612354860742202,0.004017476585820108,,,1.3246565986188055,5737000000.0,1998000000.0,2.9,2.9,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2013-06-30,353415000000.0,312365000000.0,39683000000.0,19724000000.0,26179000000.0,,2912000000.0,880000000.0,1087000000.0,1.0,1860000000.0,,45903000000.0,11.5321,1.0,,0.07338154877403422,0.00823960499695825,,,1.1567421817906913,5896000000.0,1710000000.0,2.52,2.52,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2013-09-30,360681000000.0,319129000000.0,40132000000.0,18750000000.0,26128000000.0,,4380000000.0,1290000000.0,1629000000.0,2.0,1854000000.0,,44878000000.0,11.5542,2.0,,0.10913983853284162,0.012143694843920251,,,1.1182597428485996,6049000000.0,1331000000.0,2.4,2.4,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2013-12-31,364021000000.0,322214000000.0,41113000000.0,20049000000.0,27608000000.0,7764000000.0,-2884000000.0,-947000000.0,-1242000000.0,-0.73,-3732000000.0,9778000000.0,47657000000.0,12.6427,-0.73,7764000000.0,-0.07014812832923893,-0.007922619848854874,0.021328439842756324,0.08746198039878338,1.1591710651132245,5836000000.0,1681000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2014-03-31,371289000000.0,328546000000.0,42054000000.0,23774000000.0,30781000000.0,,1397000000.0,372000000.0,496000000.0,0.0,1828000000.0,,54555000000.0,13.438,0.0,,0.03321919436914443,0.003762567703325442,,,1.2972606648594665,5805000000.0,1595000000.0,2.27,2.27,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2014-06-30,389065000000.0,345679000000.0,42700000000.0,25891000000.0,29101000000.0,,2892000000.0,730000000.0,1043000000.0,1.0,1825000000.0,,54992000000.0,13.4742,1.0,,0.06772833723653396,0.007433205248480331,,,1.2878688524590165,5785000000.0,1445000000.0,2.27,2.27,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2014-09-30,391284000000.0,347455000000.0,43141000000.0,30768000000.0,30045000000.0,,4363000000.0,1095000000.0,1566000000.0,2.0,1819000000.0,,60813000000.0,12.9532,2.0,,0.10113349250133284,0.01115046871326198,,,1.4096335272710414,5768000000.0,1250000000.0,2.27,2.27,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2014-12-31,402529000000.0,358361000000.0,43479000000.0,32260000000.0,29893000000.0,,-2801000000.0,-744000000.0,-1018000000.0,0.0,-3659000000.0,,62153000000.0,13.7209,0.0,,-0.06442190482761793,-0.006958504853066487,,,1.429494698590124,5851000000.0,1453000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2015-03-31,410233000000.0,365268000000.0,44277000000.0,35104000000.0,28226000000.0,,1431000000.0,363000000.0,479000000.0,0.0,1789000000.0,,63330000000.0,13.2287,0.0,,0.032319262822684464,0.0034882615489246357,,,1.4303137068907108,5885000000.0,1444000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2015-06-30,419075000000.0,373844000000.0,44537000000.0,34141000000.0,27784000000.0,,2914000000.0,715000000.0,1007000000.0,1.0,1784000000.0,,61925000000.0,13.1023,1.0,,0.06542874463928867,0.006953409294279067,,,1.3904169566876978,5907000000.0,1429000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2015-09-30,415943000000.0,370176000000.0,45075000000.0,32504000000.0,26915000000.0,,4403000000.0,1064000000.0,1541000000.0,2.0,1778000000.0,,59419000000.0,12.2592,2.0,,0.097681641708264,0.010585585044104602,,,1.3182251802551304,5947000000.0,1398000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2015-12-31,421853000000.0,375036000000.0,46131000000.0,32078000000.0,27877000000.0,,-2869000000.0,-741000000.0,-930000000.0,0.0,-3579000000.0,,59955000000.0,12.6956,0.0,,-0.0621924519303722,-0.006800947249397302,,,1.299668335826234,5879000000.0,1401000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2016-03-31,428638000000.0,381245000000.0,46755000000.0,34872000000.0,23777000000.0,,1386000000.0,386000000.0,504000000.0,0.0,1743000000.0,,58649000000.0,12.0776,0.0,,0.02964388835418672,0.0032334977300192704,,,1.2543899048230136,5834000000.0,1424000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2016-06-30,438463000000.0,390434000000.0,47390000000.0,36941000000.0,18433000000.0,,2908000000.0,793000000.0,1046000000.0,1.0,1737000000.0,,55374000000.0,11.8552,1.0,,0.06136315678413167,0.006632258594225738,,,1.1684743616796793,5828000000.0,1502000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2016-09-30,454134000000.0,405735000000.0,47759000000.0,37978000000.0,15695000000.0,,4410000000.0,1220000000.0,1612000000.0,2.0,1730000000.0,,53673000000.0,12.4716,2.0,,0.0923386168052095,0.009710790207295645,,,1.1238300634435394,5835000000.0,1658000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2016-12-31,445964000000.0,398031000000.0,47298000000.0,33323000000.0,13963000000.0,,-2816000000.0,-760000000.0,-1001000000.0,0.0,-3486000000.0,,47286000000.0,14.8548,0.0,,-0.05953740115861136,-0.0063144110286928986,,,0.9997462894836991,5888000000.0,1639000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2017-03-31,449522000000.0,401089000000.0,47798000000.0,35948000000.0,12183000000.0,,1473000000.0,455000000.0,499000000.0,0.0,1701000000.0,,48131000000.0,14.5943,0.0,,0.030817189003724006,0.0032768140380226105,,,1.0069668186953429,5975000000.0,1708000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2017-06-30,463844000000.0,414895000000.0,48320000000.0,37814000000.0,14412000000.0,,2973000000.0,969000000.0,1050000000.0,1.0,1695000000.0,,52226000000.0,14.6985,1.0,,0.0615273178807947,0.006409482498426195,,,1.0808360927152318,6040000000.0,1884000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2017-09-30,459227000000.0,409876000000.0,48723000000.0,34515000000.0,15856000000.0,,4536000000.0,1548000000.0,1639000000.0,2.0,1689000000.0,,50371000000.0,14.8641,2.0,,0.09309771565790284,0.009877468006018809,,,1.0338238614206843,6166000000.0,2212000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2017-12-31,462040000000.0,412374000000.0,49040000000.0,32259000000.0,16651000000.0,,-2764000000.0,-828000000.0,-1924000000.0,0.0,-3402000000.0,,48910000000.0,14.4198,0.0,,-0.05636215334420881,-0.005982166046229764,,,0.9973491027732463,6218000000.0,2144000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2018-03-31,460119000000.0,410307000000.0,49187000000.0,33201000000.0,17703000000.0,,1675000000.0,623000000.0,362000000.0,0.0,1657000000.0,,50904000000.0,12.7829,0.0,,0.03405371337955151,0.0036403626018486524,,,1.0349075975359343,6420000000.0,2312000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2018-06-30,461329000000.0,411072000000.0,49628000000.0,37172000000.0,18136000000.0,,3425000000.0,1374000000.0,803000000.0,1.0,1651000000.0,4689000000.0,55308000000.0,12.4133,1.0,,0.0690134601434674,0.007424202683984749,,,1.1144515193036189,6872000000.0,2717000000.0,3.0,3.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2018-09-30,464607000000.0,413600000000.0,50375000000.0,40894000000.0,23868000000.0,,5240000000.0,2246000000.0,1263000000.0,3.0,1645000000.0,7914000000.0,64762000000.0,12.4332,3.0,,0.10401985111662532,0.011278349228487732,,,1.2855980148883375,7576000000.0,3415000000.0,4.0,4.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2018-12-31,467374000000.0,415717000000.0,51029000000.0,41340000000.0,14139000000.0,,-3244000000.0,-989000000.0,-874000000.0,0.0,-3315000000.0,-2039000000.0,55479000000.0,10.408,0.0,,-0.06357169452664171,-0.006940908137808265,,,1.0872053146250171,7096000000.0,3254000000.0,4.0,4.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2019-03-31,475775000000.0,423089000000.0,52057000000.0,40680000000.0,15396000000.0,2086000000.0,1699000000.0,1092000000.0,378000000.0,1.0,1605000000.0,1296000000.0,56076000000.0,11.0287,1.0,2086000000.0,0.032637301419597746,0.003571015711208029,0.004384425411171247,0.019291058233841658,1.0772038342586012,7120000000.0,3723000000.0,5.0,5.0,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2019-06-30,481719000000.0,428179000000.0,52913000000.0,41008000000.0,15032000000.0,,3520000000.0,2238000000.0,827000000.0,2.1,1599000000.0,1905000000.0,56040000000.0,11.7362,2.1,,0.06652429459679096,0.0073071645502876155,,,1.0590970082966378,7215000000.0,4587000000.0,6.1,6.1,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2019-09-30,487671000000.0,433524000000.0,53517000000.0,41274000000.0,14579000000.0,,5428000000.0,3394000000.0,1294000000.0,3.25,1592000000.0,4951000000.0,55853000000.0,11.9723,3.25,,0.10142571519330307,0.011130454753307045,,,1.0436496814096454,7403000000.0,5735000000.0,6.35,6.35,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2019-12-31,495426000000.0,442943000000.0,51853000000.0,40167000000.0,23723000000.0,,-3733000000.0,-2282000000.0,-851000000.0,-2.1899999999999995,-3213000000.0,-3263000000.0,63890000000.0,13.3935,-2.1899999999999995,,-0.07199197732050219,-0.007534929535389746,,,1.2321370026806548,6914000000.0,4442000000.0,4.16,4.16,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2020-03-31,542909000000.0,490747000000.0,51532000000.0,52298000000.0,26344000000.0,,1171000000.0,893000000.0,260000000.0,0.72,1519000000.0,2354000000.0,78642000000.0,8.2066,0.72,,0.02272374446945587,0.002156899222521638,,,1.5260808817821936,6386000000.0,4243000000.0,3.880000000000001,3.880000000000001,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2020-06-30,546652000000.0,494172000000.0,51850000000.0,42579000000.0,20595000000.0,,1860000000.0,1365000000.0,324000000.0,1.12,1513000000.0,1501000000.0,63174000000.0,10.5561,1.12,,0.03587270973963356,0.003402530311788853,,,1.2183992285438765,4726000000.0,3370000000.0,2.9000000000000004,2.9000000000000004,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2020-09-30,540455000000.0,487260000000.0,52565000000.0,42443000000.0,13723000000.0,,3440000000.0,1711000000.0,671000000.0,2.11,1511000000.0,4785000000.0,56166000000.0,10.9629,2.11,,0.06544278512318083,0.006365007262399275,,,1.0685056596594693,2738000000.0,1687000000.0,1.7600000000000007,1.7600000000000007,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2021-03-31,553375000000.0,501067000000.0,51678000000.0,37419000000.0,12098000000.0,2892000000.0,2280000000.0,278000000.0,607000000.0,1.45,1503000000.0,937000000.0,49517000000.0,13.696,1.45,2892000000.0,0.04411935446418205,0.004120171673819743,0.005226112491529252,0.028578487079401155,0.9581833662293432,8751000000.0,4247000000.0,5.4,5.4,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2021-06-30,558886000000.0,505212000000.0,53039000000.0,36360000000.0,13413000000.0,,4262000000.0,523000000.0,1158000000.0,2.73,1497000000.0,6520000000.0,49773000000.0,11.5293,2.73,,0.08035596447896831,0.007625884348507567,,,0.9384226701106733,11842000000.0,3877000000.0,7.41,7.41,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2021-09-30,567495000000.0,513117000000.0,53743000000.0,35671000000.0,16088000000.0,,6290000000.0,761000000.0,1722000000.0,4.04,1492000000.0,9167000000.0,51759000000.0,11.2855,4.04,,0.11703849803695365,0.011083798095137402,,,0.9630835643711739,16272000000.0,3273000000.0,10.33,10.33,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2021-12-31,573284000000.0,517897000000.0,54918000000.0,32125000000.0,11796000000.0,,-4869000000.0,-569000000.0,-1306000000.0,-3.119999999999999,-3002000000.0,-6754000000.0,43921000000.0,10.4595,-3.119999999999999,,-0.08865945591609309,-0.00849317266834588,,,0.7997559998543283,7963000000.0,993000000.0,5.1,5.1,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2022-03-31,586517000000.0,534849000000.0,51200000000.0,32931000000.0,21042000000.0,1955000000.0,1557000000.0,245000000.0,397000000.0,0.99,1486000000.0,8477000000.0,53973000000.0,10.9019,0.99,1955000000.0,0.03041015625,0.002654654511292938,0.003333236717776296,0.018588420982571574,1.05416015625,7240000000.0,960000000.0,4.640000000000001,4.640000000000001,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2022-06-30,591381000000.0,542312000000.0,48605000000.0,29408000000.0,24963000000.0,,3088000000.0,635000000.0,811000000.0,1.97,1486000000.0,10726000000.0,54371000000.0,10.073,1.97,,0.06353255837876762,0.005221676043024716,,,1.1186297705997326,6066000000.0,1072000000.0,3.880000000000001,3.880000000000001,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2022-09-30,600973000000.0,552995000000.0,47513000000.0,32228000000.0,25066000000.0,,4900000000.0,1536000000.0,1292000000.0,3.13,1486000000.0,14231000000.0,57294000000.0,9.1141,3.13,,0.10312966977458801,0.008153444497506544,,,1.2058594489929073,4676000000.0,1847000000.0,2.9700000000000006,2.9700000000000006,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2022-12-31,674805000000.0,623573000000.0,50766000000.0,39829000000.0,31216000000.0,,-3720000000.0,801000000.0,-1037000000.0,-2.4,-2968000000.0,-12315000000.0,71045000000.0,11.1239,-2.4,,-0.07327739037938778,-0.005512703669949096,,,1.3994602686837647,5825000000.0,3217000000.0,3.69,3.69,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2023-03-31,682377000000.0,628923000000.0,52989000000.0,42045000000.0,56875000000.0,,1698000000.0,2330000000.0,455000000.0,1.04,1532000000.0,842000000.0,98920000000.0,9.2633,1.04,,0.032044386570797716,0.0024883605397016603,,,1.8668025439242106,5966000000.0,5302000000.0,3.74,3.74,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2023-06-30,680825000000.0,627341000000.0,53019000000.0,45283000000.0,32334000000.0,,3059000000.0,5441000000.0,837000000.0,1.87,1533000000.0,4158000000.0,77617000000.0,8.7388,1.87,,0.057696297553707164,0.0044930782506517825,,,1.4639468869650503,5937000000.0,10108000000.0,3.64,3.64,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2023-09-30,668039000000.0,614461000000.0,53113000000.0,43074000000.0,21900000000.0,,4582000000.0,8959000000.0,1268000000.0,2.79,1538000000.0,8031000000.0,64974000000.0,9.087,2.79,,0.08626889838645906,0.006858880993474932,,,1.223316325570011,5619000000.0,17531000000.0,3.3000000000000003,3.3000000000000003,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2023-12-31,663491000000.0,607720000000.0,55306000000.0,,15279000000.0,,-3910000000.0,-4119000000.0,-1153000000.0,-2.43,-3060000000.0,-4584000000.0,15279000000.0,12.4125,-2.43,,-0.07069757350016273,-0.005893071646789482,,,0.2762629732759556,5429000000.0,12611000000.0,3.27,3.27,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2024-03-31,683606000000.0,627573000000.0,55568000000.0,,17102000000.0,,1319000000.0,3779000000.0,347000000.0,0.78,1559000000.0,2661000000.0,17102000000.0,13.5766,0.78,,0.023736682983011806,0.0019294739952545764,,,0.30776706017852,5050000000.0,14060000000.0,3.01,3.01,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2024-06-30,680058000000.0,623173000000.0,56420000000.0,,16557000000.0,,2922000000.0,,792000000.0,1.75,1560000000.0,5535000000.0,16557000000.0,11.5708,1.75,,0.051790145338532434,0.00429669234094739,,,0.2934597660404112,4913000000.0,,2.8899999999999997,2.8899999999999997,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2024-09-30,686469000000.0,627148000000.0,58859000000.0,,23708000000.0,,4636000000.0,,1142000000.0,2.77,1561000000.0,6507000000.0,23708000000.0,13.0192,2.77,,0.0787645050034829,0.006753400372048847,,,0.402793115751202,4967000000.0,,2.87,2.87,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2024-12-31,678318000000.0,619278000000.0,58578000000.0,,15518000000.0,,-2578000000.0,,-701000000.0,-1.5100000000000007,-3119000000.0,-3430000000.0,15518000000.0,11.8457,-1.5100000000000007,,-0.04400969647307863,-0.0038005773103470643,,,0.26491174160947795,6299000000.0,,3.79,3.79,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2025-03-31,676489000000.0,615931000000.0,60096000000.0,,17158000000.0,,1709000000.0,,443000000.0,1.03,1560000000.0,-285000000.0,17158000000.0,9.8465,1.03,,0.02843783280085197,0.0025262790673610362,,,0.2855098509052183,6689000000.0,,4.04,4.04,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2025-06-30,686370000000.0,624474000000.0,61438000000.0,,15039000000.0,,3524000000.0,,915000000.0,2.14,1560000000.0,1746000000.0,15039000000.0,10.2158,2.14,,0.05735863797649663,0.0051342570333784985,,,0.24478335883329536,7291000000.0,,4.43,4.43,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2025-09-30,695357000000.0,631559000000.0,63340000000.0,,15449000000.0,,5525000000.0,,1439000000.0,3.35,1559000000.0,5134000000.0,15449000000.0,10.4634,3.35,,0.08722766024628986,0.00794555889996074,,,0.24390590464161668,8180000000.0,,5.01,5.01,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2025-12-31,692345000000.0,626694000000.0,65193000000.0,,17162000000.0,,-3188000000.0,,-876000000.0,-1.8999999999999995,-3121000000.0,1375000000.0,17162000000.0,10.957,-1.8999999999999995,,-0.04890095562407007,-0.004604640749915143,,,0.2632491218382342,7570000000.0,,4.620000000000001,4.620000000000001,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
