report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-09-28,12058000000.0,6580000000.0,2840000000.0,,2676000000.0,2458000000.0,4000000.0,1721000000.0,6192000000.0,3028000000.0,802000000.0,757000000.0,-8000000.0,2.0,273500000.0,203000000.0,168000000.0,2462000000.0,,,3.4741,2.0,970000000.0,0.2828849028400598,0.06277989716370874,0.12225452196382429,0.48901808785529716,0.1295219638242894,0.06651185934649195,0.15609186453873103,0.15665374677002583,0.9200298953662183,2.316901408450704,8626000000.0,1239000000.0,1181000000.0,4189000000.0,1408000000.0,3.2399999999999993,3.2399999999999993,1.7485795454545454,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2013-12-31,11851000000.0,7020000000.0,3220000000.0,11851000000.0,3659000000.0,2457000000.0,4000000.0,3225000000.0,-3549000000.0,-1726000000.0,-285000000.0,-300000000.0,60000000.0,0.37999999999999945,-561400000.0,721000000.0,-101000000.0,2461000000.0,2.1801,15.89,2.8044,0.37999999999999945,-386000000.0,-0.08198961464881115,-0.02531431946671167,0.08453085376162299,0.48633417864187095,0.08030431107354184,-0.024048603493376085,-0.04656862745098039,0.10876303183995492,0.6725881388357474,2.1801242236024843,8696000000.0,1099000000.0,1215000000.0,4241000000.0,1443000000.0,4.06,4.06,1.7054747054747055,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2014-03-29,11615000000.0,6781000000.0,3026000000.0,,3717000000.0,2462000000.0,4000000.0,3141000000.0,1801000000.0,845000000.0,170000000.0,,24000000.0,0.0,258300000.0,46000000.0,55000000.0,2466000000.0,,15.8056,2.6973,0.0,225000000.0,,,,0.4691837867851194,0.09439200444197668,0.014636246233318984,0.027494743651948893,0.1249305941143809,0.6634382566585957,2.240912095175149,8524000000.0,,1169000000.0,4131000000.0,1400000000.0,3.379999999999999,3.379999999999999,1.7614285714285713,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2014-06-28,11868000000.0,7066000000.0,2924000000.0,,4139000000.0,2446000000.0,4000000.0,2876000000.0,2622000000.0,1233000000.0,245000000.0,951000000.0,23000000.0,3.0,257200000.0,130000000.0,86000000.0,2450000000.0,,10.4381,2.8045,3.0,331000000.0,0.22976564387533222,0.0801314459049545,0.36270022883295194,0.4702517162471396,0.09344012204424104,0.02064374789349511,0.037183184094703295,0.12623951182303586,0.5919304179753564,2.4165526675786593,7066000000.0,,932000000.0,3380000000.0,1140000000.0,5.379999999999999,5.379999999999999,2.1491228070175437,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2014-09-27,12195000000.0,7168000000.0,3024000000.0,,3211000000.0,3401000000.0,4000000.0,2845000000.0,4058000000.0,1919000000.0,452000000.0,1098000000.0,107000000.0,4.0,254000000.0,15000000.0,131000000.0,3405000000.0,,10.5617,2.5892,4.0,583000000.0,0.3419495484272812,0.09003690036900369,0.27057663873829474,0.47289305076392313,0.11138491867915229,0.037064370643706435,0.06831922611850061,0.1436668309512075,1.0604173154780443,2.3703703703703702,4932000000.0,,582000000.0,2271000000.0,753000000.0,7.379999999999999,7.379999999999999,4.52191235059761,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2014-12-31,10423000000.0,6879000000.0,2250000000.0,,2735000000.0,3396000000.0,4000000.0,3954000000.0,-2600000000.0,-1166000000.0,-1873000000.0,-750000000.0,-619000000.0,-2.0,-523900000.0,-876000000.0,-99000000.0,3400000000.0,3.0573,12.4309,2.7462,-2.0,-1972000000.0,-0.2742230347349177,-0.07195625059963542,0.28846153846153844,0.44846153846153847,0.7203846153846154,-0.17969874316415618,-0.3052974735126324,0.7584615384615384,1.243144424131627,3.0573333333333332,5881000000.0,,-1006000000.0,2831000000.0,-833000000.0,5.0,5.0,-4.081632653061225,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2015-04-04,9425000000.0,5884000000.0,1977000000.0,,2086000000.0,3392000000.0,4000000.0,3353000000.0,1223000000.0,548000000.0,119000000.0,74000000.0,40000000.0,0.0,217800000.0,151000000.0,41000000.0,3396000000.0,,10.4083,2.2074,0.0,160000000.0,0.03547459252157239,0.007851458885941645,0.06050695012264922,0.44807849550286183,0.0973017170891251,0.012625994694960212,0.021707406056183876,0.13082583810302534,1.6279961649089165,2.9762266059686393,5303000000.0,1373000000.0,-1057000000.0,2534000000.0,-898000000.0,5.0,5.0,-3.7817371937639197,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2015-07-04,9160000000.0,5632000000.0,1971000000.0,,1815000000.0,3393000000.0,4000000.0,3112000000.0,2591000000.0,1196000000.0,373000000.0,217000000.0,104000000.0,1.0,213800000.0,291000000.0,81000000.0,3397000000.0,,20.9784,2.0225,1.0,454000000.0,0.11955922865013774,0.02368995633187773,0.08375144731763798,0.4615978386723273,0.14395986105750674,0.04072052401746725,0.07156561780506523,0.17522192203782325,1.8716253443526172,2.8574327752409943,5272000000.0,639000000.0,-929000000.0,2497000000.0,-775000000.0,2.9999999999999996,2.9999999999999996,-4.3832258064516125,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2015-10-03,8086000000.0,4787000000.0,2029000000.0,,-307000000.0,4386000000.0,4000000.0,2200000000.0,4013000000.0,1881000000.0,605000000.0,331000000.0,175000000.0,1.0,209200000.0,591000000.0,113000000.0,4390000000.0,,23.1489,2.1102,1.0,718000000.0,-1.0781758957654723,0.04093494929507791,0.08248193371542487,0.46872663842511836,0.15076002990281584,0.07482067771456839,0.14817536125397993,0.17891851482681287,-14.299674267100977,2.3592902907836373,5227000000.0,-128000000.0,-776000000.0,2459000000.0,-640000000.0,-4.440892098500626e-16,-4.440892098500626e-16,-6.859375,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2015-12-31,8387000000.0,4582000000.0,2193000000.0,,-106000000.0,4386000000.0,4000000.0,1980000000.0,-2132000000.0,-906000000.0,-103000000.0,-12000000.0,-45000000.0,1.0,-439000000.0,-28000000.0,-85000000.0,4390000000.0,2.1062,19.8125,2.1221,1.0,-188000000.0,0.11320754716981132,-0.0014307857398354596,0.005628517823639775,0.424953095684803,0.04831144465290807,-0.012280910933587696,-0.02404295051353875,0.08818011257035648,-41.41509433962264,2.08937528499772,5695000000.0,610000000.0,994000000.0,2719000000.0,1144000000.0,2.9999999999999996,2.9999999999999996,3.8374125874125875,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2016-04-02,9049000000.0,4001000000.0,2032000000.0,,-147000000.0,5023000000.0,4000000.0,1940000000.0,1193000000.0,502000000.0,100000000.0,17000000.0,5000000.0,0.0,177000000.0,13000000.0,62000000.0,5027000000.0,,24.0973,2.3523,0.0,162000000.0,-0.11564625850340136,0.001878660625483479,0.014249790444258172,0.42078792958927075,0.08382229673093043,0.01105094485578517,0.020491803278688523,0.1357921207041073,-34.197278911564624,1.968996062992126,5665000000.0,553000000.0,975000000.0,2673000000.0,1146000000.0,2.9999999999999996,2.9999999999999996,4.386561954624782,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2016-07-02,8467000000.0,3547000000.0,2045000000.0,,-689000000.0,5028000000.0,5000000.0,1545000000.0,2623000000.0,1179000000.0,323000000.0,124000000.0,64000000.0,0.0,175700000.0,304000000.0,144000000.0,5033000000.0,,20.8471,1.8856,0.0,467000000.0,-0.1799709724238026,0.014645092712885319,0.0472741136103698,0.4494853221502097,0.1231414410979794,0.03814810440533837,0.07435543278084715,0.17804041174227983,-7.304789550072569,1.7344743276283618,5697000000.0,460000000.0,925000000.0,2656000000.0,1159000000.0,1.9999999999999996,1.9999999999999996,4.342536669542709,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2016-10-01,8619000000.0,3804000000.0,2161000000.0,,-659000000.0,5044000000.0,5000000.0,1687000000.0,4155000000.0,1941000000.0,664000000.0,317000000.0,164000000.0,1.0,174000000.0,652000000.0,220000000.0,5049000000.0,,20.9896,2.1396,1.0,884000000.0,-0.48103186646433993,0.036779208724910084,0.0762936221419976,0.4671480144404332,0.15980746089049339,0.07703909966353405,0.15125284738041003,0.21275571600481347,-7.661608497723824,1.7602961591855621,5839000000.0,446000000.0,984000000.0,2716000000.0,1325000000.0,1.9999999999999996,1.9999999999999996,3.8105660377358492,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2016-12-31,8463000000.0,3468000000.0,2668000000.0,,-964000000.0,4392000000.0,4000000.0,1030000000.0,-1933000000.0,-753000000.0,-20000000.0,102000000.0,49000000.0,2.0,-353600000.0,196000000.0,-131000000.0,4396000000.0,1.2999,24.8202,2.2979,2.0,-151000000.0,-0.10580912863070539,0.012052463665366891,-0.05276771857216762,0.38954992240041386,0.010346611484738748,-0.0023632281696797826,-0.005827505827505828,0.07811691670977755,-4.560165975103734,1.2998500749625188,6038000000.0,560000000.0,1067000000.0,2869000000.0,1362000000.0,2.9999999999999996,2.9999999999999996,3.2276064610866375,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2017-04-01,8140000000.0,3073000000.0,2385000000.0,,-1050000000.0,4414000000.0,44000000.0,766000000.0,1281000000.0,570000000.0,176000000.0,77000000.0,42000000.0,0.0,169900000.0,142000000.0,80000000.0,4458000000.0,,22.4024,2.2636,0.0,256000000.0,-0.07333333333333333,0.00945945945945946,0.060109289617486336,0.4449648711943794,0.13739266198282593,0.021621621621621623,0.051643192488262914,0.19984387197501952,-4.2457142857142856,1.2884696016771489,6126000000.0,620000000.0,1143000000.0,2937000000.0,1456000000.0,2.9999999999999996,2.9999999999999996,3.0618131868131866,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
