report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2013-03-31,,,,,,219000000.0,,164000000.0,,51000000.0,0.84,195631960.0,,,,0.0,,1.4103,0.862,0.84,,,,0.7488584474885844,,,,,,,3318000000.0,1415000000.0,,,7.26,7.26,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2013-06-30,,,,,,331000000.0,,-14000000.0,120000000.0,-35000000.0,0.0,193810351.0,1171000000.0,1000000.0,1170000000.0,0.0,,4.1661,2.0142,0.0,,,,-0.04229607250755287,,,,3.5347432024169185,,,3266000000.0,1391000000.0,,,7.21,7.21,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2013-09-30,,,,,,751000000.0,,118000000.0,179000000.0,4000000.0,0.0,197762488.0,,2000000.0,,0.0,,2.6182,1.3766,0.0,,,,0.15712383488681758,,,,,,,3736000000.0,1502000000.0,,,7.17,7.17,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2013-12-31,16953000000.0,13654000000.0,3278000000.0,1702000000.0,1258000000.0,-92000000.0,416000000.0,-18000000.0,-63000000.0,146000000.0,0.45000000000000007,-396891886.0,658000000.0,0.0,658000000.0,1702000000.0,,9.1818,1.9978,0.45000000000000007,416000000.0,-0.005491153142159854,-0.0010617589807113785,0.1956521739130435,-4.521739130434782,0.02453842977644075,0.08353413654618475,-7.1521739130434785,-4.521739130434782,0.5192190359975595,1209000000.0,250000000.0,,,1.29,1.29,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2014-03-31,,,,,,577000000.0,,256000000.0,54000000.0,148000000.0,1.0,190263748.0,,1000000.0,,0.0,,7.868,1.7903,1.0,,,,0.4436741767764298,,,,,,,1567000000.0,342000000.0,,290000000.0,1.4500000000000002,1.4500000000000002,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2014-06-30,,,,,,764000000.0,,376000000.0,106000000.0,83000000.0,1.0,193051436.0,,3000000.0,,0.0,,3.3674,1.3295,1.0,,,,0.49214659685863876,,,,,,,2000000000.0,732000000.0,,276000000.0,2.45,2.45,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2014-09-30,,,,,,1055000000.0,,549000000.0,158000000.0,58000000.0,2.0,191616723.0,,9000000.0,,0.0,,2.6043,1.173,2.0,,,,0.5203791469194313,,,,,,,2304000000.0,1163000000.0,,255000000.0,4.45,4.45,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2014-12-31,,,,,,-1126000000.0,,-612000000.0,-108000000.0,-217000000.0,-2.0,-384033280.0,,0.0,,0.0,,3.2392,1.4388,-2.0,,,,0.5435168738898757,,,,,,,1270000000.0,569000000.0,,210000000.0,2.0,2.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2015-03-31,,,,,,219000000.0,,69000000.0,50000000.0,44000000.0,0.0,182736415.0,,1000000.0,,0.0,,4.5055,1.8566,0.0,,,,0.3150684931506849,,,,,,,912000000.0,382000000.0,,206000000.0,1.0,1.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2015-06-30,,,,,,464000000.0,,133000000.0,100000000.0,72000000.0,0.0,177918958.0,,2000000.0,,0.0,,3.3492,1.0995,0.0,,,,0.28663793103448276,,,,,,,612000000.0,139000000.0,,200000000.0,1.1102230246251565e-16,1.1102230246251565e-16,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2015-09-30,,,,,,556000000.0,,98000000.0,149000000.0,52000000.0,0.0,170566386.0,,3000000.0,,0.0,,8.6953,1.3104,0.0,,,,0.17625899280575538,,,,,,,113000000.0,-312000000.0,,191000000.0,-2.0,-2.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2015-12-31,,,,,,-386000000.0,,-120000000.0,-100000000.0,-59000000.0,1.0,-366351971.0,,-3000000.0,,0.0,,5.5064,1.1432,1.0,,,,0.31088082901554404,,,,,,,853000000.0,180000000.0,,199000000.0,1.0,1.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2016-03-31,,,,,,32000000.0,,-78000000.0,50000000.0,-23000000.0,0.0,135814835.0,,0.0,,0.0,,36.8158,1.7893,0.0,,,,-2.4375,,,,,,,666000000.0,33000000.0,,199000000.0,1.0,1.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2016-06-30,,,,,,,,,,,,,,0.0,,0.0,,,1.7331,,,,,,,,,,,,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2016-09-30,,,,,,353000000.0,,-73000000.0,148000000.0,-28000000.0,0.0,133368752.0,,1000000.0,,0.0,,132.09,1.6282,0.0,,,,-0.20679886685552407,,,,,,,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2016-12-31,,,,,,-91000000.0,,-187000000.0,-1000000.0,50000000.0,-2.0,-136182499.0,,0.0,,0.0,,,5.0695,-2.0,,,,2.0549450549450547,,,,,,,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2017-03-31,,,,,,77000000.0,,-72000000.0,48000000.0,-48000000.0,0.0,131402465.0,,,,0.0,,,3.419,0.0,,,,-0.935064935064935,,,,,,,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2017-06-30,,,,,,149000000.0,,-1301000000.0,98000000.0,971000000.0,-10.0,128511897.0,,,,0.0,,,4.0414,-10.0,,,,-8.731543624161073,,,,,,,488000000.0,-1633000000.0,,293000000.0,-12.0,-12.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2017-09-30,,,,,,182000000.0,,-1568000000.0,148000000.0,965000000.0,-12.0,126643642.0,,1000000.0,,0.0,,,5.4375,-12.0,,,,-8.615384615384615,,,,,,,317000000.0,-3128000000.0,,293000000.0,-24.0,-24.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2017-12-31,,,,,,25000000.0,,1336000000.0,-97000000.0,-944000000.0,9.0,-267627722.0,,0.0,,0.0,,,1.3542,9.0,,,,53.44,,,,,,,433000000.0,-1605000000.0,,197000000.0,-13.0,-13.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2018-03-31,,,,,,73000000.0,,-98000000.0,51000000.0,2000000.0,-1.0,88131373.0,-101000000.0,,,0.0,,,1.5484,-1.0,,,,-1.3424657534246576,,,,,,,429000000.0,-1631000000.0,,200000000.0,-14.0,-14.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2018-06-30,,,,,,85000000.0,,-244000000.0,103000000.0,2000000.0,-2.0,88865272.0,-126000000.0,,,0.0,,,1.8137,-2.0,,,,-2.8705882352941177,,,,,,,365000000.0,-574000000.0,,205000000.0,-6.0,-6.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2018-09-30,,,,,,190000000.0,,-289000000.0,155000000.0,2000000.0,-3.0,89075892.0,-323000000.0,0.0,-323000000.0,0.0,,,2.21,-3.0,,,,-1.5210526315789474,,,,-1.7,,,373000000.0,705000000.0,,212000000.0,3.0,3.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2018-12-31,,,,,,-186000000.0,,335000000.0,-103000000.0,-6000000.0,3.0,-177058826.0,231000000.0,1000000.0,230000000.0,0.0,,,4.9327,3.0,,,,-1.8010752688172043,,,,-1.2365591397849462,,,162000000.0,-296000000.0,,206000000.0,-3.0,-3.0,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2019-03-31,8778000000.0,7577000000.0,1188000000.0,,163000000.0,50000000.0,-19000000.0,-17000000.0,52000000.0,-2000000.0,-0.2,85554236.0,-70000000.0,,,0.0,,,5.1048,-0.2,-19000000.0,-0.01430976430976431,-0.0019366598313966736,-0.34,-0.38,-0.0021645021645021645,-0.015993265993265993,,-0.38,0.0,139000000.0,-215000000.0,,207000000.0,-2.2,-2.2,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2019-06-30,8647000000.0,7594000000.0,1040000000.0,2315000000.0,478000000.0,80000000.0,,-187000000.0,104000000.0,-39000000.0,-2.2,84911215.0,-57000000.0,,,2315000000.0,,,4.3277,-2.2,,-0.1798076923076923,-0.021625997455765007,-2.3375,,,,,,2.2259615384615383,134000000.0,-158000000.0,,208000000.0,-2.4000000000000004,-2.4000000000000004,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2019-09-30,7606000000.0,6558000000.0,1035000000.0,2199000000.0,81000000.0,252000000.0,,-116000000.0,217000000.0,-21000000.0,-1.4,82813523.0,-415000000.0,,,2199000000.0,,,2.9745,-1.4,,-0.11207729468599034,-0.015251117538785169,-0.4603174603174603,,,,,,2.1246376811594203,196000000.0,15000000.0,,270000000.0,-0.8000000000000003,-0.8000000000000003,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2019-12-31,7284000000.0,6445000000.0,826000000.0,2228000000.0,83000000.0,-102000000.0,,-39000000.0,-90000000.0,64000000.0,-0.6299999999999994,-172278974.0,174000000.0,0.0,174000000.0,2228000000.0,,,2.1289,-0.6299999999999994,,-0.04721549636803874,-0.005354200988467875,0.38235294117647056,,,,-1.7058823529411764,,2.6973365617433416,280000000.0,-359000000.0,,283000000.0,-4.43,-4.43,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2020-03-31,6632000000.0,6135000000.0,484000000.0,,217000000.0,-6000000.0,-333000000.0,-333000000.0,,,-4.62,72089016.0,-82000000.0,,,0.0,,,1.959,-4.62,-333000000.0,-0.6880165289256198,-0.05021109770808203,55.5,55.5,-0.05021109770808203,-0.6880165289256198,,55.5,0.0,224000000.0,-675000000.0,,,-8.85,-8.85,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2020-06-30,6613000000.0,6253000000.0,347000000.0,2289000000.0,454000000.0,108000000.0,,-439000000.0,92000000.0,0.0,-6.51,67300000.0,-89000000.0,,,2289000000.0,,,1.4521,-6.51,,-1.2651296829971181,-0.06638439437471647,-4.064814814814815,,,,,,6.596541786743516,252000000.0,-927000000.0,,,-13.16,-13.16,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2020-09-30,6551000000.0,6308000000.0,230000000.0,2318000000.0,111000000.0,179000000.0,,-497000000.0,135000000.0,0.0,-7.97,62400000.0,-388000000.0,,,2318000000.0,,,1.3789,-7.97,,-2.1608695652173915,-0.07586627995725843,-2.776536312849162,,,,,,10.078260869565218,179000000.0,-1308000000.0,,,-19.729999999999997,-19.729999999999997,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2020-12-31,5751000000.0,5602000000.0,136000000.0,2229000000.0,167000000.0,1000000.0,,691000000.0,-49000000.0,0.0,9.319999999999999,-142689016.0,169000000.0,0.0,169000000.0,2229000000.0,,,1.2583,9.319999999999999,,5.080882352941177,0.12015301686663189,691.0,,,,169.0,,16.389705882352942,282000000.0,-578000000.0,,,-9.780000000000001,-9.780000000000001,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2021-03-31,5375000000.0,5403000000.0,-41000000.0,,121000000.0,72000000.0,-106000000.0,-106000000.0,41000000.0,,-2.16,49258110.0,529000000.0,,,0.0,,,1.4523,-2.16,-106000000.0,2.5853658536585367,-0.01972093023255814,-1.4722222222222223,-1.4722222222222223,-0.01972093023255814,2.5853658536585367,,-1.4722222222222223,-0.0,360000000.0,-351000000.0,,219000000.0,-7.320000000000001,-7.320000000000001,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2021-06-30,5252000000.0,5275000000.0,-36000000.0,2283000000.0,347000000.0,90000000.0,,-167000000.0,82000000.0,0.0,-3.38,49400000.0,545000000.0,,,2283000000.0,,,2.3914,-3.38,,4.638888888888889,-0.031797410510281794,-1.8555555555555556,,,,,,-63.416666666666664,342000000.0,-79000000.0,,209000000.0,-4.190000000000001,-4.190000000000001,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2021-09-30,4816000000.0,4973000000.0,-170000000.0,2308000000.0,112000000.0,162000000.0,,-290000000.0,122000000.0,0.0,-5.87,49400000.0,359000000.0,,,2308000000.0,,,2.975,-5.87,,1.7058823529411764,-0.06021594684385382,-1.7901234567901234,,,,,,-13.576470588235294,325000000.0,128000000.0,,196000000.0,-2.0900000000000016,-2.0900000000000016,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2021-12-31,4696000000.0,4996000000.0,-313000000.0,2331000000.0,160000000.0,-135000000.0,,118000000.0,-82000000.0,0.0,2.42,-98558110.0,-922000000.0,1000000.0,-923000000.0,2331000000.0,,,5.4179,2.42,,-0.3769968051118211,0.02512776831345826,-0.8740740740740741,,,,6.837037037037037,,-7.447284345047923,189000000.0,-445000000.0,,163000000.0,-8.99,-8.99,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2022-03-31,4443000000.0,4995000000.0,-565000000.0,2344000000.0,151000000.0,40000000.0,,-73000000.0,41000000.0,0.0,-1.48,49600000.0,273000000.0,,,2344000000.0,,,6.6472,-1.48,,0.12920353982300886,-0.016430339860454647,-1.825,,,,,,-4.1486725663716815,157000000.0,-412000000.0,,163000000.0,-8.31,-8.31,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2022-06-30,4067000000.0,4802000000.0,-748000000.0,2359000000.0,202000000.0,80000000.0,,-109000000.0,84000000.0,0.0,-2.2,49700000.0,232000000.0,,,2359000000.0,,,4.2642,-2.2,,0.14572192513368984,-0.026801081878534545,-1.3625,,,,,,-3.1537433155080214,147000000.0,-354000000.0,,165000000.0,-7.130000000000001,-7.130000000000001,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2022-09-30,4015000000.0,4864000000.0,-863000000.0,2393000000.0,102000000.0,97000000.0,,-143000000.0,130000000.0,0.0,-2.87,49800000.0,140000000.0,,,2393000000.0,,,4.209,-2.87,,0.1657010428736964,-0.03561643835616438,-1.4742268041237114,,,,,,-2.772885283893395,82000000.0,-207000000.0,,173000000.0,-4.130000000000001,-4.130000000000001,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2022-12-31,3375000000.0,4251000000.0,-882000000.0,2428000000.0,50000000.0,-63000000.0,,130000000.0,-76000000.0,1000000.0,2.630000000000001,-99300000.0,-1063000000.0,0.0,-1063000000.0,2428000000.0,,,4.7025,2.630000000000001,,-0.1473922902494331,0.03851851851851852,-2.0634920634920637,,,,16.873015873015873,,-2.752834467120181,154000000.0,-195000000.0,,179000000.0,-3.9199999999999995,-3.9199999999999995,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2023-03-31,3317000000.0,4216000000.0,-912000000.0,2467000000.0,67000000.0,2000000.0,,-93000000.0,51000000.0,0.0,-1.86,49900000.0,-36000000.0,,,2467000000.0,,,4.5444,-1.86,,0.10197368421052631,-0.028037383177570093,-46.5,,,,,,-2.705043859649123,116000000.0,-215000000.0,,189000000.0,-4.3,-4.3,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2023-06-30,3257000000.0,4245000000.0,-1000000000.0,2505000000.0,208000000.0,30000000.0,,-167000000.0,104000000.0,0.0,-3.51,49500000.0,-78000000.0,,,2505000000.0,,,4.3655,-3.51,,0.167,-0.051274178692047895,-5.566666666666666,,,,,,-2.505,66000000.0,-273000000.0,,209000000.0,-5.609999999999999,-5.609999999999999,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2023-09-30,2990000000.0,4218000000.0,-1239000000.0,2546000000.0,70000000.0,38000000.0,,-353000000.0,157000000.0,0.0,-7.0,48700000.0,-193000000.0,,,2546000000.0,,,3.8354,-7.0,,0.28490718321226793,-0.11806020066889632,-9.289473684210526,,,,,,-2.0548829701372076,7000000.0,-483000000.0,,236000000.0,-9.739999999999998,-9.739999999999998,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2024-06-30,2304000000.0,4289000000.0,-1994000000.0,2663000000.0,195000000.0,-24000000.0,,-340000000.0,105000000.0,0.0,-7.21,47200000.0,-40000000.0,,,2663000000.0,,,21.4397,-7.21,,0.17051153460381144,-0.14756944444444445,14.166666666666666,,,,,,-1.335506519558676,46000000.0,-953000000.0,,417000000.0,-19.58,-19.58,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2024-09-30,2230000000.0,4218000000.0,-2001000000.0,2705000000.0,72000000.0,5000000.0,,-396000000.0,158000000.0,0.0,-8.37,47300000.0,-179000000.0,,,2705000000.0,,,,-8.37,,0.19790104947526238,-0.17757847533632287,-79.2,,,,,,-1.351824087956022,49000000.0,-1256000000.0,,524000000.0,-26.09,-26.09,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2024-12-31,2168000000.0,4244000000.0,-2089000000.0,2741000000.0,84000000.0,42000000.0,,-447000000.0,208000000.0,0.0,-9.43,47400000.0,-176000000.0,,,2741000000.0,,,8.0404,-9.43,,0.21397797989468645,-0.2061808118081181,-10.642857142857142,,,,,,-1.3121110579224509,61000000.0,-1536000000.0,,628000000.0,-32.01,-32.01,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2025-03-31,2132000000.0,4245000000.0,-2126000000.0,2780000000.0,61000000.0,14000000.0,,-62000000.0,50000000.0,0.0,-1.28,48400000.0,-43000000.0,,,2780000000.0,,,5.8336,-1.28,,0.02916274694261524,-0.029080675422138838,-4.428571428571429,,,,,,-1.3076199435559737,37000000.0,-1245000000.0,,521000000.0,-26.29,-26.29,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2025-06-30,2134000000.0,4299000000.0,-2178000000.0,2814000000.0,165000000.0,37000000.0,,-118000000.0,98000000.0,0.0,-2.4,49000000.0,-42000000.0,,,2814000000.0,,,2.1224,-2.4,,0.05417814508723599,-0.05529522024367385,-3.189189189189189,,,,,,-1.2920110192837466,98000000.0,-1023000000.0,,514000000.0,-21.479999999999997,-21.479999999999997,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2025-09-30,2060000000.0,4227000000.0,-2180000000.0,2853000000.0,64000000.0,52000000.0,,-126000000.0,148000000.0,0.0,-2.57,49200000.0,48000000.0,,,2853000000.0,,,4.2263,-2.57,,0.05779816513761468,-0.06116504854368932,-2.423076923076923,,,,,,-1.3087155963302752,145000000.0,-753000000.0,,504000000.0,-15.68,-15.68,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2025-12-31,2013000000.0,4243000000.0,-2237000000.0,2843000000.0,69000000.0,-23000000.0,,,-100000000.0,0.0,2.67,-97300000.0,75000000.0,,,2843000000.0,,,4.5192,2.67,,,,,,,,,,-1.2708985248100133,80000000.0,,,196000000.0,-3.5799999999999996,-3.5799999999999996,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
