report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_ps_ttm
2012-12-31,3805828000.0,1156750000.0,624889000.0,3805828000.0,1655728000.0,580000000.0,749977000.0,-1196561000.0,-137712000.0,-71549000.0,,-47019000.0,-0.7999999999999998,-233657000.0,-11148000.0,-244805000.0,580000000.0,,,,-0.7999999999999998,-137712000.0,-0.04321301566440865,-0.018799851175618026,0.059795530691707316,0.11508982826617281,-0.036184504396940695,-0.06159604388369247,0.20459048890946638,0.11508982826617281,0.3502990829411594,1.851128760467859,2800933000.0,159266000.0,323568000.0,281030000.0,323568000.0,,1.7100000000000002,1.7100000000000002,1.7925134747564655,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2013-03-31,3780246000.0,1055682000.0,591439000.0,3780246000.0,1636519000.0,580000000.0,673757000.0,742249000.0,84551000.0,53637000.0,7663000.0,25746000.0,0.61,92362000.0,33638000.0,58724000.0,580000000.0,,,,0.61,84551000.0,0.032775054857291604,0.014188759144246168,0.0722628120751931,0.11391190826798016,0.022366533818169505,0.03814584941523172,0.07911630733082833,0.11391190826798016,0.3544107951083978,1.7849380916713304,2902582000.0,178425000.0,345354000.0,290337000.0,345354000.0,,1.94,1.94,1.679436172738697,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2013-06-30,3812491000.0,1070735000.0,610656000.0,,1631305000.0,580000000.0,678725000.0,1541660000.0,191247000.0,111927000.0,15321000.0,65162000.0,1.0,,47819000.0,,580000000.0,,,,1.0,191247000.0,0.0686119395208131,0.02935797094340682,0.0726016112502108,0.12405264455197644,0.050163265959185216,0.08648603426483456,,0.12405264455197644,0.35554356787970365,1.7534176361159146,3123030000.0,212542000.0,376360000.0,,376360000.0,,2.09,2.09,1.5410776915718993,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2013-09-30,3804782000.0,1129921000.0,601551000.0,,1735056000.0,580000000.0,741652000.0,2298532000.0,313251000.0,208867000.0,22944000.0,101288000.0,2.0,,64114000.0,,580000000.0,,,,2.0,313251000.0,0.12038055255853414,0.05489591782131013,0.09086973772825438,0.13628307110799415,0.0823308667881629,0.13531033374570636,,0.13628307110799415,0.33428315858393043,1.8783461418898812,3385880000.0,302882000.0,451337000.0,,451337000.0,,2.8099999999999996,2.8099999999999996,1.2850708007542035,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2013-12-31,4234684000.0,1475386000.0,586897000.0,4234684000.0,1686736000.0,1080000000.0,1100444000.0,-1559454000.0,-162846000.0,-88647000.0,-12332000.0,-57694000.0,-0.31999999999999984,318599000.0,-65260000.0,253339000.0,1080000000.0,0.8166,,,-0.31999999999999984,-162846000.0,-0.05255534950341962,-0.02093355726188778,0.056844895713499724,0.10442501029206376,-0.038455289698121516,-0.058858524991180945,-0.16245365365057257,0.10442501029206376,0.6402898853169672,2.5138755181914374,3022987000.0,285784000.0,426203000.0,,426203000.0,33596000.0,3.29,3.29,2.534003749387029,12.68612334801762,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2014-03-31,4224056000.0,1471076000.0,600643000.0,,1709494000.0,1080000000.0,1003311000.0,740247000.0,71712000.0,35885000.0,14064000.0,21385000.0,0.0,,9721000.0,,1080000000.0,0.8166,,,0.0,71712000.0,0.020991591663966063,0.008495389265672615,0.04847706238593334,0.09687577254619066,0.01697704765277733,0.025707888240663,,0.09687577254619066,0.631765890959547,2.449168640939793,3020985000.0,268032000.0,413364000.0,,413364000.0,39997000.0,2.6799999999999997,2.6799999999999997,2.612709379626673,10.334875115633672,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2014-06-30,4167478000.0,1477432000.0,587730000.0,,1672928000.0,1080000000.0,987326000.0,1496562000.0,167402000.0,17889000.0,28110000.0,51274000.0,0.0,,26557000.0,,1080000000.0,,,,0.0,167402000.0,0.010693227682243348,0.004292524159695624,0.011953397186351116,0.11185771120742075,0.04016865835884437,0.060808709853654,,0.11185771120742075,0.6455747049484497,2.513793748830245,2975887000.0,173994000.0,389519000.0,,389519000.0,52786000.0,1.68,1.68,2.772650371355441,7.379210396696093,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2014-09-30,4238410000.0,1455279000.0,653693000.0,,1975028000.0,1080000000.0,931712000.0,2278793000.0,268355000.0,344701000.0,42119000.0,-8542000.0,3.0,,39033000.0,,1080000000.0,,,,3.0,268355000.0,0.17452967755393847,0.08132790362423645,0.15126472654602677,0.11776190290210652,0.06331501671617422,0.08784043877830253,,0.11776190290210652,0.546827690544134,2.2262422880465293,2956148000.0,309828000.0,344623000.0,,344623000.0,71961000.0,2.6799999999999997,2.6799999999999997,3.133859318733805,4.789024610552938,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2014-12-31,4274878000.0,1553881000.0,673954000.0,,1991953000.0,1080000000.0,990405000.0,-1406055000.0,-128742000.0,16398000.0,-27979000.0,-28745000.0,1.0,,-18078000.0,,1080000000.0,0.7841,,,1.0,-128742000.0,0.008232121942636197,0.003835898942613099,-0.011662417188516808,0.09156256334211678,-0.030115947168550775,-0.041908844308490394,,0.09156256334211678,0.5421814671330096,2.305618781103755,3109547000.0,414873000.0,378727000.0,,378727000.0,56314000.0,3.9999999999999996,3.9999999999999996,2.8516583185249536,6.725272578754839,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2015-03-31,3958105000.0,1293943000.0,625752000.0,,1752714000.0,1080000000.0,671597000.0,772512000.0,35119000.0,26405000.0,14064000.0,6180000.0,0.0,,12876000.0,,1080000000.0,0.7841,,,0.0,35119000.0,0.01506520744399828,0.006671121660491573,0.034180698811151156,0.04546078248622675,0.008872680234607218,0.012397651157158823,,0.04546078248622675,0.6161872387622852,2.0678207980158274,3141812000.0,405393000.0,342134000.0,,342134000.0,56314000.0,3.9999999999999996,3.9999999999999996,3.1566579176579936,6.075469687821856,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2015-06-30,4075058000.0,1322762000.0,714857000.0,,1815386000.0,1000000000.0,656409000.0,1543644000.0,97888000.0,85710000.0,29278000.0,-5788000.0,0.0,,26816000.0,,1000000000.0,,,,0.0,97888000.0,0.04721309958322913,0.021032829471384212,0.055524460303023236,0.06341358499757715,0.02402125319443306,0.03476894464915291,,0.06341358499757715,0.5508470374895477,1.850386860588901,3188894000.0,473214000.0,272620000.0,,272620000.0,57482000.0,3.9999999999999996,3.9999999999999996,3.6681094563861785,4.742702063254584,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2015-09-30,4027318000.0,1246246000.0,653457000.0,,1845191000.0,1000000000.0,766448000.0,2382205000.0,185018000.0,151321000.0,45270000.0,34722000.0,1.0,,44558000.0,,1000000000.0,,,,1.0,185018000.0,0.08200831241860598,0.037573640820019676,0.06352140139072834,0.07766669954936707,0.04594074766382988,0.06502832323032091,,0.07766669954936707,0.5419493158160863,1.9071583899170106,3292306000.0,279834000.0,189283000.0,,189283000.0,60633000.0,1.9999999999999996,1.9999999999999996,5.283094625507838,3.121781867959692,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2015-12-31,5209950000.0,1945010000.0,768546000.0,,1804526000.0,1748213000.0,1481447000.0,-1467428000.0,-138437000.0,-143964000.0,-14976000.0,-5598000.0,0.0,,-22201000.0,,1748213000.0,0.5789,,,0.0,-138437000.0,-0.07977939913306874,-0.027632510868626378,0.09810634661462096,0.09433989265572144,-0.02657165615792858,-0.03896627362719299,,0.09433989265572144,0.9687934670932976,2.5307658877933137,3230933000.0,119472000.0,179588000.0,,179588000.0,73636000.0,0.9999999999999996,0.9999999999999996,9.734575806846783,2.4388614264761803,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2016-03-31,5052343000.0,1884329000.0,776942000.0,,2065438000.0,1660872000.0,1238664000.0,819179000.0,21417000.0,8282000.0,27860000.0,1520000.0,0.0,,16090000.0,,1660872000.0,0.5789,,,0.0,21417000.0,0.00400980324754362,0.0016392394578119498,0.010110122451869494,0.026144469035461113,0.00423902336005295,0.0057475089297455125,,0.026144469035461113,0.8041258076979314,2.4253148883700457,3277600000.0,101349000.0,165886000.0,,165886000.0,87432000.0,0.9999999999999996,0.9999999999999996,10.012128811352374,1.8973144843993046,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2016-06-30,4660022000.0,1792868000.0,692206000.0,,1814450000.0,1655259000.0,1245984000.0,1564618000.0,-231029000.0,-186493000.0,55504000.0,-95220000.0,-2.0,,35133000.0,,1655259000.0,,,,-2.0,-231029000.0,-0.10278211028135248,-0.04001976814701733,-0.1191939502166024,-0.14765840607739397,-0.04957680457302562,-0.06658454642738051,,-0.14765840607739397,0.9122648736531731,2.5900786760010748,3298574000.0,-170854000.0,-163031000.0,,-163031000.0,113658000.0,-1.0000000000000004,-1.0000000000000004,-10.153032245401182,-1.434399690298967,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2016-09-30,4671160000.0,1799530000.0,702589000.0,,1863866000.0,1641285000.0,1189784000.0,2328720000.0,-145445000.0,-143331000.0,82622000.0,-77394000.0,-1.0,,62739000.0,,1641285000.0,,,,-1.0,-145445000.0,-0.07689984151221171,-0.03068424117349866,-0.06154926311450067,-0.06245705795458449,-0.031136805418782488,-0.04149464602238249,,-0.06245705795458449,0.8805810074329378,2.5612840508462273,3245089000.0,-465506000.0,-493494000.0,,-493494000.0,151010000.0,-3.0000000000000004,-3.0000000000000004,-3.325845906941118,-3.267955764518906,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2016-12-31,4645873000.0,1842735000.0,713388000.0,,1869222000.0,1582484000.0,1329187000.0,-1572635000.0,322432000.0,280262000.0,-56876000.0,106160000.0,3.0,,-35923000.0,,1582484000.0,1.5603,,,3.0,322432000.0,0.14993510669144702,0.060324937853445414,-0.17821172745106142,-0.20502659549100713,0.06940181102668971,0.09341235899001826,,-0.20502659549100713,0.8466003503061702,2.58307540917425,3139882000.0,-41280000.0,-32625000.0,,-32625000.0,109110000.0,-4.440892098500626e-16,-4.440892098500626e-16,-48.505256704980845,-0.29901017321968654,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2017-03-31,4619327000.0,1886322000.0,679395000.0,,1848059000.0,1571982000.0,1397038000.0,760833000.0,37060000.0,26209000.0,24792000.0,-23909000.0,0.0,67805000.0,11157000.0,56648000.0,1571982000.0,1.5603,,,0.0,37060000.0,0.014181906530040436,0.005673770226701855,0.03444776974710613,0.048709769423776306,0.008022813712906664,0.010836127403151015,0.07445523524873396,0.048709769423776306,0.8506124533902868,2.7764731857019846,3081536000.0,-23353000.0,-16982000.0,,-16982000.0,106042000.0,-4.440892098500626e-16,-4.440892098500626e-16,-92.56754210340361,-0.16014409384960676,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2017-06-30,4786067000.0,2013181000.0,683815000.0,,1965177000.0,1572994000.0,1522300000.0,1528220000.0,112695000.0,92477000.0,49520000.0,-43329000.0,0.0,157706000.0,41821000.0,115885000.0,1572994000.0,,,,0.0,112695000.0,0.0470578477154984,0.01932212816912091,0.06051288427058931,0.0737426548533588,0.023546473544979626,0.03185120221719075,0.07583005064715813,0.0737426548533588,0.8004337522777847,2.944043345056777,3045138000.0,255617000.0,326742000.0,,326742000.0,100058000.0,1.9999999999999996,1.9999999999999996,4.814177546810633,3.2655259949229447,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2017-09-30,5540955000.0,1726903000.0,835526000.0,,2428921000.0,1649267000.0,1255317000.0,2356654000.0,94106000.0,272120000.0,74556000.0,-322809000.0,2.0,297597000.0,56519000.0,241078000.0,1649267000.0,,,,2.0,94106000.0,0.11203328556177826,0.04911066774590301,0.11546879601333077,0.03993203923868332,0.016983714901131663,0.023075444290454487,0.10229673087351814,0.03993203923868332,0.6790122033610809,2.0668453166029543,3073072000.0,671068000.0,566293000.0,,566293000.0,91992000.0,5.0,5.0,2.9123916417826106,6.1558939907818075,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2017-12-31,5867810000.0,2125205000.0,799728000.0,,2430028000.0,1979469000.0,1630809000.0,-1338468000.0,-55395000.0,-85882000.0,-43573000.0,98997000.0,1.0,-106418000.0,-33974000.0,-140392000.0,1979469000.0,1.3949,,,1.0,-55395000.0,-0.035341979598588986,-0.014636124891569426,0.06416440288449182,0.04138686916683851,-0.009440489722741533,-0.012562657373392022,0.10489006834679648,0.04138686916683851,0.8145869101096778,2.6574097693215695,3307239000.0,304924000.0,188466000.0,273219000.0,188466000.0,105295000.0,2.9999999999999996,2.9999999999999996,10.503056254178473,1.7898855596182155,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2018-03-31,6030974000.0,2222932000.0,829493000.0,,2494527000.0,1980579000.0,1657537000.0,995075000.0,89950000.0,71082000.0,26505000.0,-29013000.0,0.0,152008000.0,14801000.0,137207000.0,1980579000.0,1.3949,,,0.0,89950000.0,0.02849518165167184,0.01178615593434825,0.07143381152174459,0.09039519634198427,0.014914672157432614,0.020100082545530765,0.1378860889882672,0.09039519634198427,0.7939697585955173,2.67986830509721,3541481000.0,349797000.0,241356000.0,353778000.0,241356000.0,107008000.0,2.9999999999999996,2.9999999999999996,8.206048326952716,2.2554949162679425,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2018-06-30,6235284000.0,2346772000.0,845680000.0,,2576079000.0,1982271000.0,1644829000.0,2054197000.0,258387000.0,289435000.0,53861000.0,2355000.0,3.0,379802000.0,39696000.0,340106000.0,1982271000.0,,,,3.0,258387000.0,0.11235486178801193,0.04641889607594458,0.14089933925519316,0.12578491741541828,0.04143949176974136,0.05668432656553358,0.1655663989383686,0.12578491741541828,0.7694915412143805,2.775011824803708,4067458000.0,546755000.0,387048000.0,577999000.0,387048000.0,111349000.0,6.0,6.0,5.121512060519626,3.4759899056120847,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2018-09-30,6372347000.0,2472894000.0,893505000.0,,2600482000.0,1983993000.0,1670984000.0,3158789000.0,431219000.0,435209000.0,81471000.0,-15900000.0,4.0,671700000.0,60113000.0,611587000.0,1983993000.0,,,,4.0,431219000.0,0.1673570515004526,0.06829650048875242,0.13777716713588656,0.1365140248367333,0.06767035756213527,0.09406071578534074,0.19361438829880692,0.1365140248367333,0.7629327947665087,2.76763308543321,4869593000.0,709844000.0,724161000.0,948508000.0,724161000.0,118264000.0,8.0,8.0,2.739712577727881,6.123258134343502,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2018-12-31,6874585000.0,2762739000.0,883558000.0,,2843125000.0,2245548000.0,2131632000.0,-1945169000.0,-214417000.0,-168765000.0,-52510000.0,46369000.0,-1.0,-215382000.0,-28976000.0,-244358000.0,2245548000.0,0.9674,,,-1.0,-214417000.0,-0.05935897999560343,-0.024549118237682712,0.08676109890708725,0.11023052495695747,-0.031189810003076548,-0.04213613254378892,0.12562301784575017,0.11023052495695747,0.7898168388656848,3.1268337788803904,4262892000.0,626961000.0,565139000.0,844542000.0,565139000.0,109327000.0,6.0,6.0,3.9734437014610564,5.1692537067696,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2019-03-31,2217511000.0,431539000.0,380724000.0,2217511000.0,144237000.0,1601656000.0,224855000.0,464625000.0,118828000.0,123034000.0,22086000.0,-27780000.0,0.42,92538000.0,9931000.0,82607000.0,1601656000.0,0.9674,,,0.42,118828000.0,0.852998883781554,0.055482926578492735,0.26480279795534034,0.25575033629270916,0.05358620543483211,0.06806144477353424,0.17779284369114878,0.25575033629270916,11.104335226051568,1.1334693898992445,3732442000.0,678913000.0,594017000.0,789942000.0,594017000.0,104908000.0,6.42,6.42,2.6963134051719058,5.662265985434857,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2019-06-30,8299105000.0,3914087000.0,953462000.0,,2983461000.0,3138531000.0,3151959000.0,2292501000.0,234183000.0,202162000.0,68349000.0,-47319000.0,2.1,355808000.0,76623000.0,279185000.0,3138531000.0,,,,2.1,234183000.0,0.06776089917046008,0.024359494186421308,0.08818404005058231,0.10215175478658461,0.02821786204657008,0.0382527451849006,0.12178184436996974,0.10215175478658461,1.051976546701968,4.105131615103696,3970746000.0,591640000.0,569813000.0,729021000.0,569813000.0,119396000.0,5.52,5.52,5.508001747941869,4.77246306408925,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2019-09-30,8304791000.0,3684294000.0,1036281000.0,,2897274000.0,3111882000.0,2946180000.0,3539375000.0,420035000.0,330706000.0,110481000.0,-62142000.0,3.45,688766000.0,103645000.0,585121000.0,3111882000.0,,,,3.45,420035000.0,0.11414384694026178,0.039821110489114055,0.0934362705279887,0.11867490729295427,0.050577431749938076,0.06989916720417975,0.1653176055094473,0.11867490729295427,1.074072386664154,3.5553040150306723,4351332000.0,487137000.0,558629000.0,702555000.0,558629000.0,148406000.0,4.97,4.97,5.5705700921362835,3.764194170047033,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2019-12-31,8332825000.0,3706989000.0,1007599000.0,,2928042000.0,3121572000.0,3139295000.0,-1539446000.0,-191713000.0,-224771000.0,-47353000.0,87932000.0,-1.4700000000000006,-199173000.0,-53547000.0,-252720000.0,3121572000.0,3.6707,,,-1.4700000000000006,-191713000.0,-0.07676495077597931,-0.026974165424090868,0.14600771966018944,0.12453376084643436,-0.02300696342476891,-0.03169012105565744,0.16416295212693396,0.12453376084643436,1.066095363386181,3.6790320355617663,4757055000.0,431131000.0,581333000.0,694193000.0,581333000.0,153563000.0,4.499999999999999,4.499999999999999,5.36967968444936,3.785631955614308,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2020-03-31,8434749000.0,3536309000.0,1064416000.0,8434749000.0,2424410000.0,3625008000.0,2822729000.0,1228765000.0,-177780000.0,-211040000.0,44866000.0,-89896000.0,-2.49,80975000.0,24591000.0,56384000.0,3625008000.0,3.6707,,,-2.49,-177780000.0,-0.08704798280818839,-0.025020305879878583,-0.17174968362542878,-0.1446818553588359,-0.02107709429172107,-0.029387951039257,0.04588672366156263,-0.1446818553588359,1.4952124434398473,3.3222997399512972,5521195000.0,97057000.0,284725000.0,667970000.0,284725000.0,176343000.0,1.589999999999999,1.589999999999999,12.731611203793134,1.6146090289946298,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2020-06-30,2334732000.0,451748000.0,459042000.0,,-1708175000.0,3527660000.0,129294000.0,1100092000.0,332966000.0,-144599000.0,88296000.0,-16300000.0,-0.8,,18124000.0,,3527660000.0,,,,-0.8,332966000.0,0.08465116279069768,-0.061933875065746304,-0.13144264297895086,0.30267104933041966,0.1426142272432125,0.1830001346534871,,0.30267104933041966,-2.065163112678736,0.9841103864134436,4328786000.0,-249704000.0,383508000.0,,383508000.0,196290000.0,-1.3100000000000012,-1.3100000000000012,9.198400033376096,1.9537826685006878,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2020-09-30,2670092000.0,738159000.0,488195000.0,,-1442934000.0,3521092000.0,398884000.0,1739862000.0,533133000.0,-12018000.0,131485000.0,7300000.0,-0.1,,32376000.0,,3521092000.0,,,,-0.1,533133000.0,0.00832886327441172,-0.004500968505954102,-0.006907444383520072,0.30642257834242026,0.19966840093899385,0.25654112921154215,,0.30642257834242026,-2.4402308075074814,1.5120167146324728,2529273000.0,-592428000.0,496606000.0,,496606000.0,217294000.0,-4.860000000000001,-4.860000000000001,7.090313044949115,2.2854105497620734,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2020-12-31,2976980000.0,1020212000.0,500036000.0,,-1177667000.0,3534706000.0,739164000.0,-1677450000.0,57396000.0,496218000.0,-89856000.0,131770000.0,3.88,,-32715000.0,,3534706000.0,2.0404,,,3.88,57396000.0,-0.42135680120101865,0.1666850297952959,-0.2958168648841992,-0.034216221049807746,0.019279941417140862,0.024350891096838023,,-0.034216221049807746,-3.0014477776824857,2.0402771000487965,2391269000.0,128561000.0,745715000.0,,745715000.0,174791000.0,0.4899999999999989,0.4899999999999989,4.740022662813542,4.266323780972704,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2021-03-31,3214668000.0,1204238000.0,469924000.0,3214668000.0,-1214591000.0,3843244000.0,845696000.0,667612000.0,189258000.0,174250000.0,31838000.0,-17747000.0,0.57,102308000.0,10290000.0,92018000.0,3843244000.0,,67.7434,14.5332,0.57,189258000.0,-0.143463931479815,0.054204664369695406,0.2610048950588066,0.2834850182441298,0.058873264673054884,0.07199809179834692,0.1378315548552153,0.2834850182441298,-3.1642289462049367,2.562622892212358,1830116000.0,513851000.0,1112753000.0,,1112753000.0,161763000.0,3.549999999999999,3.549999999999999,3.453815896250111,6.878909268497741,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
