report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-11-30,31312000000.0,9159000000.0,4828000000.0,31312000000.0,15543000000.0,2241000000.0,,2517000000.0,21899000000.0,1460000000.0,897000000.0,,522000000.0,2.84,1718000000.0,1165000000.0,2241000000.0,,14.2889,0.6469,2.84,2625000000.0,0.05771086662806408,0.028647164026571283,0.04096077446458742,0.06666971094570528,0.046627491057741444,0.08209626630679262,0.11986848714553176,0.14418066010422698,1.8970588235294117,43742000000.0,1963000000.0,3134000000.0,5449000000.0,6.220000000000001,6.220000000000001,0.41126812259130113,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2013-02-28,31830000000.0,9745000000.0,5099000000.0,31830000000.0,16112000000.0,1991000000.0,,3372000000.0,32852000000.0,2049000000.0,1258000000.0,,725000000.0,3.97,2976000000.0,1764000000.0,1991000000.0,,18.3372,0.7559,3.97,3813000000.0,0.07807845084409136,0.039522463085139806,0.03829295020090101,0.06237063192499696,0.06437323279924599,0.1131856598353864,0.11606599293802508,0.12357249255213505,1.9111590507942733,44922000000.0,1739000000.0,2853000000.0,5362000000.0,5.5200000000000005,5.5200000000000005,0.37131667288325254,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2013-05-31,33567000000.0,11274000000.0,5750000000.0,,17398000000.0,,,4917000000.0,-21256000000.0,-1700000000.0,-1053000000.0,82000000.0,-621000000.0,-4.26,-909000000.0,-1116000000.0,0.0,1.9607,11.2398,0.6893,-4.26,-2816000000.0,-0.06052419818369927,-0.03137009562963625,0.04953895370718856,0.07997741814076026,-0.050644978699317784,-0.09771238073341763,0.13248024087316523,0.0,1.960695652173913,44287000000.0,1561000000.0,2551000000.0,4937000000.0,4.000000000000002,4.000000000000002,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2013-08-31,33673000000.0,11493000000.0,5523000000.0,,17655000000.0,,,5096000000.0,11024000000.0,795000000.0,489000000.0,,277000000.0,1.0,929000000.0,639000000.0,0.0,,12.3868,0.764,1.0,1434000000.0,0.027697536108751062,0.014522020609984261,0.0443577648766328,0.07211538461538461,0.02360942001009711,0.045029736618521665,0.1300798258345428,0.0,2.0809342748506245,44519000000.0,1591000000.0,2604000000.0,5056000000.0,3.5500000000000007,3.5500000000000007,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2013-11-30,33542000000.0,10866000000.0,5406000000.0,,17533000000.0,,,3935000000.0,22427000000.0,1622000000.0,989000000.0,,569000000.0,3.0,1609000000.0,1286000000.0,0.0,,15.8107,0.9907,3.0,2908000000.0,0.056407916500313696,0.02948542126289428,0.044098631114281896,0.07232353859187586,0.0483572834058792,0.0925112644727086,0.12966513577384403,0.0,2.009988901220866,45047000000.0,1683000000.0,2766000000.0,5339000000.0,3.710000000000001,3.710000000000001,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2014-02-28,32729000000.0,9781000000.0,5019000000.0,,15227000000.0,,,3042000000.0,33728000000.0,2263000000.0,1367000000.0,,785000000.0,4.0,2578000000.0,1938000000.0,0.0,,14.7361,0.9218,4.0,4201000000.0,0.08977474223418927,0.04176724006233004,0.04053012333965844,0.06709558823529412,0.06914357297809283,0.14861758718066592,0.12455526565464896,0.0,1.9487945805937437,45923000000.0,1792000000.0,2980000000.0,5727000000.0,3.7400000000000007,3.7400000000000007,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2014-05-31,33070000000.0,9683000000.0,5312000000.0,,15277000000.0,,,2908000000.0,-21612000000.0,-1234000000.0,-748000000.0,160000000.0,-439000000.0,-2.0,-852000000.0,-1276000000.0,0.0,1.8229,18.3426,0.9355,-2.0,-2510000000.0,-0.048962492635988744,-0.02261868763229513,0.03461040162872478,0.05709790856931334,-0.03731478681584518,-0.0807750212738103,0.1161391819359615,0.0,1.8228539156626506,45567000000.0,2097000000.0,3446000000.0,6033000000.0,6.0,6.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2014-08-31,32587000000.0,9250000000.0,5153000000.0,,15121000000.0,,,2416000000.0,11684000000.0,987000000.0,606000000.0,,331000000.0,2.0,982000000.0,651000000.0,0.0,,17.1653,0.9239,2.0,1638000000.0,0.04007671450300906,0.01859637278669408,0.05186579938377268,0.08447449503594659,0.030288151716942338,0.0652734607499504,0.14019171516603904,0.0,1.7950708325247429,46227000000.0,2214000000.0,3638000000.0,6237000000.0,7.0,7.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2014-11-30,32984000000.0,9212000000.0,5173000000.0,,15563000000.0,,,2266000000.0,23623000000.0,2000000000.0,1222000000.0,,686000000.0,4.0,2151000000.0,1302000000.0,0.0,,18.9864,1.0763,4.0,3302000000.0,0.07851956563644541,0.03704826582585496,0.051729246920374214,0.08466325191550607,0.0606354596167839,0.12850992739189102,0.13977902891250052,0.0,1.780784844384303,47423000000.0,2447000000.0,4016000000.0,6631000000.0,8.0,8.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2015-02-28,36108000000.0,10482000000.0,5243000000.0,,16012000000.0,,,3478000000.0,35339000000.0,2962000000.0,1802000000.0,,1015000000.0,6.0,3473000000.0,1954000000.0,0.0,,17.2664,1.0617,6.0,4916000000.0,0.11254059455408444,0.04990583804143126,0.05099182206627239,0.08381674637086504,0.08203168272958901,0.18498626030477142,0.13910976541498063,0.0,1.9992370780087736,49034000000.0,2882000000.0,4715000000.0,7346000000.0,10.0,10.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
