report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-06-30,15879000000.0,,,8911000000.0,647000000.0,,,365000000.0,,2997000000.0,,81000000.0,,232000000.0,259.0,52926851.0,,0.0,,26.4804,0.7358,259.0,,0.125193199381762,0.005101076894010958,0.02702702702702703,,,,,0.0,,5880000000.0,163000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2013-09-30,16384000000.0,,,9185000000.0,657000000.0,,,535000000.0,,4574000000.0,,127000000.0,,363000000.0,406.0,52902310.0,,0.0,,6.8919,0.5178,406.0,,0.1933028919330289,0.00775146484375,0.027765631832094448,,,,,0.0,,6314000000.0,160000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2013-12-31,16676000000.0,,,9126000000.0,734000000.0,,,452000000.0,,-2871000000.0,1131000000.0,-82000000.0,,-222000000.0,,,776000000.0,0.0,0.0558,23.6828,2.9683,,1131000000.0,-0.11171662125340599,-0.004917246342048453,0.028561476837338905,-0.3939393939393939,0.06782201966898536,1.5408719346049047,-0.3939393939393939,0.0,,6271000000.0,163000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2014-03-31,16931000000.0,,,9241000000.0,742000000.0,,,379000000.0,,1511000000.0,,46000000.0,,47000000.0,149.0,2542.0,,0.0,,21.3439,3.3967,149.0,,0.06199460916442048,0.002716909810406946,0.03044341495698213,,,,,0.0,,6211000000.0,172000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2014-06-30,17460000000.0,,,9639000000.0,755000000.0,,,300000000.0,,3109000000.0,,95000000.0,,91000000.0,307.0,2542.0,,0.0,,22.3109,3.5455,307.0,,0.12582781456953643,0.005441008018327606,0.030556449018977163,,,,,0.0,,6323000000.0,186000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2014-09-30,17578000000.0,,,9742000000.0,771000000.0,,,379000000.0,,4535000000.0,,142000000.0,,133000000.0,457.0,2542.0,,0.0,,22.3109,3.5455,457.0,,0.18417639429312582,0.008078279667766527,0.03131201764057332,,,,,0.0,,6284000000.0,201000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2014-12-31,17758000000.0,,,9775000000.0,703000000.0,,,514000000.0,,-3031000000.0,,-115000000.0,,-14000000.0,-375.0,-5084.0,,0.0,1.3325,28.3364,3.3731,-375.0,,-0.16358463726884778,-0.006475954499380561,0.03794127350709337,,,,,0.0,,6124000000.0,168000000.0,,,,538.0,538.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2015-03-31,17993000000.0,,,9856000000.0,710000000.0,,,420000000.0,,1605000000.0,,39000000.0,,61000000.0,125.0,2542.0,,0.0,,28.4642,11.2412,125.0,,0.054929577464788736,0.002167509587061635,0.024299065420560748,,,,,0.0,,6218000000.0,161000000.0,,,,514.0,514.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2015-06-30,18069000000.0,,,9907000000.0,732000000.0,,,421000000.0,,3237000000.0,,95000000.0,,159000000.0,305.0,2542.0,,0.0,,25.6205,,305.0,,0.12978142076502733,0.005257623554153523,0.02934816187828236,,,,,0.0,,6346000000.0,161000000.0,,,,512.0,512.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2015-09-30,18115000000.0,,,9990000000.0,750000000.0,,,618000000.0,,4583000000.0,,145000000.0,,166000000.0,465.0,2542.0,,0.0,,25.4963,,465.0,,0.19333333333333333,0.008004416229643941,0.03163866463015492,,,,,0.0,,6394000000.0,164000000.0,,,,520.0,520.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2015-12-31,1407296000.0,635146000.0,445699000.0,637793000.0,769503000.0,,,182889000.0,,-7919492000.0,232541000.0,-104322000.0,,-294429000.0,-330.0,52493727.0,,0.0,1.4238,28.6262,3.3218,-330.0,232541000.0,-0.13557062155703098,-0.07412939424257584,0.013172814619927642,-0.029363120765826898,0.16523958001728137,0.30219635271077566,-0.029363120765826898,0.0,1.4250559233922446,1505508000.0,174678000.0,,,,565.0,565.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2016-03-31,1340624000.0,557969000.0,371758000.0,555757000.0,784867000.0,,,105282000.0,,374728000.0,67665000.0,45895000.0,,24329000.0,148.0,52526469.0,,0.0,,26.7461,3.1793,148.0,67665000.0,0.05847487536104843,0.03423405816992684,0.12247550223095152,0.180570974146581,0.05047276492140973,0.08621205885837983,0.180570974146581,0.0,1.5008930540835705,275236000.0,181573000.0,,,,588.0,588.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2016-06-30,1414826000.0,597668000.0,415502000.0,599632000.0,815194000.0,,,124111000.0,,798612000.0,153424000.0,107204000.0,,56183000.0,347.0,52460936.0,,0.0,,27.7928,3.3478,347.0,153424000.0,0.13150734671746847,0.07577186169889442,0.13423790276129083,0.19211331660430847,0.10844018981839464,0.18820550691001162,0.19211331660430847,0.0,1.4384238824361857,-2163152000.0,193777000.0,,,,630.0,630.0,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2016-09-30,1485015000.0,627750000.0,453258000.0,646086000.0,838929000.0,,,139813000.0,,1217018000.0,235679000.0,164580000.0,,85388000.0,532.0,52445239.0,,0.0,,27.4126,3.3922,532.0,235679000.0,0.19617869927014087,0.11082716336198624,0.13523218226846276,0.19365284654787357,0.15870479422766773,0.28092842183307526,0.19365284654787357,0.0,1.3849727969500814,-5529134000.0,213357000.0,689309000.0,689309000.0,,697.0,697.0,0.0,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2016-12-31,1548955000.0,665516000.0,469600000.0,732045000.0,816910000.0,24766000.0,,189072000.0,,-793727000.0,-164404000.0,-107313000.0,101000.0,-56175000.0,-346.0,-104994799.0,,24766000.0,1.417,27.8175,3.6658,-346.0,-164404000.0,-0.13136453220060962,-0.06928090228573458,0.13520139796176772,0.20712915145887692,-0.1061386547704743,-0.19532931912042165,0.20712915145887692,0.030316681152146502,1.417197614991482,1596631000.0,210366000.0,292364000.0,292364000.0,,681.0,681.0,0.08470947175438837,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2017-03-31,1490036000.0,625718000.0,404221000.0,660178000.0,829858000.0,24753000.0,,110418000.0,,399316000.0,66534000.0,47876000.0,166000.0,25078000.0,154.0,52411102.0,,24753000.0,,30.207,3.9575,154.0,66534000.0,0.05769179787385312,0.03213076731032002,0.1198950204850294,0.16661992006330825,0.0446526124201026,0.07785296468217703,0.16661992006330825,0.02982799466896746,1.547960150511725,1621219000.0,212347000.0,291233000.0,291233000.0,,687.0,687.0,0.08499380221334807,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2017-06-30,1567225000.0,671085000.0,431021000.0,714011000.0,853214000.0,49742000.0,,144709000.0,,847880000.0,149578000.0,106403000.0,423000.0,55786000.0,345.0,52357756.0,,49742000.0,,31.2018,3.9734,345.0,149578000.0,0.12470845532304908,0.06789261273907703,0.12549299429164504,0.17641411520498185,0.09544130549219161,0.16565369741161254,0.17641411520498185,0.058299559078964946,1.5569659018934112,1670487000.0,211546000.0,287387000.0,287387000.0,,685.0,685.0,0.17308368158615386,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2017-09-30,1631429000.0,720678000.0,483401000.0,756279000.0,875150000.0,49734000.0,,184628000.0,,1290372000.0,230414000.0,164946000.0,800000.0,86108000.0,534.0,52344992.0,120334000.0,49734000.0,,30.4458,3.8413,534.0,230414000.0,0.18847740387362166,0.10110522738041312,0.12782825417786498,0.17856401099837876,0.1412344637737836,0.24912745814610265,0.17856401099837876,0.056829115008855624,1.4908492121447825,1743841000.0,211912000.0,282122000.0,282122000.0,1490000.0,687.0,687.0,0.17628543679684675,189.34362416107382,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2017-12-31,1665859000.0,801882000.0,509906000.0,808515000.0,857344000.0,74728000.0,,215721000.0,,-845794000.0,-158154000.0,-122226000.0,-151000.0,-48276000.0,-396.0,-104773845.0,76792000.0,74728000.0,1.5725,31.6739,3.6882,-396.0,-158154000.0,-0.142563545088086,-0.07337115566203382,0.1445103654081254,0.18698879396165025,-0.09493840715210591,-0.16968002471912041,0.18698879396165025,0.08716221260077635,1.5726075002059203,1691774000.0,196999000.0,288372000.0,288372000.0,1238000.0,637.0,637.0,0.2591375029475816,232.93376413570275,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2018-03-31,1573476000.0,720746000.0,447649000.0,733321000.0,840155000.0,74726000.0,,119627000.0,,572160000.0,77567000.0,65758000.0,553000.0,17463000.0,213.0,52313170.0,-40230000.0,74726000.0,,27.9188,3.2175,213.0,77567000.0,0.07826889085942475,0.04179154941035008,0.1149293903803132,0.13556872203579418,0.0492965892075888,0.08478370411015203,0.13556872203579418,0.08894311168772429,1.6100694964134847,1864618000.0,214881000.0,299405000.0,299405000.0,1625000.0,696.0,696.0,0.24958167031278702,184.24923076923076,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2018-06-30,1652275000.0,828065000.0,497864000.0,772087000.0,880188000.0,98800000.0,,198412000.0,,1193618000.0,172890000.0,145464000.0,1155000.0,38743000.0,470.0,52314283.0,41593000.0,98800000.0,,25.6798,2.9756,470.0,172890000.0,0.16526469345185346,0.08803861342694164,0.12186813536659132,0.14484533577744305,0.1046375452028264,0.17660073463617532,0.14484533577744305,0.11224874685862565,1.6632353413783685,2210356000.0,253942000.0,322717000.0,322717000.0,2357000.0,821.0,821.0,0.30615059014554546,136.91854051760714,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2018-09-30,1759503000.0,888857000.0,544508000.0,838480000.0,921023000.0,98332000.0,,244688000.0,,1805744000.0,269585000.0,225910000.0,1864000.0,62768000.0,731.0,52316184.0,174314000.0,98332000.0,,25.4457,2.9744,731.0,269585000.0,0.24528160534536053,0.12839421131990114,0.12510632736423324,0.14929303378551997,0.15321656172225906,0.2644662556224279,0.14929303378551997,0.10676389188977908,1.632403931622676,2725728000.0,314906000.0,361888000.0,361888000.0,3421000.0,1018.0,1018.0,0.27171942700504026,105.78427360420929,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2018-12-31,1778327000.0,1168946000.0,547067000.0,804655000.0,973672000.0,97860000.0,,266417000.0,,-1189310000.0,-175699000.0,-148908000.0,-1112000.0,-35878000.0,-481.0,-104625882.0,87908000.0,97860000.0,2.1371,24.1872,2.9261,-481.0,-175699000.0,-0.15293445842131642,-0.08373488115515312,0.12520537118160951,0.14773187814783362,-0.0988001644242032,-0.16396990477185935,0.14773187814783362,0.10050612526600333,2.136751074365663,2382212000.0,288224000.0,344343000.0,344343000.0,2460000.0,933.0,933.0,0.2841933769526315,139.97682926829268,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2019-03-31,1799456000.0,962391000.0,502522000.0,785652000.0,1013804000.0,97382000.0,,,,594106000.0,86122000.0,75311000.0,449000.0,20204000.0,,,24240000.0,97382000.0,,27.8733,3.4514,,86122000.0,0.0742855621007611,0.041852093077018836,0.1267635741769987,0.14496066358528611,0.04786001991713051,0.07750457619156469,0.14496066358528611,0.09605604239083688,1.915122124006511,2404158000.0,297777000.0,352898000.0,352898000.0,2356000.0,,,0.2759494244795947,149.78692699490662,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2019-06-30,1889647000.0,937247000.0,535360000.0,826193000.0,1063454000.0,96860000.0,,,,1241816000.0,182732000.0,163065000.0,721000.0,38488000.0,528.12,52315913.0,114416000.0,96860000.0,,38.7093,4.8705,528.12,182732000.0,0.15333526414870788,0.08629389510315948,0.1313117241201595,0.147149014024622,0.09670165909294169,0.15748495665828388,0.147149014024622,0.0910805733017131,1.750685520023909,2452356000.0,315378000.0,362740000.0,362740000.0,1922000.0,,,0.26702321221811764,188.7304890738814,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2019-09-30,1974580000.0,934895000.0,568824000.0,855309000.0,1119271000.0,96346000.0,,,,1880558000.0,288639000.0,257234000.0,832000.0,63821000.0,832.92,52319817.0,237866000.0,96346000.0,,26.8304,3.49,832.92,288639000.0,0.22982280430744653,0.13027276686687803,0.13678599649678447,0.153485827078984,0.14617741494393743,0.23744238522495162,0.153485827078984,0.08607924264990338,1.6435575854745932,2527170000.0,346702000.0,381794000.0,381794000.0,890000.0,,,0.25235074411855607,428.9820224719101,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2019-12-31,2016240000.0,891404000.0,587712000.0,882987000.0,1133253000.0,95842000.0,,,,-1239182000.0,-200154000.0,-178789000.0,-1146000.0,-42629000.0,-334.98,-52313328.0,-11995000.0,95842000.0,1.5153,24.195,3.0952,-334.98,-200154000.0,-0.1577661828382541,-0.0886744633575368,0.14427985558215017,0.16152106793029594,-0.09927092012855612,-0.16284664732994603,0.16152106793029594,0.08457246528356863,1.5167360884242622,2477298000.0,316821000.0,357339000.0,357339000.0,856000.0,,,0.268210298903842,417.45210280373834,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2020-03-31,1957493000.0,810074000.0,541724000.0,840501000.0,1116992000.0,95342000.0,,,,616737000.0,85691000.0,59326000.0,3000.0,16801000.0,,,20077000.0,95342000.0,,22.7553,2.739,,85691000.0,0.05311228728585343,0.030307132643641637,0.09619335308243222,0.13894253141938948,0.043775890897183284,0.07068266665786821,0.13894253141938948,0.0853560276170286,1.4953629523521204,2499929000.0,300836000.0,356908000.0,356908000.0,410000.0,,,0.26713326683627153,870.5073170731707,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2020-06-30,2082861000.0,859238000.0,589123000.0,888722000.0,1194139000.0,94849000.0,,,46189068.0,1273756000.0,176880000.0,141303000.0,5000.0,37306000.0,2.7,52316209.0,127282000.0,94849000.0,,30.0362,3.5326,2.7,176880000.0,0.11833044561813993,0.06784082087090786,0.1109341192504687,0.13886490034198073,0.08492165343726729,0.13722393071153494,0.13886490034198073,0.07942877671694837,1.4585035722591038,2531869000.0,279074000.0,351056000.0,351056000.0,-306000.0,,,0.27018196527049815,1147.2418300653594,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2020-09-30,2159342000.0,792922000.0,606460000.0,912125000.0,1247217000.0,94337000.0,,,,1927237000.0,273105000.0,230519000.0,8000.0,59786000.0,746.41,52315130.0,234478000.0,94337000.0,,33.4803,3.8483,746.41,273105000.0,0.18482669816078517,0.1067542797759688,0.11961113241391692,0.14170805147472781,0.12647602834567198,0.2035736168652175,0.14170805147472781,0.07563800044418895,1.3074596840681991,2578548000.0,252359000.0,335522000.0,335522000.0,-1130000.0,,,0.2811648714540328,296.9221238938053,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2020-12-31,2117122000.0,732300000.0,627669000.0,929074000.0,1188048000.0,93833000.0,,,,-1281241000.0,-197519000.0,-137844000.0,715000.0,-38682000.0,,,-39242000.0,93833000.0,1.1656,38.6771,4.4723,,-197519000.0,-0.11602561512666155,-0.06510914345040106,0.10758631670388319,0.1541622536275377,-0.0932959933343473,-0.1540852856076344,0.1541622536275377,0.0789808155899425,1.1666977339967404,2536489000.0,293304000.0,338157000.0,338157000.0,731000.0,,,0.2774835357541024,462.59507523939806,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2021-03-31,2099098000.0,701927000.0,571440000.0,890965000.0,1208133000.0,93311000.0,,,,630177000.0,76095000.0,73566000.0,1009000.0,18989000.0,,,33482000.0,93311000.0,,33.1717,4.0014,,76095000.0,0.06089230242034611,0.03504648186983171,0.11673863057521934,0.1207517887831514,0.03625128507578017,0.05846966907527331,0.1207517887831514,0.07723570169840573,1.2283476830463391,2549929000.0,307544000.0,328561000.0,328561000.0,1737000.0,,,0.2839990138817449,189.15428900402995,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2021-06-30,2163644000.0,746809000.0,591861000.0,918542000.0,1245102000.0,92795000.0,,,,1310207000.0,161160000.0,152595000.0,2048000.0,39856000.0,491.0,2542.0,127720000.0,92795000.0,,29.3193,3.4709,491.0,161160000.0,0.12255622430933369,0.07052685192203523,0.11646632936627571,0.12300346433807788,0.07448545139588583,0.12045770339570236,0.12300346433807788,0.07452803063524113,1.261797955938979,2586380000.0,318836000.0,312841000.0,312841000.0,3780000.0,,,0.2966203278981975,82.7621693121693,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2021-09-30,2236558000.0,831153000.0,614263000.0,949702000.0,1286856000.0,92273000.0,,,,1998046000.0,256263000.0,242818000.0,3082000.0,63759000.0,786.64,52310401.0,264038000.0,92273000.0,,26.9683,3.1609,786.64,256263000.0,0.18869088693684452,0.10856771878931823,0.12152773259474507,0.12825680690034164,0.11457918819900938,0.18581510504093526,0.12825680690034164,0.07170421554548449,1.3530898002972669,2657189000.0,331135000.0,295999000.0,295999000.0,6854000.0,,,0.31173416126405834,43.18631456084039,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2021-12-31,2242057000.0,763730000.0,630863000.0,899579000.0,1342478000.0,91734000.0,,,,-1304453000.0,-175421000.0,-171119000.0,-2007000.0,-44060000.0,-312.9499999999998,-3099.0,-22446000.0,91734000.0,1.2108,29.8834,3.3787,-312.9499999999998,-175421000.0,-0.12746503108430826,-0.07632232365189645,0.13118065579978735,0.13447858987636963,-0.07824109734944294,-0.12231176423011382,0.13447858987636963,0.06833184603397598,1.2106114956813128,2633977000.0,297860000.0,318097000.0,318097000.0,4132000.0,,,0.2883837320062748,76.98378509196515,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2022-03-31,2223853000.0,751346000.0,601331000.0,889653000.0,1334200000.0,91177000.0,,,,672110000.0,84312000.0,68619000.0,999000.0,18176000.0,,,23553000.0,91177000.0,,31.4543,3.4419,,84312000.0,0.05143081996702144,0.030855906393093428,0.10209489518084837,0.12544375176682387,0.0379125778547413,0.059150666806045,0.12544375176682387,0.06833833008544446,1.2494715888587151,2675910000.0,292913000.0,326314000.0,326314000.0,4122000.0,,,0.27941491937213847,79.16399805919457,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2022-06-30,2180222000.0,743104000.0,636565000.0,840816000.0,1339406000.0,0.0,40000000.0,,,1398253000.0,188312000.0,148766000.0,1894000.0,39377000.0,481.84,52300863.0,106274000.0,40000000.0,,34.1939,3.6921,481.84,188312000.0,0.11106863788873575,0.06823433576947668,0.10639419332552835,0.13467662862157279,0.08637285560828209,0.13651673256459665,0.13467662862157279,0.02986398448267366,1.1673654693550541,2763956000.0,289084000.0,353466000.0,353466000.0,3968000.0,,,0.11316505689373235,89.07913306451613,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2022-09-30,2177752000.0,724479000.0,634192000.0,821173000.0,1356579000.0,0.0,,,,2139489000.0,294784000.0,233079000.0,2009000.0,61412000.0,755.46,52300227.0,238108000.0,0.0,,40.3631,4.1886,755.46,294784000.0,0.17181380516726266,0.10702733828277967,0.10894143414619098,0.1377824330950054,0.13536160223937344,0.2172995454005996,0.1377824330950054,0.0,1.1423654035370991,2905399000.0,279345000.0,391987000.0,391987000.0,2895000.0,,,0.0,135.4013816925734,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2022-12-31,2239456000.0,778796000.0,665111000.0,791048000.0,1448408000.0,0.0,,,,-1369728000.0,-191194000.0,-151895000.0,-2893000.0,-41082000.0,-269.5899999999999,-52300558.0,-1783000.0,0.0,1.1714,38.804,4.0785,-269.5899999999999,-191194000.0,-0.10487031278479544,-0.06782674006544447,0.1108942797402112,0.13958537753480982,-0.08537519826243516,-0.13200286107229456,0.13958537753480982,0.0,1.1709263566532504,2840124000.0,298569000.0,376214000.0,376214000.0,2009000.0,,,0.0,187.2643106022897,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2023-03-31,2223969000.0,784081000.0,611568000.0,737002000.0,1486967000.0,,,,,752465000.0,110543000.0,86241000.0,0.0,22907000.0,279.65,52299163.0,48031000.0,0.0,,38.3216,4.1479,279.65,110543000.0,0.057997924634507696,0.03877796857779942,0.11461131082508821,0.14690782960004783,0.04970527916531211,0.07434125975895901,0.14690782960004783,0.0,1.282083104413573,2920479000.0,316191000.0,402445000.0,402445000.0,1010000.0,1247.3600000000001,1247.3600000000001,0.0,398.46039603960395,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2023-06-30,2325511000.0,872803000.0,652093000.0,780599000.0,1544912000.0,,,,,1592335000.0,244701000.0,204093000.0,0.0,54145000.0,660.9,52300840.0,180007000.0,0.0,,31.0297,3.6192,660.9,244701000.0,0.13210655364189028,0.08776264657531184,0.12817214970467897,0.15367432104425263,0.10522461514910056,0.15839154592624047,0.15367432104425263,0.0,1.3384639920992865,3114561000.0,371518000.0,458834000.0,458834000.0,-884000.0,1426.42,1426.42,0.0,519.0429864253393,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2023-09-30,2394549000.0,873826000.0,680913000.0,782660000.0,1611889000.0,,,,,2451273000.0,393172000.0,335133000.0,0.0,86879000.0,1085.41,52301197.0,232769000.0,0.0,,38.0165,4.8318,1085.41,393172000.0,0.20791319997841043,0.13995662648791066,0.1367179420652045,0.16039502740004888,0.16419459363746577,0.2439200217881008,0.16039502740004888,0.0,1.2833151959207711,3426345000.0,473572000.0,557222000.0,557222000.0,-2893000.0,1756.3700000000001,1756.3700000000001,0.0,192.61043899066712,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
