report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,debt_equity,current_ratio,fcf_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-12-31,11845000000.0,2840000000.0,1470000000.0,7970000000.0,3796000000.0,4254000000.0,0.0,237000000.0,131000000.0,-103000000.0,-221000000.0,28000000.0,4254000000.0,1.932,10.5615,1.3159,1.1206533192834562,1.9319727891156462,608000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2014-03-31,11947000000.0,2949000000.0,1259000000.0,8139000000.0,3729000000.0,4635000000.0,0.0,185000000.0,-30000000.0,122000000.0,107000000.0,-152000000.0,4635000000.0,,11.2532,1.3856,1.242960579243765,2.342335186656076,538000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2014-06-30,12238000000.0,2986000000.0,1274000000.0,8279000000.0,3882000000.0,4773000000.0,0.0,175000000.0,389000000.0,254000000.0,217000000.0,135000000.0,4773000000.0,,11.0489,1.3905,1.2295208655332304,2.3437990580847723,493000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2014-09-30,12135000000.0,2890000000.0,1398000000.0,8156000000.0,3901000000.0,4563000000.0,0.0,212000000.0,949000000.0,406000000.0,328000000.0,543000000.0,4563000000.0,,11.1142,1.2723,1.169700076903358,2.067238912732475,554000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2014-12-31,16072000000.0,3173000000.0,2022000000.0,12482000000.0,3510000000.0,7248000000.0,301000000.0,214000000.0,100000000.0,-189000000.0,-202000000.0,-89000000.0,7549000000.0,1.5692,15.0152,1.1836,2.150712250712251,1.5692383778437191,437000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2015-03-31,15834000000.0,3166000000.0,1764000000.0,12312000000.0,3443000000.0,7293000000.0,351000000.0,196000000.0,91000000.0,125000000.0,145000000.0,-34000000.0,7644000000.0,,14.9435,1.0653,2.2201568399651466,1.7947845804988662,555000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2015-06-30,15886000000.0,3167000000.0,1821000000.0,12041000000.0,3764000000.0,7072000000.0,251000000.0,268000000.0,682000000.0,266000000.0,287000000.0,416000000.0,7323000000.0,,17.5269,1.2491,1.9455366631243358,1.7391543108182317,836000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2015-09-30,15880000000.0,3182000000.0,1800000000.0,11924000000.0,3877000000.0,7029000000.0,251000000.0,309000000.0,1050000000.0,426000000.0,429000000.0,624000000.0,7280000000.0,,12.9971,0.9842,1.8777405210214082,1.7677777777777777,917000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2015-12-31,15611000000.0,2878000000.0,2056000000.0,11590000000.0,3941000000.0,6608000000.0,431000000.0,293000000.0,-211000000.0,-165000000.0,-290000000.0,-376000000.0,7039000000.0,1.3998,11.7675,1.0343,1.7860948997716315,1.399805447470817,630000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2016-03-31,15616000000.0,2863000000.0,1847000000.0,11331000000.0,4204000000.0,6565000000.0,513000000.0,202000000.0,47000000.0,110000000.0,147000000.0,-63000000.0,7078000000.0,,11.5067,1.131,1.6836346336822074,1.550081212777477,601000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2016-06-30,15582000000.0,2930000000.0,2189000000.0,11129000000.0,4375000000.0,6082000000.0,722000000.0,240000000.0,541000000.0,234000000.0,291000000.0,307000000.0,6804000000.0,,11.3201,1.0896,1.5552,1.33851073549566,492000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2016-09-30,15489000000.0,2900000000.0,2206000000.0,10973000000.0,4441000000.0,5933000000.0,675000000.0,207000000.0,991000000.0,375000000.0,436000000.0,616000000.0,6608000000.0,,11.5222,1.0981,1.487953163701869,1.314596554850408,484000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2016-12-31,15457000000.0,2866000000.0,1795000000.0,10849000000.0,4532000000.0,6311000000.0,283000000.0,181000000.0,-194000000.0,-93000000.0,-294000000.0,-287000000.0,6594000000.0,1.5967,13.0227,1.2346,1.4549867608120035,1.596657381615599,573000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2017-03-31,15755000000.0,3165000000.0,1637000000.0,11028000000.0,4651000000.0,6578000000.0,305000000.0,197000000.0,52000000.0,133000000.0,145000000.0,-81000000.0,6883000000.0,,13.3743,1.2984,1.4798967963878735,1.93341478313989,555000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2017-06-30,15964000000.0,3262000000.0,1596000000.0,11074000000.0,4812000000.0,6669000000.0,212000000.0,222000000.0,483000000.0,279000000.0,292000000.0,204000000.0,6881000000.0,,13.2553,1.3231,1.4299667497921862,2.043859649122807,452000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2017-09-30,16024000000.0,3245000000.0,1771000000.0,10925000000.0,5023000000.0,6325000000.0,369000000.0,195000000.0,1011000000.0,438000000.0,440000000.0,573000000.0,6694000000.0,,12.9604,1.3949,1.3326697192912602,1.8322981366459627,409000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2017-12-31,15999000000.0,3143000000.0,1982000000.0,10519000000.0,5403000000.0,6147000000.0,393000000.0,191000000.0,111000000.0,-201000000.0,-290000000.0,-90000000.0,6540000000.0,1.5858,9.7381,1.4114,1.2104386451971128,1.5857719475277496,606000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2018-03-31,16366000000.0,3483000000.0,2029000000.0,10746000000.0,5545000000.0,6311000000.0,589000000.0,194000000.0,-35000000.0,128000000.0,152000000.0,-163000000.0,6900000000.0,,10.4923,1.4866,1.2443642921550946,1.716609167077378,524000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2018-06-30,16260000000.0,3498000000.0,2068000000.0,10486000000.0,5697000000.0,6033000000.0,662000000.0,193000000.0,408000000.0,244000000.0,300000000.0,164000000.0,6695000000.0,,9.7032,1.3973,1.1751799192557486,1.6914893617021276,484000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2018-09-30,16362000000.0,3647000000.0,2153000000.0,10367000000.0,5920000000.0,5898000000.0,728000000.0,193000000.0,803000000.0,381000000.0,451000000.0,422000000.0,6626000000.0,,8.8262,1.3383,1.1192567567567568,1.693915466790525,333000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2018-12-31,15995000000.0,3365000000.0,1851000000.0,10117000000.0,5803000000.0,5925000000.0,243000000.0,226000000.0,367000000.0,-225000000.0,-299000000.0,142000000.0,6168000000.0,1.8179,9.4621,1.0067,1.062898500775461,1.8179362506753107,565000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2019-03-31,16361000000.0,3551000000.0,2352000000.0,10442000000.0,5843000000.0,5602000000.0,862000000.0,195000000.0,-5000000.0,106000000.0,155000000.0,-111000000.0,6464000000.0,,10.8921,1.0965,1.1062810200239603,1.5097789115646258,617000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2019-06-30,16256000000.0,3516000000.0,2226000000.0,10310000000.0,5869000000.0,5624000000.0,731000000.0,186000000.0,417000000.0,198000000.0,311000000.0,219000000.0,6355000000.0,,11.9424,1.128,1.0828079741012098,1.5795148247978437,672000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2019-09-30,16137000000.0,3440000000.0,2080000000.0,10040000000.0,6020000000.0,5567000000.0,642000000.0,207000000.0,833000000.0,308000000.0,462000000.0,525000000.0,6209000000.0,,13.089,1.063,1.0313953488372094,1.6538461538461537,775000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
