report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-06-30,2262351000.0,1185508000.0,717447000.0,,1327102000.0,,562180000.0,,1418522000.0,1170919000.0,405300000.0,267977000.0,143903000.0,3.0,72937000.0,501198000.0,41715000.0,39225000.0,459483000.0,0.0,,23.9145,4.5955,3.0,444525000.0,0.20192645327940129,0.11845067365762431,0.18891282616695407,0.8254500106448824,0.2857199253871283,0.17914991970741942,0.30540229763801124,0.3239167245908065,0.31337194629339554,0.0,1.6523980168569943,2048570000.0,420142000.0,621136000.0,1699151000.0,705777000.0,677608000.0,7.0,7.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2015-09-30,2312290000.0,1188140000.0,755123000.0,,1316728000.0,,390460000.0,,-896428000.0,-739794000.0,-249886000.0,-166844000.0,-89631000.0,-1.0,-147573000.0,-331743000.0,-12229000.0,-25938000.0,-343972000.0,0.0,1.5734,22.252,4.2306,-1.0,-275824000.0,-0.12671105953545456,-0.07215530923889305,0.18612091545556364,0.8252687332390332,0.27875746853065725,-0.10806862461023488,-0.18977799515161825,0.3837140294591423,0.3076923076923077,0.0,1.5734390291382994,1919823000.0,365014000.0,552899000.0,1587562000.0,599776000.0,605482000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2015-12-31,2316081000.0,1208133000.0,802583000.0,,1262528000.0,,433297000.0,,489486000.0,403803000.0,130949000.0,89716000.0,42368000.0,1.0,69878000.0,203871000.0,13292000.0,13763000.0,190579000.0,0.0,,18.6649,3.5057,1.0,144712000.0,0.07106060222030719,0.0387361236502523,0.18328614097236692,0.8249531140829359,0.267523483817719,0.056539041596559016,0.10371967988036701,0.38934514981020907,0.29564073334068797,0.0,1.5053059932742159,1946516000.0,365654000.0,551533000.0,1607920000.0,614279000.0,604837000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2016-03-31,2242140000.0,1193981000.0,800435000.0,,1180994000.0,,398325000.0,,973163000.0,805250000.0,245882000.0,165131000.0,82019000.0,2.0,68881000.0,336989000.0,29793000.0,27847000.0,307196000.0,0.0,,20.4829,3.7166,2.0,273729000.0,0.13982374169555475,0.07364883548752531,0.16968483183187194,0.8274564487141414,0.2526627091247818,0.10966398173173843,0.2081991949154695,0.31566757059197686,0.2812776482459773,0.0,1.4916651570708428,1984743000.0,355980000.0,532245000.0,1640178000.0,613286000.0,587142000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2016-06-30,2253783000.0,1207963000.0,799410000.0,,1187065000.0,,429597000.0,,1469685000.0,1217429000.0,384744000.0,256920000.0,130070000.0,3.0,68429000.0,507465000.0,45909000.0,42284000.0,461556000.0,0.0,,21.5461,3.8687,3.0,427028000.0,0.21643296702370973,0.11399500306817471,0.17481297012625155,0.8283604990184972,0.26178670939691157,0.17071031239476028,0.3241136753252771,0.314050970105839,0.290557500416756,0.0,1.5110681627700429,2035906000.0,344923000.0,511689000.0,1686688000.0,615359000.0,569645000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2016-09-30,2306323000.0,1288801000.0,844238000.0,,1185262000.0,,514571000.0,,-937300000.0,-768653000.0,-214198000.0,-145912000.0,-70421000.0,-1.0,-139204000.0,-336790000.0,-25506000.0,-27118000.0,-362296000.0,0.0,1.5267,22.5581,4.1362,-1.0,-241316000.0,-0.12310527123960778,-0.06326607331236778,0.15567267683772537,0.8200714819161421,0.2285266190120559,-0.09287424181261687,-0.18071784972436475,0.38653152672570146,0.2574586578470074,0.0,1.526584920366058,1995034000.0,365855000.0,547377000.0,1657829000.0,597035000.0,604153000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2016-12-31,2397095000.0,1427496000.0,918683000.0,,1194993000.0,,572934000.0,,515958000.0,430696000.0,137454000.0,94218000.0,45879000.0,1.0,65645000.0,189312000.0,14133000.0,14887000.0,175179000.0,0.0,,25.5408,4.6786,1.0,152341000.0,0.0788439764919125,0.039305075518492175,0.18260788668845138,0.834750115319464,0.26640540509111205,0.0573419076006583,0.11502494156869539,0.339521821543614,0.29525852879497944,0.0,1.5538504576660284,2021506000.0,370357000.0,553882000.0,1684722000.0,581635000.0,611782000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2017-03-31,2387917000.0,1444843000.0,916018000.0,,1184605000.0,,655773000.0,,1034206000.0,861032000.0,275977000.0,187356000.0,92566000.0,2.0,65389000.0,364652000.0,23715000.0,30278000.0,340937000.0,0.0,,23.8061,4.4926,2.0,306255000.0,0.15815904879685633,0.07846001347618028,0.18115926614233527,0.8325536691916311,0.2668491577113264,0.11557227491575293,0.23296963966891918,0.32966062854015543,0.2961257235018942,0.0,1.577308524504977,2082549000.0,392582000.0,583977000.0,1740504000.0,615376000.0,644308000.0,5.0,5.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2017-06-30,2418572000.0,1445901000.0,909341000.0,,1204607000.0,,690912000.0,,1552043000.0,1289099000.0,415121000.0,285018000.0,136637000.0,4.0,65116000.0,527216000.0,31175000.0,45603000.0,496041000.0,0.0,,20.8712,3.9576,4.0,460724000.0,0.2366066277217383,0.11784557168444851,0.18364053057808322,0.8305820135138008,0.26746746063092325,0.17163888443263214,0.3446111470379966,0.31960519135101284,0.29685002284086204,0.0,1.5900536762336681,2164907000.0,420680000.0,614354000.0,1812174000.0,649861000.0,678004000.0,6.0,6.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2017-09-30,2480800000.0,1459308000.0,934601000.0,,1229392000.0,,673228000.0,,-1012166000.0,-844271000.0,-264596000.0,-145831000.0,-120326000.0,-1.0,-131375000.0,-340899000.0,-30342000.0,-29620000.0,-371241000.0,0.0,1.5048,18.6879,3.7617,-1.0,-294216000.0,-0.11862042375418093,-0.05878386004514673,0.14407814528446916,0.8341230588658383,0.26141561759632315,-0.1066575298290874,-0.21522508687221,0.36677876949038,0.2906795920827216,0.0,1.5614235379589794,2090041000.0,420761000.0,563956000.0,1736556000.0,640916000.0,625104000.0,6.0,6.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
