report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,37628000000.0,10049000000.0,12818000000.0,37628000000.0,481000000.0,10440000000.0,4770000000.0,-18441000000.0,-498000000.0,-63000000.0,-441000000.0,-15000000.0,-1.54,-1117000000.0,-753000000.0,10440000000.0,0.784,,0.209,-1.54,-1251000000.0,-0.13097713097713098,-0.0016742851068353355,0.003416300634455832,0.027005043110460387,-0.013234825130222175,-0.04560021976009523,0.06783796974133724,21.704781704781706,0.783975659229209,37152000000.0,-723000000.0,39000000.0,1561000000.0,835000000.0,,,6.688020499679692,0.046706586826347304,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2013-03-31,36842000000.0,9148000000.0,12892000000.0,36842000000.0,94000000.0,10182000000.0,3538000000.0,8721000000.0,-264000000.0,-417000000.0,201000000.0,-9000000.0,-1.26,393000000.0,,10182000000.0,,,0.2764,-1.26,-264000000.0,-4.4361702127659575,-0.011318603767439336,-0.0478156174750602,-0.03027175782593739,-0.007165734759242169,-0.025690930323082912,-0.03027175782593739,108.31914893617021,0.7095873409866584,37271000000.0,-692000000.0,46000000.0,1188000000.0,820000000.0,-3.4400000000000004,-3.4400000000000004,8.570707070707071,0.05609756097560976,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2013-06-30,37468000000.0,9621000000.0,12927000000.0,37468000000.0,1217000000.0,10214000000.0,4143000000.0,18722000000.0,506000000.0,52000000.0,395000000.0,-7000000.0,0.15,1541000000.0,,10214000000.0,,,0.2911,0.15,506000000.0,0.04272801972062449,0.001387850966157788,0.0027774810383506036,0.02702702702702703,0.013504857478381552,0.04426559356136821,0.02702702702702703,8.39276910435497,0.7442562079368763,37452000000.0,-531000000.0,248000000.0,632000000.0,786000000.0,-2.96,-2.96,16.161392405063292,0.3155216284987277,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2013-09-30,37260000000.0,9389000000.0,12604000000.0,,1728000000.0,10204000000.0,3935000000.0,28950000000.0,1014000000.0,431000000.0,590000000.0,-4000000.0,1.0,1778000000.0,,10204000000.0,,,0.2903,1.0,1014000000.0,0.2494212962962963,0.01156736446591519,0.014887737478411054,0.035025906735751296,0.027214170692431563,0.08498156218571908,0.035025906735751296,5.905092592592593,0.7449222469057442,37952000000.0,3000000.0,758000000.0,5000000.0,745000000.0,-1.65,-1.65,2040.8,1.01744966442953,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2013-12-31,36812000000.0,8702000000.0,12107000000.0,36812000000.0,2984000000.0,10171000000.0,3220000000.0,-18114000000.0,-7000000.0,505000000.0,-403000000.0,-12000000.0,1.6400000000000001,-2268000000.0,1689000000.0,10171000000.0,0.7188,23.9748,0.3576,1.6400000000000001,1682000000.0,0.16923592493297587,0.013718352711072477,-0.027878988627580877,0.00038644142652092303,-0.00019015538411387592,-0.000532117065754466,-0.09285635420117036,3.4085120643431637,0.7187577434542001,38279000000.0,571000000.0,1249000000.0,2938000000.0,783000000.0,1.5300000000000002,1.5300000000000002,3.4618788291354665,1.59514687100894,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2014-03-31,37185000000.0,8788000000.0,13091000000.0,37185000000.0,2579000000.0,10098000000.0,3009000000.0,8696000000.0,-349000000.0,-609000000.0,187000000.0,3000000.0,-1.66,694000000.0,,10098000000.0,,43.7536,0.4335,-1.66,-349000000.0,-0.2361380379992245,-0.016377571601452198,-0.07003219871205152,-0.04013339466421343,-0.009385504907892967,-0.027530172753806106,-0.04013339466421343,3.915471112834432,0.6713008937437934,38254000000.0,379000000.0,1164000000.0,2853000000.0,769000000.0,1.1300000000000001,1.1300000000000001,3.5394321766561516,1.5136540962288687,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2014-06-30,38447000000.0,9619000000.0,13334000000.0,38447000000.0,3347000000.0,10354000000.0,3424000000.0,19025000000.0,557000000.0,180000000.0,373000000.0,5000000.0,0.47,2158000000.0,,10354000000.0,,21.9454,0.3976,0.47,557000000.0,0.0537795040334628,0.0046817697089499835,0.009461235216819974,0.029277266754270698,0.01448747626602856,0.04065396686373257,0.029277266754270698,3.0935165820137436,0.7213889305534723,38557000000.0,507000000.0,1215000000.0,2904000000.0,747000000.0,1.4500000000000002,1.4500000000000002,3.565426997245179,1.6265060240963856,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2014-09-30,38011000000.0,9225000000.0,12864000000.0,,3864000000.0,9988000000.0,3117000000.0,29588000000.0,1748000000.0,1104000000.0,559000000.0,1000000.0,2.0,,,9988000000.0,,14.0511,0.4492,2.0,1748000000.0,0.2857142857142857,0.029044224040409357,0.037312423955657696,0.059078004596458025,0.04598668806398148,0.1261911637308692,0.059078004596458025,2.5848861283643894,0.7171175373134329,39195000000.0,1180000000.0,1949000000.0,3638000000.0,716000000.0,2.45,2.45,2.7454645409565694,2.7220670391061454,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2014-12-31,37353000000.0,8138000000.0,12508000000.0,,2396000000.0,10121000000.0,2002000000.0,-18408000000.0,417000000.0,457000000.0,-384000000.0,-13000000.0,1.19,,1679000000.0,10121000000.0,0.6034,21.8084,0.6346,1.19,2096000000.0,0.1907345575959933,0.012234626402163147,-0.024826162538026945,-0.022653194263363756,0.01116376194683158,0.033314692018854355,-0.11386353759235116,4.224123539232053,0.6506236008954269,38901000000.0,1132000000.0,2373000000.0,4052000000.0,735000000.0,2.0,2.0,2.4977788746298124,3.2285714285714286,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2015-03-31,39091000000.0,9509000000.0,13969000000.0,,3008000000.0,9914000000.0,3352000000.0,8608000000.0,741000000.0,508000000.0,173000000.0,3000000.0,1.0,,,9914000000.0,,11.4892,0.6657,1.0,741000000.0,0.16888297872340424,0.012995318615538104,0.05901486988847584,0.08608271375464684,0.018955769870302626,0.05734406438631791,0.08608271375464684,3.295877659574468,0.6807215978237526,38813000000.0,2249000000.0,3463000000.0,5142000000.0,721000000.0,4.66,4.66,1.9280435628160248,4.8030513176144245,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2015-06-30,39367000000.0,8793000000.0,13810000000.0,39367000000.0,4122000000.0,9938000000.0,2796000000.0,18522000000.0,2186000000.0,1701000000.0,340000000.0,7000000.0,4.45,3577000000.0,,9938000000.0,,7.6328,0.5274,4.45,2186000000.0,0.4126637554585153,0.04320877892651205,0.09183673469387756,0.11802181189936292,0.05552874234765159,0.15547652916073967,0.11802181189936292,2.410965550703542,0.6367125271542361,38310000000.0,3770000000.0,5092000000.0,6771000000.0,688000000.0,8.64,8.64,1.4677300251070742,7.401162790697675,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2015-09-30,41869000000.0,10097000000.0,13488000000.0,41869000000.0,8555000000.0,9910000000.0,3427000000.0,28828000000.0,4085000000.0,6517000000.0,504000000.0,-3203000000.0,17.15,4877000000.0,,9910000000.0,,3.0619,0.5254,17.15,4085000000.0,0.7617767387492694,0.15565215314433112,0.22606493686693493,0.1417025114472041,0.09756621844323962,0.22122935282967776,0.1417025114472041,1.158386908240795,0.748591340450771,37550000000.0,9183000000.0,7429000000.0,9108000000.0,633000000.0,23.79,23.79,1.0880544576196751,11.736176935229068,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2015-12-31,40861000000.0,7828000000.0,12414000000.0,40861000000.0,8966000000.0,9673000000.0,3006000000.0,-18094000000.0,-1846000000.0,-1386000000.0,-348000000.0,72000000.0,-3.129999999999999,-2462000000.0,1819000000.0,9673000000.0,0.6306,2.9104,0.5642,-3.129999999999999,-27000000.0,-0.15458398393932635,-0.03391987469714398,0.07659997789322427,0.10202276997899856,-0.04517755316805756,-0.09903964804978808,0.001492207361556317,1.0788534463528887,0.6305783792492348,37864000000.0,7340000000.0,5166000000.0,6985000000.0,669000000.0,19.470000000000002,19.470000000000002,1.3848246241947029,7.721973094170403,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2016-03-31,40373000000.0,7224000000.0,13380000000.0,,7840000000.0,9472000000.0,1795000000.0,8195000000.0,649000000.0,313000000.0,159000000.0,181000000.0,0.0,,,9472000000.0,,3.0117,0.5746,0.0,649000000.0,0.0399234693877551,0.007752706016397097,0.038194020744356315,0.07919463087248323,0.016075099695340947,0.03748844731977819,0.07919463087248323,1.2081632653061225,0.5399103139013453,37451000000.0,7145000000.0,5074000000.0,6893000000.0,655000000.0,18.47,18.47,1.37414768605832,7.746564885496183,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2016-06-30,40476000000.0,7844000000.0,13982000000.0,40476000000.0,7784000000.0,9275000000.0,2483000000.0,17591000000.0,1709000000.0,901000000.0,316000000.0,524000000.0,2.63,3746000000.0,,9275000000.0,,2.1066,0.373,2.63,1709000000.0,0.1157502569373073,0.022260104753434134,0.05121937354328918,0.09715195270308681,0.042222551635537106,0.1001817222580456,0.09715195270308681,1.191546762589928,0.5610070090115863,36520000000.0,6345000000.0,4597000000.0,6416000000.0,631000000.0,16.65,16.65,1.4456047381546135,7.2852614896988905,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2016-09-30,40327000000.0,7970000000.0,13253000000.0,40327000000.0,8439000000.0,9612000000.0,2630000000.0,27504000000.0,3333000000.0,1866000000.0,466000000.0,1069000000.0,5.57,4884000000.0,,9612000000.0,,6.2911,0.463,5.57,3333000000.0,0.22111624600071098,0.04627172861854341,0.06784467713787086,0.12118237347294938,0.08264934163215712,0.1846435100548446,0.12118237347294938,1.1389975115535016,0.6013732739757036,35196000000.0,1694000000.0,3845000000.0,5664000000.0,593000000.0,5.070000000000001,5.070000000000001,1.6970338983050848,6.48397976391231,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2016-12-31,40140000000.0,7309000000.0,12286000000.0,40140000000.0,8659000000.0,9918000000.0,2179000000.0,-16734000000.0,-1353000000.0,-817000000.0,-327000000.0,-218000000.0,-1.3499999999999996,-3088000000.0,1977000000.0,9918000000.0,0.5949,10.1943,0.6311,-1.3499999999999996,624000000.0,-0.09435269661623744,-0.02035376183358246,0.048822756065495396,0.08085335245607744,-0.033707025411061284,-0.0728319965548797,-0.03728935102187164,1.1453978519459522,0.5949047696565196,36556000000.0,2263000000.0,4338000000.0,6315000000.0,614000000.0,6.85,6.85,1.5705463182897863,7.06514657980456,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2017-03-31,41445000000.0,7724000000.0,12662000000.0,,8449000000.0,11178000000.0,2164000000.0,8420000000.0,278000000.0,96000000.0,150000000.0,49000000.0,0.0,,,11178000000.0,,10.8431,0.604,0.0,278000000.0,0.011362291395431412,0.0023163228374954757,0.01140142517814727,0.0330166270783848,0.006707684883580649,0.014164161614103022,0.0330166270783848,1.3229968043555451,0.6100142157637024,36781000000.0,2046000000.0,3967000000.0,5944000000.0,605000000.0,6.8500000000000005,6.8500000000000005,1.8805518169582773,6.55702479338843,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2017-06-30,42307000000.0,8248000000.0,13596000000.0,,8854000000.0,10668000000.0,2371000000.0,18420000000.0,1677000000.0,914000000.0,308000000.0,505000000.0,2.0,,,10668000000.0,,10.211,0.6231,2.0,1677000000.0,0.10323017845041789,0.02160398988347082,0.0496199782844734,0.09104234527687297,0.03963883045358924,0.08590308370044053,0.09104234527687297,1.2048791506663654,0.6066490144160047,37610000000.0,2059000000.0,3935000000.0,5912000000.0,597000000.0,6.220000000000001,6.220000000000001,1.80446549391069,6.591289782244556,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2017-09-30,42565000000.0,7877000000.0,13087000000.0,42565000000.0,8970000000.0,11334000000.0,1870000000.0,28298000000.0,2769000000.0,1551000000.0,472000000.0,848000000.0,5.04,2685000000.0,,11334000000.0,,9.3702,0.4918,5.04,2769000000.0,0.1729096989966555,0.03643838834723364,0.054809527175065376,0.09785143826418828,0.06505344766827205,0.13637706855791962,0.09785143826418828,1.2635451505016722,0.6018950103155803,38404000000.0,1744000000.0,3371000000.0,5348000000.0,603000000.0,5.69,5.69,2.119296933433059,5.590381426202322,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2017-12-31,42326000000.0,7113000000.0,12676000000.0,,8806000000.0,11703000000.0,1482000000.0,-17402000000.0,-1226000000.0,-430000000.0,-287000000.0,-534000000.0,-0.040000000000000036,,2149000000.0,11703000000.0,0.5589,9.5304,0.5405,-0.040000000000000036,923000000.0,-0.048830342947990005,-0.010159240183338846,0.02470980347086542,0.07045167222158373,-0.028965647592496337,-0.05977863377053976,-0.05303988047350879,1.3289802407449467,0.5611391606184917,37736000000.0,2131000000.0,3498000000.0,5647000000.0,643000000.0,7.0,7.0,2.072427837789977,5.440124416796268,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2018-03-31,44018000000.0,8287000000.0,14183000000.0,,8336000000.0,12166000000.0,2404000000.0,9032000000.0,276000000.0,147000000.0,176000000.0,37000000.0,,,,12166000000.0,,8.5227,0.486,,276000000.0,0.017634357005758158,0.0033395429142623473,0.016275465013286094,0.030558015943312665,0.006270162206370122,0.013462101258413814,0.030558015943312665,1.4594529750479845,0.5842910526686879,38348000000.0,2182000000.0,3496000000.0,5645000000.0,669000000.0,,,2.155181576616475,5.225710014947683,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2018-06-30,44691000000.0,8881000000.0,14092000000.0,,8639000000.0,12460000000.0,2884000000.0,19809000000.0,1437000000.0,831000000.0,353000000.0,210000000.0,2.0,4175000000.0,,12460000000.0,,9.5874,0.5022,2.0,1437000000.0,0.09619168885287649,0.018594347855272874,0.04195062850219597,0.07254278358321975,0.03215412499160905,0.0681074932461254,0.07254278358321975,1.4422965621020951,0.6302157252341755,39737000000.0,2099000000.0,3256000000.0,5405000000.0,714000000.0,,,2.30527289546716,4.560224089635854,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2018-09-30,44837000000.0,8671000000.0,13684000000.0,44837000000.0,9469000000.0,12218000000.0,2621000000.0,30812000000.0,2640000000.0,1667000000.0,540000000.0,435000000.0,5.99,5080000000.0,,12218000000.0,,10.6667,0.5932,5.99,2640000000.0,0.17604815714436584,0.03717911546267592,0.05410229780604959,0.08568090354407373,0.05887994290429779,0.12173191312768018,0.08568090354407373,1.2903157672404688,0.6336597486115171,42251000000.0,2215000000.0,3127000000.0,5276000000.0,782000000.0,,,2.315769522365428,3.998721227621483,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2018-12-31,44792000000.0,7194000000.0,13212000000.0,,9995000000.0,12215000000.0,1694000000.0,-18350000000.0,-1061000000.0,-516000000.0,-340000000.0,-153000000.0,-0.9900000000000002,,2240000000.0,12215000000.0,0.5126,10.7509,0.5523,-0.9900000000000002,1179000000.0,-0.051625812906453225,-0.01151991427040543,0.028119891008174386,0.05782016348773842,-0.023687265583139848,-0.04777127420081045,-0.06425068119891009,1.222111055527764,0.5445049954586739,41303000000.0,2129000000.0,3292000000.0,5532000000.0,729000000.0,,,2.208062183658713,4.5157750342935525,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2019-03-31,50639000000.0,7608000000.0,15335000000.0,50639000000.0,9802000000.0,12734000000.0,1848000000.0,9589000000.0,495000000.0,292000000.0,188000000.0,75000000.0,1.09,1915000000.0,,12734000000.0,,9.419,0.5105,1.09,495000000.0,0.02978983880840645,0.0057663066016311534,0.030451559078110334,0.0516216498070706,0.009775074547285689,0.02196485623003195,0.0516216498070706,1.299122628035095,0.49611998695793935,41860000000.0,2274000000.0,3511000000.0,5751000000.0,741000000.0,8.09,8.09,2.2142236132846462,4.7381916329284754,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2019-06-30,52150000000.0,8910000000.0,16078000000.0,,10320000000.0,12938000000.0,3221000000.0,20991000000.0,1967000000.0,1344000000.0,379000000.0,377000000.0,5.07,4625000000.0,,12938000000.0,,8.8225,0.5478,5.07,1967000000.0,0.13023255813953488,0.025771812080536912,0.06402744033157068,0.09370682673526749,0.037718120805369126,0.08457305013328748,0.09370682673526749,1.2536821705426358,0.5541734046523199,43042000000.0,2787000000.0,4041000000.0,6281000000.0,767000000.0,11.16,11.16,2.0598630791275276,5.26857887874837,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2019-09-30,52199000000.0,8533000000.0,15691000000.0,52199000000.0,11301000000.0,12900000000.0,2959000000.0,32371000000.0,3440000000.0,2368000000.0,570000000.0,702000000.0,9.04,5728000000.0,,12900000000.0,,8.0291,0.5299,9.04,3440000000.0,0.20953897885142908,0.045364853732830134,0.0731518952148528,0.10626795588644157,0.06590164562539512,0.14214288665757613,0.10626795588644157,1.141491903371383,0.5438149257536167,44601000000.0,3488000000.0,4841000000.0,7081000000.0,797000000.0,14.209999999999999,14.209999999999999,1.8217765852280752,6.074027603513175,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2019-12-31,52611000000.0,8194000000.0,14938000000.0,,11531000000.0,13145000000.0,2762000000.0,-19692000000.0,-1601000000.0,-995000000.0,,-249000000.0,-3.619999999999999,-5359000000.0,2288000000.0,13145000000.0,0.5485,7.408,0.5153,-3.619999999999999,687000000.0,-0.08628913363975371,-0.01891239474634582,0.050528133252082066,0.08130205159455617,-0.03043089848130619,-0.06488085589236504,-0.034887263863497865,1.139970514265892,0.5485339402865176,43259000000.0,3009000000.0,4301000000.0,6589000000.0,,11.58,11.58,1.994991652754591,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2020-03-31,53055000000.0,7905000000.0,16087000000.0,,9418000000.0,13198000000.0,3442000000.0,7979000000.0,-972000000.0,-1700000000.0,,-410000000.0,,63000000.0,,13198000000.0,,7.7225,0.1878,,-972000000.0,-0.18050541516245489,-0.032042220337385734,-0.21305928061160545,-0.1218197769144003,-0.0183206106870229,-0.042978422355854265,-0.1218197769144003,1.4013590995965173,0.49139056380928703,41649000000.0,1017000000.0,2834000000.0,5122000000.0,,,,2.5767278406872314,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2020-06-30,54901000000.0,10041000000.0,16395000000.0,54901000000.0,8517000000.0,14318000000.0,6505000000.0,9454000000.0,-2609000000.0,-3331000000.0,,-786000000.0,-12.59,-67000000.0,,14318000000.0,,,0.3169,-12.59,-2609000000.0,-0.39110015263590464,-0.06067284748911678,-0.3523376348635498,-0.2759678442987095,-0.04752190306187501,-0.11425443398292096,-0.2759678442987095,1.6811083714923094,0.6124428179322964,30112000000.0,-3658000000.0,-1742000000.0,546000000.0,,,,26.223443223443223,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2020-09-30,61189000000.0,16476000000.0,15791000000.0,61189000000.0,7003000000.0,22297000000.0,13150000000.0,11943000000.0,-4224000000.0,-5172000000.0,,-1277000000.0,-18.91,-1956000000.0,,22297000000.0,,,0.4429,-18.91,-4224000000.0,-0.7385406254462373,-0.08452499632286849,-0.4330570208490329,-0.3536799799045466,-0.06903201555835199,-0.14416382252559726,-0.3536799799045466,3.1839211766385835,1.0433791400164651,9684000000.0,-11198000000.0,-9406000000.0,-7118000000.0,,,,-3.1324810339983142,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2020-12-31,59548000000.0,14800000000.0,12725000000.0,,5960000000.0,24836000000.0,11269000000.0,-14021000000.0,1446000000.0,3103000000.0,,720000000.0,6.199999999999999,-2173000000.0,2488000000.0,24836000000.0,1.1631,,0.8784,6.199999999999999,3934000000.0,0.5206375838926175,0.052109222811849265,-0.22131089080664718,-0.10313101775907567,0.024282931416672263,0.04695414988959605,-0.28057913130304546,4.167114093959731,1.163064833005894,15355000000.0,-7100000000.0,-6359000000.0,-3871000000.0,,,,-6.4159132007233275,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
