report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-06-30,13512000000.0,2945000000.0,1773000000.0,,-964000000.0,,215000000.0,1249000000.0,,704000000.0,,1.86,379000000.0,1640000000.0,693000000.0,215000000.0,,11.5149,1.3704,1.86,-0.7302904564315352,0.05210183540556542,,-0.22302904564315354,1.661026508742245,,3233000000.0,8.26,8.26,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2021-09-30,13310000000.0,2181000000.0,1839000000.0,,-1095000000.0,,215000000.0,377000000.0,,591000000.0,,1.53,379000000.0,2411000000.0,1028000000.0,215000000.0,,13.4792,1.1732,1.53,-0.5397260273972603,0.04440270473328325,,-0.1963470319634703,1.1859706362153344,,1636000000.0,4.289999999999999,4.289999999999999,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2021-12-31,13303000000.0,2380000000.0,2117000000.0,,-1595000000.0,,215000000.0,302000000.0,7985000000.0,-710000000.0,,-1.8200000000000003,-762000000.0,-1226000000.0,-703000000.0,215000000.0,1.1242,10.0395,1.2234,-1.8200000000000003,0.445141065830721,-0.05337141998045554,-0.08891671884783969,-0.13479623824451412,1.1242324043457723,,973000000.0,2.589999999999999,2.589999999999999,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2022-06-30,12924000000.0,3083000000.0,2813000000.0,,584000000.0,,125000000.0,282000000.0,,2809000000.0,,8.15,344000000.0,2426000000.0,569000000.0,125000000.0,,3.8351,1.1718,8.15,4.809931506849315,0.21734757041163727,,0.21404109589041095,1.095982936366868,,3394000000.0,9.719999999999999,9.719999999999999,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2022-09-30,13629000000.0,3135000000.0,2984000000.0,,600000000.0,,125000000.0,268000000.0,,3231000000.0,,9.51,340000000.0,3530000000.0,879000000.0,125000000.0,,3.066,1.0161,9.51,5.385,0.2370680167290337,,0.20833333333333334,1.050603217158177,,5921000000.0,17.369999999999997,17.369999999999997,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2022-12-31,13147000000.0,2708000000.0,2916000000.0,,423000000.0,,2000000.0,245000000.0,11075000000.0,3674000000.0,,11.02,333000000.0,4943000000.0,1233000000.0,2000000.0,0.9287,4.085,1.3551,11.02,8.685579196217494,0.27945538906214346,0.3317381489841986,0.004728132387706856,0.9286694101508917,,9004000000.0,26.86,26.86,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2023-03-31,13213000000.0,2732000000.0,2454000000.0,,444000000.0,,2000000.0,154000000.0,,242000000.0,,0.78,312000000.0,335000000.0,332000000.0,2000000.0,,5.4808,1.07,0.78,0.545045045045045,0.01831529554226898,,0.0045045045045045045,1.113284433577832,,9956000000.0,29.46,29.46,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2023-06-30,13244000000.0,2599000000.0,2630000000.0,,709000000.0,,2000000.0,142000000.0,,623000000.0,,2.01,310000000.0,1335000000.0,699000000.0,2000000.0,,7.0499,1.1448,2.01,0.8787023977433004,0.04704016913319239,,0.0028208744710860366,0.988212927756654,,7770000000.0,23.32,23.32,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2023-09-30,13545000000.0,2800000000.0,2635000000.0,,1078000000.0,,2000000.0,95000000.0,,1082000000.0,,3.5,309000000.0,2099000000.0,1117000000.0,2000000.0,,7.9578,1.4138,3.5,1.0037105751391466,0.07988187523071244,,0.0018552875695732839,1.0626185958254268,,5621000000.0,17.31,17.31,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2023-12-31,15244000000.0,2462000000.0,2404000000.0,,2655000000.0,,2000000.0,87000000.0,8279000000.0,908000000.0,,2.96,-622000000.0,-640000000.0,-608000000.0,2000000.0,1.0241,3.8547,1.3293,2.96,0.34199623352165726,0.05956441878771976,0.10967508153158594,0.0007532956685499058,1.024126455906822,,2855000000.0,9.25,9.25,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2024-03-31,14952000000.0,2506000000.0,2152000000.0,,2607000000.0,,2000000.0,102000000.0,1951000000.0,132000000.0,,0.44,302000000.0,368000000.0,430000000.0,2000000.0,,4.7871,1.5982,0.44,0.05063291139240506,0.00882825040128411,0.06765761148129165,0.0007671653241273494,1.1644981412639406,,2745000000.0,8.91,8.91,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2024-06-30,20195000000.0,2918000000.0,2889000000.0,,5423000000.0,,2000000.0,160000000.0,4494000000.0,673000000.0,,2.0,337000000.0,1245000000.0,1018000000.0,2000000.0,,3.786,1.2263,2.0,0.1241010510787387,0.033325080465461746,0.14975522919448153,0.0003687995574405311,1.0100380754586362,,2795000000.0,8.9,8.9,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2024-09-30,19376000000.0,3620000000.0,2925000000.0,,5114000000.0,,2000000.0,64000000.0,7025000000.0,450000000.0,,1.29,348000000.0,2584000000.0,1613000000.0,2000000.0,,4.0701,0.9843,1.29,0.08799374266718811,0.023224607762180015,0.06405693950177936,0.00039108330074305825,1.2376068376068377,21749000000.0,2163000000.0,6.6899999999999995,6.6899999999999995,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2024-12-31,19390000000.0,3404000000.0,2955000000.0,,5280000000.0,,53000000.0,625000000.0,-3733000000.0,-451000000.0,,-1.46,-634000000.0,-577000000.0,-795000000.0,53000000.0,1.1519,10.6245,0.8773,-1.46,-0.08541666666666667,-0.02325941206807633,0.12081435842485937,0.010037878787878788,1.1519458544839256,9737000000.0,804000000.0,2.27,2.27,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2025-03-31,18531000000.0,2444000000.0,2761000000.0,,5436000000.0,,131000000.0,67000000.0,,347000000.0,,0.96,364000000.0,1096000000.0,643000000.0,131000000.0,,7.4604,0.7294,0.96,0.06383370125091979,0.018725379094490315,,0.02409860191317145,0.8851865266207896,,1019000000.0,2.79,2.79,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2025-06-30,18078000000.0,2288000000.0,2844000000.0,,5905000000.0,,263000000.0,107000000.0,,950000000.0,,2.62,362000000.0,2277000000.0,1173000000.0,263000000.0,,6.0741,0.6529,2.62,0.16088060965283657,0.05255006084743888,,0.0445385266723116,0.8045007032348804,,1296000000.0,3.41,3.41,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2025-09-30,17699000000.0,1973000000.0,2545000000.0,,5965000000.0,,213000000.0,475000000.0,,1155000000.0,,3.2,361000000.0,3737000000.0,1738000000.0,213000000.0,,5.7568,0.9011,3.2,0.19362950544844929,0.06525792417650715,,0.03570829840737636,0.77524557956778,,2001000000.0,5.32,5.32,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2025-12-31,17761000000.0,2121000000.0,2571000000.0,,6093000000.0,,213000000.0,516000000.0,8920000000.0,-1018000000.0,,-2.79,-728000000.0,-2565000000.0,-1250000000.0,213000000.0,0.825,6.0497,0.9726,-2.79,-0.16707697357623502,-0.05731659253420415,-0.1141255605381166,0.034958148695224026,0.8249708284714119,,1434000000.0,3.99,3.99,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
