report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,2947000000.0,1456200000.0,447400000.0,1279100000.0,1661200000.0,596700000.0,0.0,645000000.0,-1473500000.0,-478200000.0,-217400000.0,-132000000.0,30800000.0,-70900000.0,-2.1899999999999995,7400000.0,-31600000.0,596700000.0,3.2548,16.5788,1.6321,-2.1899999999999995,-249000000.0,-0.07946063086925115,-0.04479131319986427,0.08958262639972854,0.3245334238208347,0.1475398710553105,-0.07376993552765525,-0.09628415784578591,0.168985408890397,0.3591981699975921,3.2548055431381315,3044400000.0,299700000.0,471800000.0,1012200000.0,538600000.0,5.0,5.0,1.1078722614184924,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2013-03-31,2987700000.0,1470500000.0,444600000.0,1283700000.0,1696800000.0,596800000.0,,606200000.0,740100000.0,236300000.0,97700000.0,65900000.0,,24400000.0,1.1,42700000.0,17200000.0,596800000.0,,18.4016,1.8181,1.1,114900000.0,0.038837812352663835,0.02205710077986411,0.08904202134846642,0.3192811782191596,0.13200918794757466,0.03270073969943435,0.04259679107080572,0.1552492906364005,0.3517208863743517,3.307467386414755,3060700000.0,302400000.0,467800000.0,1014400000.0,535600000.0,5.05,5.05,1.1142643764002986,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2013-06-30,3041000000.0,1504800000.0,452400000.0,1297500000.0,1735700000.0,596900000.0,,586600000.0,801300000.0,272000000.0,132100000.0,82100000.0,,39800000.0,1.0,,,596900000.0,,21.603,2.1508,1.0,132100000.0,0.04730080082963646,0.026997698125616573,0.10245850492948957,0.3394483963559216,0.1648571072007987,0.04343965800723446,0.05663208436937323,0.1648571072007987,0.34389583453361755,3.326259946949602,2359800000.0,243800000.0,373700000.0,792500000.0,408500000.0,3.71,3.71,1.4611995104039168,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2013-09-30,3141200000.0,1596300000.0,484600000.0,1337300000.0,1795800000.0,597100000.0,100000.0,630400000.0,2377300000.0,799600000.0,381400000.0,244500000.0,,110300000.0,4.0,,52500000.0,597200000.0,,19.396,1.9608,4.0,433900000.0,0.13615101904443702,0.07783649560677448,0.10284776847684347,0.33634795776721493,0.16043410591847895,0.12141856615306253,0.1593815294609277,0.18251798258528582,0.33255373649626907,3.294056954189022,2445200000.0,260500000.0,393800000.0,829700000.0,431900000.0,3.91,3.91,1.3827274832137069,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2013-12-31,3187200000.0,1632400000.0,467000000.0,1272400000.0,1906400000.0,597200000.0,300000.0,740700000.0,-734800000.0,-237400000.0,-103600000.0,-66000000.0,30800000.0,-30500000.0,-0.6299999999999999,339100000.0,900000.0,597500000.0,3.4955,19.4753,1.9971,-0.6299999999999999,-102700000.0,-0.0346202266051196,-0.020707831325301206,0.08982035928143713,0.3230811105062602,0.14099074578116494,-0.03250502008032129,-0.04137545429130556,0.13976592270005445,0.3134179605539236,3.495503211991435,3183900000.0,326500000.0,507600000.0,1070500000.0,578200000.0,5.47,5.47,1.0333794534763059,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2014-03-31,3243600000.0,1600300000.0,471600000.0,1299200000.0,1935300000.0,597300000.0,900000.0,647300000.0,759500000.0,245000000.0,104800000.0,64200000.0,,30800000.0,1.0,,18900000.0,598200000.0,,21.6202,2.1922,1.0,123700000.0,0.03317315144938769,0.019792822789493156,0.08452929558920343,0.3225806451612903,0.1379855167873601,0.032309779257614996,0.04136569962502467,0.16287030941408823,0.30909936443962177,3.39334181509754,3203300000.0,324800000.0,514700000.0,1079200000.0,587000000.0,5.369999999999999,5.369999999999999,1.0190800681431005,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2014-06-30,3309600000.0,1603400000.0,464500000.0,1303400000.0,1997400000.0,597400000.0,1100000.0,597400000.0,1615300000.0,537500000.0,248500000.0,154400000.0,,76400000.0,2.0,,38900000.0,598500000.0,,21.9267,2.2406,2.0,287400000.0,0.07730049063782918,0.04665216340343244,0.09558595926453291,0.33275552528941993,0.15384139169194577,0.07508460236886633,0.09572787857775723,0.17792360552219402,0.29963953139080807,3.4518837459634013,4017300000.0,397100000.0,631100000.0,1344700000.0,742300000.0,6.369999999999999,6.369999999999999,0.8062777852620234,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2014-09-30,3411400000.0,1703300000.0,525400000.0,1376400000.0,2025700000.0,597500000.0,1000000.0,653800000.0,2510600000.0,833700000.0,391300000.0,244000000.0,,120700000.0,4.0,,59000000.0,598500000.0,,21.9356,2.1557,4.0,450300000.0,0.12045218936663869,0.0715248871431084,0.09718792320560822,0.3320720146578507,0.155859157173584,0.1147036407340095,0.14911211035744226,0.17935951565362862,0.2954534235079232,3.2419109250095164,4150600000.0,396600000.0,641000000.0,1378800000.0,758700000.0,6.369999999999999,6.369999999999999,0.7888493475682088,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2014-12-31,3322800000.0,1629400000.0,499200000.0,1387100000.0,1927100000.0,597600000.0,1400000.0,653900000.0,-1526000000.0,-507200000.0,-227200000.0,-137300000.0,31200000.0,-69600000.0,-2.0,,-37600000.0,599000000.0,3.264,19.4853,1.8868,-2.0,-264800000.0,-0.07124695137771782,-0.04132057301071385,0.0899737876802097,0.33237221494102226,0.14888597640891219,-0.06837606837606838,-0.08994101579509917,0.17352555701179553,0.3108297441751855,3.2640224358974357,3359400000.0,325300000.0,517400000.0,1109000000.0,596600000.0,5.0,5.0,1.004022795843111,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2015-03-31,3255700000.0,1470500000.0,514100000.0,1384500000.0,1862200000.0,597700000.0,0.0,413300000.0,809700000.0,252700000.0,105000000.0,62400000.0,,31300000.0,1.0,,21700000.0,597700000.0,,19.5611,1.8559,1.0,126700000.0,0.033508753087745674,0.019166385109193107,0.0770655798443868,0.3120908978634062,0.12967765839199705,0.03225112878950763,0.042684661978129194,0.15647770779300976,0.3209644506497691,2.860338455553394,3409600000.0,323500000.0,517600000.0,1116700000.0,599600000.0,5.0,5.0,0.9968312208138759,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2015-06-30,3330100000.0,1536800000.0,516300000.0,1393600000.0,1927400000.0,597800000.0,200000.0,444300000.0,1683700000.0,536800000.0,231700000.0,142500000.0,,68100000.0,2.0,98700000.0,42900000.0,598000000.0,,19.9785,1.8266,2.0,274600000.0,0.07393379682473798,0.04279150776252966,0.08463502999346677,0.3188216428104769,0.13761358911920177,0.0695774901654605,0.09174784192603153,0.16309318762249808,0.31026252983293556,2.9765640131706372,3478000000.0,311600000.0,500800000.0,1116000000.0,586800000.0,5.0,5.0,1.0190865712338104,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2015-09-30,3382500000.0,1566100000.0,553500000.0,1428900000.0,1943900000.0,597900000.0,400000.0,433800000.0,2560700000.0,827900000.0,362700000.0,215800000.0,,108500000.0,3.0,193100000.0,63600000.0,598300000.0,,17.1067,1.4907,3.0,426300000.0,0.11101394104635012,0.0637989652623799,0.08427383137423361,0.3233100324130121,0.14164095755066974,0.10722838137472283,0.14267170167571394,0.1664779161947905,0.3077833221873553,2.8294489611562783,3528100000.0,283400000.0,472200000.0,1110200000.0,562800000.0,3.9999999999999996,3.9999999999999996,1.0630774697938876,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2015-12-31,3208700000.0,1387800000.0,603100000.0,1459700000.0,1740600000.0,595900000.0,48200000.0,343500000.0,-1663700000.0,-525600000.0,-224800000.0,-143400000.0,31000000.0,-71400000.0,-2.0,39300000.0,-43000000.0,644100000.0,2.3011,18.4482,1.5089,-2.0,-267800000.0,-0.08238538435022406,-0.04469099635366348,0.08619342429524554,0.31592234176834766,0.1351205145158382,-0.07005952566459937,-0.09426762276177297,0.16096652040632325,0.37004481213374696,2.301110926877798,3390400000.0,277300000.0,474600000.0,1091800000.0,559800000.0,4.0,4.0,1.1505894962486602,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2016-03-31,3400900000.0,1425400000.0,565500000.0,1825200000.0,1566900000.0,989500000.0,0.0,320800000.0,834800000.0,259900000.0,101900000.0,60900000.0,,29600000.0,1.0,58400000.0,22700000.0,989500000.0,,21.6187,1.7457,1.0,124600000.0,0.03886655179015891,0.017907024611132347,0.07295160517489219,0.31133205558217536,0.12206516530905606,0.029962656943750183,0.03986074166797059,0.1492573071394346,0.6315016912374752,2.5206012378426172,3415500000.0,275800000.0,471500000.0,1099000000.0,557700000.0,3.9999999999999996,3.9999999999999996,1.774251389636005,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2016-06-30,3417700000.0,1452000000.0,578000000.0,1838300000.0,1570200000.0,989700000.0,58300000.0,338500000.0,1743600000.0,553400000.0,234000000.0,141900000.0,,64400000.0,2.0,122200000.0,45900000.0,1048000000.0,,21.0887,1.6912,2.0,279900000.0,0.0903706534199465,0.041519150305761185,0.08138334480385409,0.31738930947465016,0.13420509291121818,0.06846709775580069,0.08937437934458789,0.1605299380591879,0.6674309005222264,2.5121107266435985,3475400000.0,275200000.0,473800000.0,1115600000.0,563000000.0,3.9999999999999996,3.9999999999999996,1.8614564831261102,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2016-09-30,3491100000.0,1521700000.0,577500000.0,1856500000.0,1625500000.0,990100000.0,5800000.0,364500000.0,2651000000.0,842100000.0,370000000.0,228600000.0,,100400000.0,4.0,260700000.0,68600000.0,995900000.0,,20.5503,1.7128,4.0,438600000.0,0.140633651184251,0.06548079401907708,0.08623161071293851,0.3176537155790268,0.13956997359486986,0.1059837873449629,0.1411459525444419,0.16544700113164842,0.61267302368502,2.634978354978355,3565700000.0,288000000.0,481100000.0,1129800000.0,575300000.0,5.0,5.0,1.73109681905093,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2016-12-31,3525000000.0,1551300000.0,589600000.0,1921800000.0,1592800000.0,990500000.0,3200000.0,437600000.0,-1724200000.0,-554700000.0,-228100000.0,-138400000.0,43400000.0,-61800000.0,-2.0,-43100000.0,-44900000.0,993700000.0,2.6311,22.2259,1.8579,-2.0,-273000000.0,-0.08689100954294325,-0.039262411347517734,0.08026911031202877,0.3217144182809419,0.13229323744345203,-0.06470921985815603,-0.08818867195051228,0.15833429996520126,0.623869914615771,2.6311058344640434,3505200000.0,293000000.0,477800000.0,1100700000.0,570100000.0,5.0,5.0,1.7430275390282406,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2017-03-31,3494600000.0,1517600000.0,576000000.0,1905800000.0,1578700000.0,990900000.0,5100000.0,381000000.0,852300000.0,261800000.0,104100000.0,62800000.0,,27000000.0,1.0,63000000.0,24200000.0,996000000.0,,22.5451,1.8873,1.0,128300000.0,0.039779565465256225,0.01797058318548618,0.07368297547811803,0.30716883726387423,0.12214009151707145,0.029788817031992217,0.040431894978055695,0.15053384958347998,0.6308988408183949,2.6347222222222224,3522700000.0,294900000.0,480000000.0,1102600000.0,573800000.0,5.0,5.0,1.7357964447542698,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2017-06-30,3666700000.0,1609600000.0,1025300000.0,2063500000.0,1592300000.0,691800000.0,403400000.0,367700000.0,1800600000.0,556500000.0,234700000.0,141900000.0,,62900000.0,2.0,132100000.0,50400000.0,1095200000.0,,21.2595,1.7486,2.0,285100000.0,0.08911637254286253,0.0386996481850165,0.07880706431189603,0.30906364545151616,0.13034544040875265,0.06400850901355443,0.08733023255813953,0.15833611018549373,0.687810086039063,1.5698819857602653,3579700000.0,294900000.0,480700000.0,1105700000.0,579000000.0,5.0,5.0,1.8915371329879103,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2017-09-30,3743200000.0,1685000000.0,740600000.0,2075500000.0,1656000000.0,986700000.0,93800000.0,386400000.0,2751100000.0,863400000.0,381100000.0,222700000.0,,103700000.0,4.0,228600000.0,76000000.0,1080500000.0,,22.3344,1.7786,4.0,457100000.0,0.1344806763285024,0.05949455011754649,0.0809494384064556,0.3138381011231871,0.13852640761877066,0.10181128446249199,0.1392654851087155,0.16615172112972992,0.652475845410628,2.2751822846340803,3679800000.0,289000000.0,491800000.0,1127000000.0,597500000.0,5.0,5.0,1.80836820083682,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2017-12-31,3720600000.0,1604100000.0,706100000.0,2072700000.0,1634200000.0,987100000.0,68100000.0,375000000.0,-1735200000.0,-529800000.0,-216200000.0,-184300000.0,44900000.0,-400000.0,-3.0,-44700000.0,-50800000.0,1055200000.0,2.2718,30.1997,2.0011,-3.0,-267000000.0,-0.11277689389303634,-0.04953502123313444,0.10621254034117104,0.30532503457814664,0.12459658828953435,-0.05810890716551094,-0.08038967799509185,0.15387275242047027,0.6456982009545955,2.2717745361846764,3668800000.0,243100000.0,503700000.0,1151900000.0,603500000.0,4.0,4.0,1.7484672742336371,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2018-03-31,4975400000.0,1720800000.0,898500000.0,3296900000.0,1662000000.0,1903200000.0,177500000.0,216300000.0,991200000.0,282900000.0,99600000.0,58300000.0,,16000000.0,1.0,-400000.0,40000000.0,2080700000.0,,26.9681,1.6899,1.0,139600000.0,0.035078219013237065,0.011717650842143346,0.05881759483454399,0.28541162227602906,0.10048426150121065,0.02001849097559995,0.026611804312394797,0.14083938660209847,1.2519253910950663,1.9151919866444074,3807700000.0,238600000.0,499200000.0,1173000000.0,614800000.0,4.0,4.0,3.384352635003253,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2018-06-30,4971100000.0,1735900000.0,871400000.0,3269300000.0,1684900000.0,1897600000.0,91100000.0,195100000.0,2157900000.0,630800000.0,256500000.0,158600000.0,,47600000.0,2.0,152300000.0,76300000.0,1988700000.0,,22.41,1.4461,2.0,332800000.0,0.094130215443053,0.031904407475206696,0.07349738171370314,0.29232123824088235,0.11886556374252746,0.0515982378145682,0.06982251742160278,0.1542240140877705,1.1803074366431243,1.9920817075969703,4165000000.0,255300000.0,521000000.0,1247300000.0,662500000.0,4.0,4.0,3.001811320754717,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2018-09-30,4997500000.0,1760100000.0,938000000.0,3225700000.0,1754800000.0,1792500000.0,130300000.0,228800000.0,3337600000.0,979800000.0,420300000.0,272200000.0,,75400000.0,4.0,339200000.0,112800000.0,1922800000.0,,25.0391,1.7217,4.0,533100000.0,0.1551173922954183,0.05446723361680841,0.08155560882070949,0.29356423777564716,0.12592881112176413,0.08410205102551276,0.11428649118990646,0.15972555129434324,1.0957374059721905,1.8764392324093817,4751500000.0,304800000.0,560200000.0,1363700000.0,738500000.0,4.0,4.0,2.60365605958023,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2018-12-31,4872100000.0,1643700000.0,839300000.0,3073200000.0,1780600000.0,1737100000.0,56100000.0,189000000.0,-2005000000.0,-593100000.0,-219500000.0,-128900000.0,72400000.0,-38100000.0,-1.0,26000000.0,-80700000.0,1793200000.0,1.9584,15.0876,1.2126,-1.0,-300200000.0,-0.07239132876558463,-0.026456764023726934,0.06428927680798005,0.29581047381546133,0.10947630922693267,-0.04505244145235114,-0.06141921763948738,0.14972568578553616,1.0070762664270472,1.958417729059931,4481700000.0,360200000.0,556900000.0,1300400000.0,705300000.0,6.0,6.0,2.5424641996313624,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2019-03-31,4976100000.0,1650600000.0,847900000.0,3149200000.0,1808100000.0,1731500000.0,77300000.0,205300000.0,1087300000.0,307300000.0,120900000.0,72300000.0,,24200000.0,1.32,78100000.0,36600000.0,1808800000.0,,17.4003,1.4223,1.32,157500000.0,0.039986726397876225,0.01452945077470308,0.06649498758392348,0.28262668996597073,0.11119286305527454,0.024296135527822994,0.033426414885675576,0.1448542260645636,1.00038714672861,1.9466918268663758,4577800000.0,374200000.0,578200000.0,1324800000.0,723200000.0,6.32,6.32,2.5011061946902653,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2019-06-30,5036000000.0,1729000000.0,874100000.0,3181000000.0,1835900000.0,1722800000.0,54200000.0,209900000.0,2283700000.0,664700000.0,287800000.0,168300000.0,,49900000.0,3.07,209600000.0,73700000.0,1777000000.0,,19.3235,1.5513,3.07,361500000.0,0.09167165967645297,0.03341938046068308,0.0736961947716425,0.2910627490475982,0.12602355826071726,0.05714853057982526,0.07965899969553544,0.15829574812803784,0.9679176425731248,1.9780345498226748,4703600000.0,383900000.0,609500000.0,1358700000.0,751900000.0,7.39,7.39,2.3633461896528796,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2019-09-30,5074300000.0,1809900000.0,866200000.0,3158700000.0,1903100000.0,1714100000.0,35900000.0,300000000.0,3487700000.0,1026700000.0,460700000.0,299000000.0,,85300000.0,5.45,385100000.0,111100000.0,1750000000.0,,18.4737,1.5435,5.45,571800000.0,0.15711208029005308,0.058924383658829786,0.08572985061788571,0.2943773833758638,0.13209278320956505,0.09079084799873874,0.1261120692015001,0.16394758723514063,0.9195523093899427,2.0894712537520204,4853700000.0,410700000.0,649900000.0,1405600000.0,790600000.0,8.84,8.84,2.2135087275486973,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2019-12-31,4903000000.0,1574200000.0,844900000.0,2942500000.0,1947100000.0,1506000000.0,65400000.0,182000000.0,-2267700000.0,-646000000.0,-272800000.0,-138700000.0,69400000.0,-46300000.0,-2.5300000000000002,-81200000.0,-70400000.0,1571400000.0,1.8632,20.0531,2.037,-2.5300000000000002,-343200000.0,-0.07123414308458734,-0.02828880277381195,0.06116329320456851,0.28487013273360673,0.12029809939586365,-0.055639404446257396,-0.07753303964757709,0.15134277020769943,0.8070463766627292,1.86317907444668,4591000000.0,400900000.0,596600000.0,1352700000.0,747600000.0,7.31,7.31,2.1019261637239164,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2020-03-31,4959100000.0,1675000000.0,841300000.0,3030600000.0,1914900000.0,1597300000.0,106700000.0,300000000.0,1090300000.0,313500000.0,118800000.0,75000000.0,,24200000.0,1.37,108400000.0,38900000.0,1704000000.0,,15.4593,1.5798,1.37,157700000.0,0.039166536111546295,0.015123711963864412,0.06878840686049711,0.2875355406768779,0.10896083646702742,0.023955959750761226,0.03282765481223576,0.14463909015867193,0.8898637004543318,1.990966361583264,4594000000.0,403600000.0,594500000.0,1358900000.0,747800000.0,7.359999999999999,7.359999999999999,2.2786841401444238,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2020-06-30,5058700000.0,1793600000.0,880700000.0,3085200000.0,1959900000.0,1610400000.0,145200000.0,485000000.0,2039500000.0,594000000.0,250300000.0,163200000.0,,48100000.0,2.99,303700000.0,77600000.0,1755600000.0,,17.1669,1.8352,2.99,327900000.0,0.08326955456911067,0.03226125289105897,0.08001961265015935,0.2912478548663888,0.12272615837215003,0.049479115187696446,0.06736643789530346,0.16077469968129443,0.8957599877544773,2.03656182582037,4349800000.0,398500000.0,557000000.0,1288200000.0,714200000.0,7.28,7.28,2.458134976197144,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2020-09-30,4877100000.0,1640400000.0,792700000.0,2846100000.0,2016800000.0,1436300000.0,21900000.0,269200000.0,3148100000.0,923600000.0,413200000.0,270300000.0,,78500000.0,4.95,455600000.0,117000000.0,1458200000.0,,19.9371,2.0573,4.95,530200000.0,0.1340241967473225,0.055422279633388694,0.085861313173025,0.29338331056827927,0.13125377211651473,0.08472247852207254,0.11890647482014388,0.1684190464089451,0.7230265767552558,2.069383120978933,4010200000.0,369800000.0,509500000.0,1185100000.0,672600000.0,6.78,6.78,2.168004757656854,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2020-12-31,5085100000.0,1587600000.0,948200000.0,2999700000.0,2070000000.0,1436900000.0,153100000.0,259600000.0,-2091900000.0,-621800000.0,-249300000.0,-157300000.0,60300000.0,-53300000.0,-2.880000000000001,-219700000.0,-75900000.0,1590000000.0,1.6743,24.2134,2.3092,-2.880000000000001,-325200000.0,-0.07599033816425121,-0.03093351163202297,0.07519479898656724,0.29724174195707254,0.11917395669009034,-0.04902558455094295,-0.06811475409836065,0.15545676179549692,0.7681159420289855,1.6743303100611686,4186000000.0,351200000.0,533000000.0,1209300000.0,690600000.0,6.43,6.43,2.3023457862728063,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
