report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,29509000000.0,15702000000.0,13954000000.0,21148000000.0,8305000000.0,4111000000.0,291000000.0,290000000.0,8399000000.0,1135000000.0,688000000.0,173000000.0,257000000.0,2.06,334400000.0,867000000.0,201000000.0,666000000.0,4402000000.0,,17.5977,1.4905,2.06,1135000000.0,0.08284166164960867,0.023314920871598494,0.0819145136325753,0.13513513513513514,0.03846284184486089,0.0893208467773668,0.07929515418502203,0.13513513513513514,0.5300421432871764,1.1252687401461947,11567000000.0,937000000.0,1542000000.0,-1483000000.0,1542000000.0,218000000.0,2.8600000000000003,2.8600000000000003,2.85473411154345,7.073394495412844,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2012-12-31,30486000000.0,16382000000.0,15350000000.0,22681000000.0,7762000000.0,3713000000.0,452000000.0,291000000.0,-5388000000.0,-737000000.0,-417000000.0,-120000000.0,-187000000.0,-1.2199999999999998,-674500000.0,298000000.0,-132000000.0,166000000.0,4165000000.0,1.0672,17.846,1.5391,-1.2199999999999998,-737000000.0,-0.05372326719917547,-0.013678409761857902,0.07739420935412027,0.13678544914625093,-0.02417503116184478,-0.061792571476481935,-0.03080920564216778,0.13678544914625093,0.5365885081164649,1.0672312703583062,11514000000.0,993000000.0,1596000000.0,886000000.0,1596000000.0,228000000.0,2.99,2.99,2.6096491228070176,7.0,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2013-03-31,30029000000.0,16257000000.0,15261000000.0,22396000000.0,7579000000.0,3770000000.0,802000000.0,408000000.0,2915000000.0,410000000.0,261000000.0,52000000.0,96000000.0,,320000000.0,54000000.0,60000000.0,-6000000.0,4572000000.0,,18.5902,1.6299,,410000000.0,0.03443726085235519,0.008691598121815578,0.0895368782161235,0.14065180102915953,0.013653468313963168,0.033742078841247636,-0.002058319039451115,0.14065180102915953,0.6032458107929806,1.0652643994495774,11588000000.0,1016000000.0,1604000000.0,966000000.0,1604000000.0,221000000.0,,,2.8503740648379052,7.257918552036199,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2013-06-30,30062000000.0,16393000000.0,15195000000.0,22444000000.0,7559000000.0,4012000000.0,427000000.0,266000000.0,5812000000.0,792000000.0,502000000.0,100000000.0,186000000.0,1.0,318600000.0,387000000.0,122000000.0,265000000.0,4439000000.0,,19.8771,1.7229,1.0,792000000.0,0.06641090091281916,0.01669882243363715,0.08637302133516862,0.13626978664831382,0.02634555252478212,0.06601100183363894,0.04559532002752925,0.13626978664831382,0.5872469903426379,1.0788417242513986,11738000000.0,1034000000.0,1600000000.0,1091000000.0,1600000000.0,205000000.0,,,2.774375,7.804878048780488,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2013-09-30,29305000000.0,15574000000.0,15191000000.0,21715000000.0,7534000000.0,3352000000.0,1206000000.0,369000000.0,8606000000.0,1156000000.0,758000000.0,153000000.0,275000000.0,2.0,316700000.0,984000000.0,174000000.0,810000000.0,4558000000.0,,21.0818,1.912,2.0,1156000000.0,0.10061056543668702,0.025865893192288006,0.08807808505693702,0.13432488961189867,0.03944719331172155,0.09560039695666557,0.09412038112944457,0.13432488961189867,0.604990708786833,1.0252122967546573,11945000000.0,1104000000.0,1621000000.0,1235000000.0,1621000000.0,185000000.0,,,2.811844540407156,8.762162162162163,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2013-12-31,30251000000.0,16330000000.0,15411000000.0,22056000000.0,8145000000.0,3686000000.0,703000000.0,477000000.0,-5518000000.0,-687000000.0,-408000000.0,-95000000.0,-167000000.0,0.5299999999999998,-639900000.0,208000000.0,-127000000.0,81000000.0,4389000000.0,1.0596,22.6908,2.1375,0.5299999999999998,-687000000.0,-0.05009208103130755,-0.013487157449340518,0.07393983327292497,0.12450163102573396,-0.022709993058080725,-0.054810914313068455,-0.014679231605654222,0.12450163102573396,0.5388581952117864,1.059632729868276,11815000000.0,1113000000.0,1671000000.0,1150000000.0,1671000000.0,210000000.0,,,2.6265709156193897,7.957142857142857,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2014-03-31,30077000000.0,16173000000.0,15581000000.0,22071000000.0,7946000000.0,3669000000.0,1077000000.0,338000000.0,2947000000.0,469000000.0,325000000.0,58000000.0,78000000.0,1.0,307200000.0,-11000000.0,55000000.0,-66000000.0,4746000000.0,,21.2299,2.1092,1.0,469000000.0,0.040901082305562546,0.0108055989626625,0.11028164234815066,0.15914489311163896,0.015593310503042192,0.03695241096753861,-0.022395656599932135,0.15914489311163896,0.5972816511452304,1.0379949939028303,11847000000.0,1177000000.0,1730000000.0,1090000000.0,1730000000.0,216000000.0,4.529999999999999,4.529999999999999,2.743352601156069,8.00925925925926,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2014-06-30,31776000000.0,17711000000.0,16040000000.0,24017000000.0,7700000000.0,5155000000.0,799000000.0,418000000.0,5866000000.0,914000000.0,629000000.0,123000000.0,145000000.0,2.0,304400000.0,333000000.0,115000000.0,218000000.0,5954000000.0,,21.1023,2.2046,2.0,914000000.0,0.08168831168831168,0.019794813695871098,0.10722809410160246,0.15581316058643027,0.028763846928499495,0.06694009081587814,0.03716331401295602,0.15581316058643027,0.7732467532467533,1.1041770573566085,11901000000.0,1304000000.0,1852000000.0,1043000000.0,1852000000.0,239000000.0,5.529999999999999,5.529999999999999,3.214902807775378,7.7489539748953975,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2014-09-30,28827000000.0,14755000000.0,13856000000.0,21555000000.0,7215000000.0,4840000000.0,660000000.0,382000000.0,8746000000.0,1331000000.0,938000000.0,188000000.0,220000000.0,3.0,301600000.0,883000000.0,179000000.0,704000000.0,5500000000.0,,19.3333,2.091,3.0,1331000000.0,0.13000693000693,0.0325389391889548,0.10724902812714383,0.1521838554767894,0.046171991535713046,0.10467951238694455,0.08049394008689686,0.1521838554767894,0.7623007623007623,1.0648816397228638,12041000000.0,1484000000.0,2027000000.0,937000000.0,2027000000.0,274000000.0,6.529999999999999,6.529999999999999,2.7133695115934877,7.397810218978102,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2014-12-31,29772000000.0,15823000000.0,15014000000.0,23141000000.0,6571000000.0,4799000000.0,783000000.0,374000000.0,-5514000000.0,-748000000.0,-495000000.0,-114000000.0,-109000000.0,-2.0,-613600000.0,437000000.0,-93000000.0,344000000.0,5582000000.0,1.0539,19.3554,2.2449,-2.0,-748000000.0,-0.07533099984781616,-0.016626360338573155,0.0897714907508161,0.13565469713456657,-0.025124277844954992,-0.06154858882580433,-0.06238665215814291,0.13565469713456657,0.849490184142444,1.0538830424936725,12045000000.0,1397000000.0,1966000000.0,1200000000.0,1966000000.0,255000000.0,4.0,4.0,2.839267548321465,7.709803921568628,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
