report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2022-03-31,6167193000.0,2298101000.0,785117000.0,4154738000.0,2012295000.0,3195919000.0,29560000.0,1413256000.0,625421000.0,,-127987000.0,-115257000.0,32009000.0,-42684000.0,-0.31,371967881.0,-31719000.0,285000.0,128989000.0,-32004000.0,3225479000.0,,,7.3532,-0.31,1002000.0,-0.057276393371747183,-0.018688729216030698,-0.1842870642335323,-0.20464135358422567,-0.02075287736252133,-0.024435380373418174,-0.05117193058755622,0.0016021208114214264,1.6028857597916806,2.927080931886585,2814648000.0,-69290000.0,10564000.0,,266067000.0,481799000.0,100169000.0,-0.17000000000000004,-0.17000000000000004,6.694656900491699,0.10546176960936018,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2022-06-30,5930828000.0,1817297000.0,644589000.0,4023544000.0,1907175000.0,3190047000.0,33310000.0,951560000.0,1401652000.0,,-74632000.0,-137005000.0,68514000.0,-3517000.0,-0.37,372932509.0,75092000.0,400000.0,281677000.0,74692000.0,3223357000.0,,,4.3984,-0.37,207045000.0,-0.07183661698585604,-0.023100484451749403,-0.09774537474351694,-0.05324574145365611,-0.012583740415334924,-0.014546639607744383,0.053288548084688636,0.14771498203548383,1.6901212526380642,2.819311220017717,2943617000.0,-210197000.0,-110511000.0,,189136000.0,446428000.0,114643000.0,-0.55,-0.55,7.22032892202102,-0.9639576773113055,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2022-09-30,5805398000.0,1824249000.0,543633000.0,3923496000.0,1881902000.0,3184221000.0,33310000.0,943508000.0,2114751000.0,,-25365000.0,-113234000.0,117141000.0,-25570000.0,-0.3,371736763.0,249574000.0,621000.0,445507000.0,248953000.0,3217531000.0,,,2.4907,-0.3,420142000.0,-0.060169976970107904,-0.019504950392720707,-0.0535448381393365,-0.011994319898654736,-0.004369209484000925,-0.004974082412691764,0.1177221337169246,0.19867208952732496,1.7097229292492382,3.3556627357058897,3058734000.0,-327511000.0,-227367000.0,,162215000.0,459670000.0,158988000.0,-0.8600000000000001,-0.8600000000000001,6.999654099680205,-1.430089063325534,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2022-12-31,5847846000.0,1939083000.0,578958000.0,3945169000.0,1902677000.0,3178412000.0,33310000.0,1080484000.0,-1324766000.0,,180193000.0,172750000.0,-45801000.0,59541000.0,0.45999999999999996,-745069142.0,119826000.0,-644000.0,-309089000.0,119182000.0,3211722000.0,3.3493,,1.3894,0.45999999999999996,-128896000.0,0.09079312989014951,0.02954079160087321,-0.13040038769110923,-0.13601873840361242,0.030813567935954536,0.03523248772729699,-0.08996456732736197,0.09729718304968575,1.6880016944547078,3.3492636771579285,2817058000.0,-192746000.0,-47791000.0,,410823000.0,499293000.0,171863000.0,-0.52,-0.52,6.432539611009968,-0.2780761420433718,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2023-03-31,5915840000.0,2048357000.0,619570000.0,4017260000.0,1898580000.0,3172563000.0,33310000.0,1245893000.0,715405000.0,,61047000.0,-4518000.0,74511000.0,1165000.0,-0.01,373160029.0,288662000.0,70000.0,128208000.0,288592000.0,3205873000.0,,,2.0393,-0.01,189255000.0,-0.0023796732294662326,-0.0007637123383999568,-0.006315303918759304,0.08533208462339514,0.010319244604316546,0.011959557664650846,0.40339667740650403,0.2645424619621054,1.6885635580275784,3.306094549445583,2907042000.0,-82007000.0,141243000.0,,731419000.0,687546000.0,214365000.0,-0.22000000000000008,-0.22000000000000008,4.6627760178955295,0.6588902106220699,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2023-06-30,5482120000.0,1696268000.0,591940000.0,3964720000.0,1517400000.0,3166759000.0,33310000.0,876227000.0,1465570000.0,,192375000.0,75839000.0,125498000.0,16610000.0,0.2,373022200.0,518456000.0,3819000.0,248100000.0,514637000.0,3200069000.0,,445.4019,3.1072,0.2,440475000.0,0.04997957031764861,0.013833881782959877,0.05174710181021718,0.13126292159364616,0.035091351520944454,0.04077928228039231,0.3511514291367864,0.3005485920153933,2.108915908791354,2.865608000810893,2970960000.0,130837000.0,408250000.0,,1171364000.0,920976000.0,271349000.0,0.3499999999999999,0.3499999999999999,3.474649719428085,1.504520009286933,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2023-09-30,5005228000.0,1300792000.0,805474000.0,3909438000.0,1095790000.0,2912302000.0,215000000.0,332491000.0,2329826000.0,,378693000.0,184478000.0,204081000.0,17196000.0,0.5,368259513.0,717522000.0,4002000.0,369897000.0,713520000.0,3127302000.0,,130.5823,4.5205,0.5,748590000.0,0.16835160021536974,0.03685706225570543,0.07918102038521331,0.16254132282840006,0.07565949043679929,0.08967197494158309,0.3062546301740988,0.3213072564217242,2.8539245658383448,1.614939774592352,3186035000.0,428549000.0,812308000.0,,1635931000.0,1249424000.0,358289000.0,1.15,1.15,2.502994980086824,2.2671865449399786,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2023-12-31,5359187000.0,1616163000.0,944122000.0,4102858000.0,1256329000.0,2905906000.0,215000000.0,502152000.0,-1227714000.0,,16092000.0,100912000.0,-128425000.0,-11112000.0,0.29000000000000004,-751852496.0,-463130000.0,-3645000.0,-257197000.0,-466775000.0,3120906000.0,1.7118,37.5141,4.0759,0.29000000000000004,-241105000.0,0.08032290904691367,0.018829721746973935,-0.0821950389097135,-0.013107287202068234,0.0030026942519453042,0.0036762933678452267,0.38019848270851353,0.19638531449506968,2.48414706657253,1.7118158458334833,3283087000.0,356711000.0,648207000.0,,1049974000.0,1137215000.0,275665000.0,0.98,0.98,2.744341219558307,2.351430177933361,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2024-03-31,5262517000.0,1607888000.0,762524000.0,4502313000.0,760204000.0,3489891000.0,35563000.0,436336000.0,1058115000.0,,339559000.0,234732000.0,74182000.0,31762000.0,0.67,348596295.0,392779000.0,,112667000.0,,3525454000.0,,39.5802,6.5215,0.67,452226000.0,0.3087750130228202,0.0446045114913643,0.22183978112019961,0.3209093529531289,0.06452406709565024,0.07923147390669064,,0.4273883273557222,4.637510457719244,2.1086392034873658,3625797000.0,595961000.0,926719000.0,,,1400186000.0,275336000.0,1.6600000000000001,1.6600000000000001,2.5178469146242,3.3657749077490773,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2024-06-30,5269466000.0,1660270000.0,729591000.0,4454630000.0,814836000.0,3482166000.0,35563000.0,460449000.0,2138234000.0,,730545000.0,544400000.0,148848000.0,47060000.0,1.56,348327848.0,847306000.0,,221208000.0,,3517729000.0,,33.7438,7.7808,1.56,951753000.0,0.6681099018698241,0.10331217622430812,0.254602630020849,0.3416581159966589,0.13863738754553118,0.16861720481977766,,0.44511171368521874,4.317100619020269,2.2756174349738414,4298461000.0,1064522000.0,1464889000.0,,,1911464000.0,298686000.0,3.0200000000000005,3.0200000000000005,1.8403323316578288,4.904444801564185,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2024-09-30,5442484000.0,1875420000.0,779536000.0,4504278000.0,938206000.0,3474456000.0,35563000.0,567596000.0,3336469000.0,,1265479000.0,978400000.0,,80309000.0,2.81,348272617.0,1398008000.0,,320843000.0,,3510019000.0,,37.8522,12.2657,2.81,1586322000.0,1.0428413376166854,0.17977085463181885,0.2932441452325797,0.3792869048086465,0.23251864406032247,0.28449078003023676,,0.4754493448013454,3.7412028914758593,2.405815767328257,5305104000.0,1858444000.0,2351675000.0,,,2749196000.0,,5.33,5.33,1.2767438189201497,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2024-12-31,5869259000.0,2312190000.0,1057472000.0,4779441000.0,1089818000.0,3508983000.0,0.0,741411000.0,-1823570000.0,,-462124000.0,-177756000.0,95230000.0,-162902000.0,-0.5099999999999998,-697389205.0,-539082000.0,4776000.0,-206038000.0,-543858000.0,3508983000.0,2.1865,68.7912,27.3251,-0.5099999999999998,-668162000.0,-0.16310613331767324,-0.03028593558403199,0.09747692712646074,0.25341719813333186,-0.0787363447413038,-0.10048793152823965,0.2982380714751833,0.3664032639273513,3.219788074706052,2.1865259789384495,4709248000.0,1579776000.0,1873459000.0,,,2322139000.0,,4.53,4.53,1.5110994647607228,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2025-03-31,5706701000.0,2367334000.0,1409224000.0,5131280000.0,575421000.0,3509964000.0,200000000.0,551024000.0,1484021000.0,,663471000.0,576275000.0,,41975000.0,1.67,344877542.0,831712000.0,,79887000.0,,3709964000.0,,46.6954,20.3624,1.67,743358000.0,1.001484130749486,0.1009821611470445,0.38831997660410467,0.4470765575419755,0.11626174211685525,0.15482179547461897,,0.5009080060187827,6.447390693075157,1.679884816040601,5135154000.0,1921319000.0,2197371000.0,,,2613271000.0,,5.53,5.53,1.4196629434911265,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2025-06-30,5959497000.0,2992689000.0,1093885000.0,4792370000.0,1167127000.0,3510958000.0,,1192608000.0,2417728000.0,,1797664000.0,1395950000.0,,183216000.0,4.06,343528576.0,1603938000.0,,126940000.0,,3510958000.0,,48.8155,23.9562,4.06,1924604000.0,1.196056641650823,0.2342395675339714,0.5773809129893851,0.7435344257087646,0.3016469342966361,0.3842734794258762,,0.7960382640230829,3.0082056194398725,2.7358351197795017,5414648000.0,2772869000.0,3264490000.0,,,3586122000.0,,8.03,8.03,0.9790403115119898,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2025-09-30,6343035000.0,3487566000.0,1073133000.0,4869115000.0,1473920000.0,3511965000.0,,1666899000.0,3822773000.0,,2876671000.0,2231495000.0,,368617000.0,6.51,342668000.0,2657360000.0,,162042000.0,,3511965000.0,,85.9329,44.0623,6.51,3038713000.0,1.5139865121580547,0.35180241004503365,0.5837372504200485,0.7525089771221048,0.45351649486405166,0.5769629664543005,,0.7948975782762931,2.3827378690838037,3.249891672327661,5900952000.0,4025964000.0,4875682000.0,,,5038513000.0,,11.73,11.73,0.6970241021507735,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2025-12-31,7259610000.0,4430792000.0,1333788000.0,5124939000.0,2134671000.0,3512987000.0,,2487096000.0,-2243805000.0,,-1185892000.0,-869969000.0,207016000.0,-74093000.0,-2.4899999999999984,-689104118.0,-1121916000.0,,-174091000.0,,3512987000.0,3.322,68.3129,39.2232,-2.4899999999999984,-1359983000.0,-0.40754242691262493,-0.11983687828960508,0.38772041242443084,0.5285182981587081,-0.1633547807664599,-0.20997942864104024,,0.606105699915991,1.645680762984085,3.3219612112269714,5480717000.0,3333751000.0,4151914000.0,,,4346692000.0,,9.75,9.75,0.8081978203194521,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
