report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2023-03-31,10754021000.0,2379723000.0,998547000.0,,6267301000.0,2013107000.0,1398836000.0,,1084271000.0,-135596000.0,417775000.0,38172000.0,139500000.0,,25167000.0,21863000.0,3304000.0,2013107000.0,,0.9182,,,-135596000.0,0.06665947590517832,0.038848259641672635,0.38530496527159724,-0.1250572965614685,-0.012608865093345084,-0.01637552159265582,0.0030472086775354132,-0.1250572965614685,0.3212079649597171,2.383185768922244,4994206000.0,-516597000.0,-501553000.0,,-501553000.0,126425000.0,,,-4.013747300883456,-3.96719794344473,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2023-06-30,10549090000.0,2198407000.0,1034194000.0,,6116708000.0,2006456000.0,1326988000.0,,2195860000.0,-191069000.0,328730000.0,77249000.0,115200000.0,,128254000.0,108107000.0,20147000.0,2006456000.0,,1.136,20.4497,,-191069000.0,0.053742961082987775,0.031161929607198345,0.14970444381700107,-0.08701328864317397,-0.018112367986243362,-0.023521499750589796,0.009174992941262193,-0.08701328864317397,0.3280287370265182,2.1257201260111738,4502140000.0,917061000.0,-417668000.0,,-417668000.0,158245000.0,,,-4.803949548445177,-2.639375651679358,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2023-09-30,10018172000.0,2212047000.0,1023211000.0,,5740785000.0,1999805000.0,1252212000.0,,3307201000.0,-223806000.0,-61808000.0,117406000.0,-3600000.0,,142644000.0,126558000.0,16086000.0,1999805000.0,,0.9492,,,-223806000.0,-0.010766471832684903,-0.006169588623553279,-0.018688915490773013,-0.06767233077154972,-0.022340003745194233,-0.028913299890576817,0.004863931765864851,-0.06767233077154972,0.34835044336271087,2.161867884532125,3820514000.0,2024004000.0,-241840000.0,,-241840000.0,200789000.0,,,-8.2691242143566,-1.204448450861352,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2023-12-31,10371177000.0,2240592000.0,950490000.0,,6077861000.0,1993154000.0,1297445000.0,,-2222097000.0,289708000.0,-418755000.0,-75195000.0,-142282000.0,2.97,,-115164000.0,,1993154000.0,2.3573,1.0302,16.9092,2.97,289708000.0,-0.06889841672917495,-0.04037680583409193,0.18845036917830318,-0.13037594668459568,0.02793395580848731,0.03589486576347584,,-0.13037594668459568,0.32793675274903455,2.357302023166998,4365235000.0,265942000.0,-260763000.0,,-260763000.0,157632000.0,,,-7.643546055230228,-1.6542516747868452,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2024-03-31,10359610000.0,2311156000.0,855461000.0,,6132735000.0,1982128000.0,1506988000.0,,929680000.0,-59178000.0,45031000.0,39718000.0,54700000.0,0.51,64054000.0,15712000.0,48342000.0,1982128000.0,,1.0908,,0.51,-59178000.0,0.007342727184526969,0.0043467852554295,0.04843709663540143,-0.0636541605713794,-0.005712377203388931,-0.00729254455682123,0.051998537131055844,-0.0636541605713794,0.32320457348964204,2.7016497537585,4210644000.0,-106802000.0,-184345000.0,,-184345000.0,159178000.0,,,-10.75227426835553,-1.158106019676086,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2024-06-30,10204147000.0,2368288000.0,885019000.0,,6008365000.0,1971107000.0,1601775000.0,,1879207000.0,-71177000.0,-97201000.0,,20000000.0,-1.17,149077000.0,31804000.0,117273000.0,1971107000.0,,0.9763,,-1.17,-71177000.0,-0.01617761237874197,-0.009525636978769514,-0.05172447739924341,-0.03787608283706904,-0.006975301316219768,-0.00892001375529609,0.062405578523281366,-0.03787608283706904,0.32806046237204295,2.675974188124775,3893991000.0,-532733000.0,-64453000.0,,-64453000.0,,,,-30.582083068282316,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2024-09-30,9837191000.0,2400905000.0,874516000.0,,5760044000.0,1960090000.0,1719767000.0,,2817926000.0,-54851000.0,-340920000.0,,-95800000.0,-4.1,244425000.0,47304000.0,197121000.0,1960090000.0,,1.1959,,-4.1,-54851000.0,-0.05918704787671761,-0.034656234691387004,-0.1209825950007204,-0.019465024986461674,-0.005575880350396775,-0.007104928489583212,0.069952511173111,-0.019465024986461674,0.3402908033341412,2.7454100325208457,3404716000.0,-811845000.0,104502000.0,,104502000.0,,-1.7899999999999991,-1.7899999999999991,18.756483129509483,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2024-12-31,9547160000.0,2485035000.0,886192000.0,,5577898000.0,1931847000.0,1798170000.0,,-1819580000.0,180976000.0,-146807000.0,,-137969000.0,-1.7300000000000004,-103038000.0,-29314000.0,-132352000.0,1931847000.0,2.8042,0.9775,,-1.7300000000000004,180976000.0,-0.026319412796720197,-0.015377033589046376,0.08068180569142329,-0.09946031501775135,0.0189560036702014,0.02409882093200235,0.07273766473581815,-0.09946031501775135,0.3463396067837741,2.804172233556611,3807233000.0,-539897000.0,-4230000.0,230384000.0,-4230000.0,,-6.49,-6.49,-456.7014184397163,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2025-03-31,7187125000.0,1693752000.0,627396000.0,,4713559000.0,1419544000.0,1159225000.0,,570489000.0,35776000.0,-216805000.0,,-79200000.0,-2.64,,4656000.0,,1419544000.0,,1.0677,,-2.64,35776000.0,-0.04599602975161656,-0.030165747778144947,-0.38003362028014565,0.06271111274713448,0.004977790145572813,0.005833262542631356,,0.06271111274713448,0.30116181849001994,2.699653807164853,3448042000.0,-801733000.0,90724000.0,,90724000.0,,-9.64,-9.64,15.646840968211277,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2025-06-30,7360395000.0,1601577000.0,558648000.0,,4911092000.0,1412332000.0,1093866000.0,,1157417000.0,36351000.0,-5353000.0,,-16200000.0,-0.07,,9111000.0,,1412332000.0,,0.9662,,-0.07,36351000.0,-0.001089981617123035,-0.0007272707510942007,-0.004624953668383997,0.03140700369875334,0.004938729511119988,0.005748626060817684,,0.03140700369875334,0.28758003311687097,2.8668803969583707,2726252000.0,-709885000.0,198252000.0,,198252000.0,,-8.540000000000001,-8.540000000000001,7.123923087787261,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2025-09-30,7187652000.0,1515447000.0,591673000.0,,4790486000.0,1406840000.0,1005496000.0,,1747210000.0,15953000.0,-27232000.0,,-43500000.0,-0.34,,13988000.0,,1406840000.0,,0.998,,-0.34,15953000.0,-0.005684600685608934,-0.003788719876810953,-0.015585991380543838,0.009130556716136011,0.002219500888468167,0.0025741747327799117,,0.009130556716136011,0.29367375251696803,2.5612914565984926,1655536000.0,-396197000.0,269056000.0,,269056000.0,,-4.78,-4.78,5.228799952426261,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2025-12-31,7130729000.0,1544750000.0,560867000.0,,4733827000.0,1401324000.0,960211000.0,,-1081927000.0,-185496000.0,145364000.0,,173748000.0,1.7499999999999998,,-8554000.0,,1401324000.0,2.7542,1.2651,,1.7499999999999998,-185496000.0,0.03070750156268913,0.02038557348063571,-0.134356569343403,0.1714496449390763,-0.026013609548196263,-0.030234952652347106,,0.1714496449390763,0.29602349219775037,2.7542180231677027,2393189000.0,-104026000.0,-97416000.0,,-97416000.0,,-1.3000000000000003,-1.3000000000000003,-14.384947031288494,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
