report_date,total_assets,total_liabilities,total_equity,cash,operating_income,net_income,interest_expense,income_tax,operating_cash_flow,capex,depreciation,fcf,total_debt,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,debt_to_ebitda,interest_coverage
2013-12-31,77144021000.0,63599038000.0,13544983000.0,,400235000.0,628103000.0,-419731000.0,-237018000.0,-860534000.0,-20833000.0,286304000.0,-881367000.0,0.0,686539000.0,0.0463716344273005,0.008141953087978134,0.005188153207621884,0.02954857898308178,0.0,,,1097163000.0,,782120000.0,,
2014-03-31,109168077000.0,87571981000.0,17902661000.0,,,1769903000.0,234101000.0,1050107000.0,967496000.0,97285000.0,,870211000.0,0.0,,0.09886256573813244,0.016212642455907693,,,0.0,,,1900723000.0,,811596000.0,,
2014-06-30,112512985000.0,90533025000.0,18166685000.0,,,1972745000.0,506866000.0,1249753000.0,2339509000.0,141599000.0,,2197910000.0,0.0,,0.10859135830229896,0.017533487357037057,,,0.0,,,3318468000.0,,916765000.0,,
2014-09-30,113538172000.0,91298139000.0,18367663000.0,,,2177417000.0,776410000.0,1285855000.0,3378518000.0,204626000.0,,3173892000.0,0.0,,0.11854621897189642,0.019177840911513002,,,0.0,6548168000.0,,5360646000.0,,1097646000.0,,
2014-12-31,118457415000.0,95953320000.0,18543286000.0,,,-3584913000.0,-462654000.0,-2172491000.0,-2486787000.0,-155174000.0,,-2641961000.0,0.0,,-0.19332673831380262,-0.030263306015921417,,,0.0,2335152000.0,,3600052000.0,,1054723000.0,,
2015-03-31,123248006000.0,100428674000.0,18750262000.0,,,158589000.0,278868000.0,112973000.0,1777665000.0,39984000.0,,1737681000.0,0.0,,0.008457961814080251,0.0012867469839633755,,,0.0,723838000.0,,4467522000.0,,1099490000.0,,
2015-06-30,126127126000.0,103039449000.0,18834160000.0,,,326032000.0,576443000.0,232944000.0,2523943000.0,111547000.0,,2412396000.0,0.0,,0.01731067379697316,0.002584947507643994,,,0.0,-922875000.0,,4682008000.0,,1169067000.0,,
2015-09-30,130865753000.0,107629018000.0,18955747000.0,,,407919000.0,876005000.0,474708000.0,3728327000.0,183154000.0,116205000.0,3545173000.0,0.0,,0.021519542331937643,0.003117079836769823,,,0.0,-2692373000.0,,5053289000.0,,1268662000.0,,
2015-12-31,127633001000.0,108064048000.0,17141354000.0,,,-2347137000.0,-526991000.0,-1492088000.0,-2894552000.0,-29931000.0,174026000.0,-2924483000.0,0.0,,-0.136928331332519,-0.018389734485675848,,,0.0,-1454597000.0,,4770767000.0,,1204325000.0,,
2016-03-31,131098910000.0,111356941000.0,17234110000.0,,,11840000.0,353452000.0,65010000.0,835985000.0,97735000.0,186238000.0,738250000.0,0.0,,0.0006870096570115893,9.031348925784356e-05,,,0.0,-1601346000.0,,3771336000.0,,1278909000.0,,
2016-06-30,126470894000.0,106437600000.0,17419731000.0,,,158423000.0,709800000.0,199987000.0,1390845000.0,152769000.0,439129000.0,1238076000.0,0.0,,0.009094457313950486,0.0012526439482589567,,,0.0,-1768955000.0,,2597016000.0,,1412266000.0,,
2016-09-30,139230887000.0,116767635000.0,19756345000.0,,,353324000.0,1076321000.0,339968000.0,3135457000.0,159608000.0,746607000.0,2975849000.0,0.0,,0.01788407724202022,0.0025376840413291342,,,0.0,-1823550000.0,,2027692000.0,,1612582000.0,,
2016-12-31,137370523000.0,114991765000.0,19621883000.0,,,-160703000.0,-714514000.0,-291250000.0,-260613000.0,-176037000.0,-287879000.0,-436650000.0,0.0,,-0.008189988697822732,-0.0011698506818671717,,,0.0,362884000.0,,4515525000.0,,1425059000.0,,
2017-03-31,135109476000.0,112509726000.0,19747425000.0,,,113081000.0,353028000.0,78937000.0,1477626000.0,16159000.0,199892000.0,1461467000.0,0.0,,0.0057263668554254545,0.0008369583196370327,,,0.0,464125000.0,,5238742000.0,,1424635000.0,,
2017-06-30,134755695000.0,111858441000.0,19940592000.0,,,296120000.0,710725000.0,170920000.0,2231758000.0,58404000.0,436025000.0,2173354000.0,0.0,,0.014850110769028322,0.0021974581482437534,,,0.0,601822000.0,,6174020000.0,,1425560000.0,,
2017-09-30,131986117000.0,108516317000.0,20431105000.0,,,457952000.0,1090564000.0,264368000.0,4011727000.0,103695000.0,758926000.0,3908032000.0,0.0,,0.022414450907085055,0.003469698256218872,,,0.0,706450000.0,,7106203000.0,,1439803000.0,,
2017-12-31,128294030000.0,104588399000.0,21182698000.0,,,-306086000.0,-702188000.0,-666559000.0,-2894765000.0,-14147000.0,212019000.0,-2908912000.0,0.0,,-0.014449811822837676,-0.002385816393794785,,,0.0,561067000.0,,4633941000.0,,1452129000.0,,
2018-03-31,129227891000.0,105384810000.0,21242459000.0,7900607000.0,,183538000.0,380114000.0,95321000.0,1963089000.0,38412000.0,437506000.0,1924677000.0,0.0,,0.008640148487517383,0.0014202661560111663,,,0.0,631524000.0,,5097151000.0,,1479215000.0,,
2018-06-30,130138694000.0,105986215000.0,21449794000.0,6127604000.0,,438691000.0,789102000.0,263356000.0,3909460000.0,70756000.0,889219000.0,3838704000.0,0.0,,0.020451991287189053,0.003370949765332669,,,0.0,774095000.0,,6762501000.0,,1557592000.0,,
2018-09-30,131628075000.0,107897176000.0,21032095000.0,6505522000.0,,607503000.0,1233279000.0,374162000.0,5640345000.0,105530000.0,1411482000.0,5534815000.0,0.0,,0.028884569036037543,0.004615299585593727,,,0.0,923646000.0,,8389284000.0,,1700307000.0,,
2018-12-31,135634285000.0,111787053000.0,21321057000.0,7790593000.0,,-522328000.0,-678292000.0,-306939000.0,-4497833000.0,-54811000.0,-824982000.0,-4552644000.0,0.0,,-0.024498222578739882,-0.0038510027166066456,,,0.0,707404000.0,,6745552000.0,,1724203000.0,,
2019-03-31,138956595000.0,114828190000.0,21576174000.0,7600000000.0,355706000.0,166980000.0,538158000.0,116214000.0,1521721000.0,46173000.0,530112000.0,1475548000.0,0.0,885818000.0,0.007739092204206362,0.0012016702050017848,0.0025598353212382616,0.016486055405374466,0.0,690846000.0,,6296423000.0,,1882247000.0,,
2019-06-30,143910431000.0,119405611000.0,21963776000.0,8000000000.0,,462602000.0,1092522000.0,271540000.0,2982302000.0,88014000.0,1131787000.0,2894288000.0,0.0,,0.021062043247936965,0.0032145133385084504,,,0.0,714757000.0,,5352007000.0,,2185667000.0,,
2019-09-30,147185414000.0,122516137000.0,22219200000.0,7736777000.0,,666206000.0,1658520000.0,384467000.0,4636896000.0,135060000.0,1749531000.0,4501836000.0,0.0,,0.029983347735292,0.004526304488296646,,,0.0,773460000.0,,4319028000.0,,2610908000.0,,
2019-12-31,149499477000.0,125100647000.0,22021460000.0,7600000000.0,,-542619000.0,-1081773000.0,-300022000.0,-2291762000.0,-52437000.0,-1008819000.0,-2344199000.0,0.0,,-0.02464046434705056,-0.003629571225857867,,,0.0,753169000.0,,6527473000.0,,2207427000.0,,
2020-03-31,152144560000.0,129920587000.0,20694725000.0,11883540000.0,-156277000.0,-126678000.0,523999000.0,-33362000.0,2442720000.0,44314000.0,699060000.0,2398406000.0,0.0,542783000.0,-0.006121270033788804,-0.0008326160330674984,-0.0010271612734625542,-0.007551537891902405,0.0,459511000.0,,7450331000.0,,2193268000.0,,
2020-06-30,152353787000.0,132127010000.0,18834892000.0,11100000000.0,,-1999104000.0,952998000.0,-219500000.0,2378828000.0,96094000.0,1497903000.0,2282734000.0,0.0,,-0.10613833092326731,-0.013121459199435588,,,0.0,-2002195000.0,,6838777000.0,,2053744000.0,,
2020-09-30,145739595000.0,124934624000.0,19532351000.0,8900000000.0,,-1226269000.0,1322938000.0,-272900000.0,4894072000.0,137059000.0,2120365000.0,4757013000.0,0.0,,-0.06278143373524263,-0.008414110111943155,,,0.0,-3894670000.0,,7093954000.0,,1718162000.0,,
2020-12-31,149432676000.0,128169964000.0,19886878000.0,12621281000.0,-610671000.0,2511687000.0,-1139132000.0,415117000.0,-4446621000.0,-81660000.0,-1551278000.0,-4528281000.0,0.0,-2161949000.0,0.12629870812301458,0.016808151116828023,-0.004086596160534527,-0.030707233181598438,0.0,-840364000.0,,4909872000.0,,1660803000.0,,
2021-06-30,155185643000.0,132082322000.0,21413852000.0,16500000000.0,,1705669000.0,588668000.0,658500000.0,4742426000.0,108847000.0,1109851000.0,4633579000.0,0.0,,0.07965260056901487,0.010991152061663333,,,0.0,991983000.0,,7145045000.0,,1725472000.0,,
2021-09-30,155860507000.0,131955944000.0,22075785000.0,18600000000.0,,2412368000.0,850855000.0,885800000.0,5961580000.0,158603000.0,1665858000.0,5802977000.0,0.0,,0.10927665765905946,0.015477737410414045,,,0.0,5403455000.0,,10665288000.0,,1623329000.0,,
2021-12-31,159821231000.0,135353881000.0,22513955000.0,19300000000.0,,2982362000.0,1103408000.0,1083583000.0,8539268000.0,233640000.0,2354705000.0,8305628000.0,0.0,,0.13246726308194184,0.01866061211854888,,,0.0,9612086000.0,,14213903000.0,,1403799000.0,,
2022-03-31,153786178000.0,131841472000.0,21944706000.0,13500000000.0,777763000.0,616095000.0,242183000.0,161700000.0,2149646000.0,37830000.0,985526000.0,2111816000.0,0.0,1763289000.0,0.028074880565727333,0.004006179280949423,0.005057431104113921,0.03544194212490247,0.0,7716494000.0,,20854000000.0,,2785114000.0,,
2022-06-30,165323832000.0,144442109000.0,20881723000.0,10500000000.0,,1054640000.0,616485000.0,268700000.0,1884033000.0,84157000.0,1394273000.0,1799876000.0,0.0,,0.05050541088012708,0.006379237568120246,,,0.0,7065465000.0,,18020297000.0,,2812931000.0,,
2022-09-30,166828828000.0,147778000000.0,19050828000.0,9000000000.0,,1282467000.0,1254941000.0,344900000.0,3735451000.0,137338000.0,2119639000.0,3598113000.0,0.0,,0.06731817640682074,0.007687322481220092,,,0.0,5935564000.0,,15815433000.0,,3217017000.0,,
