report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-11-30,39161000000.0,1821000000.0,7340000000.0,39161000000.0,23929000000.0,7168000000.0,56000000.0,465000000.0,,87000000.0,357000000.0,-186000000.0,4000000.0,0.45999999999999996,-1257000000.0,-2096000000.0,-736000000.0,-3353000000.0,7224000000.0,0.2481,23.3851,1.9732,0.45999999999999996,-649000000.0,0.014919135776672657,0.009116212558412707,,,0.00222159801843671,0.0027926684428465957,,,0.301893100422082,0.24809264305177112,,1298000000.0,1642000000.0,-3525000000.0,3169000000.0,336000000.0,1.67,1.67,2.279583464815399,4.886904761904762,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2013-02-28,38675000000.0,1792000000.0,6782000000.0,38675000000.0,23523000000.0,7622000000.0,122000000.0,476000000.0,,145000000.0,37000000.0,83000000.0,2000000.0,0.05,399000000.0,241000000.0,389000000.0,158000000.0,7744000000.0,,19.0509,1.8242,0.05,534000000.0,0.0015729286230497812,0.0009566903684550743,,,0.0037491919844861023,0.004637477212396456,,,0.3292097096458785,0.2642288410498378,,1474000000.0,1869000000.0,-3422000000.0,3409000000.0,331000000.0,1.9,1.9,2.271633910237606,5.646525679758308,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2013-05-31,39979000000.0,2324000000.0,8055000000.0,39979000000.0,23280000000.0,7848000000.0,14000000.0,711000000.0,,297000000.0,78000000.0,161000000.0,2000000.0,0.1,1556000000.0,1447000000.0,780000000.0,109000000.0,7862000000.0,,17.2271,1.6862,0.1,1077000000.0,0.0033505154639175256,0.0019510242877510693,,,0.00742890017259061,0.009536959732836683,,,0.3377147766323024,0.28851644941030413,,1677000000.0,1995000000.0,-2774000000.0,3563000000.0,317000000.0,2.16,2.16,2.206567499298344,6.2933753943217665,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2013-08-31,40393000000.0,2634000000.0,7488000000.0,40393000000.0,24260000000.0,7792000000.0,196000000.0,981000000.0,,1249000000.0,1012000000.0,237000000.0,3000000.0,1.3,2359000000.0,1812000000.0,1186000000.0,547000000.0,7988000000.0,,25.4252,1.8271,1.3,2435000000.0,0.041714756801319045,0.025053845963409503,,,0.030921199217686234,0.03873108409823865,,,0.32926628194558943,0.35176282051282054,,1484000000.0,1778000000.0,-2539000000.0,3397000000.0,295000000.0,1.91,1.91,2.3514866058286725,6.027118644067796,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2013-11-30,40104000000.0,1937000000.0,6720000000.0,40104000000.0,24556000000.0,8092000000.0,60000000.0,462000000.0,,-339000000.0,-49000000.0,-162000000.0,-13000000.0,-0.060000000000000275,-1480000000.0,-1351000000.0,-767000000.0,-2831000000.0,8152000000.0,0.2882,26.5378,1.8114,-0.060000000000000275,-1106000000.0,-0.0019954389965792475,-0.0012218232595252343,,,-0.008453022142429684,-0.010364436835025071,,,0.33197589183906173,0.2882440476190476,,1078000000.0,1352000000.0,-2017000000.0,2940000000.0,319000000.0,1.3899999999999997,1.3899999999999997,2.7727891156462583,4.238244514106583,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2014-02-28,39905000000.0,1645000000.0,6688000000.0,39905000000.0,24470000000.0,7992000000.0,406000000.0,421000000.0,,72000000.0,-15000000.0,72000000.0,1000000.0,-0.02,477000000.0,353000000.0,404000000.0,124000000.0,8398000000.0,,31.1281,2.011,-0.02,476000000.0,-0.0006129955046996322,-0.0003758927452700163,,,0.001804285177296078,0.002190580503833516,,,0.3431957498978341,0.24596291866028708,,1026000000.0,1279000000.0,-2051000000.0,2882000000.0,308000000.0,1.3199999999999996,1.3199999999999996,2.913948646773074,4.152597402597403,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2014-05-31,40526000000.0,1625000000.0,7401000000.0,40526000000.0,24365000000.0,7880000000.0,508000000.0,343000000.0,,227000000.0,91000000.0,143000000.0,2000000.0,0.12,1673000000.0,1329000000.0,814000000.0,344000000.0,8388000000.0,,29.5387,1.9974,0.12,1041000000.0,0.003734865585881387,0.0022454720426392932,,,0.005601342348122193,0.006930662840045187,,,0.3442643135645393,0.21956492365896502,,1039000000.0,1209000000.0,-1816000000.0,2846000000.0,290000000.0,1.3399999999999999,1.3399999999999999,2.9472944483485595,4.1689655172413795,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2014-08-31,39997000000.0,1602000000.0,7056000000.0,39997000000.0,25157000000.0,6967000000.0,146000000.0,436000000.0,,1525000000.0,1338000000.0,213000000.0,2000000.0,1.72,2793000000.0,1677000000.0,1227000000.0,1116000000.0,7113000000.0,,21.5484,1.8548,1.72,2752000000.0,0.05318599197042573,0.03345250893817036,,,0.03812785958946921,0.047257514719553764,,,0.28274436538537984,0.22704081632653061,,1365000000.0,1485000000.0,-1247000000.0,3163000000.0,266000000.0,1.7599999999999998,1.7599999999999998,2.248814416693013,5.582706766917293,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2014-11-30,39532000000.0,1503000000.0,6921000000.0,39532000000.0,24288000000.0,7363000000.0,666000000.0,331000000.0,,-32000000.0,-178000000.0,-140000000.0,4000000.0,-0.22999999999999998,-1513000000.0,-776000000.0,-810000000.0,-2289000000.0,8029000000.0,0.215,27.0683,2.0722,-0.22999999999999998,-842000000.0,-0.007328722002635046,-0.00450268137205302,,,-0.00080947080845897,-0.0009901909211869914,,,0.3305747694334651,0.21716514954486346,,1236000000.0,1792000000.0,-705000000.0,3427000000.0,288000000.0,1.59,1.59,2.342865480011672,6.222222222222222,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2015-02-28,38714000000.0,1426000000.0,7412000000.0,38714000000.0,23350000000.0,6944000000.0,874000000.0,280000000.0,,266000000.0,49000000.0,57000000.0,3000000.0,0.06,771000000.0,942000000.0,401000000.0,-171000000.0,7818000000.0,,27.3949,2.2239,0.06,667000000.0,0.0020985010706638116,0.0012656919977269204,,,0.006870899416231854,0.008534394250513347,,,0.33481798715203426,0.1923907177549919,,1300000000.0,1986000000.0,-1000000000.0,3618000000.0,273000000.0,1.6700000000000002,1.6700000000000002,2.1608623548922057,7.274725274725275,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2015-05-31,38611000000.0,1479000000.0,7683000000.0,,23252000000.0,6648000000.0,305000000.0,298000000.0,,554000000.0,271000000.0,114000000.0,7000000.0,0.0,2286000000.0,1381000000.0,807000000.0,905000000.0,6953000000.0,,25.9932,2.3201,0.0,1361000000.0,0.011654911405470498,0.00701872523374168,,,0.014348242728756054,0.018341334216189373,,,0.2990280405986582,0.19250292854353768,,1480000000.0,2313000000.0,-439000000.0,3938000000.0,244000000.0,1.55,1.55,1.765617064499746,9.479508196721312,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2015-08-31,38797000000.0,1617000000.0,6749000000.0,38797000000.0,24353000000.0,6604000000.0,38000000.0,539000000.0,,2064000000.0,1487000000.0,167000000.0,41000000.0,1.91,3567000000.0,1704000000.0,1206000000.0,1863000000.0,6642000000.0,,27.9702,2.4622,1.91,3270000000.0,0.06106023898492999,0.03832770575044462,,,0.05319998968992448,0.06659138570737215,,,0.27273847164620374,0.23959105052600385,,1629000000.0,2852000000.0,308000000.0,4456000000.0,198000000.0,1.74,1.74,1.4905745062836624,14.404040404040405,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2015-11-30,39237000000.0,2451000000.0,6956000000.0,39237000000.0,23771000000.0,7413000000.0,30000000.0,1395000000.0,,-310000000.0,-50000000.0,-121000000.0,-9000000.0,0.2899999999999998,-2079000000.0,-1733000000.0,-788000000.0,-3812000000.0,7443000000.0,0.3524,22.5984,2.5268,0.2899999999999998,-1098000000.0,-0.002103403306549998,-0.0012743074139205343,,,-0.007900705966307311,-0.009931441020055104,,,0.3131126162130327,0.3523576768257619,,1757000000.0,2574000000.0,-1215000000.0,4200000000.0,217000000.0,2.26,2.26,1.7721428571428572,11.861751152073733,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2016-02-29,38446000000.0,1860000000.0,6664000000.0,38446000000.0,22625000000.0,7990000000.0,265000000.0,778000000.0,,434000000.0,142000000.0,52000000.0,1000000.0,0.18,798000000.0,330000000.0,423000000.0,468000000.0,8255000000.0,,20.0788,2.3458,0.18,857000000.0,0.006276243093922652,0.003693492170837018,,,0.011288560578473703,0.01405440414507772,,,0.3648618784530387,0.27911164465786314,,1850000000.0,2742000000.0,-576000000.0,4390000000.0,212000000.0,2.38,2.38,1.8804100227790432,12.933962264150944,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2016-05-31,39851000000.0,1600000000.0,7841000000.0,39851000000.0,22791000000.0,8183000000.0,410000000.0,519000000.0,,912000000.0,747000000.0,108000000.0,3000000.0,0.98,2681000000.0,1966000000.0,861000000.0,715000000.0,8593000000.0,,16.227,2.2718,0.98,1773000000.0,0.03277609582730025,0.018744824471155053,,,0.022885247547112995,0.029059393321437674,,,0.3770347944364003,0.20405560515240403,,2326000000.0,3100000000.0,-766000000.0,4802000000.0,206000000.0,3.3599999999999994,3.3599999999999994,1.7894627238650562,15.048543689320388,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
