report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2013-03-31,15655000000.0,1521000000.0,2883000000.0,15655000000.0,4278000000.0,3898000000.0,1041000000.0,125000000.0,852000000.0,-236000000.0,-430000000.0,67000000.0,,-1.82,237000000.0,-146000000.0,296000000.0,,-442000000.0,4939000000.0,-1.82,-236000000.0,-0.1005142589995325,-0.02746726285531779,-0.5046948356807511,-0.27699530516431925,-0.015075055892686044,-0.025604860583704026,-0.5187793427230047,-0.27699530516431925,1.1545114539504442,0.5275754422476587,4641000000.0,-213000000.0,295000000.0,-1902000000.0,295000000.0,267000000.0,-0.8800000000000001,-0.8800000000000001,16.742372881355934,1.104868913857678,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2013-06-30,14989000000.0,1396000000.0,2424000000.0,14989000000.0,4236000000.0,3811000000.0,392000000.0,15000000.0,1865000000.0,-104000000.0,-388000000.0,137000000.0,167000000.0,-1.6,243000000.0,-35000000.0,616000000.0,,-651000000.0,4203000000.0,-1.6,-104000000.0,-0.09159584513692162,-0.025885649476282607,-0.20804289544235924,-0.055764075067024126,-0.006938421509106678,-0.012323735039696646,-0.3490616621983914,-0.055764075067024126,0.9922096317280453,0.5759075907590759,4035000000.0,-731000000.0,-100000000.0,-2088000000.0,-100000000.0,274000000.0,-3.05,-3.05,-42.03,-0.36496350364963503,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2013-09-30,14912000000.0,1465000000.0,2378000000.0,14912000000.0,4302000000.0,3805000000.0,404000000.0,58000000.0,3575000000.0,513000000.0,-270000000.0,205000000.0,280000000.0,-1.1,245000000.0,267000000.0,943000000.0,,-676000000.0,4209000000.0,-1.1,513000000.0,-0.06276150627615062,-0.018106223175965667,-0.07552447552447553,0.1434965034965035,0.03440182403433476,0.06027493831512161,-0.1890909090909091,0.1434965034965035,0.9783821478382148,0.6160639192598822,3663000000.0,-1243000000.0,-142000000.0,-2295000000.0,-142000000.0,281000000.0,-5.21,-5.21,-29.640845070422536,-0.505338078291815,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2013-12-31,14848000000.0,1398000000.0,2313000000.0,14848000000.0,4315000000.0,4053000000.0,565000000.0,23000000.0,-1626000000.0,495000000.0,876000000.0,-136000000.0,-128000000.0,3.6599999999999997,-479000000.0,411000000.0,-545000000.0,473000000.0,-134000000.0,4618000000.0,3.6599999999999997,968000000.0,0.2030127462340672,0.05899784482758621,-0.5387453874538746,-0.3044280442804428,0.03333782327586207,0.055412515392365386,0.08241082410824108,-0.5953259532595326,1.0702201622247973,0.6044098573281452,4666000000.0,-212000000.0,668000000.0,-1903000000.0,1141000000.0,273000000.0,-0.8600000000000003,-0.8600000000000003,4.047326906222612,2.446886446886447,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2014-03-31,15004000000.0,1464000000.0,1912000000.0,15004000000.0,4336000000.0,4452000000.0,509000000.0,122000000.0,1330000000.0,173000000.0,75000000.0,65000000.0,46000000.0,0.3,251000000.0,284000000.0,282000000.0,133000000.0,2000000.0,4961000000.0,0.3,306000000.0,0.017297047970479706,0.004998667022127433,0.05639097744360902,0.13007518796992482,0.011530258597707278,0.0186081531676885,0.0015037593984962407,0.23007518796992482,1.1441420664206643,0.7656903765690377,5144000000.0,293000000.0,1077000000.0,-1459000000.0,1683000000.0,271000000.0,1.2599999999999998,1.2599999999999998,2.947712418300654,3.974169741697417,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2014-06-30,15070000000.0,1316000000.0,1767000000.0,15070000000.0,4335000000.0,4557000000.0,479000000.0,184000000.0,2447000000.0,324000000.0,128000000.0,132000000.0,91000000.0,0.51,251000000.0,419000000.0,553000000.0,265000000.0,-134000000.0,5036000000.0,0.51,589000000.0,0.02952710495963091,0.00849369608493696,0.052308949734368615,0.13240702901512055,0.021499668214996683,0.0345747518941415,-0.054760931753167146,0.2407029015120556,1.1617070357554786,0.7447651386530844,5726000000.0,809000000.0,1505000000.0,-942000000.0,2376000000.0,266000000.0,3.37,3.37,2.1195286195286194,5.657894736842105,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2014-09-30,15298000000.0,1369000000.0,1809000000.0,15298000000.0,4362000000.0,4691000000.0,533000000.0,257000000.0,1313000000.0,166000000.0,79000000.0,68000000.0,34000000.0,0.31,252000000.0,,,,,5224000000.0,0.31,166000000.0,0.018110958276020175,0.005164073735128775,0.060167555217060166,0.12642802741812642,0.010851091645966792,0.017316920509075736,,0.12642802741812642,1.1976157725813847,0.7567716970702045,3464000000.0,1158000000.0,1158000000.0,,2029000000.0,129000000.0,4.78,4.78,2.57466732380483,8.976744186046512,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2014-12-31,15667000000.0,1084000000.0,2065000000.0,15667000000.0,4322000000.0,4441000000.0,729000000.0,14000000.0,-212000000.0,-59000000.0,-40000000.0,3000000.0,-33000000.0,-0.16000000000000014,-502000000.0,151000000.0,388000000.0,151000000.0,-237000000.0,5170000000.0,-0.16000000000000014,92000000.0,-0.00925497454881999,-0.002553137167294313,0.18867924528301888,0.2783018867924528,-0.0037658773217591115,-0.006215760640539402,1.1179245283018868,-0.4339622641509434,1.1962054604349839,0.5249394673123486,4878000000.0,242000000.0,604000000.0,,1153000000.0,268000000.0,0.9600000000000002,0.9600000000000002,4.483954900260191,2.253731343283582,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2015-03-31,16027000000.0,1411000000.0,2157000000.0,16027000000.0,4317000000.0,4649000000.0,803000000.0,141000000.0,1371000000.0,142000000.0,53000000.0,68000000.0,30000000.0,0.21,253000000.0,157000000.0,246000000.0,159000000.0,-89000000.0,5452000000.0,0.21,301000000.0,0.012277044243687746,0.003306919573220191,0.03865791393143691,0.10357403355215171,0.008860048667872964,0.014535776435663835,-0.06491611962071481,0.21954777534646244,1.2629140606902942,0.6541492814093649,4919000000.0,220000000.0,573000000.0,,1148000000.0,271000000.0,0.8700000000000001,0.8700000000000001,4.7491289198606275,2.114391143911439,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2015-06-30,16132000000.0,1291000000.0,2033000000.0,16132000000.0,4318000000.0,4848000000.0,798000000.0,34000000.0,2511000000.0,281000000.0,106000000.0,139000000.0,57000000.0,0.42,254000000.0,339000000.0,562000000.0,316000000.0,-223000000.0,5646000000.0,0.42,597000000.0,0.024548402037980546,0.0065707909744607,0.04221425726802071,0.11190760653126244,0.017418794941730723,0.028201525491770373,-0.08880923934687375,0.23775388291517324,1.3075497915701715,0.6350221347761928,4983000000.0,198000000.0,530000000.0,,1156000000.0,278000000.0,0.78,0.78,4.884083044982699,1.9064748201438848,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2015-09-30,16557000000.0,1546000000.0,2340000000.0,16557000000.0,4348000000.0,4845000000.0,1128000000.0,271000000.0,3873000000.0,464000000.0,197000000.0,210000000.0,106000000.0,0.78,254000000.0,601000000.0,855000000.0,494000000.0,-254000000.0,5973000000.0,0.78,958000000.0,0.0453081876724931,0.011898290753155766,0.050864962561321975,0.11980376968758069,0.028024400555656217,0.044956884022866,-0.06558223599277047,0.24735347276013425,1.3737350505979762,0.6606837606837607,7543000000.0,316000000.0,828000000.0,-803000000.0,1948000000.0,420000000.0,1.25,1.25,3.066221765913758,1.9714285714285715,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2015-12-31,16326000000.0,1202000000.0,2308000000.0,16326000000.0,4413000000.0,4656000000.0,1063000000.0,25000000.0,-2732000000.0,-214000000.0,-29000000.0,-137000000.0,-64000000.0,-0.1200000000000001,-507000000.0,-158000000.0,-433000000.0,-318000000.0,-591000000.0,5719000000.0,-0.1200000000000001,-532000000.0,-0.006571493315205076,-0.001776307730001225,0.01061493411420205,0.07833089311859444,-0.013107926007595246,-0.021121200157915514,0.21632503660322108,0.19472913616398244,1.295943802401994,0.5207972270363952,5023000000.0,327000000.0,673000000.0,-1157000000.0,1324000000.0,280000000.0,1.29,1.29,4.319486404833837,2.4035714285714285,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
