report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-09-30,26443000000.0,4128000000.0,3915000000.0,18651000000.0,7792000000.0,,600000000.0,707000000.0,,8949000000.0,1659000000.0,694000000.0,720000000.0,270000000.0,1.42,490226743.0,1823000000.0,348000000.0,1475000000.0,600000000.0,,25.6663,,1.42,1659000000.0,0.08906570841889117,0.026245131036569225,0.07755056430886133,0.18538384177003017,0.06273872102257687,0.1976882745471878,0.16482288523857413,0.18538384177003017,0.07700205338809035,1.0544061302681993,16087000000.0,1512000000.0,3931000000.0,3016000000.0,3931000000.0,1581000000.0,3.01,3.01,0.15263291783261257,2.4864010120177102,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2019-12-31,26616000000.0,4114000000.0,4574000000.0,18656000000.0,7959000000.0,,350000000.0,300000000.0,,-5818000000.0,-1374000000.0,-572000000.0,-640000000.0,-282000000.0,-1.1499999999999997,-1006680161.0,-357000000.0,-193000000.0,-550000000.0,350000000.0,0.8994,12.0821,,-1.1499999999999997,-1374000000.0,-0.0718683251664782,-0.021490832581905622,0.0983155723616363,0.23616363011344105,-0.05162308385933273,-0.16536285954988567,0.09453420419388106,0.23616363011344105,0.04397537379067722,0.8994315697420201,11809000000.0,928000000.0,1993000000.0,1830000000.0,1993000000.0,797000000.0,1.86,1.86,0.17561465127947817,2.5006273525721454,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2020-03-31,26669000000.0,4559000000.0,4604000000.0,18743000000.0,7936000000.0,,700000000.0,717000000.0,488448029.0,2858000000.0,391000000.0,56000000.0,300000000.0,17000000.0,0.11,490638626.0,552000000.0,261000000.0,291000000.0,700000000.0,,10.2709,,0.11,391000000.0,0.007056451612903226,0.0020998162660767184,0.01959412176347096,0.13680895731280615,0.014661217143499944,0.045275590551181105,0.10181945416375088,0.13680895731280615,0.08820564516129033,0.9902258905299739,11744000000.0,759000000.0,1894000000.0,1851000000.0,1894000000.0,875000000.0,1.5300000000000002,1.5300000000000002,0.36958817317845827,2.1645714285714286,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2020-06-30,26307000000.0,4037000000.0,4631000000.0,18263000000.0,8056000000.0,,550000000.0,382000000.0,488772572.0,5367000000.0,766000000.0,222000000.0,440000000.0,84000000.0,0.45,490709932.0,1309000000.0,588000000.0,721000000.0,550000000.0,,15.9946,,0.45,766000000.0,0.027557100297914597,0.008438818565400843,0.04136389044158748,0.1427240544065586,0.029117725320256967,0.08900766906809203,0.13433948201975032,0.1427240544065586,0.0682720953326713,0.8717339667458432,11356000000.0,400000000.0,1442000000.0,1937000000.0,1442000000.0,820000000.0,0.8300000000000003,0.8300000000000003,0.3814147018030513,1.7585365853658537,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2020-09-30,25499000000.0,3757000000.0,3383000000.0,17068000000.0,8444000000.0,,0.0,500000000.0,488874505.0,8919000000.0,1443000000.0,665000000.0,541000000.0,283000000.0,1.35,490914478.0,2350000000.0,838000000.0,1512000000.0,0.0,,10.256,,1.35,1443000000.0,0.07875414495499763,0.026079454096239067,0.07455992824307658,0.16178943827783385,0.056590454527628536,0.17089057318806253,0.16952573158425832,0.16178943827783385,0.0,1.1105527638190955,11326000000.0,371000000.0,1226000000.0,1974000000.0,1226000000.0,641000000.0,0.7600000000000005,0.7600000000000005,0.0,1.9126365054602184,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2020-12-31,25208000000.0,3429000000.0,3036000000.0,16847000000.0,8371000000.0,,0.0,406000000.0,,-5701000000.0,-1081000000.0,-307000000.0,-651000000.0,-118000000.0,-0.6100000000000001,-981172568.0,-874000000.0,-428000000.0,-1302000000.0,0.0,1.1294,15.1254,,-0.6100000000000001,-1081000000.0,-0.03667423246923904,-0.012178673437004125,0.05385020171899667,0.18961585686721627,-0.04288321167883212,-0.12913630390634334,0.22838098579196633,0.18961585686721627,0.0,1.1294466403162056,11443000000.0,636000000.0,1519000000.0,1222000000.0,1519000000.0,630000000.0,1.3,1.3,0.0,2.411111111111111,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2021-03-31,25886000000.0,3688000000.0,5406000000.0,19793000000.0,6100000000.0,,1300000000.0,561000000.0,481468094.0,3207000000.0,-2583000000.0,-2043000000.0,29000000.0,-485000000.0,-4.21,484699267.0,-1653000000.0,192000000.0,-1845000000.0,1300000000.0,1.1294,15.1254,,-4.21,-2583000000.0,-0.33491803278688526,-0.0789229699451441,-0.637043966323667,-0.8054256314312441,-0.0997836668469443,-0.34905405405405404,-0.5753040224508886,-0.8054256314312441,0.21311475409836064,0.68220495745468,11792000000.0,-1463000000.0,-1455000000.0,-914000000.0,-1455000000.0,359000000.0,-3.02,-3.02,-0.8934707903780069,-4.052924791086351,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2021-06-30,27015000000.0,4749000000.0,5223000000.0,20947000000.0,6076000000.0,,,444000000.0,482468556.0,5772000000.0,-2521000000.0,-2006000000.0,164000000.0,-600000000.0,-4.13,485364606.0,-1057000000.0,546000000.0,-1603000000.0,0.0,,,,-4.13,-2521000000.0,-0.33015141540487164,-0.074255043494355,-0.3475398475398475,-0.43676368676368676,-0.09331852674440126,-0.41491112574061884,-0.27772002772002774,-0.43676368676368676,0.0,0.9092475588742103,12197000000.0,-3691000000.0,-4742000000.0,-3238000000.0,-4742000000.0,83000000.0,-7.6,-7.6,-0.0,-57.13253012048193,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2021-09-30,29932000000.0,7846000000.0,7922000000.0,23901000000.0,6036000000.0,,,351000000.0,482551344.0,8763000000.0,-2401000000.0,-2000000000.0,288000000.0,-569000000.0,-4.14,483150213.0,-493000000.0,790000000.0,-1283000000.0,0.0,,,,-4.14,-2401000000.0,-0.3313452617627568,-0.06681812107443538,-0.22823234052265207,-0.2739929247974438,-0.08021515434985968,-0.39777998674618953,-0.1464110464452813,-0.2739929247974438,0.0,0.9904064630143903,12041000000.0,-6356000000.0,-8586000000.0,-6033000000.0,-8586000000.0,-170000000.0,-13.09,-13.09,-0.0,-50.50588235294118,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2021-12-31,29683000000.0,7883000000.0,5843000000.0,21391000000.0,8291000000.0,,,1325000000.0,,-5665000000.0,5990000000.0,4775000000.0,-97000000.0,1196000000.0,9.790000000000001,-970999542.0,2997000000.0,-495000000.0,2502000000.0,0.0,1.3491,,,9.790000000000001,5990000000.0,0.5759257025690507,0.16086648923626318,-0.8428949691085613,-1.0573698146513681,0.20179900953407676,0.7224701483536364,-0.4416593115622242,-1.0573698146513681,0.0,1.3491357179531063,12077000000.0,-1274000000.0,-1515000000.0,-2229000000.0,-1515000000.0,384000000.0,-2.6899999999999977,-2.6899999999999977,-0.0,-3.9453125,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
