report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2015-09-26,19703100000.0,2880800000.0,1661200000.0,8971100000.0,10732000000.0,5229900000.0,86900000.0,506500000.0,,1344700000.0,548800000.0,188600000.0,112600000.0,19600000.0,0.0,146900000.0,136000000.0,38600000.0,175400000.0,97400000.0,5316800000.0,,4.4691,154.7651,0.0,364000000.0,0.010491986582184122,0.005714836751577163,0.08373614932698743,0.4081207704320666,0.14025433182122407,0.009572097791718054,0.01175165744479338,0.0724325128281401,0.2706923477355544,0.4954155795751025,1.734168071273778,,144300000.0,799100000.0,1939500000.0,950300000.0,1396700000.0,0.0,0.0,3.806687191236486,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2016-04-02,19726200000.0,2974500000.0,2089200000.0,9879500000.0,9847300000.0,5902700000.0,,588900000.0,,1383200000.0,522900000.0,-303800000.0,-334600000.0,-24600000.0,-2.0,143200000.0,170300000.0,34700000.0,182500000.0,135600000.0,5902700000.0,,3.34,,-2.0,-121300000.0,-0.03397885714866004,-0.016962212691750057,-0.24190283400809717,0.37803643724696356,-0.21963562753036436,-0.015400837464894405,-0.01928888888888889,0.09803354540196646,-0.0876951995373048,0.5994231921440395,1.4237507179781734,,-356800000.0,173800000.0,1756900000.0,666200000.0,700200000.0,-3.0,-3.0,8.430019994287347,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2016-07-02,19533600000.0,3032800000.0,2093000000.0,9633900000.0,9900300000.0,5652500000.0,,641800000.0,,2864200000.0,1090100000.0,-65500000.0,-140300000.0,-67300000.0,0.0,143200000.0,399600000.0,57100000.0,369300000.0,342500000.0,5652500000.0,,2.4469,,0.0,303800000.0,-0.014171287738755391,-0.00718249580210509,-0.04898400949654354,0.38059493052161164,-0.022868514768521753,-0.003353196543391899,-0.004211460315827375,0.11957963829341527,0.10606801201033447,0.570942294677939,1.4490205446727187,,-568600000.0,-412400000.0,1762700000.0,352900000.0,101800000.0,-3.0,-3.0,55.52554027504912,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2016-10-01,17467600000.0,2627100000.0,1540100000.0,8796300000.0,8671900000.0,5638000000.0,,362700000.0,,4219100000.0,1596400000.0,-1580700000.0,-1395400000.0,-383700000.0,-9.0,143200000.0,703500000.0,84600000.0,556300000.0,618900000.0,5638000000.0,,2.5658,,-9.0,-1024400000.0,-0.16091052710478673,-0.07988504431060936,-0.33073404280533764,0.3783745348534048,-0.3746533620914413,-0.09049325608555268,-0.11046198785456222,0.14669005238083951,-0.2428005972837809,0.6501458734533377,1.7057983247841049,9811200000.0,-1757700000.0,-1761400000.0,3758200000.0,1194400000.0,-477900000.0,-11.0,-11.0,-11.797447164678804,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2016-12-31,13870100000.0,2805300000.0,1836300000.0,7912500000.0,5958100000.0,5224500000.0,,622300000.0,,-3185900000.0,-1157600000.0,-49700000.0,-2142500000.0,-359900000.0,-17.0,-286300000.0,-618500000.0,-70200000.0,-651100000.0,-688700000.0,5224500000.0,1.5278,2.3485,,-17.0,-700800000.0,-0.35959450160286,-0.15446896561668624,0.6724944285759126,0.3633510154116576,0.015599987444678113,-0.0035832474171058606,-0.004444404700159176,0.21617125459053957,0.2199692394613767,0.8768734999412564,1.5276915536677014,5280600000.0,-4012800000.0,-1999700000.0,2051800000.0,408300000.0,-1542700000.0,-28.0,-28.0,-3.386594930965191,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2017-04-01,13979400000.0,5113400000.0,2485200000.0,7912100000.0,6067800000.0,4618900000.0,,3077800000.0,,1194000000.0,464400000.0,128500000.0,71600000.0,24200000.0,0.0,143600000.0,194500000.0,22000000.0,109400000.0,172500000.0,4618900000.0,,1.8682,,0.0,237900000.0,0.011799993407824913,0.005121822109675666,0.059966499162479064,0.38894472361809046,0.1076214405360134,0.009192096942644177,0.01202429187681885,0.1444723618090452,0.19924623115577889,0.7612149378687498,2.0575406405923062,5091400000.0,-3606600000.0,-1567400000.0,1993300000.0,445200000.0,-1183500000.0,-26.0,-26.0,-3.9027460920997044,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2017-07-01,11792200000.0,2821300000.0,1629700000.0,5711000000.0,6081200000.0,3267900000.0,,760800000.0,,2431900000.0,968900000.0,277300000.0,2000000.0,17600000.0,0.0,143600000.0,285300000.0,37200000.0,220800000.0,248100000.0,3267900000.0,,2.1617,,0.0,498100000.0,0.00032888245740972177,0.00016960363630196231,0.0008224022369340845,0.3984127636827172,0.1140260701509108,0.023515544173267074,0.02966060904258164,0.10201899749167317,0.20481927710843373,0.5373774912846149,1.7311775173344788,4659100000.0,-3464300000.0,-1224600000.0,1872100000.0,350800000.0,-989200000.0,-26.0,-26.0,-3.3035786494136676,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2017-09-30,11842600000.0,2971800000.0,1732500000.0,5800800000.0,6041700000.0,3275700000.0,,775900000.0,,3663100000.0,1466700000.0,439600000.0,46400000.0,101800000.0,0.0,142800000.0,482000000.0,55200000.0,333100000.0,426800000.0,3275700000.0,,2.4625,,0.0,772700000.0,0.007679957627819985,0.00391805853444345,0.012666866861401544,0.4003985695176217,0.12000764379896808,0.03712022697718406,0.04718054392856376,0.11651333569927111,0.21094155223717617,0.5421818362381449,1.7153246753246754,4103100000.0,-2022500000.0,795700000.0,1742400000.0,158700000.0,807900000.0,-17.0,-17.0,4.054585963609358,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2017-12-31,11628800000.0,2819600000.0,1436000000.0,5458200000.0,6170500000.0,3270800000.0,,678700000.0,,-2342800000.0,-920500000.0,-247200000.0,-400000.0,16900000.0,0.0,-287400000.0,-262900000.0,-25800000.0,-218500000.0,-288700000.0,3270800000.0,1.9638,2.5538,105.5305,0.0,-465700000.0,-6.482456851146585e-05,-3.4397358282883873e-05,0.00017073587160662456,0.39290592453474477,0.10551476865289397,-0.021257567418822235,-0.026182834990944044,0.12322861533208126,0.19877923851801263,0.5300704967182562,1.963509749303621,4946200000.0,119600000.0,598200000.0,1979500000.0,558700000.0,1043000000.0,0.0,0.0,3.1359539789069992,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2018-03-31,11639600000.0,2900700000.0,1392500000.0,5434000000.0,6205400000.0,3280600000.0,,687300000.0,,1217000000.0,492700000.0,156300000.0,80800000.0,29700000.0,0.0,141400000.0,172400000.0,13400000.0,109500000.0,159000000.0,3280600000.0,,2.2977,88.5795,0.0,265800000.0,0.013020917265607375,0.0069418193065053785,0.06639276910435497,0.404847986852917,0.128430566967954,0.013428296505034538,0.016476913345983554,0.1306491372226787,0.21840591618734592,0.5286685789795984,2.083087971274686,4969200000.0,128800000.0,626000000.0,2007800000.0,545200000.0,1070900000.0,0.0,0.0,3.063404612942385,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
