report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-09-30,8201610000.0,2705806000.0,3721419000.0,,2195596000.0,1249395000.0,1394498000.0,3619244000.0,227349000.0,138133000.0,65343000.0,57861000.0,0.0,141202000.0,,235416000.0,,1249395000.0,,47.1947,1.4882,0.0,227349000.0,0.06291366899921479,0.016842180986416082,0.03816625792568835,0.06281670978801097,0.027720045210635473,0.06599407661732642,,0.06281670978801097,0.569045944700209,0.7270898547032731,5150898000.0,-90764000.0,-139918000.0,,-139918000.0,88001000.0,-0.6699999999999999,-0.6699999999999999,-8.929480124072672,-1.589959205009034,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2013-12-31,7739481000.0,2219287000.0,3294381000.0,7739481000.0,2145464000.0,1249412000.0,1021033000.0,-2077736000.0,255681000.0,231669000.0,-43110000.0,25872000.0,1.67,-273248000.0,763200000.0,-171831000.0,591369000.0,1249412000.0,0.6736,38.7972,1.8934,1.67,255681000.0,0.10798083771156262,0.029933402511098613,-0.1115006911368913,-0.12305750104921896,0.033035936130601004,0.0753137964391041,-0.28462181913390344,-0.12305750104921896,0.5823504845571867,0.6736582684273617,4771259000.0,232850000.0,366060000.0,,366060000.0,87358000.0,1.67,1.67,3.4131344588318853,4.190343185512488,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2014-03-31,8888377000.0,3314954000.0,4449255000.0,,1995161000.0,1249430000.0,1484066000.0,1200371000.0,-2998000.0,-14304000.0,21804000.0,319000.0,0.0,130559000.0,,74749000.0,,1249430000.0,,29.0785,1.8926,0.0,-2998000.0,-0.007169346233211255,-0.0016092926751419298,-0.0119163158723428,-0.0024975611706714008,-0.0003372944239426388,-0.0009239993577002464,,-0.0024975611706714008,0.6262301638815113,0.7450582176117125,4959263000.0,322772000.0,468690000.0,,468690000.0,87414000.0,1.67,1.67,2.6657918880283344,5.361726954492416,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2014-06-30,9234829000.0,3640965000.0,4857877000.0,,1875666000.0,1249448000.0,1433820000.0,2695003000.0,126222000.0,75069000.0,44125000.0,21070000.0,0.0,134399000.0,,157213000.0,,1249448000.0,,29.4318,1.9101,0.0,126222000.0,0.040022583978170954,0.008128899842108609,0.027854885504765673,0.04683556938526599,0.013668038682687032,0.04038956658861085,,0.04683556938526599,0.6661356552819105,0.7494971568856107,5436882000.0,430567000.0,606254000.0,,606254000.0,88162000.0,1.67,1.67,2.060931556740244,6.876590821442345,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2014-09-30,9424988000.0,3836818000.0,4541707000.0,,1884788000.0,1746712000.0,2252748000.0,4407507000.0,423058000.0,332128000.0,69683000.0,59974000.0,2.0,133683000.0,,239678000.0,,1746712000.0,,26.1083,2.0045,2.0,423058000.0,0.17621504381394618,0.03523908995958403,0.07535507033794842,0.09598578062383112,0.04488684760129138,0.11649676442241498,,0.09598578062383112,0.9267418935179977,0.8447964608901455,6225145000.0,624562000.0,801963000.0,,801963000.0,92502000.0,3.67,3.67,2.1780456205585543,8.669682817668807,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2014-12-31,9020538000.0,2924489000.0,4186615000.0,,1784267000.0,1746787000.0,1402700000.0,-2539396000.0,-28518000.0,5204000.0,-37523000.0,10328000.0,0.0,-265473000.0,,-143253000.0,,1746787000.0,0.6984,27.2456,1.8819,0.0,-28518000.0,0.0029166038490876086,0.0005769057233615113,-0.0020493062129734786,0.011230229550649052,-0.00316145223267171,-0.008076342078031092,,0.011230229550649052,0.9789941751991154,0.6985330631070686,5763485000.0,398097000.0,517764000.0,,517764000.0,98089000.0,2.0,2.0,3.373712733986913,5.278512371417794,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2015-03-31,10135088000.0,3485928000.0,5382649000.0,,1663541000.0,1746862000.0,1735283000.0,1373397000.0,-51001000.0,44143000.0,27994000.0,-910000.0,0.0,131402000.0,,102650000.0,,1746862000.0,,26.1272,2.0093,0.0,-51001000.0,0.026535564798222586,0.0043554629224728985,0.032141471111412065,-0.037134928938973945,-0.005032122069389037,-0.014954537630889957,,-0.037134928938973945,1.050086532282643,0.6476231312872156,5936511000.0,456544000.0,469761000.0,,469761000.0,104279000.0,2.0,2.0,3.718618616700833,4.5048475723779475,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2015-06-30,11831926000.0,4990392000.0,5968228000.0,,2111106000.0,2472536000.0,3187129000.0,3035997000.0,39091000.0,493787000.0,56509000.0,130311000.0,3.0,132184000.0,,468727000.0,,2472536000.0,,17.0772,2.285,3.0,39091000.0,0.2338996715465732,0.04173344221388808,0.16264410010945335,0.012875836175068683,0.003303857715134459,0.008528371107516686,,0.012875836175068683,1.17120409870466,0.8361597445673993,6277505000.0,875262000.0,382630000.0,,382630000.0,116663000.0,5.0,5.0,6.461950186864595,3.2797887933620773,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2015-09-30,12403273000.0,3173472000.0,5941246000.0,,2441048000.0,2475425000.0,1455339000.0,4973750000.0,384089000.0,777003000.0,89768000.0,196261000.0,5.0,132602000.0,,625439000.0,,2475425000.0,,18.1218,2.4134,5.0,384089000.0,0.3183071369346281,0.06264499701006339,0.15622075898466953,0.07722322191505403,0.030966745632382678,0.07812287385692955,,0.07722322191505403,1.014082885711383,0.5341425014214191,6843748000.0,1320137000.0,343661000.0,,343661000.0,136748000.0,8.0,8.0,7.203101312048792,2.5130970836867816,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2015-12-31,15503812000.0,2978761000.0,5926017000.0,,4864394000.0,3201277000.0,1676299000.0,-2710827000.0,41387000.0,-550468000.0,-48076000.0,-122448000.0,-3.0,-262170000.0,,-409775000.0,,3201277000.0,0.5022,24.433,2.7994,-3.0,41387000.0,-0.11316270844836993,-0.03550533249500187,0.20306275538793142,-0.015267296658916265,0.002669472514243594,0.005131253184019036,,-0.015267296658916265,0.6581039693741914,0.5026581935218883,6672317000.0,764465000.0,413566000.0,,413566000.0,126195000.0,5.0,5.0,7.740667753151855,3.277197987241967,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
