report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-08-31,1903800000.0,913500000.0,386200000.0,,993500000.0,353600000.0,,359100000.0,,-331400000.0,-63300000.0,-32000000.0,-15700000.0,2.0,-84600000.0,79300000.0,-23900000.0,-19300000.0,55400000.0,353600000.0,2.3654,28.3838,1.7309,2.0,-82600000.0,-0.03220936084549572,-0.016808488286584725,,,,-0.03324929089190041,-0.04698983000519635,,,0.35591343734272773,2.365354738477473,,127400000.0,221500000.0,837600000.0,43900000.0,262300000.0,,,1.3480747235989325,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2013-11-30,1966200000.0,979300000.0,395900000.0,,1039600000.0,353600000.0,,398100000.0,,237100000.0,77400000.0,44500000.0,24300000.0,,42900000.0,43400000.0,8500000.0,10600000.0,34900000.0,353600000.0,,30.2104,2.018,,88000000.0,0.042804924971142744,0.022632489065201912,,,,0.03936527311565456,0.05555555555555555,,,0.34013081954597923,2.4736044455670623,,145800000.0,250700000.0,885200000.0,104500000.0,292100000.0,,,1.2105443341321465,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2014-02-28,1972300000.0,990500000.0,366900000.0,,1079400000.0,353600000.0,,408200000.0,,452300000.0,135800000.0,77200000.0,41900000.0,,43000000.0,57400000.0,16500000.0,21400000.0,40900000.0,353600000.0,,39.4903,2.7088,,157200000.0,0.07152121549008708,0.03914211833899508,,,,0.06885362267403539,0.0947662247034194,,,0.3275894015193626,2.6996456800218045,,172200000.0,293200000.0,958300000.0,167600000.0,336100000.0,,,1.0520678369532876,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2014-05-31,2049800000.0,1070000000.0,408700000.0,925000000.0,1124800000.0,353600000.0,,467300000.0,,695700000.0,208400000.0,121000000.0,62700000.0,,43000000.0,128800000.0,24800000.0,32200000.0,104000000.0,353600000.0,,32.702,2.3541,,240600000.0,0.10757467994310099,0.05903014928285687,,,,0.10166845545906918,0.14096320346320346,,,0.31436699857752487,2.6180572547100565,,210700000.0,358300000.0,1053700000.0,235200000.0,403200000.0,,,0.876984126984127,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2014-08-31,2168100000.0,1186700000.0,470500000.0,,1163500000.0,353600000.0,,552500000.0,,-405900000.0,-122500000.0,-66900000.0,-39000000.0,4.0,-85900000.0,3500000.0,-14500000.0,-20800000.0,-11000000.0,353600000.0,2.5216,30.7444,2.2581,4.0,-143300000.0,-0.05749892565535024,-0.030856510308565104,,,,-0.05650108389834417,-0.08074616043767714,,,0.3039106145251397,2.5222104144527098,,175800000.0,299100000.0,979200000.0,168800000.0,342500000.0,,,1.0324087591240876,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2014-11-30,2206100000.0,1225500000.0,453600000.0,995400000.0,1210700000.0,353600000.0,,583000000.0,,273000000.0,86700000.0,51100000.0,28600000.0,,43300000.0,46700000.0,18500000.0,11300000.0,28200000.0,353600000.0,,32.5818,2.4097,,98000000.0,0.042206987693070123,0.023163047912605955,,,,0.039300122387924394,0.05542415137761299,,,0.2920624432146692,2.7017195767195767,,182400000.0,308400000.0,1015100000.0,162100000.0,352500000.0,,,1.0031205673758865,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2015-02-28,2218100000.0,1250200000.0,434100000.0,966500000.0,1251600000.0,353700000.0,,601100000.0,,528700000.0,165300000.0,97500000.0,52900000.0,,43300000.0,75500000.0,27000000.0,22500000.0,48500000.0,353700000.0,,35.6062,2.7532,,187800000.0,0.07790028763183125,0.04395653938055092,,,,0.07452324061133403,0.10297140721360494,,,0.28259827420901246,2.8799815710665744,,202700000.0,337900000.0,1091500000.0,169700000.0,383100000.0,,,0.9232576350822239,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2015-05-31,2327800000.0,1343600000.0,486100000.0,1014100000.0,1313700000.0,353700000.0,,652100000.0,,824300000.0,264500000.0,162000000.0,89200000.0,,43400000.0,158200000.0,42300000.0,34200000.0,115900000.0,353700000.0,,35.5364,2.9452,,298700000.0,0.12331582553094314,0.06959360769825586,,,,0.11362660022338689,0.15863020271080724,,,0.26923955240922587,2.764040320921621,,243700000.0,394000000.0,1220100000.0,181600000.0,441200000.0,,,0.8016772438803264,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2015-08-31,2429600000.0,1436500000.0,520900000.0,1069600000.0,1360000000.0,352400000.0,,756800000.0,,-480400000.0,-140200000.0,-88500000.0,-49200000.0,5.0,-86600000.0,8500000.0,-31300000.0,-22200000.0,-22800000.0,352400000.0,2.7134,38.2039,3.1348,5.0,-162400000.0,-0.06507352941176471,-0.03642574909450115,,,,-0.0577049720118538,-0.08187339406680683,,,0.2591176470588235,2.7577270109425993,,222100000.0,376300000.0,1145600000.0,169800000.0,422100000.0,,,0.8348732527837005,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2015-11-30,2506300000.0,1255200000.0,512700000.0,1071400000.0,1434900000.0,352400000.0,,560200000.0,,319400000.0,112400000.0,68400000.0,36800000.0,,43600000.0,51100000.0,23100000.0,14300000.0,28000000.0,352400000.0,,42.2239,3.6154,,126700000.0,0.04766882709596488,0.02729122611020229,,,,0.04484698559629733,0.06288815531807755,,,0.24559202731897692,2.4482153306026917,,239400000.0,402000000.0,1192000000.0,169600000.0,450800000.0,,,0.7817213842058562,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2016-02-29,2619800000.0,997700000.0,513400000.0,1126400000.0,1493400000.0,353500000.0,,224300000.0,,656300000.0,219100000.0,133900000.0,70900000.0,,43700000.0,119500000.0,43800000.0,30700000.0,75700000.0,353500000.0,,35.4801,3.101,,249800000.0,0.08966117584036427,0.05111077181464234,,,,0.08363233834643866,0.11863121988196437,,,0.2367081826704165,1.9433190494740942,,275800000.0,455800000.0,1319600000.0,196800000.0,512800000.0,,,0.6893525741029641,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2016-05-31,2783200000.0,1154800000.0,584600000.0,1195300000.0,1587900000.0,354200000.0,,337000000.0,,1034200000.0,340100000.0,207900000.0,109500000.0,,43700000.0,243900000.0,61800000.0,49000000.0,182100000.0,354200000.0,,42.3604,3.6324,,389100000.0,0.1309276402796146,0.07469818913480886,,,,0.12219747053751077,0.17511971577158747,,,0.22306190566156558,1.9753677728361272,,321700000.0,531400000.0,1529500000.0,263000000.0,603200000.0,,,0.5872015915119363,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2016-08-31,2948000000.0,1322900000.0,672500000.0,1288200000.0,1659800000.0,355000000.0,,413200000.0,,-573700000.0,-196400000.0,-119400000.0,-63400000.0,6.0,-87200000.0,-68800000.0,-45000000.0,-31400000.0,-113800000.0,355000000.0,1.9671,41.5206,3.6685,6.0,-227800000.0,-0.07193637787685263,-0.04050203527815468,,,,-0.0666214382632293,-0.09747865793130832,,,0.2138811905048801,1.9671375464684016,,290800000.0,475200000.0,1436200000.0,172000000.0,537800000.0,,,0.6600966902194124,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2016-11-30,2963400000.0,1356200000.0,609800000.0,1233300000.0,1730100000.0,355700000.0,,451200000.0,,359600000.0,126600000.0,81700000.0,44600000.0,,44000000.0,38700000.0,19500000.0,17200000.0,19200000.0,355700000.0,,36.4456,3.2541,,143800000.0,0.04722270388994856,0.027569683471687926,,,,0.042721198623203074,0.06069613577524211,,,0.20559505230911507,2.224007871433257,,304100000.0,489400000.0,1476400000.0,163200000.0,554900000.0,,,0.6410163993512344,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2017-02-28,2999100000.0,1363900000.0,546800000.0,1194300000.0,1804800000.0,355800000.0,,463200000.0,,695400000.0,234600000.0,149000000.0,76700000.0,,44000000.0,71600000.0,35800000.0,36500000.0,35800000.0,355800000.0,,30.4569,2.714,,271100000.0,0.08255762411347518,0.04968157113800807,,,,0.07822346704011203,0.10858094973618439,,,0.1971409574468085,2.494330651060717,,319200000.0,504900000.0,1515500000.0,123300000.0,576200000.0,,,0.617493925720236,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2017-05-31,2730500000.0,1094100000.0,544300000.0,1195300000.0,1535200000.0,356300000.0,,189700000.0,,1074300000.0,366100000.0,231200000.0,119100000.0,,43700000.0,179300000.0,55200000.0,56500000.0,124100000.0,356300000.0,,22.8689,2.0683,,422600000.0,0.15059927045336113,0.08467313678813404,,,,0.13407800769089911,0.1935500925191647,,,0.23208702449192287,2.010104721660849,,342500000.0,530900000.0,1555600000.0,65300000.0,609700000.0,,,0.5843857634902411,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2017-08-31,2899600000.0,1245600000.0,600900000.0,1234000000.0,1665600000.0,356500000.0,,311100000.0,,-648100000.0,-208500000.0,-140200000.0,-69500000.0,7.0,-88400000.0,26600000.0,-43200000.0,-35600000.0,-16600000.0,356500000.0,2.0729,23.1323,2.1231,7.0,-244100000.0,-0.08417387127761768,-0.04835149675817354,,,,-0.07190646985791144,-0.1031106275654023,,,0.21403698366954851,2.072890664003994,,321700000.0,518800000.0,1481200000.0,162500000.0,593400000.0,,,0.6007751937984496,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2017-11-30,2961400000.0,1323800000.0,594900000.0,1235300000.0,1726100000.0,356500000.0,,428600000.0,,350200000.0,118600000.0,71500000.0,39400000.0,,42100000.0,139800000.0,10300000.0,19000000.0,129500000.0,356500000.0,,23.197,2.0665,,137600000.0,0.04142286078442732,0.024143985952589993,,,,0.04004862565003039,0.05694804571209065,,,0.2065349632118649,2.225247940830392,,311500000.0,510800000.0,1471800000.0,272800000.0,587200000.0,,,0.6071185286103542,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2018-02-28,2750500000.0,1093400000.0,509600000.0,1114700000.0,1635800000.0,356500000.0,,229800000.0,,685100000.0,206600000.0,168400000.0,21200000.0,,41700000.0,178300000.0,20900000.0,38300000.0,157400000.0,356500000.0,,17.6222,1.7057,,244900000.0,0.10294657048538941,0.06122523177604072,,,,0.07511361570623523,0.10369924208201577,,,0.21793617801687248,2.1456043956043955,,330900000.0,482800000.0,1461500000.0,394400000.0,561000000.0,,,0.6354723707664884,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
