report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2022-04-30,1988448000.0,1755500000.0,276709000.0,391206000.0,1597242000.0,,766101000.0,78255000.0,51116000.0,-90296000.0,-89834000.0,5000.0,329000.0,-0.33,269594565.0,-49351000.0,2808000.0,2102000.0,-52159000.0,0.0,,37.4752,-0.33,-88194000.0,-0.056243199214646246,-0.04517794782664671,-1.1479649862628587,0.6531978787297936,-1.1538687623794006,-0.04541028983408166,-0.05653244780690716,-0.6665261005686538,-1.1270078589227526,0.0,6.344209982328005,505362000.0,-691124000.0,-682436000.0,302047000.0,-319147000.0,-662926000.0,2359000.0,-4.87,-4.87,-0.0,-289.29037727850783,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2022-07-31,2265094000.0,1389998000.0,333169000.0,525278000.0,1739816000.0,,269493000.0,180760000.0,117360000.0,-198488000.0,-186140000.0,612000.0,-8515000.0,-0.68,273424105.0,-111477000.0,4101000.0,10794000.0,-115578000.0,0.0,,22.8881,-0.68,-187694000.0,-0.10698832520220529,-0.08217760499122774,-1.0297632219517592,0.6492586855499004,-1.0980747953086967,-0.08762903438003014,-0.11408562744566092,-0.6394003098030537,-1.038360256693959,0.0,4.17205082105478,602977000.0,-746467000.0,-752157000.0,373333000.0,-360249000.0,-725490000.0,2189000.0,-3.96,-3.96,-0.0,-343.6075833714025,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2022-10-31,2214681000.0,952501000.0,404835000.0,532494000.0,1682187000.0,,210472000.0,296083000.0,191677000.0,-302546000.0,-284998000.0,1225000.0,-7916000.0,-1.03,275867765.0,-171218000.0,4827000.0,20097000.0,-176045000.0,0.0,,17.7388,-1.03,-282449000.0,-0.16942111667727786,-0.12868580170236707,-0.9625611737249352,0.6473759047294171,-1.021828338675304,-0.1366092904576325,-0.17985277498874977,-0.5945798982042197,-0.953952101268901,0.0,2.3528128743809207,759897000.0,-832073000.0,-858562000.0,483275000.0,-443023000.0,-817660000.0,2629000.0,-3.6,-3.6,-0.0,-326.57360213008747,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2023-01-31,2258913000.0,914733000.0,473279000.0,602208000.0,1656705000.0,,137941000.0,-132919000.0,-82151000.0,188754000.0,182294000.0,-12000.0,10489000.0,0.6799999999999999,-541083574.0,138759000.0,-6783000.0,-3272000.0,131976000.0,0.0,1.9326,10.1033,0.6799999999999999,185482000.0,0.11003407365825539,0.0806998764449981,-1.3714668331841195,0.6180531000082757,-1.4200678608776773,0.08355965900413163,0.11393337981113114,-0.9929054536973646,-1.3954513651171014,0.0,1.932756365695499,422179000.0,-378678000.0,-402576000.0,278002000.0,-211806000.0,-372855000.0,1830000.0,-1.36,-1.36,-0.0,-219.98688524590165,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2023-07-31,2207197000.0,994761000.0,498372000.0,617878000.0,1589319000.0,,133065000.0,282814000.0,195564000.0,-215734000.0,-196407000.0,1212000.0,2535000.0,-0.68,290775910.0,-39962000.0,494000.0,18623000.0,-40456000.0,0.0,,9.2867,-0.68,-197111000.0,-0.12357934436069788,-0.08898480742770129,-0.6944741066566719,0.6914933489855524,-0.7628123077358264,-0.0977411622070889,-0.13573989866099884,-0.14304808107095124,-0.6969633752218772,0.0,1.9960210445209603,626738000.0,-485251000.0,-528014000.0,422450000.0,-200103000.0,-481772000.0,3037000.0,-1.71,-1.71,-0.0,-173.8603885413237,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2023-10-31,2195867000.0,1069423000.0,498826000.0,615038000.0,1580829000.0,,127340000.0,446979000.0,315964000.0,-297202000.0,-266711000.0,1213000.0,3852000.0,-0.91,292755742.0,-62192000.0,1117000.0,28549000.0,-63309000.0,0.0,,8.0643,-0.91,-268653000.0,-0.16871590791919935,-0.12146045275055366,-0.5966969365451174,0.706887795623508,-0.6649126692752904,-0.1353460842573799,-0.18800388909869442,-0.14163752659520917,-0.6010416596752868,0.0,2.1438798298404653,892957000.0,-565822000.0,-626728000.0,621054000.0,-147834000.0,-562731000.0,3638000.0,-1.9400000000000002,-1.9400000000000002,-0.0,-172.27267729521716,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2024-01-31,2321407000.0,1297331000.0,590067000.0,727364000.0,1594043000.0,,256651000.0,621154000.0,441873000.0,-378416000.0,-338693000.0,1216000.0,5859000.0,-1.15,294923536.0,-68374000.0,1304000.0,38912000.0,-69678000.0,0.0,2.1986,12.8868,-1.15,-339504000.0,-0.21247419297973769,-0.14589987882348937,-0.5452641373958793,0.7113743129723064,-0.6092144621140652,-0.1630114839836358,-0.2373938469664871,-0.11217508057583143,-0.5465697717474249,0.0,2.1986164283039047,1218028000.0,-619517000.0,-702598000.0,871250000.0,-41467000.0,-619786000.0,3629000.0,-2.06,-2.06,-0.0,-193.60650316891704,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2024-04-30,2309730000.0,1065939000.0,566048000.0,694110000.0,1615620000.0,,198716000.0,186355000.0,136218000.0,-80600000.0,-70105000.0,36000.0,1512000.0,-0.23,309547693.0,42003000.0,886000.0,10691000.0,41117000.0,0.0,,9.7174,-0.23,-69909000.0,-0.04339201049751798,-0.030352032488645857,-0.3761906039548174,0.7309597274020015,-0.4325078479246599,-0.03489585362791322,-0.04988796870551244,0.22063802956722384,-0.3751388478978294,0.0,1.8831247526711516,1537302000.0,-871916000.0,-971952000.0,1089619000.0,-132326000.0,-875177000.0,3677000.0,-2.97,-2.97,-0.0,-264.3328800652706,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2024-07-31,2347119000.0,1021276000.0,587908000.0,713432000.0,1633687000.0,,205898000.0,385292000.0,284456000.0,-159981000.0,-139289000.0,,3711000.0,-0.45,310358089.0,44303000.0,1439000.0,21110000.0,42864000.0,0.0,,9.9011,-0.45,-138871000.0,-0.08526051807965664,-0.059344668932423114,-0.36151542206949533,0.7382868058511467,-0.4152201447214061,-0.06816058325121138,-0.09792634696854416,0.11125068779003976,-0.3604305306105499,0.0,1.7371357423270308,1639780000.0,-814798000.0,-916199000.0,1178511000.0,-49006000.0,-816937000.0,,-2.74,-2.74,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2024-10-31,2367020000.0,990991000.0,607483000.0,727497000.0,1639523000.0,,235742000.0,595940000.0,441844000.0,-249101000.0,-217653000.0,,5235000.0,-0.7,312583956.0,37129000.0,1666000.0,31825000.0,35463000.0,0.0,,10.6234,-0.7,-217276000.0,-0.13275385584709698,-0.09195232824395232,-0.3652263650703091,0.7414236332516696,-0.41799677819914755,-0.10523823203859706,-0.15193504452209575,0.059507668557237305,-0.3645937510487633,0.0,1.6313065550805537,1788741000.0,-765740000.0,-868098000.0,1304391000.0,49766000.0,-765560000.0,,-2.53,-2.53,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2025-01-31,2406625000.0,1069722000.0,613553000.0,737378000.0,1669247000.0,,186574000.0,-346126000.0,-252163000.0,160323000.0,138606000.0,,-3624000.0,0.45999999999999985,-617677955.0,-89707000.0,-2131000.0,-20860000.0,-91838000.0,0.0,1.7435,9.3688,0.45999999999999985,139463000.0,0.08303504514310944,0.05759351789331533,-0.4004495472746919,0.7285294950393787,-0.46319259460427703,0.06661735833376617,0.09604510297157941,0.2653311221924964,-0.4029255242310604,0.0,1.7434875226753026,821461000.0,-288441000.0,-329359000.0,610355000.0,27606000.0,-286593000.0,,-0.9200000000000002,-0.9200000000000002,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2025-04-30,2383951000.0,1030598000.0,588928000.0,837409000.0,1546542000.0,,188624000.0,229029000.0,172497000.0,-87483000.0,-208193000.0,,133492000.0,-0.63,327976349.0,52274000.0,146000.0,10848000.0,52128000.0,0.0,,7.0873,-0.63,-76635000.0,-0.13461839381019072,-0.08733107349941337,-0.9090246213361627,0.7531666295534627,-0.38197346187600695,-0.03669664351322657,-0.05656684396544032,0.22760436451279095,-0.3346082810473783,0.0,1.7499558519886982,864135000.0,-426529000.0,-336242000.0,646634000.0,38617000.0,-293319000.0,,-1.3200000000000003,-1.3200000000000003,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2025-07-31,2350484000.0,1092698000.0,596776000.0,842698000.0,1507786000.0,,278005000.0,471212000.0,354206000.0,-168101000.0,-280212000.0,,136762000.0,-0.85,329481933.0,51231000.0,410000.0,23117000.0,50821000.0,0.0,,6.7202,-0.85,-144984000.0,-0.1858433491224882,-0.11921459580239645,-0.594662275154283,0.7516913830717384,-0.3567417637920936,-0.07151761084100126,-0.11148863300229608,0.10785166761457687,-0.30768316596351536,0.0,1.8310019169671703,950055000.0,-567452000.0,-344362000.0,716384000.0,46574000.0,-299432000.0,,-1.7200000000000002,-1.7200000000000002,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2025-10-31,2431969000.0,956962000.0,627625000.0,882047000.0,1549922000.0,,150206000.0,730125000.0,545268000.0,-241412000.0,-340503000.0,,133603000.0,-1.04,328516203.0,72245000.0,519000.0,38050000.0,71726000.0,0.0,,6.2603,-1.04,-203362000.0,-0.2196904102270953,-0.14001124191961328,-0.4663626091422702,0.7468145865434,-0.3306447526108543,-0.09926606794741216,-0.15575751553949166,0.09823797294983735,-0.27853038863208357,0.0,1.5247353116908982,1084240000.0,-690302000.0,-336673000.0,819808000.0,82837000.0,-285518000.0,,-2.0600000000000005,-2.0600000000000005,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2026-01-31,2438102000.0,1050585000.0,756355000.0,1000957000.0,1437145000.0,,169627000.0,-429088000.0,-329870000.0,175687000.0,378173000.0,,-232833000.0,1.15,-655863337.0,-99134000.0,-362000.0,-17082000.0,-99496000.0,0.0,1.389,4.8845,1.15,158605000.0,0.2631418541622453,0.1551095893444983,-0.8813413565515699,0.7687700425087628,-0.40944281825639495,0.07205892124283561,0.12224723322977153,0.2318778432396152,-0.3696328025952718,0.0,1.3890104514414527,1001278000.0,-450735000.0,-321309000.0,742101000.0,75179000.0,-266376000.0,,-1.3700000000000003,-1.3700000000000003,-0.0,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
