report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-12-31,48741000000.0,16696000000.0,11094000000.0,26704000000.0,21590000000.0,,842000000.0,5207000000.0,-91152000000.0,,-2860000000.0,-129000000.0,-1136000000.0,-4.0,-1174455000.0,-2754000000.0,-434000000.0,842000000.0,1.5046,8.221,0.2428,-4.0,,-0.13246873552570634,-0.05867749943579328,0.03137616289275057,,,,,0.038999536822603056,1.5049576347575266,161212000000.0,4762000000.0,267000000.0,7.999999999999999,7.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2015-03-31,49077000000.0,16144000000.0,9864000000.0,26482000000.0,21760000000.0,,35000000.0,5390000000.0,22778000000.0,,987000000.0,86000000.0,391000000.0,1.0,552337000.0,1352000000.0,253000000.0,35000000.0,,10.1921,0.2962,1.0,,0.04535845588235294,0.02011125374411639,0.04333128457283344,,,,,0.001608455882352941,1.6366585563665856,143707000000.0,4177000000.0,285000000.0,6.999999999999999,6.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2015-06-30,49874000000.0,16534000000.0,10075000000.0,26651000000.0,22389000000.0,,42000000.0,5089000000.0,51290000000.0,,1999000000.0,165000000.0,831000000.0,3.0,550985000.0,2779000000.0,527000000.0,42000000.0,,10.0125,0.3419,3.0,,0.08928491670016526,0.04008100413040863,0.038974458958861376,,,,,0.001875921211309125,1.641091811414392,109165000000.0,3741000000.0,316000000.0,5.999999999999999,5.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2015-09-30,49415000000.0,15049000000.0,8875000000.0,25383000000.0,23194000000.0,,43000000.0,4822000000.0,77082000000.0,,3577000000.0,236000000.0,1598000000.0,6.0,549034000.0,4216000000.0,797000000.0,43000000.0,,8.6769,0.3658,6.0,,0.1542209192032422,0.0723869270464434,0.04640512700760229,,,,,0.0018539277399327412,1.695661971830986,59998000000.0,3703000000.0,358000000.0,5.999999999999999,5.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2015-12-31,48580000000.0,12256000000.0,7531000000.0,24642000000.0,23100000000.0,,44000000.0,3074000000.0,-52175000000.0,,-2336000000.0,-177000000.0,-1056000000.0,-3.0,-1105379000.0,-2634000000.0,-499000000.0,44000000.0,1.6274,10.323,0.4409,-3.0,,-0.10112554112554113,-0.04808563194730342,0.04477240057498802,,,,,0.0019047619047619048,1.627406718895233,98975000000.0,4227000000.0,310000000.0,7.0,7.0,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2016-03-31,48246000000.0,11216000000.0,7419000000.0,24603000000.0,22788000000.0,,32000000.0,1723000000.0,17409000000.0,,,86000000.0,198000000.0,0.0,534709000.0,,280000000.0,32000000.0,,12.5545,0.4857,0.0,,,,,,,,,0.00140424784974548,1.5117940423237632,93606000000.0,,310000000.0,5.999999999999999,5.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2016-06-30,50361000000.0,12643000000.0,10400000000.0,26295000000.0,22842000000.0,,1532000000.0,2232000000.0,39258000000.0,,,169000000.0,402000000.0,1.0,532815000.0,,570000000.0,1532000000.0,,13.3428,0.4757,1.0,,,,,,,,,0.06706943349969355,1.215673076923077,81574000000.0,,314000000.0,3.999999999999999,3.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2016-09-30,50254000000.0,11964000000.0,10100000000.0,25943000000.0,22905000000.0,,1583000000.0,2337000000.0,60882000000.0,,,250000000.0,679000000.0,2.0,531650000.0,,863000000.0,1583000000.0,,20.5458,0.5052,2.0,,,,,,,,,0.06911154769700939,1.1845544554455445,65374000000.0,,328000000.0,-8.881784197001252e-16,-8.881784197001252e-16,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2016-12-31,51653000000.0,12680000000.0,9463000000.0,27928000000.0,22390000000.0,,550000000.0,2711000000.0,-33270000000.0,,1555000000.0,-167000000.0,-732000000.0,-1.0,-1069108000.0,2963000000.0,-545000000.0,550000000.0,1.34,29.0705,0.5335,-1.0,,0.06945064761054041,0.030104737382146245,-0.04673880372708145,,,,,0.02456453774006253,1.339955616612068,84279000000.0,,338000000.0,1.9999999999999991,1.9999999999999991,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2017-03-31,51405000000.0,12170000000.0,8730000000.0,27680000000.0,22364000000.0,,609000000.0,1513000000.0,22894000000.0,,,105000000.0,234000000.0,1.0,524520000.0,-549000000.0,315000000.0,609000000.0,,23.9796,0.454,1.0,,,,,,,,,0.027231264532284027,1.3940435280641466,89764000000.0,,357000000.0,2.999999999999999,2.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2017-06-30,51828000000.0,12456000000.0,8874000000.0,28022000000.0,22368000000.0,,493000000.0,2161000000.0,46981000000.0,,,212000000.0,501000000.0,2.0,522329000.0,1316000000.0,635000000.0,493000000.0,,24.0459,0.4596,2.0,,,,,,,,,0.02204041487839771,1.4036511156186613,97487000000.0,,400000000.0,3.999999999999999,3.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2017-09-30,52712000000.0,12935000000.0,9905000000.0,28753000000.0,22523000000.0,,706000000.0,1547000000.0,72608000000.0,,,324000000.0,908000000.0,3.0,520516000.0,1717000000.0,972000000.0,706000000.0,,22.6039,0.4862,3.0,,,,,,,,,0.031345735470408025,1.3059061080262493,109213000000.0,,474000000.0,4.999999999999999,4.999999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2017-12-31,54371000000.0,14390000000.0,10107000000.0,26943000000.0,25085000000.0,,41000000.0,3119000000.0,-40129000000.0,,5106000000.0,-203000000.0,-3336000000.0,3.0,-1048857000.0,1164000000.0,-604000000.0,41000000.0,1.4238,10.0981,0.5025,3.0,,0.2035479370141519,0.09391035662393556,-0.12723965212190685,,,,,0.0016344428941598565,1.423765706935787,102354000000.0,,438000000.0,9.0,9.0,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2018-03-31,52132000000.0,12125000000.0,9236000000.0,27832000000.0,21923000000.0,,42000000.0,842000000.0,23595000000.0,,524000000.0,123000000.0,132000000.0,1.0,489668000.0,488000000.0,336000000.0,42000000.0,,8.6813,0.4279,1.0,,0.02390183825206404,0.010051407964398067,0.022208094935367663,,,,,0.0019157961957761256,1.3127977479428323,103055000000.0,,456000000.0,9.0,9.0,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2018-06-30,54826000000.0,14579000000.0,11732000000.0,29866000000.0,22536000000.0,,341000000.0,1884000000.0,52575000000.0,,1863000000.0,258000000.0,563000000.0,3.0,480995000.0,2852000000.0,673000000.0,341000000.0,,8.7274,0.4734,3.0,,0.08266773162939298,0.03398022835880787,0.035435092724679026,,,,,0.015131345402910898,1.2426696215479032,108649000000.0,,502000000.0,10.0,10.0,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
