report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,20037000000.0,6926000000.0,6025000000.0,20037000000.0,5535000000.0,,1274000000.0,1249000000.0,15756000000.0,5225000000.0,2237000000.0,1483000000.0,212000000.0,621000000.0,3.73,2169000000.0,642000000.0,1274000000.0,,18.1159,1.6305,3.73,2879000000.0,0.26793134598012647,0.07401307580975196,0.09412287382584412,0.3316197004315816,0.141977659304392,0.11164345959974048,0.32853576149214275,0.18272404163493272,0.23017163504968383,1.1495435684647304,21366000000.0,,3289000000.0,7449000000.0,4078000000.0,298000000.0,5.6,5.6,0.312408043158411,11.036912751677852,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2012-12-31,19873000000.0,6589000000.0,6091000000.0,19873000000.0,4985000000.0,,1115000000.0,1106000000.0,-10444000000.0,-3639000000.0,-1705000000.0,-699000000.0,-141000000.0,-436000000.0,-2.92,-791000000.0,-435000000.0,1115000000.0,1.0818,18.8778,1.5684,-2.92,-2140000000.0,-0.14022066198595787,-0.035173350777436725,0.06692837993106089,0.3484297204136346,0.16325162772883953,-0.08579479696070044,-0.2795081967213115,0.2049023362696285,0.22367101303911735,1.0817599737317354,21063000000.0,,2686000000.0,6749000000.0,3543000000.0,284000000.0,4.42,4.42,0.3147050522156365,9.45774647887324,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2013-03-31,19746000000.0,6714000000.0,6851000000.0,19746000000.0,4700000000.0,,1908000000.0,1109000000.0,5318000000.0,1822000000.0,783000000.0,531000000.0,67000000.0,223000000.0,1.36,607000000.0,221000000.0,1908000000.0,,20.7798,1.7821,1.36,1004000000.0,0.11297872340425531,0.026891522333637192,0.09984956750658142,0.34261000376081235,0.14723580293343363,0.03965360072926162,0.11849273607748184,0.1887927792403159,0.40595744680851065,0.9800029192818567,21140000000.0,2281000000.0,2769000000.0,6867000000.0,3629000000.0,280000000.0,4.6000000000000005,4.6000000000000005,0.5257646734637641,9.889285714285714,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2013-06-30,19514000000.0,6731000000.0,6170000000.0,,4373000000.0,,1302000000.0,1160000000.0,10585000000.0,3622000000.0,1579000000.0,1057000000.0,138000000.0,461000000.0,2.0,,433000000.0,1302000000.0,,20.2363,1.7625,2.0,2012000000.0,0.24171049622684657,0.054166239622834886,0.09985829003306566,0.34218233349078886,0.14917335852621635,0.08091626524546479,0.27823788546255507,0.19008030231459613,0.297736107935056,1.0909238249594813,21215000000.0,2372000000.0,2894000000.0,7030000000.0,3755000000.0,276000000.0,4.17,4.17,0.3467376830892144,10.485507246376812,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2013-09-30,19364000000.0,6894000000.0,5780000000.0,,4667000000.0,,1087000000.0,1179000000.0,15847000000.0,5427000000.0,2386000000.0,1603000000.0,211000000.0,685000000.0,4.0,,641000000.0,1087000000.0,,19.2521,1.7019,4.0,3027000000.0,0.3434754660381401,0.08278248295806652,0.1011547927052439,0.3424622957026566,0.15056477566731874,0.12321834331749638,0.4146680570038234,0.19101407206411308,0.2329119348617956,1.1927335640138408,21306000000.0,2492000000.0,3043000000.0,7232000000.0,3903000000.0,275000000.0,4.4399999999999995,4.4399999999999995,0.2785037150909557,11.065454545454546,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2013-12-31,18919000000.0,6550000000.0,5848000000.0,18919000000.0,4856000000.0,,375000000.0,1054000000.0,-10598000000.0,-3631000000.0,-1540000000.0,-1049000000.0,-133000000.0,-440000000.0,-1.83,2433000000.0,-432000000.0,375000000.0,1.12,18.5707,2.0336,-1.83,-1972000000.0,-0.21602141680395387,-0.055446905227549026,0.09898093979996225,0.34261181354972636,0.1453104359313078,-0.08139965114435224,-0.2943987765245651,0.1860728439328175,0.07722405271828665,1.1200410396716827,21152000000.0,2142000000.0,3208000000.0,7240000000.0,4071000000.0,283000000.0,5.529999999999999,5.529999999999999,0.09211495946941783,11.335689045936396,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2014-03-31,19002000000.0,6648000000.0,6259000000.0,,4668000000.0,,927000000.0,1165000000.0,5278000000.0,1825000000.0,797000000.0,538000000.0,71000000.0,226000000.0,1.0,,218000000.0,927000000.0,,19.3515,2.1739,1.0,1015000000.0,0.11525278491859468,0.028312809177981266,0.10193255020841228,0.345774914740432,0.15100416824554755,0.04194295337332912,0.1424486148346738,0.19230769230769232,0.198586118251928,1.0621505032752836,21112000000.0,2149000000.0,3222000000.0,7243000000.0,4082000000.0,287000000.0,5.17,5.17,0.22709456148946594,11.226480836236934,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2014-06-30,19377000000.0,7072000000.0,6050000000.0,,4614000000.0,,591000000.0,1369000000.0,10621000000.0,3634000000.0,1587000000.0,1047000000.0,143000000.0,459000000.0,2.0,,435000000.0,591000000.0,,19.6561,2.2272,2.0,2022000000.0,0.2269180754226268,0.054033132063786966,0.09857828829677055,0.34215233970435927,0.14942095847848602,0.08190122309955102,0.3048991354466859,0.1903775539026457,0.12808842652795838,1.1689256198347107,21148000000.0,2139000000.0,3230000000.0,7255000000.0,4092000000.0,292000000.0,5.17,5.17,0.14442815249266863,11.061643835616438,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2014-09-30,18876000000.0,6921000000.0,6260000000.0,,4265000000.0,,773000000.0,1431000000.0,16063000000.0,5535000000.0,2494000000.0,1609000000.0,214000000.0,749000000.0,4.0,,655000000.0,773000000.0,,18.6545,2.1531,4.0,3149000000.0,0.3772567409144197,0.08524051705869888,0.10016808815289796,0.34458071344082675,0.15526364938056403,0.1321254503072685,0.49503771337832475,0.19604059017618128,0.18124267291910903,1.1055910543130991,21364000000.0,2145000000.0,3338000000.0,7363000000.0,4214000000.0,295000000.0,5.17,5.17,0.18343616516373992,11.315254237288135,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2014-12-31,15526000000.0,5559000000.0,6226000000.0,,729000000.0,,1326000000.0,789000000.0,-12238000000.0,-4311000000.0,-2357000000.0,-1668000000.0,-144000000.0,-578000000.0,-3.0,,-446000000.0,1326000000.0,0.8929,27.6585,2.1399,-3.0,-2803000000.0,-2.288065843621399,-0.10743269354630941,0.13629678051969277,0.3522634417388462,0.19259682954731167,-0.1518098673193353,-1.1469586374695864,0.22904069292368034,1.8189300411522633,0.8928686154834564,19724000000.0,1526000000.0,2521000000.0,6683000000.0,3383000000.0,284000000.0,3.9999999999999996,3.9999999999999996,0.39195979899497485,8.876760563380282,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2015-03-31,15053000000.0,5383000000.0,6186000000.0,,193000000.0,,1612000000.0,587000000.0,4691000000.0,1659000000.0,748000000.0,468000000.0,72000000.0,230000000.0,1.0,,194000000.0,1612000000.0,,26.8658,2.0031,1.0,942000000.0,2.4248704663212437,0.031090148143227265,0.09976550842037946,0.35365593690044766,0.159454274141974,0.04969109147678204,0.41440443213296396,0.20081006182050734,8.352331606217616,0.8701907533139347,19137000000.0,1456000000.0,2472000000.0,6517000000.0,3310000000.0,285000000.0,3.9999999999999996,3.9999999999999996,0.48700906344410877,8.673684210526316,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2015-06-30,15346000000.0,5518000000.0,6765000000.0,,516000000.0,,2055000000.0,603000000.0,9334000000.0,3316000000.0,204000000.0,163000000.0,145000000.0,-51000000.0,0.0,,383000000.0,2055000000.0,,60.0991,2.0077,0.0,587000000.0,0.31589147286821706,0.010621660367522481,0.017463038354403257,0.35526033854724665,0.02185558174416113,0.01329336634953734,0.07934655775962661,0.06288836511677737,3.9825581395348837,0.8156688839615669,17850000000.0,572000000.0,1089000000.0,6199000000.0,1875000000.0,287000000.0,1.9999999999999996,1.9999999999999996,1.096,3.794425087108014,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2015-09-30,14928000000.0,5442000000.0,6201000000.0,,54000000.0,,1460000000.0,643000000.0,14052000000.0,4998000000.0,983000000.0,680000000.0,219000000.0,166000000.0,1.0,,565000000.0,1460000000.0,,66.5335,2.1038,1.0,1548000000.0,12.592592592592593,0.04555198285101822,0.04839168801594079,0.3556789069171648,0.06995445488186736,0.06584941050375134,0.6492734478203435,0.11016225448334757,27.037037037037038,0.8776003870343493,15839000000.0,-357000000.0,-422000000.0,5662000000.0,274000000.0,292000000.0,-1.0000000000000004,-1.0000000000000004,5.328467153284672,-1.4452054794520548,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2015-12-31,14842000000.0,5426000000.0,6349000000.0,,-174000000.0,,1669000000.0,619000000.0,-9486000000.0,-3349000000.0,-322000000.0,-298000000.0,-141000000.0,73000000.0,0.0,,-396000000.0,1669000000.0,0.8546,45.6162,2.4856,0.0,-718000000.0,1.7126436781609196,-0.0200781565826708,0.03141471642420409,0.35304659498207885,0.03394476069997892,-0.021695189327583884,-0.2153846153846154,0.07569049125026354,-9.591954022988507,0.8546227752401953,18591000000.0,1013000000.0,1613000000.0,6624000000.0,2359000000.0,295000000.0,1.9999999999999996,1.9999999999999996,0.7075031793132683,5.467796610169492,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2016-03-31,14820000000.0,5151000000.0,5391000000.0,,109000000.0,,999000000.0,635000000.0,4476000000.0,1639000000.0,804000000.0,545000000.0,76000000.0,207000000.0,1.0,553000000.0,172000000.0,999000000.0,,44.508,2.6401,1.0,976000000.0,5.0,0.03677462887989204,0.12176050044682753,0.3661751563896336,0.17962466487935658,0.05425101214574899,0.7256317689530686,0.21805183199285075,9.1651376146789,0.9554813578185866,18376000000.0,1090000000.0,1669000000.0,6604000000.0,2393000000.0,299000000.0,1.9999999999999996,1.9999999999999996,0.4174676138737986,5.581939799331104,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2016-06-30,14770000000.0,5114000000.0,5228000000.0,,196000000.0,,772000000.0,656000000.0,9064000000.0,3303000000.0,1642000000.0,1111000000.0,157000000.0,424000000.0,3.0,1413000000.0,349000000.0,772000000.0,,25.2475,2.7024,3.0,1991000000.0,5.668367346938775,0.07522004062288422,0.12257281553398058,0.3644086496028244,0.18115622241835835,0.11117129316181448,1.6962809917355373,0.2196601941747573,3.938775510204082,0.978194338179036,18106000000.0,2038000000.0,3107000000.0,6591000000.0,3797000000.0,311000000.0,5.0,5.0,0.2033184092704767,9.990353697749196,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2016-09-30,14899000000.0,5260000000.0,5720000000.0,,299000000.0,,1205000000.0,884000000.0,13658000000.0,4973000000.0,2478000000.0,1661000000.0,238000000.0,651000000.0,4.0,2361000000.0,528000000.0,1205000000.0,,22.7505,2.493,4.0,3006000000.0,5.555183946488294,0.11148399221424257,0.12161370625274565,0.364108947137209,0.1814321276907307,0.16631988724075442,1.6476063829787233,0.22009078928100748,4.030100334448161,0.9195804195804196,17712000000.0,3019000000.0,4602000000.0,6566000000.0,5255000000.0,330000000.0,8.0,8.0,0.22930542340627974,13.945454545454545,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2016-12-31,14602000000.0,5115000000.0,5846000000.0,,-102000000.0,,1133000000.0,923000000.0,-8996000000.0,-3264000000.0,-1607000000.0,-1151000000.0,-152000000.0,-360000000.0,-3.0,,-344000000.0,1133000000.0,0.875,18.9429,2.2437,-3.0,-1951000000.0,11.284313725490197,-0.07882481851801124,0.12794575366829702,0.3628279235215651,0.17863494886616274,-0.1100534173400904,-1.5586808923375364,0.21687416629613163,-11.107843137254902,0.8749572357167293,18202000000.0,2166000000.0,3317000000.0,6651000000.0,4022000000.0,319000000.0,5.0,5.0,0.28170064644455495,10.398119122257054,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2017-03-31,14758000000.0,5112000000.0,5864000000.0,,136000000.0,,1328000000.0,835000000.0,4483000000.0,1652000000.0,834000000.0,563000000.0,83000000.0,207000000.0,1.0,,178000000.0,1328000000.0,,21.4412,2.5568,1.0,1012000000.0,4.139705882352941,0.03814880065049465,0.12558554539370956,0.3685032344412224,0.18603613651572606,0.056511722455617294,0.569672131147541,0.22574169083203213,9.764705882352942,0.8717598908594816,18209000000.0,2184000000.0,3347000000.0,6664000000.0,4058000000.0,326000000.0,5.0,5.0,0.32725480532281914,10.266871165644172,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2017-06-30,15070000000.0,5390000000.0,5889000000.0,,102000000.0,,1246000000.0,1051000000.0,9037000000.0,3296000000.0,1633000000.0,1094000000.0,168000000.0,409000000.0,3.0,,358000000.0,1246000000.0,,21.3238,2.5037,3.0,1991000000.0,10.72549019607843,0.07259455872594558,0.12105787318800487,0.36472280624100917,0.1807015602522961,0.10836098208360982,1.2114243323442135,0.22031647670687174,12.215686274509803,0.9152657497028358,18182000000.0,2167000000.0,3338000000.0,6657000000.0,4058000000.0,337000000.0,5.0,5.0,0.30704780680138,9.905044510385757,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2017-09-30,15049000000.0,5226000000.0,5412000000.0,,259000000.0,,589000000.0,655000000.0,13677000000.0,4955000000.0,2487000000.0,1661000000.0,246000000.0,633000000.0,4.0,2066000000.0,540000000.0,589000000.0,,19.0793,2.2491,4.0,3027000000.0,6.413127413127413,0.11037278224466741,0.12144476127805805,0.36228705125392996,0.18183812239526212,0.16526015017609144,2.9327830188679247,0.2213204650142575,2.2741312741312742,0.9656319290465631,18201000000.0,2167000000.0,3347000000.0,6639000000.0,4079000000.0,345000000.0,5.0,5.0,0.14439813679823485,9.701449275362318,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2017-12-31,15151000000.0,5211000000.0,5858000000.0,,629000000.0,,953000000.0,616000000.0,-8938000000.0,-3350000000.0,-1655000000.0,-1040000000.0,-179000000.0,-473000000.0,-2.0,863000000.0,-352000000.0,953000000.0,0.8896,18.3862,2.2827,-2.0,-2007000000.0,-1.6534181240063592,-0.06864233383935053,0.11635712687402103,0.3748042067576639,0.18516446632356232,-0.10923371394627418,-1.0461441213653604,0.2245468784963079,1.5151033386327504,0.8895527483782861,18259000000.0,2278000000.0,3299000000.0,6553000000.0,4023000000.0,318000000.0,6.0,6.0,0.23688789460601542,10.374213836477987,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2018-03-31,15303000000.0,5372000000.0,6674000000.0,,317000000.0,,1599000000.0,626000000.0,4731000000.0,1324000000.0,247000000.0,93000000.0,66000000.0,104000000.0,0.0,542000000.0,211000000.0,1599000000.0,,20.7348,2.0182,0.0,458000000.0,0.29337539432176657,0.00607723975691041,0.019657577679137603,0.279856267173959,0.05220883534136546,0.016140626021041625,0.1289144050104384,0.09680828577467766,5.044164037854889,0.8049145939466587,18507000000.0,1808000000.0,2712000000.0,6225000000.0,3469000000.0,301000000.0,5.0,5.0,0.4609397520899395,9.009966777408637,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2018-06-30,14564000000.0,5028000000.0,6655000000.0,,-57000000.0,,1741000000.0,484000000.0,9335000000.0,2779000000.0,921000000.0,548000000.0,134000000.0,242000000.0,1.0,1329000000.0,435000000.0,1741000000.0,,21.1715,1.9711,1.0,1356000000.0,-9.614035087719298,0.0376270255424334,0.05870380289234065,0.29769683985002676,0.09866095340117836,0.06323812139522109,0.5469121140142518,0.1452597750401714,-30.54385964912281,0.7555221637866266,18805000000.0,1262000000.0,2000000000.0,5708000000.0,2834000000.0,267000000.0,2.9999999999999996,2.9999999999999996,0.6143260409315455,7.49063670411985,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2018-09-30,14583000000.0,5108000000.0,6805000000.0,,-133000000.0,,1786000000.0,494000000.0,13917000000.0,4195000000.0,1590000000.0,999000000.0,198000000.0,380000000.0,2.0,2021000000.0,652000000.0,1786000000.0,,24.4398,2.1325,2.0,2242000000.0,-7.511278195488722,0.06850442295823904,0.07178271179133434,0.30142990587051804,0.11424876050873033,0.10903106356716726,0.9618874773139746,0.16109793777394554,-13.428571428571429,0.7506245407788391,19045000000.0,600000000.0,1103000000.0,4948000000.0,2049000000.0,219000000.0,0.9999999999999996,0.9999999999999996,0.8716447047340166,5.036529680365297,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2018-12-31,14518000000.0,5041000000.0,6536000000.0,,-287000000.0,,1208000000.0,539000000.0,-9497000000.0,-2701000000.0,-529000000.0,-230000000.0,-135000000.0,-255000000.0,1.0,-922000000.0,-416000000.0,1208000000.0,0.7713,27.984,2.1345,1.0,-945000000.0,0.8013937282229965,-0.015842402534784406,0.024218174160261136,0.28440560176897967,0.055701800568600614,-0.03643752583000413,-0.5743756786102063,0.09950510687585554,-4.209059233449477,0.7712668298653611,18486000000.0,1410000000.0,2229000000.0,5597000000.0,3111000000.0,263000000.0,3.9999999999999996,3.9999999999999996,0.38829958212793314,8.475285171102662,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2019-03-31,15204000000.0,5255000000.0,7197000000.0,15204000000.0,-305000000.0,5990000000.0,1900000000.0,491000000.0,4633000000.0,1428000000.0,655000000.0,454000000.0,65000000.0,143000000.0,1.31,317000000.0,234000000.0,7890000000.0,,23.8545,2.2975,1.31,889000000.0,-1.4885245901639343,0.02986056300973428,0.09799266134254263,0.3082236132095834,0.14137707748758904,0.043080768218889766,0.08635464733025709,0.19188430822361321,-25.868852459016395,0.7301653466722245,18388000000.0,1771000000.0,2637000000.0,5701000000.0,3542000000.0,262000000.0,5.31,5.31,2.22755505364201,10.064885496183207,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2019-06-30,15347000000.0,5321000000.0,6585000000.0,,-178000000.0,,1291000000.0,534000000.0,9200000000.0,2914000000.0,1325000000.0,939000000.0,132000000.0,275000000.0,2.0,926000000.0,470000000.0,1291000000.0,,25.8505,2.5333,2.0,1795000000.0,-5.275280898876405,0.06118459633804652,0.10206521739130435,0.31673913043478263,0.14402173913043478,0.08633609174431485,1.1904761904761905,0.19510869565217392,-7.252808988764045,0.8080485952923311,18253000000.0,2162000000.0,3041000000.0,5836000000.0,3981000000.0,260000000.0,6.31,6.31,0.324290379301683,11.696153846153846,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2019-09-30,15033000000.0,5064000000.0,6782000000.0,,-141000000.0,,1555000000.0,416000000.0,13900000000.0,4469000000.0,2240000000.0,1610000000.0,198000000.0,467000000.0,4.0,1812000000.0,700000000.0,1555000000.0,,24.1883,2.6516,4.0,2940000000.0,-11.418439716312056,0.10709771835295682,0.1158273381294964,0.32151079136690647,0.16115107913669063,0.14900552118672256,1.5841584158415842,0.21151079136690648,-11.02836879432624,0.746682394573872,18236000000.0,2773000000.0,3691000000.0,6110000000.0,4679000000.0,260000000.0,8.309999999999999,8.309999999999999,0.33233596922419323,14.196153846153846,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2019-12-31,15283000000.0,5057000000.0,6919000000.0,,-33000000.0,,1534000000.0,442000000.0,-9233000000.0,-2776000000.0,-1229000000.0,-846000000.0,-134000000.0,-309000000.0,-1.3100000000000005,-319000000.0,-487000000.0,1534000000.0,0.7309,21.8604,2.5557,-1.3100000000000005,-1716000000.0,25.636363636363637,-0.05535562389583197,0.09162785660132135,0.3006606736705296,0.13310949853785337,-0.08041614866191193,-0.8187874750166556,0.1858550850211199,-46.484848484848484,0.7308859661800838,18500000000.0,2157000000.0,2991000000.0,6035000000.0,3908000000.0,261000000.0,5.999999999999999,5.999999999999999,0.3925281473899693,11.459770114942529,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
