report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2013-12-31,11983000000.0,2776000000.0,1545000000.0,11983000000.0,4665000000.0,2948000000.0,314000000.0,295000000.0,1868000000.0,535000000.0,179000000.0,110000000.0,31000000.0,1.4,37000000.0,52000000.0,105000000.0,-15000000.0,3262000000.0,,1.2426,10.9108,1.4,284000000.0,0.023579849946409433,0.009179671200867896,0.058886509635974305,0.28640256959314775,0.09582441113490364,0.014937828590503213,0.022581052100416298,-0.008029978586723769,0.15203426124197003,0.6992497320471597,1.7967637540453074,,27000000.0,190000000.0,,381000000.0,516000000.0,0.34999999999999987,0.34999999999999987,6.321705426356589,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2016-09-30,9697000000.0,2866000000.0,1216000000.0,,3347000000.0,3055000000.0,170000000.0,1188000000.0,4948000000.0,1627000000.0,327000000.0,-29000000.0,133000000.0,0.0,,300000000.0,337000000.0,,3225000000.0,2.3328,2.3851,,0.0,664000000.0,-0.008664475649835674,-0.00299061565432608,-0.005860953920776071,0.3288197251414713,0.06608730800323363,0.03372176961946994,0.04975654290931223,,0.13419563459983833,0.9635494472662085,2.356907894736842,,-302000000.0,-69000000.0,,,274000000.0,-3.42,-3.42,11.77007299270073,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2016-12-31,,,,,,,,,,,,,,,,,,,0.0,,2.652,,,,,,,,,,,,,,,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2017-03-31,9186000000.0,2377000000.0,1037000000.0,,3300000000.0,2812000000.0,95000000.0,605000000.0,2513000000.0,819000000.0,307000000.0,91000000.0,24000000.0,1.0,,104000000.0,153000000.0,,2907000000.0,,2.5223,,1.0,460000000.0,0.027575757575757576,0.009906379272806444,0.036211699164345405,0.32590529247910865,0.12216474333465976,0.03342042238188548,0.04946028677299823,,0.18304814962196578,0.8809090909090909,2.2921890067502413,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2017-06-30,8506000000.0,1839000000.0,895000000.0,,3399000000.0,2584000000.0,223000000.0,492000000.0,2380000000.0,653000000.0,108000000.0,58000000.0,-49000000.0,0.0,,126000000.0,218000000.0,,2807000000.0,,1.3124,,0.0,326000000.0,0.01706384230656075,0.006818716200329179,0.024369747899159664,0.2743697478991597,0.0453781512605042,0.01269691982130261,0.017402513696422817,,0.1369747899159664,0.8258311268020005,2.0547486033519555,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2017-12-31,8655000000.0,1964000000.0,1003000000.0,,3399000000.0,2584000000.0,355000000.0,601000000.0,842000000.0,229000000.0,39000000.0,-4000000.0,14000000.0,0.0,,24000000.0,79000000.0,,2939000000.0,,2.0818,,0.0,118000000.0,-0.0011768167107972932,-0.00046216060080878107,-0.004750593824228029,0.27197149643705465,0.04631828978622328,0.004506065857885615,0.006153360681603029,,0.14014251781472684,0.8646660782583113,1.9581256231306081,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2018-03-31,8441000000.0,1713000000.0,712000000.0,,3511000000.0,2579000000.0,59000000.0,225000000.0,1816000000.0,504000000.0,133000000.0,69000000.0,15000000.0,1.0,,60000000.0,161000000.0,,2638000000.0,,2.0791,,1.0,294000000.0,0.019652520649387637,0.008174386920980926,0.037995594713656385,0.2775330396475771,0.07323788546255507,0.015756426963629902,0.021629533257440235,,0.1618942731277533,0.7513528909142695,2.4058988764044944,7551000000.0,214000000.0,587000000.0,2205000000.0,,1198000000.0,2.0,2.0,2.2020033388981637,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2018-06-30,8224000000.0,1672000000.0,742000000.0,,3399000000.0,2450000000.0,82000000.0,182000000.0,2787000000.0,794000000.0,200000000.0,104000000.0,10000000.0,1.0,,102000000.0,236000000.0,,2532000000.0,,2.6405,101.7677,1.0,436000000.0,0.030597234480729627,0.01264591439688716,0.037316110513096516,0.28489415141729457,0.07176175098672408,0.024319066147859923,0.03372112628561794,,0.15644061715105848,0.7449249779346867,2.253369272237197,7825000000.0,227000000.0,480000000.0,2180000000.0,,1174000000.0,2.0,2.0,2.1567291311754686,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2018-09-30,8252000000.0,1712000000.0,1075000000.0,,3406000000.0,2275000000.0,254000000.0,294000000.0,-1702000000.0,-452000000.0,-145000000.0,-55000000.0,-30000000.0,-1.0,,-1000000.0,-164000000.0,,2529000000.0,1.5911,2.0313,45.7123,-1.0,-309000000.0,-0.01614797416324134,-0.006665050896752302,0.03231492361927144,0.26556991774383076,0.08519388954171563,-0.017571497818710615,-0.02443133951137321,,0.18155111633372503,0.7425132119788609,1.5925581395348838,3743000000.0,114000000.0,227000000.0,1075000000.0,,539000000.0,1.0000000000000002,1.0000000000000002,4.692022263450835,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2018-12-31,7943000000.0,1991000000.0,906000000.0,,3305000000.0,2275000000.0,229000000.0,149000000.0,576000000.0,152000000.0,-7000000.0,,24000000.0,0.0,,33000000.0,81000000.0,,2504000000.0,,1.7203,62.5832,0.0,74000000.0,,,,0.2638888888888889,-0.012152777777777778,-0.0008812791136850056,-0.0012050266827336891,,0.1284722222222222,0.7576399394856278,2.19757174392936,3477000000.0,,181000000.0,998000000.0,,495000000.0,1.0000000000000002,1.0000000000000002,5.058585858585858,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
