report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2017-09-30,11545323000.0,5640512000.0,5406970000.0,118562000.0,,129705000.0,92563000.0,,356330000.0,309069000.0,0.0,,10.3071,76.6703,,0.023988481534019977,0.01123441934019516,,0.0,362396000.0,140367000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2017-12-31,12103953000.0,5620784000.0,5949666000.0,254381000.0,,-78255000.0,-55234000.0,1.0,-235077000.0,-190750000.0,0.0,0.5973,11.0234,73.5458,1.0,-0.013152839167778494,-0.006465243214344933,,0.0,169093000.0,128645000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2018-03-31,12821196000.0,6087849000.0,6194597000.0,221645000.0,,135630000.0,36915000.0,1.0,128921000.0,114219000.0,0.0,,10.5715,47.3266,1.0,0.02189488678601691,0.01057857628882672,,0.0,263012000.0,135776000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2018-06-30,13562190000.0,6562055000.0,6460461000.0,287029000.0,,190360000.0,75012000.0,1.0,258241000.0,233071000.0,0.0,,10.5287,45.654,1.0,0.029465389544182683,0.014036081193376586,,0.0,377440000.0,149256000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2018-09-30,14105566000.0,6692182000.0,6872783000.0,204181000.0,,403996000.0,117256000.0,3.0,414088000.0,352671000.0,0.0,,10.1472,29.4297,3.0,0.05878201014057915,0.028640892538449005,,0.0,651731000.0,173949000.0,6.0,6.0,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2018-12-31,14464956000.0,6570242000.0,7341965000.0,234181000.0,,-350674000.0,-71688000.0,-2.0,-230911000.0,-222300000.0,0.0,0.406,9.3351,32.6777,-2.0,-0.04776296264011065,-0.024243004956254276,,0.0,379312000.0,157495000.0,3.0000000000000004,3.0000000000000004,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2019-03-31,15480206000.0,7125292000.0,7566577000.0,261372000.0,,129159000.0,39100000.0,1.0,136730000.0,134087000.0,0.0,,11.704,42.8884,1.0,0.0170696736450313,0.008343493620175339,,0.0,372841000.0,159680000.0,3.0000000000000004,3.0000000000000004,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2019-06-30,16039470000.0,7628001000.0,7629020000.0,198909000.0,,207926000.0,81979000.0,1.8,308340000.0,268524000.0,0.0,,11.897,42.4145,1.8,0.0272546146162941,0.012963395922683231,,0.0,390407000.0,166647000.0,3.8000000000000007,3.8000000000000007,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2019-09-30,17058154000.0,8094534000.0,7790232000.0,410675000.0,,160724000.0,128182000.0,1.35,505566000.0,404094000.0,0.0,,12.1185,130.3292,1.35,0.020631477984224347,0.009422121526162796,,0.0,147135000.0,177573000.0,2.1500000000000004,2.1500000000000004,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2019-12-31,18390503000.0,8224025000.0,8865826000.0,189681000.0,,-134644000.0,-75586000.0,-1.0300000000000002,-266779000.0,-262093000.0,0.0,0.2302,12.1505,51.2282,-1.0300000000000002,-0.015186853430238761,-0.0073213875661802185,,0.0,363165000.0,173675000.0,3.12,3.12,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2020-03-31,19701935000.0,8787670000.0,9322586000.0,445255000.0,,18765000.0,45739000.0,0.14,191267000.0,175496000.0,0.0,,10.7271,68.4189,0.14,0.0020128535151083616,0.000952444518774425,,0.0,252771000.0,180314000.0,2.2600000000000002,2.2600000000000002,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2020-06-30,20069108000.0,9000132000.0,9431440000.0,206860000.0,,248419000.0,90753000.0,1.99,393657000.0,343523000.0,0.0,,12.2203,50.7186,1.99,0.026339456116987438,0.012378178442210785,,0.0,293264000.0,189088000.0,2.45,2.45,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2020-09-30,21910671000.0,9575551000.0,10701814000.0,446255000.0,,329475000.0,134071000.0,2.61,708941000.0,520354000.0,0.0,,11.0264,37.9291,2.61,0.030786836698899832,0.015037193520910428,,0.0,462015000.0,194977000.0,3.7100000000000004,3.7100000000000004,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2020-12-31,22827878000.0,9384100000.0,11725712000.0,568532000.0,1885637000.0,174300000.0,-98954000.0,1.2699999999999996,-411355000.0,-341269000.0,0.0,0.5166,12.7544,31.1888,1.2699999999999996,0.01486476897948713,0.007635400890087112,0.09243560664115097,0.0,770959000.0,171609000.0,6.01,6.01,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2021-03-31,25234346000.0,10452384000.0,12990406000.0,492184000.0,,8121000.0,36467000.0,0.04,212053000.0,180913000.0,0.0,,12.5862,31.8711,0.04,0.0006251536711015807,0.00032182328006440114,,0.0,760315000.0,162337000.0,5.91,5.91,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2021-06-30,27018850000.0,10837033000.0,14191022000.0,323876000.0,,393205000.0,71625000.0,2.74,451814000.0,370965000.0,0.0,,14.1644,30.904,2.74,0.027708011445546347,0.014552988006521373,,0.0,905101000.0,143209000.0,6.66,6.66,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2021-09-30,28558718000.0,11586597000.0,14723238000.0,325872000.0,,496352000.0,107303000.0,3.38,760637000.0,581807000.0,0.0,,14.5495,31.0429,3.38,0.03371214946060099,0.017380051863672592,,0.0,1071978000.0,116441000.0,7.4300000000000015,7.4300000000000015,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2021-12-31,30219373000.0,11186123000.0,16189542000.0,361348000.0,,-326431000.0,-73230000.0,-2.3400000000000003,-414307000.0,-312624000.0,0.0,0.2342,16.3431,60.4883,-2.3400000000000003,-0.020163078115489615,-0.010802044105944885,,0.0,571247000.0,142165000.0,3.820000000000001,3.820000000000001,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2022-06-30,33244053000.0,12781917000.0,17139335000.0,420258000.0,,122645000.0,53697000.0,0.74,530120000.0,482737000.0,0.0,,9.6152,77.8974,0.74,0.007155761877575764,0.003689231273936424,,0.0,685771000.0,159395000.0,4.5200000000000005,4.5200000000000005,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2022-09-30,34368614000.0,13113235000.0,17616335000.0,533824000.0,,467341000.0,76681000.0,2.88,893158000.0,737666000.0,0.0,,8.8951,42.1884,2.88,0.026528843825914982,0.013597900689274231,,0.0,759907000.0,164451000.0,4.66,4.66,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2022-12-31,35523399000.0,12840152000.0,18972387000.0,825193000.0,,521660000.0,94203000.0,3.18,1294321000.0,1002146000.0,0.0,0.511,8.9543,45.8255,3.18,0.027495749480547702,0.014684968631520875,,0.0,785215000.0,151351000.0,4.460000000000001,4.460000000000001,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2023-03-31,36912465000.0,14225698000.0,18883994000.0,1263452000.0,,77862000.0,13754000.0,0.44,305570000.0,265302000.0,0.0,,7.8936,29.0065,0.44,0.0041231743666090975,0.0021093687457610865,,0.0,1189508000.0,238335000.0,7.24,7.24,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2023-06-30,36659257000.0,13892005000.0,18797438000.0,924370000.0,,167799000.0,30826000.0,0.95,784043000.0,538857000.0,0.0,,6.8844,34.2132,0.95,0.008926695223040501,0.004577261344931241,,0.0,1234662000.0,215464000.0,7.450000000000001,7.450000000000001,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2023-09-30,36783293000.0,14070411000.0,18627911000.0,532390000.0,,192068000.0,42237000.0,1.08,1201933000.0,808227000.0,0.0,,5.8466,68.1351,1.08,0.010310764314903588,0.00522160971286611,,0.0,959389000.0,181020000.0,5.650000000000001,5.650000000000001,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2023-12-31,36771402000.0,14148409000.0,18471175000.0,618190000.0,,-334090000.0,-12613000.0,-1.9299999999999997,-660996000.0,-518913000.0,0.0,0.3609,7.4266,212.4945,-1.9299999999999997,-0.01808710057698008,-0.009085593200933703,,0.0,103639000.0,74204000.0,0.5400000000000011,0.5400000000000011,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2024-03-31,37699046000.0,14943128000.0,18412595000.0,722176000.0,,170545000.0,40840000.0,0.97,341157000.0,287554000.0,0.0,,7.2161,111.8433,0.97,0.00926240977982734,0.0045238545293692575,,0.0,196322000.0,101290000.0,1.0700000000000012,1.0700000000000012,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2024-06-30,37847865000.0,15180998000.0,18258621000.0,561021000.0,,217247000.0,86629000.0,1.22,752954000.0,578274000.0,0.0,,6.52,132.272,1.22,0.01189832463251195,0.005740006734858096,,0.0,245770000.0,157093000.0,1.3400000000000012,1.3400000000000012,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2024-09-30,38488128000.0,15784678000.0,18217631000.0,562606000.0,,385194000.0,130179000.0,2.18,1230346000.0,872272000.0,0.0,,6.4278,68.9231,2.18,0.021144022513135765,0.01000812510288887,,0.0,438896000.0,245035000.0,2.4400000000000013,2.4400000000000013,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2024-12-31,37527449000.0,15128988000.0,17889042000.0,552146000.0,,-450037000.0,-71810000.0,-2.5700000000000003,-819933000.0,-535720000.0,0.0,0.2354,5.2721,52.7887,-2.5700000000000003,-0.025157132506033582,-0.011992208689698039,,0.0,322949000.0,185838000.0,1.8000000000000007,1.8000000000000007,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2025-03-31,37600428000.0,15600870000.0,17464647000.0,476430000.0,,-8939000.0,50876000.0,-0.07,207949000.0,342062000.0,0.0,,4.9651,111.5479,-0.07,-0.0005118339924076336,-0.00023773665555083576,,0.0,143465000.0,195874000.0,0.7600000000000007,0.7600000000000007,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2025-06-30,37623629000.0,15884626000.0,17175235000.0,520545000.0,,-115941000.0,106172000.0,-0.71,668190000.0,688185000.0,0.0,,3.843,,-0.71,-0.006750475321007253,-0.003081600661116449,,0.0,-189723000.0,215417000.0,-1.1699999999999993,-1.1699999999999993,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2025-09-30,37375148000.0,16256870000.0,16639302000.0,579474000.0,,-348695000.0,161024000.0,-2.09,1101668000.0,1028415000.0,0.0,,4.4533,,-2.09,-0.020956107413640308,-0.009329595163074671,,0.0,-923612000.0,246262000.0,-5.4399999999999995,-5.4399999999999995,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2025-12-31,34081835000.0,14925399000.0,15470070000.0,549062000.0,,-955995000.0,-91374000.0,-5.569999999999999,-563761000.0,-708184000.0,0.0,0.283,2.8365,,-5.569999999999999,-0.06179642367487671,-0.028049986158315714,,0.0,-1429570000.0,226698000.0,-8.439999999999998,-8.439999999999998,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
