report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,184203000000.0,179257000000.0,4940000000.0,154786000000.0,20457000000.0,3083000000.0,,591000000.0,1968000000.0,339000000.0,1.18,490000000.0,1829000000.0,175243000000.0,6.7017,1.18,,0.11963562753036437,0.0032084168010292993,,,35.474291497975706,1273260000.0,2800383000.0,2.53,2.53,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2012-12-31,181260000000.0,176194000000.0,5060000000.0,152401000000.0,19856000000.0,3900000000.0,,-167000000.0,-1396000000.0,-144000000.0,-0.2799999999999998,-1016000000.0,-773000000.0,172257000000.0,8.4311,-0.2799999999999998,,-0.03300395256916996,-0.0009213284784287763,,,34.04288537549407,939000000.0,2561000000.0,1.9,1.9,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2013-03-31,174086000000.0,168932000000.0,5148000000.0,147887000000.0,17254000000.0,3685000000.0,,346000000.0,571000000.0,211000000.0,0.0,458000000.0,529000000.0,165141000000.0,9.9059,0.0,,0.06721056721056722,0.001987523407970773,,,32.07867132867133,1173000000.0,2466000000.0,1.69,1.69,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2013-06-30,161468000000.0,156034000000.0,5429000000.0,135879000000.0,16558000000.0,3327000000.0,,889000000.0,1123000000.0,512000000.0,1.0,453000000.0,954000000.0,152437000000.0,14.6371,1.0,,0.16375023024498067,0.00550573488245349,,,28.078283293424203,1659000000.0,2266000000.0,1.9,1.9,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2013-09-30,161570000000.0,155938000000.0,5627000000.0,136944000000.0,15572000000.0,4329000000.0,,1149000000.0,1666000000.0,645000000.0,2.0,450000000.0,1432000000.0,152516000000.0,19.8665,2.0,,0.20419406433268172,0.007111468713251222,,,27.10431846454594,2217000000.0,1964000000.0,2.7199999999999998,2.7199999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2013-12-31,159543000000.0,153901000000.0,5637000000.0,136648000000.0,13795000000.0,5190000000.0,,-966000000.0,-1150000000.0,-592000000.0,0.0,-912000000.0,-915000000.0,150443000000.0,44.2664,0.0,,-0.17136774880255454,-0.00605479400537786,,,26.68848678375022,1418000000.0,2210000000.0,3.0,3.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2014-03-31,156472000000.0,150874000000.0,5593000000.0,136177000000.0,11626000000.0,3742000000.0,,219000000.0,530000000.0,136000000.0,0.0,435000000.0,558000000.0,147803000000.0,44.9443,0.0,,0.03915608796710173,0.0013996114320773045,,,26.42642588950474,1291000000.0,2169000000.0,3.0,3.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2014-06-30,11379339000.0,9641075000.0,1738264000.0,,,1524176000.0,,91576000.0,43665000.0,60599000.0,0.0,432689000.0,-231858000.0,0.0,17.4769,0.0,,0.052682446394793886,0.008047567613549434,,,0.0,493576000.0,1089665000.0,1.9999999999999998,1.9999999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2014-09-30,11714952000.0,9896524000.0,1818428000.0,,,1570378000.0,,174502000.0,67842000.0,115502000.0,0.0,432324000.0,-238222000.0,0.0,15.4403,0.0,,0.09596310659536698,0.014895664958763809,,,0.0,-480922000.0,-508493000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2014-12-31,12972243000.0,11142285000.0,1829958000.0,,,2359780000.0,,-290859000.0,-545692000.0,-172134000.0,0.0,-867744000.0,-524693000.0,0.0,22.2156,0.0,,-0.1589429921342457,-0.022421642887818245,,,0.0,194219000.0,95815000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2015-03-31,12933524000.0,11067611000.0,1865913000.0,,,875622000.0,,47699000.0,30402000.0,31722000.0,0.0,432302000.0,-19181000.0,0.0,20.2967,0.0,,0.02556335691964202,0.0036880126406383905,,,0.0,22918000.0,-403783000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2015-06-30,12874961000.0,10912788000.0,1962173000.0,,,1278863000.0,,138715000.0,60619000.0,91880000.0,0.0,432523000.0,-83888000.0,0.0,17.4201,0.0,,0.070694581976207,0.010774013218370137,,,0.0,70057000.0,-386829000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2015-09-30,14450544000.0,12453210000.0,1997334000.0,593687000.0,710005000.0,1281797000.0,,184439000.0,94078000.0,109865000.0,0.0,432531000.0,-128832000.0,1303692000.0,15.4493,0.0,,0.09234259267603716,0.012763464129793314,,,0.6527160705220059,79994000.0,-360593000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2015-12-31,15214098000.0,13117775000.0,2096323000.0,579101000.0,,2416219000.0,,-96569000.0,-56480000.0,-68687000.0,0.0,-865122000.0,140698000.0,579101000.0,10.1321,0.0,,-0.04606589728777483,-0.006347336529579342,,,0.27624607467456114,274284000.0,128619000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2016-03-31,15324773000.0,13180848000.0,2143925000.0,558513000.0,526500000.0,938480000.0,,60776000.0,39592000.0,38875000.0,0.0,430903000.0,-47780000.0,1085013000.0,9.3076,0.0,,0.0283480065767226,0.003965866248067753,,,0.5060871998787271,287361000.0,137809000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
