report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2016-03-31,3218124000.0,1768783000.0,605900000.0,1476807000.0,1741317000.0,217525000.0,157001000.0,,480636000.0,34883000.0,19180000.0,13873000.0,0.0,443260000.0,-168275000.0,104573000.0,32021000.0,-272848000.0,217525000.0,,4.3885,76.9016,0.0,66904000.0,0.011014651553967485,0.005959994083509523,,,,0.010839545026854155,0.017807970219139675,,,0.12491981643778818,2.919265555372174,,240025000.0,415763000.0,2008519000.0,-694553000.0,527416000.0,1.0000000000000002,1.0000000000000002,0.41243534515448904,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2016-06-30,3426924000.0,1849185000.0,709354000.0,1655576000.0,1771348000.0,838116000.0,121216000.0,,958283000.0,54261000.0,25524000.0,18198000.0,0.19,443066000.0,-148738000.0,184018000.0,67737000.0,-332756000.0,838116000.0,,3.7823,72.2357,0.19,121998000.0,0.014409365071120978,0.007448078801864296,,,,0.015833733108758758,0.020793925495810633,,,0.47315152076271855,2.606857788917804,,239055000.0,410456000.0,2210085000.0,-681911000.0,543782000.0,1.1900000000000002,1.1900000000000002,1.5412720538745306,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2016-09-30,3685337000.0,2026561000.0,857250000.0,1762183000.0,1923154000.0,796768000.0,179954000.0,,1656907000.0,253571000.0,153748000.0,80322000.0,0.48,444010000.0,-94162000.0,251378000.0,105382000.0,-345540000.0,796768000.0,,3.387,61.2587,0.48,358953000.0,0.07994575577410858,0.04171884416540468,,,,0.06880537655036703,0.09322730578303348,,,0.4143027547455898,2.3640256634587344,,265832000.0,433062000.0,2523115000.0,-487270000.0,599559000.0,1.6700000000000002,1.6700000000000002,1.328923425384324,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2016-12-31,3644331000.0,1965153000.0,685816000.0,1613431000.0,2030900000.0,790388000.0,250470000.0,,-855215000.0,74756000.0,58527000.0,18910000.0,0.040000000000000036,-885488000.0,715662000.0,-223511000.0,-60370000.0,492151000.0,790388000.0,2.8654,2.5249,47.4107,0.040000000000000036,14386000.0,0.028818257915210005,0.016059737713176987,,,,0.020512955601453324,0.026497117628544127,,,0.3891811512137476,2.865423087242059,,256979000.0,417471000.0,2240611000.0,-458993000.0,562241000.0,0.7100000000000002,0.7100000000000002,1.405781506506996,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2017-03-31,3577160000.0,1906028000.0,627539000.0,1557127000.0,2020033000.0,784052000.0,172128000.0,1117331000.0,505423000.0,7536000.0,-2272000.0,4558000.0,0.0,439360000.0,-33562000.0,91790000.0,41013000.0,-125352000.0,784052000.0,,1.7069,35.4926,0.0,48549000.0,-0.00112473410087855,-0.0006351407261626542,-0.0020334171342243257,0.45234849834113616,0.00674464415647646,0.002106699169173311,0.002687507689674172,-0.11218877843718647,0.043450866395007386,0.3881382135836395,3.0373060479109664,,235527000.0,390124000.0,2265398000.0,-311497000.0,543886000.0,0.7100000000000002,0.7100000000000002,1.4415741534071478,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2017-06-30,3894244000.0,2166470000.0,936539000.0,1870473000.0,2023771000.0,777717000.0,165685000.0,2205576000.0,1003669000.0,2751000.0,-14581000.0,1357000.0,-0.03,439894000.0,-62769000.0,167273000.0,83367000.0,-230042000.0,777717000.0,,1.85,42.5471,-0.03,86118000.0,-0.007204866558518726,-0.0037442440689386693,-0.0066109714650503994,0.45505981204002943,0.0012472932240829605,0.000706427229521314,0.0009819781487552328,-0.10430019187731458,0.0390455826505185,0.3842910092100341,2.3132725919582633,,195422000.0,338614000.0,2310784000.0,-208783000.0,508006000.0,0.4900000000000003,0.4900000000000003,1.5309208946351027,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2017-09-30,4130365000.0,2456842000.0,1100426000.0,2029669000.0,2100696000.0,771382000.0,258002000.0,3611192000.0,1649020000.0,64931000.0,39660000.0,-1349000.0,0.09,448261000.0,-29193000.0,225924000.0,128488000.0,-255117000.0,771382000.0,,1.4179,48.8732,0.09,193419000.0,0.0188794570942202,0.009602056961067605,0.010982523222249052,0.45664146353890905,0.017980489544726506,0.01572040243416744,0.02260767291139029,-0.07064620214045667,0.05356098484932399,0.36720306031905614,2.2326280913028227,,81334000.0,149974000.0,2302897000.0,-118360000.0,342472000.0,0.10000000000000026,0.10000000000000026,2.2523943563269406,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2017-12-31,4006367000.0,2337679000.0,1060375000.0,1987725000.0,2018642000.0,765046000.0,312483000.0,-1957546000.0,-919389000.0,-47375000.0,-71067000.0,33385000.0,-0.16999999999999998,-886786000.0,359587000.0,-203648000.0,-79121000.0,155939000.0,765046000.0,2.2046,1.2834,,-0.16999999999999998,-126496000.0,-0.03520535092403705,-0.01773851471919572,0.03630412771909319,0.46966405897996777,0.024201219281692485,-0.011824927671379082,-0.01701878946203741,-0.07966045242359567,0.06461968198959309,0.3789904302001048,2.204577625839915,4976553000.0,-48260000.0,27843000.0,2238723000.0,-454572000.0,201590000.0,-0.10999999999999976,-0.10999999999999976,3.795059278734064,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2018-03-31,4264319000.0,2592005000.0,1317057000.0,2246587000.0,2017732000.0,758705000.0,283644000.0,1185370000.0,523453000.0,-28661000.0,-30244000.0,-4093000.0,0.0,443052000.0,22024000.0,55930000.0,46098000.0,-33906000.0,758705000.0,,1.3167,,0.0,17437000.0,-0.014989106581052389,-0.007092339949239257,-0.025514396348819357,0.4415946075908788,-0.024178948345242413,-0.00672112006629898,-0.010322942677971804,-0.02860372710630436,0.014710174882104321,0.3760187180458059,1.968027959306241,5044592000.0,-76232000.0,-8354000.0,2256753000.0,-363126000.0,170478000.0,-0.10999999999999976,-0.10999999999999976,4.4504569504569504,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2018-06-30,4241152000.0,2561515000.0,1338399000.0,2317240000.0,1923912000.0,752370000.0,196879000.0,2360229000.0,1050037000.0,-133536000.0,-125788000.0,-30183000.0,0.0,443844000.0,146007000.0,95607000.0,91271000.0,50400000.0,752370000.0,,1.889,,0.0,-42265000.0,-0.06538136879441471,-0.029658922858694998,-0.05329482859502192,0.4448877630094368,-0.05657756090616631,-0.03148578499426571,-0.0498960871836376,0.02135386015509512,-0.01790716070347411,0.39106258498309693,1.9138649984048106,5199245000.0,-187439000.0,-144641000.0,2303121000.0,-82684000.0,42095000.0,-0.07999999999999977,-0.07999999999999977,17.873144078869224,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2018-09-30,4227169000.0,2587030000.0,1299739000.0,2221248000.0,2005921000.0,703455000.0,168682000.0,3803205000.0,1715244000.0,-14569000.0,-50520000.0,691000.0,0.0,444931000.0,118817000.0,121439000.0,135029000.0,-2622000.0,703455000.0,,1.7404,,0.0,120460000.0,-0.025185438509293237,-0.011951260997608565,-0.013283533230525307,0.4509996174279325,-0.003830716461510752,-0.003446514676844006,-0.005377252917276893,-0.0006894185298978099,0.03167328608371098,0.3506892843736119,1.990422692555967,5391258000.0,-277619000.0,-224141000.0,2369345000.0,169811000.0,-30864000.0,-0.16999999999999976,-0.16999999999999976,-22.792087869362366,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2018-12-31,4245022000.0,2593628000.0,1315977000.0,2228151000.0,2016871000.0,703834000.0,557403000.0,-2155619000.0,-948263000.0,151749000.0,160250000.0,13033000.0,-0.2,-886012000.0,341382000.0,-102591000.0,-90630000.0,238791000.0,703834000.0,1.9709,1.4602,,-0.2,61119000.0,0.07945475937727302,0.03775009882163155,-0.07434059543917547,0.43990287708542186,-0.07039694862589353,0.03574751791627935,0.055775616981627925,-0.11077606942599783,-0.028353340734146432,0.34897323626548254,1.9708763906967979,5193185000.0,-46302000.0,-25017000.0,2340471000.0,252663000.0,156751000.0,-0.1999999999999998,-0.1999999999999998,4.490140413777264,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2019-03-31,4436072000.0,2206708000.0,1094012000.0,2386265000.0,2049807000.0,590431000.0,288726000.0,1204722000.0,544787000.0,35259000.0,22477000.0,8131000.0,0.05,453230000.0,-89789000.0,35911000.0,46464000.0,-125700000.0,590431000.0,,1.7188,1396.1633,0.05,81723000.0,0.010965422598322672,0.005066869969648825,0.01865741639980012,0.4522097214129069,0.02926733304447001,0.00794824790941175,0.013354477891765817,-0.10433942436512324,0.06783556704368311,0.28804224007430945,2.0170784232714083,5212537000.0,6419000.0,38903000.0,2361805000.0,160869000.0,221037000.0,-0.1499999999999998,-0.1499999999999998,2.6711862719816137,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2019-06-30,4679908000.0,2444447000.0,1332641000.0,2631634000.0,2048274000.0,591396000.0,455726000.0,2396451000.0,1099108000.0,23777000.0,5128000.0,2391000.0,0.01,453717000.0,112707000.0,77046000.0,93721000.0,35661000.0,591396000.0,,2.0355,125.8049,0.01,117498000.0,0.002503571299542932,0.001095748036072504,0.0021398309416716635,0.4586398803897931,0.009921755128729942,0.0050806554316879735,0.009007565339606845,0.014880754916332527,0.04903000311710943,0.2887289493495499,1.834287703890245,5248759000.0,137335000.0,196216000.0,2410876000.0,146130000.0,380800000.0,-0.1399999999999998,-0.1399999999999998,1.5530357142857143,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2019-09-30,4633765000.0,2459089000.0,1199661000.0,2480099000.0,2153666000.0,591995000.0,416603000.0,3825907000.0,1789006000.0,162697000.0,107443000.0,31735000.0,0.24,454047000.0,102468000.0,105767000.0,140443000.0,-3299000.0,591995000.0,,1.6457,76.8755,0.24,303140000.0,0.0498884228102222,0.023186976465142277,0.02808301404085358,0.46760310692340407,0.042525079673917845,0.035111189281286384,0.059256040712964926,-0.0008622791928815834,0.07923349940288668,0.27487781299421543,2.04981990745719,5271461000.0,295298000.0,373482000.0,2484638000.0,145453000.0,563480000.0,0.1000000000000002,0.1000000000000002,1.0506051678852844,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2019-12-31,4843531000.0,2702209000.0,1422009000.0,2693444000.0,2150087000.0,592687000.0,788072000.0,-2159948000.0,-962368000.0,15037000.0,-42909000.0,27767000.0,-0.09999999999999998,-906720000.0,383645000.0,-72922000.0,-94203000.0,310723000.0,592687000.0,1.9003,1.7467,99.8474,-0.09999999999999998,-79166000.0,-0.019956866861666527,-0.008859032800657207,0.01986575602745992,0.4455514669797606,-0.00696174167155876,0.0031045532690923213,0.005482405768758199,-0.14385670395768788,0.03665180828427351,0.27565721759166023,1.9002755960053699,5267132000.0,92139000.0,236770000.0,2470533000.0,217385000.0,423195000.0,0.20000000000000023,0.20000000000000023,1.40050567705195,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2020-03-31,4837575000.0,2868007000.0,1691502000.0,3287395000.0,1550180000.0,593281000.0,959318000.0,930240000.0,430984000.0,-558180000.0,-589681000.0,21547000.0,-1.3,452871000.0,-366712000.0,31498000.0,48565000.0,-398210000.0,593281000.0,,0.7809,,-1.3,-509615000.0,-0.38039517991459054,-0.12189599127662104,-0.6339020037839698,0.46330409356725144,-0.6000386996904025,-0.11538425760840917,-0.26041061628832995,-0.4280723254213966,-0.5478317423460612,0.3827174908720278,1.6955386396232461,4992650000.0,-520019000.0,-356669000.0,2356730000.0,-55125000.0,-168143000.0,-1.15,-1.15,-3.528431156812951,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2020-06-30,5003341000.0,3089009000.0,1618614000.0,3579927000.0,1423414000.0,987949000.0,1079409000.0,1637880000.0,780153000.0,-727854000.0,-772576000.0,18410000.0,-1.7,453496000.0,-309410000.0,50862000.0,86919000.0,-360272000.0,987949000.0,,0.9348,,-1.7,-640935000.0,-0.5427626818339569,-0.15441202188697511,-0.4716926758981122,0.47631877793244926,-0.4443878672430215,-0.14547359454412562,-0.30184339728195214,-0.21996239040711163,-0.3913198769140596,0.694070031628184,1.9084284455713345,4234079000.0,-1297723000.0,-1108300000.0,2037775000.0,-451058000.0,-926576000.0,-2.8599999999999994,-2.8599999999999994,-1.0662363367926646,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
2020-09-30,4863551000.0,2973341000.0,1448399000.0,3393205000.0,1470346000.0,997347000.0,865609000.0,3070901000.0,1466473000.0,-669284000.0,-733630000.0,14696000.0,-1.62,453847000.0,-249707000.0,71639000.0,124169000.0,-321346000.0,997347000.0,,1.0598,,-1.62,-545115000.0,-0.49895058714071383,-0.15084246058075673,-0.23889731385023483,0.4775383511223579,-0.2179438542629671,-0.13761220967971755,-0.2712185024636371,-0.10464225320191045,-0.17750979272858355,0.6783076908428356,2.0528466258261706,3479073000.0,-2138796000.0,-1940281000.0,1715242000.0,-769105000.0,-1774831000.0,-4.72,-4.72,-0.5619391367403431,1.8222469,8.15,4.13,7.8571,2369.1892,1.3885,0.4761
