report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-04-04,9732864000.0,4081526000.0,2278326000.0,,4904265000.0,,1067961000.0,655483000.0,2837301000.0,397835000.0,288709000.0,21849000.0,90203000.0,0.0,,,65880000.0,1067961000.0,,31.0372,2.6322,0.0,463715000.0,0.058868964054756424,0.029663313902259396,0.10175480148211276,0.1402160010517037,0.04087542988374234,0.06661419042079117,0.16343525061317077,0.21776168294331566,1.7914582899901068,12338684000.0,1039021000.0,1432369000.0,1498249000.0,87937000.0,1.9999999999999982,1.9999999999999982,0.7128060823000716,16.288581598189612,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2015-07-04,9905504000.0,4206490000.0,2455830000.0,,4963795000.0,,1158516000.0,659770000.0,5351161000.0,620862000.0,459520000.0,44872000.0,121961000.0,1.0,,,129265000.0,1158516000.0,,28.6709,2.4572,1.0,750127000.0,0.09257433072880729,0.046390370444552846,0.08587295355157507,0.11602379371504613,0.0626784866272327,0.10140974543762968,0.14018023378478053,0.23339320016237577,1.7128587890855638,12506991000.0,1043666000.0,1430233000.0,1625378000.0,90834000.0,1.9999999999999982,1.9999999999999982,0.7127671224785865,15.745568839861726,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2015-10-03,10651922000.0,4935817000.0,2783620000.0,,5361197000.0,,1285388000.0,566599000.0,8963981000.0,1263790000.0,919384000.0,67196000.0,282927000.0,2.0,,,198304000.0,1285388000.0,,29.3024,2.4841,2.0,1462094000.0,0.1714885686909099,0.08631155954765722,0.10256425130753848,0.14098535014744007,0.11864431602108991,0.19014125298931708,0.16310766388282172,0.2397576511364906,1.7731647997930753,12767671000.0,1037646000.0,1437943000.0,1831392000.0,93500000.0,1.9999999999999982,1.9999999999999982,0.7018639373765966,15.379069518716577,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2016-01-02,9639542000.0,4163136000.0,1941713000.0,4254704000.0,5384838000.0,,449590000.0,945605000.0,-4775699000.0,-621491000.0,-436020000.0,-44503000.0,-146295000.0,-1.0,,,-121374000.0,449590000.0,2.1437,21.0697,2.3598,-1.0,-742865000.0,-0.08097179525177917,-0.045232439466522376,0.09129972387288228,0.13013613295142765,-0.06447308388718054,-0.10652132479824929,0.15555105127019103,0.08349183392332322,2.144053214867491,12376744000.0,1231593000.0,1660996000.0,1933071000.0,89414000.0,1.9999999999999982,1.9999999999999982,0.23257811016770724,18.576464535755026,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2016-04-02,9832263000.0,3972874000.0,2529467000.0,4938317000.0,4893946000.0,,1137205000.0,585835000.0,2839300000.0,336252000.0,260269000.0,22145000.0,57118000.0,0.0,,,68030000.0,1137205000.0,,22.5513,2.4937,0.0,404282000.0,0.05318182914155571,0.026470915190124594,0.09166660796675237,0.11842778149543902,0.03419884110097543,0.055752542093540684,0.14238791251364774,0.23236974825631504,1.5706368179541381,12378743000.0,1203153000.0,1599413000.0,1873638000.0,89710000.0,1.9999999999999982,1.9999999999999982,0.6069502219745757,17.82870360049047,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2016-07-02,9674108000.0,4068016000.0,2660633000.0,5025671000.0,4648437000.0,,1404493000.0,676262000.0,5210203000.0,543677000.0,311284000.0,45666000.0,99842000.0,0.0,,11774000.0,137472000.0,1404493000.0,,23.3875,2.3517,0.0,681149000.0,0.06696530468198235,0.03217702345270489,0.05974508094982096,0.10434852538375185,0.05619918652965214,0.0898204671126215,0.130733677747297,0.3021430644321952,1.5289654755090236,12237785000.0,1054917000.0,1522228000.0,1804660000.0,90504000.0,0.9999999999999982,0.9999999999999982,0.77825906264892,16.819455493679836,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2016-10-01,10443109000.0,4819023000.0,2177196000.0,5570332000.0,4872777000.0,,737660000.0,737825000.0,8698429000.0,1179105000.0,809773000.0,70449000.0,208551000.0,1.0,,43368000.0,205491000.0,737660000.0,,20.6925,2.196,1.0,1384596000.0,0.16618306152733853,0.07754137201862013,0.09309416677425314,0.13555378793113101,0.11290746845599332,0.2101627734167588,0.15917770898630085,0.15138390285457348,2.2134079798052175,11972233000.0,945306000.0,1437543000.0,1727162000.0,93757000.0,-1.7763568394002505e-15,-1.7763568394002505e-15,0.4270936947431683,15.33264716234521,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2016-12-31,9739287000.0,4293098000.0,1785400000.0,4798366000.0,4940921000.0,,26029000.0,1227862000.0,-4728929000.0,-559808000.0,-307220000.0,-43530000.0,-122447000.0,1.0,,1422777000.0,-129416000.0,26029000.0,2.405,20.5681,2.0036,1.0,-689224000.0,-0.0621786909768442,-0.03154440360983304,0.06496608428673807,0.1183794470164386,-0.05747936168222582,-0.11270659056362556,0.14574632014986902,0.005268046180054285,2.4045580822224712,12019003000.0,1074106000.0,1499226000.0,1780803000.0,94730000.0,1.9999999999999982,1.9999999999999982,0.014616439886949877,15.826306344347092,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2017-04-01,9246278000.0,4092150000.0,1835859000.0,4873221000.0,4373057000.0,,288677000.0,604444000.0,2581677000.0,291474000.0,209163000.0,23706000.0,56540000.0,0.0,,-210162000.0,66438000.0,288677000.0,,22.274,2.092,0.0,357912000.0,0.04782992766844795,0.02262131854568941,0.08101826835812535,0.11290103293324455,0.031523387032057655,0.06252480300248792,0.13863546834092724,0.06601263143837366,2.2290110515023214,11761380000.0,1023000000.0,1454448000.0,1734433000.0,96291000.0,1.9999999999999982,1.9999999999999982,0.1664388304419946,15.104713836184066,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2017-07-01,9173728000.0,3897650000.0,2431143000.0,5529389000.0,3644339000.0,,921109000.0,672542000.0,4941258000.0,459496000.0,319052000.0,47896000.0,87437000.0,0.0,,-4546000.0,131908000.0,921109000.0,,20.9563,2.0741,0.0,591404000.0,0.08754728909687051,0.03477888160625647,0.06456898223084082,0.09299170373212652,0.050088252017064384,0.10064642067985442,0.11968692992756096,0.25275063598638875,1.603217087600359,11492435000.0,1030768000.0,1370267000.0,1644688000.0,98521000.0,1.9999999999999982,1.9999999999999982,0.5600509032716235,13.908374864242141,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2017-09-30,10874921000.0,5627427000.0,3821395000.0,6937501000.0,3937420000.0,,1985287000.0,1546128000.0,8450076000.0,943445000.0,705192000.0,75004000.0,161753000.0,1.0,,6683000.0,207590000.0,1985287000.0,,25.8665,2.2568,1.0,1151035000.0,0.1791000198099263,0.06484571244241683,0.08345392396470754,0.11164929167500978,0.08675419343276149,0.15929287064175215,0.13621593462591342,0.5042101172849226,1.4726106565795998,11244082000.0,926187000.0,1134607000.0,1411127000.0,103076000.0,1.9999999999999982,1.9999999999999982,1.4068804579601977,11.007479917730606,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2017-12-30,9958502000.0,4392124000.0,2745200000.0,6238602000.0,3719900000.0,,729384000.0,566075000.0,-4161834000.0,-191325000.0,-618484000.0,-44631000.0,389556000.0,0.0,,1682685000.0,-115433000.0,729384000.0,1.5955,47.824,3.5031,0.0,-306758000.0,-0.16626360923680744,-0.062106128010015964,0.14860852210828207,0.045971319375063976,-0.019212226899186242,-0.04300130088346799,0.07370740880102378,0.19607623860856474,1.5999286026519015,11811177000.0,614923000.0,1503090000.0,1793593000.0,101975000.0,0.9999999999999982,0.9999999999999982,0.406660819929605,14.739789164010787,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2018-06-30,10191754000.0,4330147000.0,2995556000.0,6460638000.0,3731116000.0,,1316923000.0,467917000.0,2788146000.0,230882000.0,160358000.0,27277000.0,26379000.0,0.0,,277144000.0,71130000.0,1316923000.0,,45.1931,4.0801,0.0,302012000.0,0.042978561910163075,0.015734092483001453,0.057514204779807086,0.08280843255697513,0.022653804242135357,0.04573696835543466,0.10832000906695703,0.3529568633084578,1.4455236356789858,12017646000.0,566118000.0,1442498000.0,1737693000.0,105546000.0,0.9999999999999982,0.9999999999999982,0.7578571128501985,13.667007750175278,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2018-09-29,11130425000.0,5417954000.0,3508696000.0,6950869000.0,4179556000.0,,1570516000.0,352781000.0,6695532000.0,889551000.0,667479000.0,55635000.0,118359000.0,1.0,,102951000.0,144995000.0,1570516000.0,,44.6234,4.8966,1.0,1034546000.0,0.15970093474043653,0.05996886911326387,0.09969021132301362,0.13285740401210838,0.07992066789902452,0.15470258459372335,0.15451289008849484,0.3757614445170731,1.5441503054126091,13771920000.0,914545000.0,1872553000.0,2180835000.0,113285000.0,1.9999999999999982,1.9999999999999982,0.7201443483803223,16.529575848523635,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2018-12-29,10284310000.0,4612091000.0,2563047000.0,5983686000.0,4300624000.0,,677891000.0,535312000.0,10635691000.0,1481456000.0,1130988000.0,84032000.0,221517000.0,2.0,400418000.0,1436663000.0,216361000.0,677891000.0,,20.4569,2.6295,2.0,1697817000.0,0.26298230210313667,0.10997218092414561,0.10633892992942348,0.13929099670157774,0.14405011128602696,0.2975698576784443,0.159633915652495,0.1576261956404466,1.7994562721635616,15957535000.0,1340341000.0,2410564000.0,2727617000.0,122313000.0,2.9999999999999982,2.9999999999999982,0.24852866073206026,19.708158576766166,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2019-03-30,10356785000.0,4673457000.0,2661604000.0,6058269000.0,4298516000.0,,665055000.0,543011000.0,-6270709000.0,-926049000.0,-699033000.0,-58876000.0,-97855000.0,0.0,78000.0,-152535000.0,-131481000.0,665055000.0,1.7554,27.4236,3.365,0.0,-1057530000.0,-0.16262193743142983,-0.06749517345392417,0.11147591125660591,0.1476785160976215,-0.08941471701884321,-0.1865691051865683,0.1686460015924834,0.15471734896415415,1.7558799130148588,13848660000.0,1259792000.0,1675840000.0,1976845000.0,108068000.0,2.9999999999999982,2.9999999999999982,0.3364224306913289,15.50727319835659,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
2019-06-29,10401964000.0,3990855000.0,1947145000.0,6250350000.0,4151614000.0,,67658000.0,606080000.0,2271479000.0,133292000.0,49221000.0,22127000.0,26643000.0,0.0,401914000.0,-66180000.0,159178000.0,67658000.0,,30.5423,3.4459,0.0,292470000.0,0.011855870993786995,0.004731894861393483,0.021669141559310035,0.05868070979304673,0.012814118564532621,0.031591231852319546,0.12875751877961453,0.016296794451507293,2.049593122237943,13331993000.0,1148655000.0,1578250000.0,1967303000.0,102918000.0,2.9999999999999982,2.9999999999999982,0.034391245273351384,15.335023999689072,1.6756788,21.92,9.41,5.75026,6600.607,29.5443,4.065,0.6888
