report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,41830000000.0,8465000000.0,8319000000.0,41830000000.0,4569000000.0,,,1970000000.0,,,-1908000000.0,-647000000.0,-847000000.0,-421000000.0,-0.8500000000000001,,-876000000.0,-995000000.0,-710000000.0,-1871000000.0,0.0,1.0176,,0.4638,-0.8500000000000001,-0.14160647844167215,-0.015467367917762372,,,,0.0,1.0175501863204712,,-912000000.0,3714000000.0,-1325000000.0,1572000000.0,-1.21,-1.21,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2013-03-31,42718000000.0,9258000000.0,9286000000.0,42718000000.0,4633000000.0,,,2301000000.0,,,755000000.0,82000000.0,377000000.0,82000000.0,0.11,,618000000.0,546000000.0,329000000.0,72000000.0,0.0,,,0.5577,0.11,0.017699115044247787,0.0019195655227304648,,,,0.0,0.9969847081628258,,-1171000000.0,3391000000.0,-1208000000.0,1533000000.0,-1.5399999999999998,-1.5399999999999998,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2013-06-30,40836000000.0,7810000000.0,8273000000.0,,4749000000.0,,,1611000000.0,,,1673000000.0,249000000.0,723000000.0,163000000.0,0.0,,1185000000.0,866000000.0,661000000.0,319000000.0,0.0,,,0.5286,0.0,0.05243209096651927,0.006097560975609756,,,,0.0,0.9440348120391635,,-1403000000.0,3294000000.0,-932000000.0,1455000000.0,-2.17,-2.17,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2013-09-30,41250000000.0,8251000000.0,8009000000.0,,4813000000.0,,,2031000000.0,,,2603000000.0,320000000.0,1065000000.0,285000000.0,0.0,,2040000000.0,1330000000.0,982000000.0,710000000.0,0.0,,19.9102,0.5992,0.0,0.0664865987949304,0.007757575757575757,,,,0.0,1.0302160069921338,,4000000.0,3123000000.0,-770000000.0,1318000000.0,-0.7400000000000001,-0.7400000000000001,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2013-12-31,40411000000.0,7739000000.0,7653000000.0,40411000000.0,4330000000.0,,,1642000000.0,,,-1784000000.0,-537000000.0,-683000000.0,-187000000.0,0.039999999999999994,,-1128000000.0,-754000000.0,-678000000.0,-1882000000.0,0.0,1.0112,92.7167,0.6658,0.039999999999999994,-0.12401847575057737,-0.01328846106258197,,,,0.0,1.0112374232327193,,114000000.0,3247000000.0,-781000000.0,1482000000.0,0.15,0.15,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2014-03-31,40973000000.0,7989000000.0,7840000000.0,,4193000000.0,,,1413000000.0,,,794000000.0,-58000000.0,373000000.0,54000000.0,0.0,724000000.0,221000000.0,399000000.0,306000000.0,-178000000.0,0.0,,,0.6467,0.0,-0.013832578106367757,-0.0014155663485710102,,,,0.0,1.0190051020408164,,-26000000.0,3286000000.0,-1031000000.0,1478000000.0,0.039999999999999994,0.039999999999999994,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2014-06-30,39433000000.0,7407000000.0,6667000000.0,,4211000000.0,,,1515000000.0,,,1613000000.0,75000000.0,696000000.0,211000000.0,0.0,728000000.0,453000000.0,908000000.0,625000000.0,-455000000.0,0.0,,,0.6898,0.0,0.017810496319164093,0.001901960287069206,,,,0.0,1.1109944502774862,,-200000000.0,3226000000.0,-1805000000.0,1451000000.0,0.039999999999999994,0.039999999999999994,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2014-09-30,38983000000.0,7887000000.0,7073000000.0,,4397000000.0,,,1670000000.0,,,2380000000.0,563000000.0,1086000000.0,303000000.0,0.0,727000000.0,1216000000.0,1389000000.0,937000000.0,-173000000.0,0.0,,28.7283,0.6106,0.0,0.12804184671366842,0.014442192750686197,,,,0.0,1.115085536547434,,43000000.0,3003000000.0,-2688000000.0,1472000000.0,0.039999999999999994,0.039999999999999994,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2014-12-31,38966000000.0,7826000000.0,6997000000.0,,4272000000.0,,,1539000000.0,,,-1699000000.0,189000000.0,-684000000.0,-149000000.0,1.0,,-99000000.0,-680000000.0,-623000000.0,-779000000.0,0.0,1.1185,12.7681,0.5726,1.0,0.04424157303370786,0.004850382384643022,,,,0.0,1.1184793482921251,,769000000.0,3088000000.0,-1585000000.0,1471000000.0,1.0,1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2015-03-31,37997000000.0,7642000000.0,6582000000.0,,4022000000.0,,,1337000000.0,,,721000000.0,142000000.0,363000000.0,96000000.0,0.0,706000000.0,437000000.0,619000000.0,298000000.0,-182000000.0,0.0,,9.3253,0.543,0.0,0.035305818000994534,0.0037371371424059796,,,,0.0,1.1610452749924036,,969000000.0,3015000000.0,-1589000000.0,1461000000.0,1.0,1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2015-06-30,38584000000.0,7515000000.0,6563000000.0,,3864000000.0,,,1022000000.0,,,1475000000.0,211000000.0,673000000.0,216000000.0,0.0,701000000.0,590000000.0,1168000000.0,597000000.0,-578000000.0,0.0,,10.2921,0.5826,0.0,0.05460662525879917,0.005468588015757827,,,,0.0,1.1450556148103002,,1105000000.0,2877000000.0,-1712000000.0,1438000000.0,1.0,1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2015-09-30,37000000000.0,7220000000.0,6534000000.0,,3567000000.0,,,1437000000.0,,,2148000000.0,391000000.0,1061000000.0,261000000.0,0.0,694000000.0,1505000000.0,1687000000.0,880000000.0,-182000000.0,0.0,,11.1975,0.4436,0.0,0.10961592374544435,0.010567567567567568,,,,0.0,1.1049892868074687,,933000000.0,2645000000.0,-1721000000.0,1413000000.0,1.0,1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2015-12-31,36850000000.0,6866000000.0,6950000000.0,,3149000000.0,,,1262000000.0,,,-1478000000.0,-438000000.0,-661000000.0,-108000000.0,0.0,,-398000000.0,-1166000000.0,-631000000.0,-1564000000.0,0.0,0.9879,21.0434,0.4549,0.0,-0.13909177516671958,-0.011886024423337856,,,,0.0,0.9879136690647482,,306000000.0,2866000000.0,-2506000000.0,1436000000.0,0.0,0.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2016-03-31,36900000000.0,6947000000.0,6572000000.0,,3201000000.0,,,1185000000.0,,,504000000.0,126000000.0,364000000.0,92000000.0,0.0,663000000.0,640000000.0,640000000.0,290000000.0,0.0,0.0,,26.8443,0.5696,0.0,0.03936269915651359,0.0034146341463414634,,,,0.0,1.0570602556299453,,290000000.0,2649000000.0,-2324000000.0,1437000000.0,0.0,0.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2016-06-30,36974000000.0,7381000000.0,6216000000.0,,2766000000.0,,,1265000000.0,,,1083000000.0,-356000000.0,732000000.0,90000000.0,0.0,662000000.0,1363000000.0,1255000000.0,586000000.0,108000000.0,0.0,,,0.6211,0.0,-0.128705712219812,-0.009628387515551468,,,,0.0,1.1874195624195625,,-277000000.0,2257000000.0,-1638000000.0,1496000000.0,0.0,0.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2016-09-30,37108000000.0,7294000000.0,5713000000.0,,2882000000.0,,,1325000000.0,,,1771000000.0,-181000000.0,1086000000.0,165000000.0,0.0,662000000.0,2182000000.0,1770000000.0,877000000.0,412000000.0,0.0,,,0.6387,0.0,-0.06280360860513533,-0.004877654414142503,,,,0.0,1.2767372658848242,,-849000000.0,1880000000.0,-1044000000.0,1521000000.0,0.0,0.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2016-12-31,36119000000.0,6411000000.0,5272000000.0,,5700000000.0,,,1305000000.0,,,-925000000.0,-719000000.0,-751000000.0,-535000000.0,-1.0,,-1301000000.0,-1320000000.0,-577000000.0,-2621000000.0,0.0,1.2158,,0.7476,-1.0,-0.12614035087719297,-0.019906420443533874,,,,0.0,1.2160470409711683,,-1130000000.0,2433000000.0,-2101000000.0,1431000000.0,-1.0,-1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2017-03-31,36508000000.0,6401000000.0,5243000000.0,,2991000000.0,,,1588000000.0,,,593000000.0,-24000000.0,348000000.0,69000000.0,0.0,659000000.0,703000000.0,474000000.0,291000000.0,229000000.0,0.0,,,0.7685,0.0,-0.00802407221664995,-0.0006573901610605894,,,,0.0,1.220865916460042,,-1280000000.0,2522000000.0,-1872000000.0,1415000000.0,-1.0,-1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2017-06-30,36469000000.0,6318000000.0,6411000000.0,,3021000000.0,,,1213000000.0,,,1263000000.0,29000000.0,681000000.0,160000000.0,0.0,662000000.0,954000000.0,1123000000.0,581000000.0,-169000000.0,0.0,,,0.8172,0.0,0.009599470374048328,0.0007951959198223148,,,,0.0,0.985493682732803,,-895000000.0,2702000000.0,-2149000000.0,1364000000.0,-1.0,-1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2017-09-30,38834000000.0,6660000000.0,6736000000.0,,3186000000.0,,,1398000000.0,,,1974000000.0,181000000.0,1034000000.0,270000000.0,0.0,662000000.0,1689000000.0,1587000000.0,884000000.0,102000000.0,0.0,,,0.9011,0.0,0.05681104833647207,0.004660864191172683,,,,0.0,0.9887173396674585,,-533000000.0,2905000000.0,-2459000000.0,1312000000.0,-1.0,-1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2017-12-31,33112000000.0,6398000000.0,6028000000.0,,2465000000.0,,,949000000.0,,,-1366000000.0,-1347000000.0,-893000000.0,491000000.0,-1.0,,-857000000.0,-1007000000.0,-587000000.0,-1864000000.0,0.0,1.0614,,0.6823,-1.0,-0.5464503042596349,-0.04068011597004107,,,,0.0,1.0613802256138023,,-1161000000.0,2464000000.0,-1702000000.0,1170000000.0,-1.0,-1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2018-03-31,32573000000.0,5438000000.0,4876000000.0,,3193000000.0,,,1212000000.0,,,656000000.0,684000000.0,281000000.0,231000000.0,1.0,663000000.0,515000000.0,495000000.0,254000000.0,20000000.0,0.0,,,0.7026,1.0,0.21421860319448793,0.02099898689098333,,,,0.0,1.1152584085315833,,-453000000.0,2527000000.0,-1911000000.0,1103000000.0,0.0,0.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2018-06-30,32597000000.0,5287000000.0,3994000000.0,,3309000000.0,,,1140000000.0,,5277000000.0,1256000000.0,974000000.0,544000000.0,363000000.0,1.0,664000000.0,914000000.0,994000000.0,512000000.0,-80000000.0,0.0,,,0.8189,1.0,0.2943487458446661,0.02988005031137835,0.1845745688838355,0.2380140231191965,-0.015160128861095318,0.0,1.3237356034051078,,492000000.0,2520000000.0,-1822000000.0,966000000.0,1.0,1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2018-09-30,32489000000.0,5015000000.0,4047000000.0,,3305000000.0,,,1187000000.0,,8114000000.0,1927000000.0,1075000000.0,799000000.0,509000000.0,1.0,664000000.0,1681000000.0,1592000000.0,770000000.0,89000000.0,0.0,,,0.8642,1.0,0.32526475037821484,0.03308812213364523,0.1324870594035001,0.2374907567167858,0.010968696080847917,0.0,1.2391895231035335,,1386000000.0,2473000000.0,-1835000000.0,731000000.0,2.0,2.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2018-12-31,32521000000.0,5015000000.0,4399000000.0,,3208000000.0,,,1166000000.0,,-2655000000.0,-1266000000.0,-1530000000.0,-568000000.0,-395000000.0,-2.0,,-767000000.0,-960000000.0,-533000000.0,-1727000000.0,0.0,1.14,7.9608,0.892,-2.0,-0.4769326683291771,-0.04704652378463147,0.576271186440678,0.4768361581920904,0.6504708097928437,0.0,1.140031825414867,,1203000000.0,2573000000.0,-1698000000.0,1056000000.0,1.0,1.0,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2019-03-31,33471000000.0,5855000000.0,4357000000.0,33471000000.0,3234000000.0,,,1426000000.0,,2650000000.0,586000000.0,154000000.0,265000000.0,115000000.0,0.23,667000000.0,690000000.0,504000000.0,246000000.0,186000000.0,0.0,,17.6379,1.115,0.23,0.047619047619047616,0.004600997878760719,0.05811320754716981,0.2211320754716981,0.07018867924528302,0.0,1.3438145512967639,13386000000.0,673000000.0,2503000000.0,-1532000000.0,1040000000.0,0.23,0.23,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2019-06-30,33238000000.0,5517000000.0,4042000000.0,,3208000000.0,,,1169000000.0,,5133000000.0,1088000000.0,171000000.0,538000000.0,172000000.0,0.0,667000000.0,1014000000.0,1070000000.0,512000000.0,-56000000.0,0.0,,27.8268,1.0509,0.0,0.053304239401496256,0.005144713881701667,0.03331385154880187,0.21196181570231834,-0.010909799337619326,0.0,1.3649183572488868,13242000000.0,-130000000.0,2335000000.0,-1508000000.0,1034000000.0,-0.77,-0.77,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2019-09-30,33423000000.0,5470000000.0,4991000000.0,,3140000000.0,,,1145000000.0,,7758000000.0,1789000000.0,381000000.0,788000000.0,302000000.0,0.0,667000000.0,1775000000.0,1628000000.0,774000000.0,147000000.0,0.0,,21.311,1.045,0.0,0.1213375796178344,0.011399335786733687,0.04911059551430781,0.2306006702758443,0.01894818252126837,0.0,1.095972750951713,12886000000.0,-824000000.0,2197000000.0,-1450000000.0,1023000000.0,-1.77,-1.77,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2019-12-31,33648000000.0,5231000000.0,5096000000.0,,2996000000.0,,,1029000000.0,,-5352000000.0,-1114000000.0,-403000000.0,-541000000.0,-237000000.0,-0.23,,-1013000000.0,-797000000.0,-487000000.0,-1810000000.0,0.0,1.0265,43.6063,1.2968,-0.23,-0.13451268357810414,-0.011976937708036138,0.07529895366218237,0.20814648729446936,0.3381913303437967,0.0,1.02649136577708,10189000000.0,303000000.0,2349000000.0,-1533000000.0,1050000000.0,-2.7755575615628914e-17,-2.7755575615628914e-17,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2020-03-31,34142000000.0,5751000000.0,5432000000.0,34142000000.0,2539000000.0,,,1544000000.0,,2338000000.0,507000000.0,144000000.0,233000000.0,89000000.0,0.22,668000000.0,373000000.0,576000000.0,268000000.0,-203000000.0,0.0,,30.8626,0.9155,0.22,0.05671524222134699,0.004217679104914768,0.06159110350727117,0.21685201026518391,-0.08682634730538923,0.0,1.0587260677466863,9877000000.0,293000000.0,2270000000.0,-1922000000.0,1018000000.0,-0.010000000000000037,-0.010000000000000037,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2020-06-30,34566000000.0,5966000000.0,5448000000.0,,2462000000.0,,,1417000000.0,,4555000000.0,1031000000.0,61000000.0,451000000.0,202000000.0,0.0,668000000.0,820000000.0,962000000.0,539000000.0,-142000000.0,0.0,,49.9197,1.0024,0.0,0.024776604386677496,0.0017647399178383383,0.013391877058177827,0.22634467618002196,-0.031174533479692644,0.0,1.0950807635829662,9299000000.0,183000000.0,2213000000.0,-2008000000.0,931000000.0,-0.010000000000000037,-0.010000000000000037,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2020-09-30,34267000000.0,5885000000.0,5777000000.0,,2004000000.0,,,1505000000.0,,7100000000.0,1787000000.0,-272000000.0,741000000.0,55000000.0,0.0,665000000.0,2087000000.0,1375000000.0,803000000.0,712000000.0,0.0,,,1.2638,0.0,-0.13572854291417166,-0.007937665976011907,-0.03830985915492958,0.2516901408450704,0.10028169014084506,0.0,1.0186948243032716,8641000000.0,-470000000.0,2211000000.0,-1443000000.0,884000000.0,-0.010000000000000037,-0.010000000000000037,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2020-12-31,34603000000.0,5414000000.0,5362000000.0,34603000000.0,2634000000.0,,,1089000000.0,,-4333000000.0,-632000000.0,113000000.0,-387000000.0,-130000000.0,-0.15,,-525000000.0,-1013000000.0,-542000000.0,-1538000000.0,0.0,1.0097,339.7957,1.6181,-0.15,0.04290053151100987,0.003265612808138023,-0.02607892914839603,0.14585737364412646,0.354950380798523,0.0,1.009697873927639,9660000000.0,46000000.0,2693000000.0,-1171000000.0,1038000000.0,0.06999999999999998,0.06999999999999998,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2021-03-31,35203000000.0,6237000000.0,5021000000.0,35203000000.0,3377000000.0,,,1886000000.0,,2635000000.0,664000000.0,-148000000.0,190000000.0,8000000.0,-0.22,666000000.0,253000000.0,432000000.0,275000000.0,-179000000.0,0.0,,,1.7989,-0.22,-0.04382588095943145,-0.00420418714314121,-0.05616698292220114,0.2519924098671727,-0.06793168880455408,0.0,1.2421828321051582,9957000000.0,-246000000.0,2850000000.0,-1147000000.0,995000000.0,-0.37,-0.37,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2021-06-30,34727000000.0,5530000000.0,4337000000.0,,3265000000.0,,,1213000000.0,,5335000000.0,1392000000.0,-120000000.0,427000000.0,-51000000.0,-0.18,666000000.0,604000000.0,999000000.0,538000000.0,-395000000.0,0.0,,,1.6639,-0.18,-0.036753445635528334,-0.003455524519826072,-0.022492970946579195,0.2609184629803187,-0.07403936269915651,0.0,1.2750749365921143,10737000000.0,-427000000.0,3211000000.0,-1400000000.0,971000000.0,-0.55,-0.55,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2021-09-30,35030000000.0,5690000000.0,4658000000.0,,3482000000.0,,,1411000000.0,,8371000000.0,2152000000.0,223000000.0,669000000.0,75000000.0,0.32,700000000.0,1379000000.0,1534000000.0,795000000.0,-155000000.0,0.0,,28.1201,1.3917,0.32,0.06404365307294659,0.006365972023979446,0.026639589057460278,0.25707800740652254,-0.01851630629554414,0.0,1.2215543151567196,12008000000.0,68000000.0,3576000000.0,-2267000000.0,899000000.0,-0.22999999999999998,-0.22999999999999998,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2021-12-31,32963000000.0,5356000000.0,4732000000.0,,2798000000.0,,,943000000.0,,-5200000000.0,-1497000000.0,-364000000.0,-375000000.0,-165000000.0,-0.53,,-334000000.0,-849000000.0,-552000000.0,-1183000000.0,0.0,1.1319,,1.4544,-0.53,-0.13009292351679771,-0.011042684221703122,0.07,0.2878846153846154,0.2275,0.0,1.1318681318681318,11141000000.0,-409000000.0,2711000000.0,-1912000000.0,911000000.0,-0.61,-0.61,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2022-03-31,34648000000.0,6142000000.0,5753000000.0,,3044000000.0,,,1056000000.0,,2852000000.0,530000000.0,115000000.0,258000000.0,60000000.0,0.16,711000000.0,457000000.0,766000000.0,270000000.0,-309000000.0,0.0,,,1.5119,0.16,0.03777923784494087,0.0033190948972523665,0.04032258064516129,0.18583450210378682,-0.10834502103786817,0.0,1.0676168955327656,11358000000.0,-146000000.0,2577000000.0,-2042000000.0,979000000.0,-0.23,-0.23,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2022-06-30,36070000000.0,6923000000.0,5989000000.0,,2995000000.0,,,1075000000.0,,5930000000.0,1093000000.0,-64000000.0,537000000.0,41000000.0,-0.1,668000000.0,865000000.0,1659000000.0,534000000.0,-794000000.0,0.0,,,1.1956,-0.1,-0.021368948247078464,-0.001774327696146382,-0.010792580101180439,0.18431703204047217,-0.1338954468802698,0.0,1.155952579729504,11953000000.0,-90000000.0,2278000000.0,-2441000000.0,1089000000.0,-0.15,-0.15,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2022-09-30,37775000000.0,7628000000.0,5902000000.0,,3409000000.0,,,1553000000.0,,9557000000.0,1985000000.0,357000000.0,813000000.0,186000000.0,0.0,711000000.0,1649000000.0,2711000000.0,800000000.0,-1062000000.0,0.0,,,1.2246,0.0,0.10472279260780287,0.009450694904037061,0.037354818457675,0.2077011614523386,-0.11112273726064664,0.0,1.2924432395798036,13139000000.0,44000000.0,2111000000.0,-3348000000.0,1233000000.0,-0.47,-0.47,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2022-12-31,38363000000.0,7643000000.0,6491000000.0,,2437000000.0,,,1374000000.0,,-5722000000.0,-1060000000.0,-954000000.0,-491000000.0,-22000000.0,-0.06,,-256000000.0,-585000000.0,-551000000.0,-841000000.0,0.0,1.1775,,1.5226,-0.06,-0.39146491588018056,-0.02486771107577614,0.16672492135616918,0.18524991261796575,0.14697658161482,0.0,1.1774765059312895,12617000000.0,-546000000.0,2548000000.0,-3006000000.0,1117000000.0,5.551115123125783e-17,5.551115123125783e-17,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
2023-06-30,41505000000.0,7205000000.0,7628000000.0,,2492000000.0,,,1322000000.0,669385716.0,6266000000.0,1092000000.0,112000000.0,640000000.0,70000000.0,0.0,712000000.0,1187000000.0,3396000000.0,550000000.0,-2209000000.0,0.0,,,1.0713,0.0,0.0449438202247191,0.0026984700638477293,0.01787424194063198,0.17427385892116182,-0.35253750398978617,0.0,0.9445464079706345,16031000000.0,-549000000.0,3110000000.0,-4906000000.0,1499000000.0,-0.15999999999999995,-0.15999999999999995,1.0110312,17.65,9.46,13.82188,10189.594,11.1974,2.5134,0.833
