report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-10-02,32668000000.0,15297000000.0,11893000000.0,,11317000000.0,3885000000.0,1000000.0,2303000000.0,23120000000.0,3192000000.0,2158000000.0,882000000.0,6.0,,244000000.0,,3886000000.0,,16.6063,1.5184,6.0,3192000000.0,0.19068657771494213,0.06605852822333783,0.09333910034602076,0.13806228373702423,0.09771029753887596,0.20995856081036637,,0.13806228373702423,0.3433772201113369,1.286218784158749,30592000000.0,2930000000.0,4269000000.0,,4269000000.0,9.0,9.0,0.9102834387444366,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2016-12-31,32872000000.0,15447000000.0,12846000000.0,,10976000000.0,2988000000.0,,2334000000.0,-14880000000.0,-2059000000.0,-1395000000.0,-625000000.0,-3.0,,-51000000.0,,2988000000.0,1.2293,20.7729,1.7482,-3.0,-2059000000.0,-0.12709548104956267,-0.042437332684351424,0.09375,0.1383736559139785,-0.06263689462156243,-0.14745058722429102,,0.1383736559139785,0.27223032069970843,1.2024754787482486,31353000000.0,2955000000.0,4309000000.0,,4309000000.0,9.0,9.0,0.6934323508934788,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2017-04-02,33211000000.0,16614000000.0,13165000000.0,,10583000000.0,2988000000.0,901000000.0,2168000000.0,7441000000.0,1035000000.0,763000000.0,247000000.0,2.0,,62000000.0,,3889000000.0,,21.0239,1.8554,2.0,1035000000.0,0.0720967589530379,0.022974315738761252,0.10253998118532455,0.13909420776777315,0.031164373249826866,0.07151741293532338,,0.13909420776777315,0.36747614098081827,1.2619825294341056,31070000000.0,3001000000.0,4291000000.0,,4291000000.0,9.0,9.0,0.9063155441622,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2017-07-02,33793000000.0,17126000000.0,13503000000.0,,10952000000.0,2989000000.0,989000000.0,1856000000.0,15116000000.0,2091000000.0,1512000000.0,530000000.0,4.0,,153000000.0,,3978000000.0,,21.9093,1.965,4.0,2091000000.0,0.13805697589481372,0.04474299411120646,0.10002646202699127,0.13833024609685102,0.06187672003077561,0.14005358338914936,,0.13833024609685102,0.36322132943754565,1.2683107457602014,30797000000.0,3038000000.0,4259000000.0,,4259000000.0,9.0,9.0,0.934022070908664,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2017-10-01,34914000000.0,18080000000.0,13209000000.0,,11564000000.0,3979000000.0,903000000.0,2722000000.0,22696000000.0,3143000000.0,2276000000.0,793000000.0,7.0,,273000000.0,,4882000000.0,,21.8975,2.0534,7.0,3143000000.0,0.19681771013490143,0.0651887494987684,0.10028198801550935,0.13848255199154036,0.09002119493612877,0.19111030037699137,,0.13848255199154036,0.42217225873400205,1.3687637217048982,30373000000.0,3156000000.0,4210000000.0,,4210000000.0,10.0,10.0,1.1596199524940618,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2017-12-31,35046000000.0,18328000000.0,13099000000.0,,11435000000.0,3980000000.0,2000000.0,2983000000.0,-14280000000.0,-2092000000.0,-1639000000.0,-405000000.0,-4.0,,-60000000.0,,3982000000.0,1.3992,20.5573,1.9327,-4.0,-2092000000.0,-0.14333187581985132,-0.04676710608913999,0.11477591036414565,0.14649859943977592,-0.059692974947212235,-0.13569436336511642,,0.14649859943977592,0.3482291211193704,1.3991907779219788,30973000000.0,2912000000.0,4177000000.0,,4177000000.0,9.0,9.0,0.9533157768733541,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2018-04-01,37219000000.0,20464000000.0,15242000000.0,,11774000000.0,3981000000.0,2498000000.0,4332000000.0,7535000000.0,1008000000.0,799000000.0,161000000.0,,,104000000.0,,6479000000.0,,22.0538,2.0927,,1008000000.0,0.06786138950229319,0.021467530024987237,0.10603848706038486,0.13377571333775715,0.02708294150836938,0.05522379882758999,,0.13377571333775715,0.5502802785799219,1.3426059572234614,31067000000.0,2948000000.0,4150000000.0,,4150000000.0,,,1.5612048192771084,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2018-07-01,47152000000.0,19827000000.0,16573000000.0,,11994000000.0,11397000000.0,2881000000.0,1862000000.0,16721000000.0,2096000000.0,1585000000.0,345000000.0,,,279000000.0,,14278000000.0,,18.5977,1.704,,2096000000.0,0.132149408037352,0.033614692908042074,0.09479098140063394,0.12535135458405597,0.044451985069562265,0.07978075517661389,,0.12535135458405597,1.190428547607137,1.1963434501900683,32672000000.0,3021000000.0,4155000000.0,,4155000000.0,,,3.4363417569193744,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2018-09-30,46963000000.0,19958000000.0,15689000000.0,,12755000000.0,11403000000.0,1678000000.0,1010000000.0,25815000000.0,3231000000.0,2436000000.0,504000000.0,8.0,,447000000.0,,13081000000.0,,19.8108,1.7851,8.0,3231000000.0,0.19098392787142296,0.051870621553137576,0.09436374201045904,0.1251597908192911,0.06879884164129207,0.12505805852299118,,0.1251597908192911,1.0255586044688358,1.272101472369176,35791000000.0,3181000000.0,4243000000.0,,4243000000.0,,,3.082960169691256,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2018-12-31,45408000000.0,18189000000.0,14739000000.0,,11732000000.0,11444000000.0,973000000.0,963000000.0,-13878000000.0,-1878000000.0,-1475000000.0,-283000000.0,3.0,,-140000000.0,,12417000000.0,1.2341,13.9186,1.2864,3.0,-1878000000.0,-0.12572451414933516,-0.032483262861169836,0.10628332612768411,0.1353220925205361,-0.04135835095137421,-0.07776719532899913,,0.1353220925205361,1.0583873167405387,1.2340728679014858,36193000000.0,3345000000.0,4457000000.0,,4457000000.0,,,2.7859546780345523,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2019-03-31,47466000000.0,18867000000.0,15382000000.0,47466000000.0,12234000000.0,11451000000.0,2097000000.0,673000000.0,9261000000.0,1014000000.0,745000000.0,170000000.0,,-795000000.0,181000000.0,-976000000.0,13548000000.0,,15.1247,1.3127,,1014000000.0,0.06089586398561386,0.01569544516074664,0.08044487636324371,0.10949141561386459,0.02136265958791556,0.0393297649522923,-0.10538818702084009,0.10949141561386459,1.1074055909759686,1.2265635157976855,37919000000.0,3291000000.0,4463000000.0,,4463000000.0,,,3.0356262603629847,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2019-06-30,48074000000.0,19557000000.0,18014000000.0,,12877000000.0,8975000000.0,4960000000.0,702000000.0,18816000000.0,2104000000.0,1551000000.0,347000000.0,,,362000000.0,,13935000000.0,,15.9244,1.3771,,2104000000.0,0.12044730915585929,0.03226276157590381,0.08242984693877552,0.11181972789115646,0.043765860964346634,0.0784723258242578,,0.11181972789115646,1.0821619942533198,1.0856556011990675,40014000000.0,3257000000.0,4471000000.0,,4471000000.0,,,3.116752404383807,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2019-09-29,48788000000.0,20151000000.0,18227000000.0,,13513000000.0,8989000000.0,4661000000.0,974000000.0,28577000000.0,3320000000.0,2464000000.0,524000000.0,8.0,587000000.0,606000000.0,-19000000.0,13650000000.0,,15.673,1.3571,8.0,3320000000.0,0.1823429290313032,0.05050422234975814,0.08622318647863667,0.11617734541764356,0.06804952037386243,0.1222250855943747,-0.0006648703502816951,0.11617734541764356,1.0101383852586399,1.105557689142481,42776000000.0,3285000000.0,4560000000.0,,4560000000.0,,,2.9934210526315788,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2019-12-31,48841000000.0,19780000000.0,16801000000.0,,13577000000.0,9010000000.0,2920000000.0,902000000.0,-17304000000.0,-1790000000.0,-1276000000.0,-323000000.0,3.0,3189000000.0,-162000000.0,3027000000.0,11930000000.0,1.2075,14.6438,1.2965,3.0,-1790000000.0,-0.09398247035427561,-0.0261255912041113,0.07374017568192326,0.10344429033749422,-0.03664953625028153,-0.07017681420786451,-0.17493065187239945,0.10344429033749422,0.8786919054282979,1.1773108743527172,39350000000.0,3484000000.0,4648000000.0,,4648000000.0,,,2.566695352839931,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2020-03-29,53710000000.0,24741000000.0,18440000000.0,,13200000000.0,12951000000.0,5047000000.0,5300000000.0,8749000000.0,941000000.0,706000000.0,142000000.0,,-666000000.0,185000000.0,-851000000.0,17998000000.0,,11.1248,0.9868,,941000000.0,0.05348484848484848,0.013144665797803016,0.08069493656417877,0.107555149159904,0.017520014894805435,0.03016218988396692,-0.09726825922962624,0.107555149159904,1.3634848484848485,1.341702819956616,38838000000.0,3445000000.0,4575000000.0,,4575000000.0,,,3.9339890710382512,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2020-06-28,50222000000.0,21135000000.0,16606000000.0,,13890000000.0,10470000000.0,4121000000.0,2300000000.0,18013000000.0,1782000000.0,1331000000.0,244000000.0,,177000000.0,406000000.0,-229000000.0,14591000000.0,,13.1282,1.1116,,1782000000.0,0.09582433405327574,0.026502329656325912,0.07389107866540831,0.09892855160162105,0.0354824578869818,0.06256802780801236,-0.012713040581802032,0.09892855160162105,1.050467962562995,1.2727327471998073,38035000000.0,3225000000.0,4253000000.0,1928000000.0,4253000000.0,,,3.430754761344933,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2020-09-27,50258000000.0,20865000000.0,16120000000.0,,14716000000.0,9978000000.0,3394000000.0,1500000000.0,27444000000.0,2866000000.0,2165000000.0,388000000.0,,1296000000.0,622000000.0,674000000.0,13372000000.0,,12.697,1.0582,,2866000000.0,0.14711878227779288,0.04307771897011421,0.07888791721323422,0.10443084098527912,0.05702574714473318,0.10203645684990031,0.024559102171695088,0.10443084098527912,0.9086708344658875,1.2943548387096775,36902000000.0,2926000000.0,3799000000.0,2621000000.0,3799000000.0,,,3.519873650960779,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
