report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2012-12-31,17492400000.0,3907600000.0,2713000000.0,8443400000.0,8316800000.0,1186000000.0,835500000.0,-1983500000.0,-439700000.0,-383000000.0,-27900000.0,-147400000.0,-0.8400000000000001,412700000.0,-24700000.0,-52700000.0,388000000.0,1186000000.0,0.6241,2.8464,17.1099,-0.8400000000000001,-492400000.0,-0.04605136590996537,-0.021895223068303948,0.19309301739349635,0.2216788505167633,-0.025136630765360955,-0.04627057288378162,-0.19561381396521302,0.2482480463826569,0.142602924201616,1.4403243641725028,4177000000.0,677100000.0,871500000.0,670600000.0,966500000.0,52300000.0,1.49,1.49,1.2271081220900155,16.663479923518164,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2013-03-31,18534500000.0,4903500000.0,3287600000.0,9695300000.0,8196200000.0,1514500000.0,884700000.0,1141800000.0,273400000.0,222200000.0,9700000.0,88600000.0,0.49,-484600000.0,18100000.0,22300000.0,-502700000.0,1514500000.0,,3.022,17.8829,0.49,295700000.0,0.02711012420389937,0.01198845396422887,0.19460500963391136,0.2394464880014013,0.014750869999190699,0.028154509973534348,-0.44026974951830444,0.2589770537747416,0.18478075205583075,1.491513566127266,4285100000.0,705400000.0,915100000.0,344600000.0,1008100000.0,48400000.0,1.5499999999999998,1.5499999999999998,1.5023311179446484,18.90702479338843,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2013-06-30,18138600000.0,5018700000.0,3429700000.0,9384600000.0,8164500000.0,1445600000.0,916200000.0,2247700000.0,540900000.0,424800000.0,19700000.0,,0.0,255600000.0,40300000.0,44200000.0,215300000.0,1445600000.0,,3.2485,18.6439,0.0,585100000.0,0.05203013044277053,0.023419668552148457,0.18899319304177603,0.24064599368243092,0.029820383050511066,0.05628453397987534,0.09578680428882858,0.2603105396627664,0.17705921979300632,1.4633058284981193,4490100000.0,782400000.0,1023300000.0,349900000.0,1109600000.0,41100000.0,0.7899999999999998,0.7899999999999998,1.3028118240807498,24.8978102189781,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2013-09-30,18763500000.0,,,9644100000.0,8530800000.0,1387600000.0,1174500000.0,3419500000.0,826900000.0,652900000.0,29400000.0,262700000.0,1.0,589900000.0,67000000.0,66000000.0,522900000.0,1387600000.0,,3.1489,17.4049,1.0,892900000.0,0.07653443991184883,0.03479628001172489,0.19093434712677293,0.24181897938295072,0.044069603219015645,0.08337030166155832,0.15291709314227225,0.26112004679046646,0.16265766399399822,,4825500000.0,916900000.0,1201500000.0,623500000.0,1281300000.0,30900000.0,0.6499999999999999,0.6499999999999999,1.0829626160930306,38.883495145631066,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2013-12-31,19270500000.0,,,10293200000.0,8392600000.0,1588600000.0,1331200000.0,-2164400000.0,-521000000.0,-359600000.0,-14200000.0,-14400000.0,0.6100000000000001,419300000.0,-37200000.0,-44100000.0,382100000.0,1588600000.0,0.7667,3.474,17.1598,0.6100000000000001,-565100000.0,-0.04284727021423635,-0.018660647103085026,0.1661430419515801,0.24071336167067087,-0.02703614332788459,-0.05219813248907947,-0.1765385326187396,0.26108852337830346,0.18928579939470486,,4644600000.0,940300000.0,1120200000.0,617600000.0,1208600000.0,44600000.0,2.1,2.1,1.314413370842297,25.116591928251122,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2014-03-31,20346300000.0,,,11338900000.0,8279700000.0,1588700000.0,978700000.0,1269500000.0,244300000.0,187800000.0,18700000.0,89000000.0,0.0,-219200000.0,21400000.0,23400000.0,-240600000.0,1588700000.0,,3.3339,17.672,0.0,267700000.0,0.02268198123120403,0.0092301794429454,0.1479322567940134,0.1924379677038204,0.012007097113480093,0.02475578614567711,-0.18952343442300118,0.21087042142575818,0.1918789328115753,,4772300000.0,905900000.0,1091100000.0,879700000.0,1180600000.0,53600000.0,1.61,1.61,1.345671692359817,20.35634328358209,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2014-06-30,19899500000.0,,,10421600000.0,8549700000.0,1588900000.0,1196000000.0,2559400000.0,599100000.0,462300000.0,36900000.0,196000000.0,1.0,550300000.0,49800000.0,45800000.0,500500000.0,1588900000.0,,3.2877,16.6649,1.0,644900000.0,0.05407207270430541,0.023231739490941983,0.1806282722513089,0.2340782996014691,0.030106284077489383,0.059090998757224865,0.19555364538563727,0.25197311869969524,0.18584277810917343,,5084000000.0,943400000.0,1149300000.0,1164900000.0,1240400000.0,70800000.0,2.6100000000000003,2.6100000000000003,1.2809577555627216,16.233050847457626,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2014-09-30,20081000000.0,,,10784400000.0,8424100000.0,1589100000.0,1352600000.0,3870400000.0,928700000.0,718300000.0,55000000.0,290900000.0,1.0,1017400000.0,86700000.0,67400000.0,930700000.0,1589100000.0,,3.3381,16.9127,1.0,996100000.0,0.08526726890706425,0.03577013096957323,0.18558805291442745,0.2399493592393551,0.04624769682784722,0.09274757320337156,0.24046610169491525,0.2573635799917321,0.18863736185467883,,5534900000.0,1008800000.0,1251100000.0,1572700000.0,1343600000.0,96400000.0,2.6100000000000003,2.6100000000000003,1.182718070854421,12.978215767634854,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2014-12-31,20462500000.0,,,11177200000.0,8326000000.0,1589300000.0,1514200000.0,-2552200000.0,-495200000.0,-380300000.0,-37500000.0,-185300000.0,0.0,-148100000.0,-24700000.0,-47200000.0,-172800000.0,1589300000.0,0.7591,3.3079,17.2314,0.0,-542400000.0,-0.04567619505164545,-0.018585216860109957,0.14900869837787006,0.19402868113784186,-0.024200366524129505,-0.04994301735701391,0.067706292610297,0.21252252958232112,0.19088397790055248,,5147100000.0,988100000.0,1276900000.0,1017800000.0,1366300000.0,73100000.0,1.9999999999999998,1.9999999999999998,1.1632145209690405,17.467852257181942,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2015-03-31,21961200000.0,,,12920800000.0,8077000000.0,1600600000.0,1219700000.0,1291600000.0,338100000.0,259600000.0,18700000.0,101300000.0,0.0,-56300000.0,23000000.0,22700000.0,-79300000.0,1600600000.0,,3.307,16.1286,0.0,360800000.0,0.032140646279559246,0.011820847676811831,0.2009910188912976,0.26176834933415916,0.015395333588328506,0.034936347854840046,-0.06139671724992258,0.2793434499845153,0.1981676364987,,5169200000.0,1059900000.0,1370700000.0,1179100000.0,1459400000.0,73100000.0,2.0,2.0,1.096752089899959,18.751025991792066,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
