report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,roi,roic,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,3303016000.0,1845441000.0,433666000.0,1367534000.0,1934882000.0,732233000.0,426457000.0,,,,,121732000.0,37498000.0,43712000.0,4.26,28609000.0,180244000.0,112366000.0,94885000.0,67878000.0,732233000.0,,16.7377,1.4843,4.26,,0.06291443095754677,0.03685480179327015,,,,,,0.3784380649569328,4.255443129044011,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2012-12-31,3436753000.0,1929932000.0,469920000.0,1425483000.0,2010735000.0,732414000.0,463388000.0,,,,,-68307000.0,-25179000.0,-32552000.0,-2.4099999999999993,-57102000.0,-45508000.0,-70300000.0,,-115808000.0,732414000.0,4.1038,17.9744,1.4376,-2.4099999999999993,,-0.03397115979977471,-0.01987544638791324,,,,,,0.36425187804459563,4.106937351038475,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2013-03-31,3456803000.0,1865180000.0,446740000.0,1425586000.0,2031217000.0,732586000.0,368629000.0,,,,,19499000.0,10977000.0,2929000.0,0.0,28817000.0,20500000.0,34103000.0,33290000.0,-13603000.0,732586000.0,,23.0167,1.7097,0.0,,0.00959966364992022,0.00564076113102193,,,,,,0.36066358247297065,4.175090656757845,,,,,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2013-06-30,3482821000.0,1903036000.0,431244000.0,1411879000.0,2070942000.0,732800000.0,366999000.0,,,,,54173000.0,22641000.0,15916000.0,1.0,28843000.0,39188000.0,58598000.0,68211000.0,-19410000.0,732800000.0,,22.9282,1.538,1.0,,0.02615862732997834,0.015554345170193933,,,,,,0.3538486350655885,4.412898498297947,,127097000.0,-80943000.0,45937000.0,2.8500000000000005,2.8500000000000005,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2013-09-30,3280408000.0,1674543000.0,462885000.0,1156168000.0,2124240000.0,435541000.0,291793000.0,,,,,47654000.0,54252000.0,20200000.0,1.0,28870000.0,102035000.0,83356000.0,105181000.0,18679000.0,435541000.0,,37.0109,1.6008,1.0,,0.022433435016758936,0.014526851537979422,,,,,,0.20503380032388055,3.617622087559545,,53019000.0,-130142000.0,62691000.0,-0.40999999999999925,-0.40999999999999925,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2013-12-31,3388790000.0,1747856000.0,487472000.0,1202068000.0,2186722000.0,435615000.0,331551000.0,,,,,-43536000.0,-26599000.0,-4471000.0,0.69,-57624000.0,13753000.0,-63059000.0,,-49306000.0,435615000.0,3.6078,45.5976,1.6634,0.69,,-0.019909252296359575,-0.012847063406112507,,,,,,0.19920913586637898,3.585551580398464,,77790000.0,-63640000.0,61271000.0,2.69,2.69,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2014-03-31,3441378000.0,1766810000.0,481251000.0,1208775000.0,2232603000.0,435611000.0,364507000.0,,,,,6668000.0,3857000.0,7870000.0,0.0,29059000.0,68921000.0,25932000.0,36671000.0,42989000.0,435611000.0,,57.3603,1.7216,0.0,,0.002986648320368646,0.001937595928142738,,,,,,0.19511350652131168,3.6712858778475264,,64959000.0,-7048000.0,54151000.0,2.69,2.69,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2014-06-30,3467751000.0,1767494000.0,480248000.0,1217807000.0,2249944000.0,435607000.0,384670000.0,,,,,38299000.0,9421000.0,25036000.0,1.0,29076000.0,149824000.0,60892000.0,73007000.0,88932000.0,435607000.0,,56.5905,1.6106,1.0,,0.0170222014414581,0.011044333921322494,,,,,,0.19360792979736385,3.6803776382202527,,49085000.0,101294000.0,40931000.0,2.69,2.69,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2014-09-30,3386024000.0,1764445000.0,503783000.0,1209294000.0,2176730000.0,,424593000.0,,,,,49808000.0,17131000.0,36003000.0,1.0,29097000.0,233096000.0,80865000.0,110129000.0,152231000.0,0.0,,41.1105,1.5072,1.0,,0.022882029466217674,0.014709878016221976,,,,,,0.0,3.5023909103721245,,51239000.0,234846000.0,3810000.0,2.69,2.69,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2014-12-31,3341278000.0,1716367000.0,446761000.0,1156123000.0,2185155000.0,,413251000.0,,,,,-5930000.0,-8278000.0,-26197000.0,1.0,-58099000.0,-178529000.0,-46690000.0,,-225219000.0,0.0,3.8389,39.3148,1.6052,1.0,,-0.002713766300331098,-0.0017747700131506567,,,,,,0.0,3.8418013210642825,,88845000.0,58933000.0,22131000.0,3.0,3.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2015-03-31,3326196000.0,1701844000.0,416882000.0,1127683000.0,2198513000.0,,425728000.0,,,,,17818000.0,5002000.0,8876000.0,0.0,29289000.0,29446000.0,27080000.0,32283000.0,2366000.0,0.0,,39.3698,1.8392,0.0,,0.008104568860861864,0.005356870130323048,,,,,,0.0,4.082315859163984,,99995000.0,18310000.0,23276000.0,3.0,3.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2015-06-30,3525343000.0,1741928000.0,403894000.0,1166446000.0,2358897000.0,,450133000.0,,,,,46241000.0,9836000.0,19993000.0,1.0,29338000.0,67979000.0,59269000.0,64409000.0,8710000.0,0.0,,45.159,2.0719,1.0,,0.01960280588766699,0.013116737860684761,,,,,,0.0,4.312834555601222,,107937000.0,-61912000.0,23691000.0,3.0,3.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2015-09-30,3666396000.0,1794416000.0,435235000.0,1236667000.0,2429729000.0,,507329000.0,,,,,63611000.0,15658000.0,28038000.0,2.0,29372000.0,150258000.0,84013000.0,97970000.0,66245000.0,0.0,,38.0987,1.9095,2.0,,0.026180285949585325,0.017349735271367305,,,,,,0.0,4.122866956931313,,121740000.0,-147898000.0,22218000.0,4.0,4.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2015-12-31,3711542000.0,1777596000.0,441351000.0,1221039000.0,2490503000.0,,457549000.0,,,,,-14577000.0,-8804000.0,-24153000.0,0.0,-58590000.0,-61483000.0,-58362000.0,,-119845000.0,0.0,4.0317,35.8839,2.0096,0.0,,-0.005853034507487042,-0.003927478120953501,,,,,,0.0,4.027624271838061,,113093000.0,-42524000.0,21692000.0,3.0,3.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2016-03-31,3753413000.0,1775264000.0,400888000.0,1208964000.0,2544449000.0,,403615000.0,,,,,12276000.0,5580000.0,7919000.0,0.0,29506000.0,-7448000.0,25296000.0,34090000.0,-32744000.0,0.0,,37.2281,1.9851,0.0,,0.004824620182994432,0.0032706232967168814,,,,,,0.0,4.428329109377183,,107551000.0,-77634000.0,22270000.0,3.0,3.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2016-06-30,3874635000.0,1805688000.0,410405000.0,1260074000.0,2614561000.0,,418651000.0,,,,,30290000.0,11212000.0,16769000.0,1.0,29549000.0,69707000.0,56865000.0,71668000.0,12842000.0,0.0,,43.2009,2.07,1.0,,0.011585118878465639,0.00781751055260689,,,,,,0.0,4.399770957956165,,91600000.0,-73502000.0,23646000.0,3.0,3.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2016-09-30,4019726000.0,1850103000.0,442718000.0,1317035000.0,2702691000.0,,417939000.0,,,,,48695000.0,16846000.0,21052000.0,1.0,29592000.0,121314000.0,96323000.0,110156000.0,24991000.0,0.0,,49.0146,2.3283,1.0,,0.018017228014597302,0.012114009760864297,,,,,,0.0,4.178964939306737,,76684000.0,-114756000.0,24834000.0,2.0,2.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2016-12-31,3850500000.0,1844524000.0,471322000.0,1263745000.0,2586759000.0,,456264000.0,,,,,-63161000.0,-11696000.0,-32340000.0,-2.0,-59001000.0,32827000.0,-37048000.0,,-4221000.0,0.0,3.9172,207.0408,2.6028,-2.0,,-0.02441704078346688,-0.016403324243604727,,,,,,0.0,3.913511357415949,,28100000.0,868000.0,21942000.0,0.0,0.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2017-03-31,3952769000.0,1732571000.0,407504000.0,1245303000.0,2707466000.0,,291663000.0,,,,,12413000.0,5041000.0,7734000.0,0.0,29911000.0,-56220000.0,39332000.0,33662000.0,-95552000.0,0.0,,265.0801,3.2991,0.0,,0.00458472978054018,0.003140330234324343,,,,,,0.0,4.251666241312969,,28237000.0,-61940000.0,21403000.0,0.0,0.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2017-06-30,4143459000.0,1826528000.0,455110000.0,1332462000.0,2810997000.0,,321584000.0,,,,,17448000.0,10811000.0,3819000.0,0.0,29962000.0,6200000.0,64951000.0,70688000.0,-58751000.0,0.0,,599.3137,3.7655,0.0,,0.00620705038105697,0.004210974453952603,,,,,,0.0,4.0133769857836565,,15395000.0,-133533000.0,21002000.0,-1.0,-1.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2017-09-30,4185728000.0,1892451000.0,466456000.0,1337281000.0,2848447000.0,,328894000.0,,,,,44841000.0,16408000.0,15281000.0,1.0,29994000.0,34531000.0,85264000.0,106051000.0,-50733000.0,0.0,,462.5339,3.682,1.0,,0.015742262362613734,0.010712831794134736,,,,,,0.0,4.05708362632274,,11541000.0,-209257000.0,20564000.0,-1.0,-1.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2017-12-31,4273000000.0,1976649000.0,502696000.0,1342762000.0,2930250000.0,,383824000.0,,,,,47498000.0,-10346000.0,-51234000.0,3.0,-59833000.0,119389000.0,-78215000.0,,41174000.0,0.0,3.9304,68.775,3.8905,3.0,,0.01620953843528709,0.011115843669553007,,,,,,0.0,3.932096137625921,,122200000.0,-163862000.0,21914000.0,4.0,4.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2018-03-31,6214912000.0,1977116000.0,456198000.0,1726821000.0,4488091000.0,,407272000.0,,,,,656800000.0,5782000.0,206915000.0,21.0,30171000.0,40300000.0,27184000.0,,13116000.0,0.0,,11.2789,3.9096,21.0,,0.14634284376141216,0.10568130329118096,,,,,,0.0,4.333898877241899,,766587000.0,-55194000.0,22655000.0,25.0,25.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2018-06-30,6386223000.0,1992334000.0,442421000.0,1747277000.0,4638946000.0,,403006000.0,,1127400000.0,,,924800000.0,11759000.0,278958000.0,30.0,30197000.0,118200000.0,53897000.0,,64303000.0,0.0,,8.3565,3.769,30.0,,0.19935562948997465,0.14481172987538957,0.8202944828809651,,,,0.057036544261131805,0.0,4.503253688229085,,1673939000.0,67860000.0,23603000.0,55.0,55.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2018-09-30,6718662000.0,2034197000.0,453159000.0,1818181000.0,4900481000.0,,434517000.0,,1672600000.0,,,1194100000.0,17823000.0,359763000.0,39.0,30234000.0,180500000.0,75951000.0,,104549000.0,0.0,,7.1752,3.9939,39.0,,0.2436699581122751,0.17772883946238105,0.713918450316872,,,,0.06250687552313763,0.0,4.488925520623004,,2823198000.0,223142000.0,25018000.0,93.0,93.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2018-12-31,5611068000.0,2023478000.0,450795000.0,1590737000.0,4020331000.0,438937000.0,431526000.0,,-510585000.0,1223151000.0,,-2410086000.0,-11402000.0,-698591000.0,-77.9,-60374000.0,-53506000.0,-27207000.0,,-80713000.0,438937000.0,4.4856,19.0003,3.0343,-77.9,,-0.5994745208790022,-0.42952357732966345,4.720244425511913,-2.395587414436382,,,0.1580794578767492,0.10917931881728146,4.4886877627302875,,365614000.0,101255000.0,23962000.0,12.099999999999994,12.099999999999994,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2019-03-31,6862914000.0,2031643000.0,444306000.0,1999059000.0,4863855000.0,437606000.0,455890000.0,,553979000.0,,,865195000.0,5986000.0,262071000.0,28.74,30104000.0,42943000.0,23629000.0,,19314000.0,437606000.0,,15.9202,3.9873,28.74,,0.17788256434453742,0.12606816871084206,1.561783027876508,,,,0.03486413744925349,0.08997102092887227,4.572621121479341,2843394000.0,574009000.0,107453000.0,24166000.0,19.839999999999993,19.839999999999993,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2019-06-30,7646900000.0,2087940000.0,445977000.0,2160135000.0,5486810000.0,437700000.0,580684000.0,,1126600000.0,,,1464000000.0,11827000.0,432862000.0,48.0,30125000.0,198300000.0,45843000.0,,152457000.0,437700000.0,,10.3899,4.1078,48.0,,0.2668217051437903,0.19145013011808706,1.299485176637671,,,,0.1353248712941594,0.07977312864852255,4.681721254683538,2842594000.0,1113209000.0,195607000.0,24234000.0,37.83999999999999,37.83999999999999,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2019-09-30,7177100000.0,2047632000.0,434040000.0,2045924000.0,5131192000.0,437800000.0,561071000.0,,1687200000.0,,,1205200000.0,17352000.0,356462000.0,39.0,30149000.0,298100000.0,76934000.0,,221166000.0,437800000.0,,26.4302,4.3213,39.0,,0.23487719812472424,0.1679229772470775,0.7143195827406353,,,,0.1310846372688478,0.08532130545884854,4.717611280066353,2857194000.0,1124309000.0,312224000.0,23763000.0,37.83999999999999,37.83999999999999,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2019-12-31,8008900000.0,2180155000.0,905495000.0,2253802000.0,5755057000.0,,660672000.0,,,1256996000.0,,-1775695000.0,-11749000.0,-548995000.0,-57.739999999999995,-60194000.0,-81443000.0,-47874000.0,,-129317000.0,0.0,2.4088,6.297,4.7909,-57.739999999999995,,-0.30854516297579676,-0.2217152168212863,,,,,,0.0,2.407694134147621,,1758700000.0,263620000.0,23416000.0,58.0,58.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2020-03-31,8684359000.0,2082587000.0,869254000.0,2391280000.0,6293079000.0,12200000.0,603551000.0,,571600000.0,,,685900000.0,5690000.0,212787000.0,22.0,30196000.0,62800000.0,21591000.0,,41209000.0,12200000.0,,6.6449,4.5058,22.0,,0.10899275219650031,0.07898107390539705,1.199965010496851,,,,0.07209412176347096,0.00193863766846086,2.395832518458356,,1579405000.0,285515000.0,23120000.0,51.260000000000005,51.260000000000005,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2020-06-30,10097307000.0,2132584000.0,926895000.0,2743905000.0,7353402000.0,12200000.0,607584000.0,29678376.0,1108500000.0,,,1652300000.0,11430000.0,492303000.0,54.0,30131000.0,154900000.0,39707000.0,,115193000.0,12200000.0,,6.8372,5.8043,54.0,,0.22469871768196545,0.16363769072288284,1.490572846188543,,,,0.10391790708164186,0.0016590960211341635,2.3007827208044063,,1767705000.0,248251000.0,22723000.0,57.260000000000005,57.260000000000005,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2020-09-30,12020931000.0,2323861000.0,986657000.0,3195786000.0,8825145000.0,12200000.0,840325000.0,29830504.0,1755800000.0,,,2967200000.0,17158000.0,861940000.0,98.0,30137000.0,290600000.0,59685000.0,,230915000.0,12200000.0,,4.3345,6.4112,98.0,,0.3362211045824176,0.24683612275954334,1.6899419068231005,,,,0.13151554846793484,0.0013824135467462575,2.355287602479889,,3529705000.0,258000000.0,22529000.0,116.26,116.26,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2020-12-31,12972600000.0,2139835000.0,631536000.0,3092678000.0,9879940000.0,,662205000.0,29844056.0,,1437822000.0,,-1499100000.0,-12417000.0,-465630000.0,-47.8,-60304000.0,67000000.0,-22063000.0,,44937000.0,0.0,3.3861,4.5474,6.8136,-47.8,,-0.15173169067828346,-0.11555894731973544,,,,,,0.0,3.3883024879025108,,3806300000.0,432254000.0,21861000.0,126.2,126.2,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2021-03-31,13933160000.0,2175317000.0,609892000.0,3324101000.0,10609059000.0,10900000.0,673470000.0,29763164.0,726800000.0,,,977400000.0,398000.0,319789000.0,32.38,30186000.0,113600000.0,19547000.0,,94053000.0,10900000.0,,4.1625,6.3277,32.38,,0.09212881180131056,0.07014919802830083,1.3447991194276279,,,,0.1294069895432031,0.0010274238271273635,3.56672492834797,,4097800000.0,485098000.0,16569000.0,136.58,136.58,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2021-06-30,15117556000.0,2289093000.0,587052000.0,3522676000.0,11594880000.0,10800000.0,732836000.0,29772555.0,1442700000.0,,,1891500000.0,761000.0,562450000.0,62.7,30167000.0,268200000.0,42935000.0,,225265000.0,10800000.0,,4.7256,6.6514,62.7,,0.16313234807087265,0.12511943068046183,1.3110833853191932,,,,0.15614126290982186,0.0009314456035767511,3.899301935774003,,4337000000.0,595170000.0,5900000.0,145.28,145.28,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2021-09-30,19953380000.0,2466286000.0,649916000.0,4621002000.0,15332378000.0,10600000.0,859902000.0,,2189800000.0,,,5819600000.0,1187000.0,1656643000.0,192.76,30190000.0,498600000.0,77563000.0,,421037000.0,10600000.0,,3.342,7.4776,192.76,,0.3795627788461777,0.29165985913163583,2.6575943008493925,,,,0.19227189697689287,0.000691347421776322,3.794776555739511,,7189400000.0,785292000.0,-10071000.0,240.04,240.04,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2021-12-31,17775800000.0,1989088000.0,680938000.0,4108661000.0,13667134000.0,,470783000.0,,,1640661000.0,489430000.0,-4442600000.0,-795000.0,-1346682000.0,-147.28000000000003,-60335000.0,-223900000.0,-19242000.0,,-243142000.0,0.0,2.9222,5.2746,7.6781,-147.28000000000003,489430000.0,-0.3250571773131075,-0.24992405405101317,,,0.027533500601941967,0.035810726667346644,,0.0,2.921100012042212,,4245900000.0,497213000.0,1551000.0,140.55999999999995,140.55999999999995,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2022-03-31,14373698000.0,3303421000.0,648331000.0,4190782000.0,10182916000.0,1196700000.0,802316000.0,,700100000.0,,,-3369600000.0,4048000.0,-1001404000.0,-112.57,29933000.0,46300000.0,28899000.0,,17401000.0,1196700000.0,,,5.8649,-112.57,,-0.3309071782581728,-0.23442818960019893,-4.8130267104699325,,,,0.024855020711326954,0.11752036450069901,5.095269237472834,,-101100000.0,420561000.0,5201000.0,-4.390000000000043,-4.390000000000043,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2022-06-30,12682126000.0,3249697000.0,613714000.0,3759529000.0,8922597000.0,1196900000.0,596584000.0,,1391200000.0,,,-4296800000.0,14768000.0,-1297100000.0,-143.88,29863000.0,96500000.0,43162000.0,,53338000.0,1196900000.0,,,5.1211,-143.88,,-0.4815638316960858,-0.338807546936531,-3.088556641748131,,,,0.03833956296722254,0.13414255961577107,5.2951325861883545,,-6289400000.0,248634000.0,19208000.0,-210.97000000000003,-210.97000000000003,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2022-09-30,12058462000.0,3140155000.0,570677000.0,3604857000.0,8453605000.0,1197300000.0,517943000.0,,2072000000.0,,,-4461000000.0,26431000.0,-1342036000.0,-149.0,29819000.0,104000000.0,67224000.0,,36776000.0,1197300000.0,,,4.4195,-149.0,,-0.527703861252093,-0.36994767657765976,-2.152992277992278,,,,0.017749034749034748,0.14163188367566262,5.502508424204936,,-16570000000.0,-135627000.0,44452000.0,-552.73,-552.73,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2022-12-31,13501700000.0,3157976000.0,568708000.0,3886414000.0,9615252000.0,,434215000.0,,,1567330000.0,482616000.0,8499900000.0,-7133000.0,2563840000.0,284.45,-59830000.0,-52400000.0,-26503000.0,,-78903000.0,0.0,5.5501,,4.4756,284.45,482616000.0,0.8840017921527173,0.6295429464437812,,,0.035744832132250014,0.050192756258494314,,0.0,5.5528953346884515,,-3627500000.0,28612000.0,38114000.0,-121.0,-121.0,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2023-06-30,11978229000.0,3138866000.0,581982000.0,3531336000.0,8446893000.0,1198400000.0,390001000.0,,1358000000.0,,,-1093300000.0,24680000.0,-322309000.0,,29475000.0,196200000.0,70364000.0,,125836000.0,1198400000.0,,,4.0393,,,-0.12943220661135402,-0.09127392705549377,-0.8050810014727541,,,,0.09266273932253313,0.14187465142508612,5.3934073562412586,,-1351200000.0,137047000.0,58746000.0,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2023-09-30,11895943000.0,3146770000.0,558176000.0,3479745000.0,8416198000.0,1198700000.0,457850000.0,,1990100000.0,,,-987000000.0,37078000.0,-291464000.0,-33.0,29349000.0,293900000.0,114435000.0,,179465000.0,1198700000.0,,,3.7641,-33.0,,-0.11727385691258689,-0.08296946278239564,-0.4959549771368273,,,,0.09017888548314155,0.14242773280761692,5.637594593819871,,1958600000.0,263174000.0,81056000.0,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2023-12-31,12299100000.0,3048330000.0,522799000.0,3557937000.0,8741133000.0,,403815000.0,,,1426946000.0,337796000.0,-637300000.0,49439000.0,-212800000.0,-21.0,29209000.0,374900000.0,156680000.0,,218220000.0,0.0,5.8308,,3.5273,-21.0,337796000.0,-0.07290816876942612,-0.051816799603223,,,0.027465099072289844,0.03864441829222825,,0.0,5.830787740603942,,5782300000.0,444618000.0,104064000.0,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
2024-03-31,12609893000.0,3060936000.0,466154000.0,3558759000.0,9051134000.0,1199400000.0,433280000.0,,610800000.0,,,383900000.0,12277000.0,107162000.0,13.0,28537000.0,69800000.0,40176000.0,,29624000.0,1199400000.0,,,4.3605,13.0,,0.04241457479250666,0.03044435032081557,0.6285199738048461,,,,0.04850032743942371,0.13251378225093122,6.56636218931941,,-2333700000.0,553145000.0,123474000.0,,,1.1443276,343.12,211.43,0.36126,6138.585,8.0781,1.0967,2.3763
