report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-03-31,5702708000.0,720687000.0,199382000.0,2758648000.0,2944060000.0,1583192000.0,579316000.0,281941000.0,-55589000.0,-51194000.0,,-28770000.0,0.0,431841000.0,62090000.0,161887000.0,1583192000.0,1.4151,,,0.0,106298000.0,-0.017388911910762687,-0.008977138580477906,-0.1815769966056728,-0.19716536438474716,-0.009747825068371026,-0.012278750995084877,0.37702214293061315,0.537758061996019,3.6146041267516624,1174326000.0,-205340000.0,-233246000.0,375355000.0,,0.0,0.0,4.217852433030065,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2016-06-30,5570470000.0,659238000.0,228490000.0,2692871000.0,2877599000.0,1519849000.0,517490000.0,528757000.0,-126273000.0,-114104000.0,,-63216000.0,0.0,448455000.0,147244000.0,309420000.0,1519849000.0,,,,0.0,183147000.0,-0.03965250196431122,-0.020483729380106168,-0.21579667030412836,-0.23881102283279465,-0.022668284722833082,-0.02871506382792929,0.34637271941553494,0.5281656686703047,2.885194100398267,932021000.0,-332191000.0,-427852000.0,162160000.0,,0.0,0.0,9.372527133695115,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2016-09-30,5531921000.0,655645000.0,196763000.0,2668671000.0,2863250000.0,1520190000.0,501193000.0,839186000.0,-123077000.0,-124364000.0,,-71243000.0,0.0,454060000.0,252649000.0,448910000.0,1520190000.0,,,,0.0,325833000.0,-0.04343455863092639,-0.022481159799642835,-0.1481959899235688,-0.1466623609068788,-0.02224851005645236,-0.028077719781723944,0.3882726832907127,0.5309316336331092,3.3321559439528774,694848000.0,-453788000.0,-618237000.0,-51650000.0,,0.0,0.0,-29.432526621490805,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2016-12-31,5122569000.0,715881000.0,257812000.0,2554902000.0,2567667000.0,1520530000.0,498542000.0,-494207000.0,-261615000.0,-127462000.0,,-79246000.0,0.0,-877509000.0,-69606000.0,-330089000.0,1520530000.0,2.7768,,,0.0,-591704000.0,-0.049641172317126794,-0.024882436917882413,0.2579121704063277,0.5293632020590562,-0.051071054386968726,-0.06399275768755762,1.1972796824002898,0.5921834879678712,2.7767559306781684,1155677000.0,-417124000.0,-566554000.0,23574000.0,,0.0,0.0,64.50029693730382,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2017-03-31,5244388000.0,748313000.0,224395000.0,2537209000.0,2707179000.0,1520870000.0,537485000.0,517843000.0,190120000.0,105720000.0,,63205000.0,0.0,466888000.0,269378000.0,135100000.0,1520870000.0,2.7768,,,0.0,325220000.0,0.03905172136751947,0.02015869153845978,0.20415454104815553,0.3671383025357106,0.0362520850860005,0.04496636628383446,0.6280281861490838,0.5617914441564448,3.3348024688607145,1391579000.0,-260210000.0,-320845000.0,242496000.0,,0.0,0.0,6.271732317234099,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2017-06-30,5219459000.0,735824000.0,234422000.0,2577428000.0,2642031000.0,1521211000.0,516534000.0,978302000.0,247560000.0,127247000.0,,78814000.0,0.0,466752000.0,529946000.0,279422000.0,1521211000.0,,,,0.0,526982000.0,0.048162568872204756,0.024379346595116466,0.13006924242207415,0.25305069395748964,0.04743020301529335,0.05946327405421064,0.5386700630275723,0.575773334983579,3.1388862820042487,1841124000.0,-18859000.0,52988000.0,586331000.0,,0.0,0.0,2.594457738035342,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2017-09-30,5128766000.0,718029000.0,438234000.0,2484172000.0,2644594000.0,1284551000.0,510256000.0,1363716000.0,287545000.0,144834000.0,,85965000.0,0.0,466010000.0,719047000.0,425689000.0,1284551000.0,,,,0.0,713234000.0,0.05476606238991694,0.02823954144135256,0.10620539760477989,0.21085401945859694,0.0560651431552931,0.07318258806941459,0.5230077230156426,0.4857271097189209,1.638460274647791,2365654000.0,250339000.0,463610000.0,973732000.0,,0.0,0.0,1.319203846643635,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2017-12-31,4727344000.0,764957000.0,630050000.0,2203439000.0,2523905000.0,1217891000.0,480047000.0,-1095642000.0,-876485000.0,-277408000.0,,-556812000.0,0.0,-934099000.0,-620211000.0,-271394000.0,1217891000.0,1.2141,,,0.0,-1147879000.0,-0.10991221935849407,-0.05868157680084208,0.25319219234019874,0.799973896583008,-0.1854074930870273,-0.2342417919095536,1.0476770696997741,0.48254233023826176,1.214121101499881,1764219000.0,100393000.0,-151260000.0,417557000.0,,0.0,0.0,2.9167059826562602,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2018-03-31,4538401000.0,1236118000.0,510491000.0,2131885000.0,2406516000.0,1218231000.0,964928000.0,473227000.0,177044000.0,117231000.0,,39641000.0,0.0,461549000.0,272760000.0,82128000.0,1218231000.0,1.2141,,,0.0,259172000.0,0.04871399151304209,0.025830903880022942,0.24772677805788765,0.37412066513533676,0.03901021527185456,0.04884313305176886,0.5476695116719883,0.5062218576564627,2.4214295648698996,1719603000.0,111904000.0,-164336000.0,351509000.0,,0.0,0.0,3.4657178052340054,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2018-06-30,4396710000.0,987413000.0,590744000.0,2242536000.0,2154174000.0,1218572000.0,740994000.0,926674000.0,255073000.0,159662000.0,,51793000.0,0.0,457142000.0,546660000.0,167038000.0,1218572000.0,,,,0.0,422111000.0,0.07411750397135979,0.03631397112841193,0.1722957588105418,0.2752564548050339,0.05801451539901426,0.07562769328019364,0.45551186285576156,0.5656794669325691,1.6714735993933074,1667975000.0,144319000.0,-156823000.0,246638000.0,,0.0,0.0,4.940730949813086,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
