report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-09-30,1942124000000.0,1738166000000.0,203028000000.0,254835000000.0,124668000000.0,,,,16664000000.0,4253000000.0,7817000000.0,3.0,5118200000.0,,379503000000.0,10.0462,3.0,,0.08207734893709243,0.00858029662369653,,,,1.8692150836337844,,21394000000.0,,,6421000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2016-12-31,1930115000000.0,1729618000000.0,199581000000.0,255077000000.0,96781000000.0,,,,-11208000000.0,-2367000000.0,-5525000000.0,-2.0,-10279100000.0,,351858000000.0,12.8202,-2.0,,-0.05615765027733101,-0.005806907878546097,,,,1.762983450328438,,21938000000.0,,,5909000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2017-03-31,1951564000000.0,1749075000000.0,201500000000.0,256468000000.0,94871000000.0,,,,5457000000.0,1926000000.0,2057000000.0,1.0,5070400000.0,,351339000000.0,12.5968,1.0,,0.027081885856079405,0.0027962188275659932,,,,1.7436178660049628,,21933000000.0,,,6530000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2017-06-30,1930871000000.0,1724726000000.0,205230000000.0,238869000000.0,95356000000.0,,,,11267000000.0,4158000000.0,4282000000.0,2.0,5054800000.0,,334225000000.0,12.3572,2.0,,0.05489938118208839,0.005835190439962069,,,,1.6285387126638406,,22180000000.0,,,7970000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2017-09-30,1934939000000.0,1728115000000.0,205929000000.0,238893000000.0,93811000000.0,,,,15863000000.0,6740000000.0,6486000000.0,2.0,5035400000.0,,332704000000.0,12.8297,2.0,,0.07703140402760175,0.008198191260809772,,,,1.6156248027232687,,21379000000.0,,,10457000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2017-12-31,1951757000000.0,1743678000000.0,206936000000.0,225020000000.0,103256000000.0,,,,-10404000000.0,-3472000000.0,-7908000000.0,-1.0,-10143300000.0,,328276000000.0,13.561,-1.0,,-0.05027641396373758,-0.005330581624659218,,,,1.5863648664321337,,22183000000.0,,,9352000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2018-03-31,1915388000000.0,1709478000000.0,204952000000.0,227302000000.0,97207000000.0,,,,5136000000.0,3109000000.0,1374000000.0,0.0,4930700000.0,,324509000000.0,11.5466,0.0,,0.025059526132948203,0.0026814410448431337,,,,1.5833414653187088,,21862000000.0,,,10535000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2018-06-30,1879700000000.0,1673631000000.0,205188000000.0,219284000000.0,104496000000.0,,,,10322000000.0,6583000000.0,3184000000.0,1.0,4916100000.0,,323780000000.0,13.0592,1.0,,0.050305086067411346,0.005491301803479278,,,,1.5779675224672007,,20917000000.0,,,12960000000.0,2.0,2.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2018-09-30,1872981000000.0,1673302000000.0,198741000000.0,221323000000.0,105451000000.0,,,,16329000000.0,10375000000.0,4696000000.0,3.0,4885000000.0,,326774000000.0,10.9511,3.0,,0.08216221111899406,0.008718187744563346,,,,1.644220367211597,,21383000000.0,,,16595000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2018-12-31,1895883000000.0,1698817000000.0,196166000000.0,229044000000.0,105787000000.0,,,,-9394000000.0,-5415000000.0,-3592000000.0,0.0,-9893400000.0,,334831000000.0,9.6865,0.0,,-0.04788801321329894,-0.004954947114352521,,,,1.706875809263583,,22393000000.0,,,14652000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2019-03-31,34636027000.0,2216699000.0,32419328000.0,,,0.0,,,303439000.0,18387000.0,,8.78,34058000.0,312556000.0,0.0,9.59,8.78,,0.009359817698873956,0.008760791184277573,,,,0.0,,17560439000.0,,,11561387000.0,12.78,12.78,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2019-06-30,1923388000000.0,1723351000000.0,199042000000.0,241476000000.0,115344000000.0,,,,12066000000.0,9583000000.0,2175000000.0,2.5,4540100000.0,,356820000000.0,8.8799,2.5,,0.06062037157986756,0.006273305230145972,,,,1.792686970589122,,19304439000.0,,,14561387000.0,14.28,14.28,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2019-09-30,1943950000000.0,1749534000000.0,193304000000.0,230651000000.0,123908000000.0,,,,16676000000.0,14457000000.0,3479000000.0,3.43,4489500000.0,-5693000000.0,354559000000.0,9.7733,3.43,,0.08626826139138352,0.008578409938527225,,,,1.8342041551131896,,19651439000.0,,,18643387000.0,14.709999999999999,14.709999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2019-12-31,1927555000000.0,1739571000000.0,187146000000.0,228191000000.0,104512000000.0,,,,-9496439000.0,-5206387000.0,-1497000000.0,-10.66,-4638258000.0,12110444000.0,332703000000.0,11.6395,-10.66,,-0.05074347835379864,-0.004926676022214671,,,,1.7777724343560644,,19549000000.0,,,18852000000.0,4.049999999999999,4.049999999999999,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2020-03-31,1981349000000.0,1798019000000.0,182718000000.0,237342000000.0,92289000000.0,,,,653000000.0,3415000000.0,159000000.0,0.01,4135300000.0,17273000000.0,329631000000.0,8.036,0.01,,0.0035738131984807187,0.00032957343708756004,,,,1.8040422946836108,,19898561000.0,,,22248613000.0,-4.720000000000001,-4.720000000000001,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2020-06-30,1968766000000.0,1788644000000.0,179386000000.0,230921000000.0,60485000000.0,,,,-1726000000.0,5336000000.0,-3758000000.0,-0.65,4105200000.0,33392000000.0,291406000000.0,23.163,-0.65,,-0.009621709609445554,-0.0008766912878422321,,,,1.624463447537712,,6106561000.0,,,18001613000.0,-7.87,-7.87,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2020-09-30,1922220000000.0,1740188000000.0,181173000000.0,215711000000.0,55224000000.0,,,,309000000.0,6768000000.0,-3113000000.0,-0.23,4111400000.0,24816000000.0,270935000000.0,30.6623,-0.23,,0.0017055521518107002,0.00016075163092674097,,,,1.495449101135379,,-10260439000.0,,,10312613000.0,-11.530000000000001,-11.530000000000001,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2021-03-31,1959543000000.0,1771195000000.0,187218000000.0,183312000000.0,58920000000.0,,,5122000000.0,4742000000.0,1238000000.0,326000000.0,1.05,4171000000.0,-3470000000.0,242232000000.0,22.7591,1.05,5122000000.0,0.025328761123396253,0.0024199519990120147,,0.0026138747656979204,0.011926883222726744,1.2938499503252892,,3978000000.0,,,16757000000.0,0.17999999999999905,0.17999999999999905,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
