report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,26339000000.0,2915000000.0,2768000000.0,26339000000.0,7373000000.0,6220000000.0,240000000.0,65000000.0,8791000000.0,-655000000.0,-377000000.0,-229000000.0,-181000000.0,-2.21,-340000000.0,-1301000000.0,,-443000000.0,,6460000000.0,1.0531,16.9393,1.1754,-2.21,-1098000000.0,-0.051132510511325106,-0.014313375602718403,-0.04288476851325219,-0.07450801956546468,-0.02486806636546566,-0.04735053856719439,-0.12490046638607667,0.876169808761698,1.053106936416185,,610000000.0,1279000000.0,,2297000000.0,440000000.0,3.55,3.55,2.8123639529821505,2.9068181818181817,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2013-03-31,25949000000.0,2769000000.0,2476000000.0,25949000000.0,7596000000.0,6528000000.0,0.0,218000000.0,2516000000.0,410000000.0,234000000.0,109000000.0,105000000.0,1.34,173000000.0,597000000.0,,259000000.0,,6528000000.0,,17.2914,1.3119,1.34,669000000.0,0.030805687203791468,0.009017688542911096,0.09300476947535771,0.16295707472178061,0.015800223515357047,0.029028603794958936,0.2658982511923688,0.8593996840442338,1.118336025848142,,688000000.0,1377000000.0,,2422000000.0,436000000.0,3.9800000000000004,3.9800000000000004,2.695293146160198,3.158256880733945,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2013-06-30,25944000000.0,2496000000.0,2962000000.0,,7552000000.0,6116000000.0,216000000.0,46000000.0,4741000000.0,633000000.0,339000000.0,221000000.0,149000000.0,1.0,174000000.0,1267000000.0,,527000000.0,,6332000000.0,,17.7989,1.2409,1.0,1160000000.0,0.044888771186440676,0.013066604995374653,0.07150390213035225,0.13351613583632146,0.024398704902867715,0.045592048401037165,0.2446741193840962,0.8384533898305084,0.8426738690074275,,725000000.0,1404000000.0,,2494000000.0,435000000.0,3.21,3.21,2.5388933440256616,3.2275862068965515,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2013-09-30,26231000000.0,2549000000.0,3008000000.0,,7876000000.0,6253000000.0,271000000.0,71000000.0,7128000000.0,962000000.0,537000000.0,327000000.0,225000000.0,3.0,175000000.0,1715000000.0,,811000000.0,,6524000000.0,,18.8756,1.2309,3.0,1773000000.0,0.06818181818181818,0.02047196065723762,0.07533670033670034,0.13496071829405162,0.036674164156913575,0.06680555555555556,0.24873737373737373,0.8283392585068563,0.847406914893617,23176000000.0,733000000.0,1350000000.0,,2504000000.0,428000000.0,3.13,3.13,2.6054313099041533,3.1542056074766354,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2013-12-31,25935000000.0,2806000000.0,3189000000.0,25935000000.0,7921000000.0,6618000000.0,131000000.0,52000000.0,-4724000000.0,-802000000.0,-449000000.0,-221000000.0,-225000000.0,-1.58,,-1425000000.0,,-503000000.0,,6749000000.0,0.8799,17.7864,1.2169,-1.58,-1305000000.0,-0.056684762024996845,-0.017312512049354155,0.09504657070279424,0.16977138018628282,-0.03092346250240987,-0.05466939331970007,0.2762489415749365,0.8520388839792955,0.8798996550642835,9661000000.0,661000000.0,1203000000.0,,2297000000.0,436000000.0,3.76,3.76,2.9381802350892468,2.7591743119266057,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2014-03-31,26161000000.0,2973000000.0,3569000000.0,,8117000000.0,6438000000.0,375000000.0,98000000.0,3930000000.0,560000000.0,326000000.0,110000000.0,158000000.0,1.0,177000000.0,532000000.0,,280000000.0,,6813000000.0,,17.4643,1.1875,1.0,840000000.0,0.04016262165824812,0.012461297351018691,0.08295165394402036,0.14249363867684478,0.021405909560032108,0.03750837240455459,0.21374045801526717,0.8393495133670075,0.8330064443821799,11075000000.0,753000000.0,1353000000.0,,2468000000.0,437000000.0,3.42,3.42,2.760534846029173,3.0961098398169336,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2014-06-30,26189000000.0,2721000000.0,2819000000.0,,8008000000.0,7329000000.0,511000000.0,75000000.0,6628000000.0,809000000.0,450000000.0,216000000.0,208000000.0,2.0,177000000.0,1076000000.0,,562000000.0,,7840000000.0,,17.853,1.2051,2.0,1371000000.0,0.05619380619380619,0.017182786666157548,0.06789378394689197,0.12205793602896801,0.030890832028714347,0.05104745078243311,0.2068497284248642,0.9790209790209791,0.9652358992550549,12962000000.0,864000000.0,1529000000.0,,2679000000.0,432000000.0,4.42,4.42,2.9264650989175065,3.5393518518518516,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2014-09-30,26376000000.0,2755000000.0,2805000000.0,,8169000000.0,7426000000.0,653000000.0,60000000.0,9223000000.0,1048000000.0,606000000.0,323000000.0,229000000.0,3.0,177000000.0,1298000000.0,,855000000.0,,8079000000.0,,18.4459,1.1536,3.0,1903000000.0,0.07418288652221815,0.022975432211101002,0.06570530196248509,0.11362897105063428,0.0397330906885047,0.06450024618414574,0.20633199609671474,0.9889827396254132,0.982174688057041,15057000000.0,933000000.0,1615000000.0,,2809000000.0,428000000.0,4.42,4.42,2.876112495550018,3.7733644859813085,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2014-12-31,27974000000.0,3087000000.0,2577000000.0,,8327000000.0,7860000000.0,398000000.0,48000000.0,-7480000000.0,-827000000.0,-477000000.0,-220000000.0,-231000000.0,-1.0,,-1067000000.0,,-552000000.0,,8258000000.0,1.1979,16.8914,1.2513,-1.0,-1379000000.0,-0.0572835354869701,-0.017051547865875455,0.06377005347593583,0.11056149732620321,-0.029563165796811324,-0.04986433524268918,0.18435828877005347,0.9917137024138345,1.1979045401629802,12301000000.0,905000000.0,1590000000.0,,2735000000.0,429000000.0,5.0,5.0,3.019378427787934,3.7062937062937062,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2015-03-31,28068000000.0,2788000000.0,1839000000.0,28068000000.0,8665000000.0,8348000000.0,0.0,99000000.0,2984000000.0,461000000.0,273000000.0,110000000.0,122000000.0,1.53,178000000.0,747000000.0,,209000000.0,,8348000000.0,,16.9838,1.2729,1.53,670000000.0,0.03150605885747259,0.009726378794356562,0.09148793565683647,0.1544906166219839,0.01642439789083654,0.02709692588020925,0.22453083109919572,0.9634160415464512,1.516041326808048,11355000000.0,852000000.0,1491000000.0,,2565000000.0,429000000.0,5.53,5.53,3.25458089668616,3.4755244755244754,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2015-06-30,28350000000.0,2691000000.0,2232000000.0,28350000000.0,8539000000.0,8346000000.0,0.0,230000000.0,5252000000.0,665000000.0,382000000.0,225000000.0,148000000.0,2.13,179000000.0,1180000000.0,,429000000.0,,8346000000.0,,16.0049,1.214,2.13,1094000000.0,0.0447359175547488,0.013474426807760141,0.07273419649657273,0.12661843107387663,0.02345679012345679,0.03938406870002961,0.2083015993907083,0.9773978217589882,1.2056451612903225,9979000000.0,784000000.0,1347000000.0,,2288000000.0,438000000.0,5.66,5.66,3.647727272727273,3.0753424657534247,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2015-09-30,28654000000.0,2700000000.0,2273000000.0,28654000000.0,8812000000.0,8368000000.0,185000000.0,67000000.0,7850000000.0,1105000000.0,647000000.0,341000000.0,250000000.0,3.61,179000000.0,1468000000.0,,625000000.0,,8553000000.0,,15.2479,1.318,3.61,1730000000.0,0.07342260553790286,0.022579744538284357,0.0824203821656051,0.14076433121019108,0.038563551336637115,0.06363374604088684,0.22038216560509555,0.9706082614616433,1.1878574571051475,8606000000.0,825000000.0,1404000000.0,,2115000000.0,456000000.0,6.27,6.27,4.0439716312056735,3.0789473684210527,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2015-12-31,28737000000.0,2575000000.0,2528000000.0,28737000000.0,8772000000.0,8340000000.0,499000000.0,37000000.0,-5749000000.0,-992000000.0,-575000000.0,-226000000.0,-290000000.0,-3.2199999999999998,,-1484000000.0,,-411000000.0,,8839000000.0,1.0186,19.7967,1.3945,-3.2199999999999998,-1403000000.0,-0.06554947560419516,-0.0200090475693357,0.1000173943294486,0.1725517481301096,-0.034519956850053934,-0.056328431094202484,0.2440424421638546,1.007637938896489,1.0185917721518987,10337000000.0,727000000.0,1239000000.0,,2091000000.0,450000000.0,4.050000000000001,4.050000000000001,4.227164036346246,2.7533333333333334,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2016-03-31,28564000000.0,2362000000.0,2209000000.0,28564000000.0,8887000000.0,8266000000.0,365000000.0,35000000.0,2566000000.0,381000000.0,247000000.0,113000000.0,83000000.0,1.37,180000000.0,741000000.0,,229000000.0,,8631000000.0,,23.2063,,1.37,610000000.0,0.027793406098795995,0.008647248284553984,0.09625876851130163,0.1484801247077163,0.013338468001680436,0.02174905811165658,0.2377240841777085,0.9711938786992236,1.0692621095518333,9919000000.0,701000000.0,1159000000.0,,2031000000.0,453000000.0,3.89,3.89,4.249630723781388,2.5584988962472406,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2016-06-30,28769000000.0,2258000000.0,1883000000.0,28769000000.0,8778000000.0,8551000000.0,175000000.0,32000000.0,4828000000.0,637000000.0,399000000.0,227000000.0,133000000.0,2.22,180000000.0,1272000000.0,,472000000.0,,8726000000.0,,23.9054,,2.22,1109000000.0,0.045454545454545456,0.013869095206646042,0.08264291632145816,0.1319386909693455,0.022141888838680523,0.036391681901279706,0.22970173985086992,0.9940760993392572,1.1991502920870951,9495000000.0,718000000.0,1131000000.0,,2046000000.0,455000000.0,3.9800000000000004,3.9800000000000004,4.264907135874878,2.4857142857142858,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2016-09-30,29462000000.0,2595000000.0,1969000000.0,29462000000.0,9130000000.0,8691000000.0,410000000.0,66000000.0,7756000000.0,1144000000.0,737000000.0,341000000.0,243000000.0,4.1,180000000.0,1767000000.0,,702000000.0,,9101000000.0,,20.5725,,4.1,1846000000.0,0.08072289156626505,0.025015273912158034,0.09502320783909232,0.147498710675606,0.03882967890842441,0.06275026054522517,0.23800928313563693,0.9968236582694414,1.3179278821736922,9401000000.0,808000000.0,1170000000.0,,2162000000.0,455000000.0,4.470000000000001,4.470000000000001,4.209528214616096,2.5714285714285716,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2016-12-31,32041000000.0,2762000000.0,2437000000.0,32041000000.0,9011000000.0,10506000000.0,499000000.0,92000000.0,-4520000000.0,-717000000.0,-515000000.0,-209000000.0,-188000000.0,-2.8599999999999994,,-1696000000.0,,-427000000.0,,11005000000.0,1.1334,20.3022,,-2.8599999999999994,-1144000000.0,-0.05715236932637887,-0.016073156268530946,0.11393805309734513,0.1586283185840708,-0.022377578727255702,-0.03582134292565947,0.25309734513274335,1.2212850959937853,1.1333606893721788,10630000000.0,868000000.0,1445000000.0,,2421000000.0,472000000.0,4.830000000000001,4.830000000000001,4.545642296571665,3.0614406779661016,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2017-03-31,32149000000.0,2567000000.0,1834000000.0,32149000000.0,9194000000.0,10999000000.0,59000000.0,82000000.0,3236000000.0,569000000.0,400000000.0,125000000.0,110000000.0,2.23,179000000.0,787000000.0,,249000000.0,,11058000000.0,,17.9405,,2.23,818000000.0,0.04350663476180117,0.012442066627266789,0.12360939431396786,0.1758343634116193,0.017698839777287007,0.02809599051945487,0.2527812113720643,1.2027409179899935,1.3996728462377317,11300000000.0,1021000000.0,1633000000.0,,2629000000.0,484000000.0,5.690000000000001,5.690000000000001,4.206162038798022,3.37396694214876,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2017-06-30,32582000000.0,2631000000.0,2747000000.0,32582000000.0,9088000000.0,10600000000.0,420000000.0,62000000.0,6091000000.0,872000000.0,577000000.0,258000000.0,167000000.0,3.21,179000000.0,1183000000.0,,498000000.0,,11020000000.0,,18.1434,,3.21,1370000000.0,0.06349031690140845,0.017709164569394142,0.09472992940403875,0.14316204235757676,0.026763243508685777,0.0433658245474438,0.2249220160893121,1.212588028169014,0.9577721150345831,12563000000.0,1199000000.0,1868000000.0,,2890000000.0,515000000.0,6.680000000000001,6.680000000000001,3.8131487889273354,3.6271844660194175,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2017-09-30,33071000000.0,2815000000.0,2598000000.0,33071000000.0,9373000000.0,11038000000.0,659000000.0,63000000.0,9336000000.0,1290000000.0,847000000.0,404000000.0,241000000.0,4.72,179000000.0,1550000000.0,,756000000.0,,11697000000.0,,19.6944,,4.72,2046000000.0,0.09036594473487677,0.025611563000816424,0.09072407883461868,0.13817480719794345,0.0390069849717275,0.061224489795918366,0.2191516709511568,1.2479462285287528,1.0835257890685142,14143000000.0,1309000000.0,2014000000.0,,3090000000.0,578000000.0,7.300000000000001,7.300000000000001,3.7854368932038835,3.4844290657439445,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2017-12-31,33767000000.0,3081000000.0,2812000000.0,33767000000.0,9512000000.0,11039000000.0,621000000.0,66000000.0,-6056000000.0,-1085000000.0,-690000000.0,-251000000.0,-343000000.0,-3.84,-358000000.0,-1403000000.0,,-473000000.0,,11660000000.0,1.0957,17.156,,-3.84,-1558000000.0,-0.07253994953742642,-0.02043415168655788,0.11393659180977543,0.17916116248348746,-0.03213196315929754,-0.0512469299074249,0.25726552179656537,1.225820016820858,1.0956614509246088,12607000000.0,1134000000.0,1646000000.0,,2676000000.0,536000000.0,6.32,6.32,4.357249626307922,3.0708955223880596,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2018-03-31,33841000000.0,2957000000.0,2541000000.0,33841000000.0,9888000000.0,11040000000.0,635000000.0,164000000.0,3753000000.0,504000000.0,361000000.0,135000000.0,68000000.0,2.0,180000000.0,838000000.0,,281000000.0,,11675000000.0,,17.1821,,2.0,785000000.0,0.036508899676375405,0.010667533465323129,0.09618971489475087,0.1342925659472422,0.014893176915575781,0.023373371052265456,0.20916600053290701,1.1807241100323624,1.163715072805982,13124000000.0,1095000000.0,1581000000.0,,2643000000.0,546000000.0,6.09,6.09,4.417328793038214,2.8956043956043955,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2018-06-30,34330000000.0,2895000000.0,2499000000.0,34330000000.0,9844000000.0,11560000000.0,474000000.0,63000000.0,,833000000.0,595000000.0,270000000.0,87000000.0,3.29,180000000.0,1433000000.0,,553000000.0,,12034000000.0,,16.5031,,3.29,1386000000.0,0.06044290938642828,0.01733177978444509,,,0.024264491698223128,0.03807477831611665,,1.2224705404307192,1.1584633853541417,,1113000000.0,1542000000.0,,2659000000.0,558000000.0,6.17,6.17,4.525761564497931,2.763440860215054,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2018-09-30,35292000000.0,3103000000.0,2117000000.0,35292000000.0,10207000000.0,12475000000.0,77000000.0,84000000.0,,1262000000.0,929000000.0,412000000.0,121000000.0,5.13,181000000.0,2047000000.0,,826000000.0,,12552000000.0,,16.3119,,5.13,2088000000.0,0.09101596943274223,0.026323246061430352,,,0.03575881219539839,0.0554505909749989,,1.2297442931321643,1.4657534246575343,,1195000000.0,1514000000.0,,2701000000.0,566000000.0,6.580000000000001,6.580000000000001,4.647167715660866,2.674911660777385,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2018-12-31,36288000000.0,3260000000.0,4438000000.0,36288000000.0,10237000000.0,10982000000.0,609000000.0,71000000.0,,-1005000000.0,-765000000.0,-258000000.0,-178000000.0,-4.25,-360000000.0,-1638000000.0,,-536000000.0,,11591000000.0,0.7346,17.9163,,-4.25,-1541000000.0,-0.07472892448959656,-0.021081349206349208,,,-0.02769510582010582,-0.04604178119846069,,1.1322653121031552,0.7345651194231636,,1120000000.0,1594000000.0,,2718000000.0,559000000.0,6.170000000000002,6.170000000000002,4.264532744665195,2.851520572450805,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2019-03-31,36434000000.0,2840000000.0,3647000000.0,36434000000.0,10545000000.0,11624000000.0,156000000.0,56000000.0,,542000000.0,401000000.0,152000000.0,54000000.0,2.19,183000000.0,752000000.0,,296000000.0,,11780000000.0,,19.5532,,2.19,838000000.0,0.03802750118539592,0.011006202997200417,,,0.01487621452489433,0.02427771556550952,,1.117117117117117,0.7787222374554428,,1160000000.0,1632000000.0,,2771000000.0,576000000.0,6.360000000000001,6.360000000000001,4.25117286178275,2.8333333333333335,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2019-06-30,36851000000.0,2726000000.0,3654000000.0,36851000000.0,10396000000.0,12418000000.0,3000000.0,62000000.0,,842000000.0,583000000.0,306000000.0,75000000.0,3.18,183000000.0,1367000000.0,,601000000.0,,12421000000.0,,21.2219,,3.18,1443000000.0,0.05607926125432859,0.015820466201731297,,,0.022848769368538167,0.03690230968137792,,1.1947864563293575,0.746031746031746,,1148000000.0,1641000000.0,,2828000000.0,612000000.0,6.250000000000001,6.250000000000001,4.392149929278642,2.6813725490196076,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2019-09-30,38345000000.0,2985000000.0,3865000000.0,38345000000.0,10740000000.0,12708000000.0,724000000.0,76000000.0,,1292000000.0,902000000.0,468000000.0,122000000.0,4.91,184000000.0,1901000000.0,,923000000.0,,13432000000.0,,22.3096,,4.91,2215000000.0,0.0839851024208566,0.023523275524840265,,,0.03369409310209936,0.05345027304319047,,1.2506517690875232,0.7723156532988357,,1121000000.0,1671000000.0,,2955000000.0,668000000.0,6.030000000000001,6.030000000000001,4.545516074450084,2.501497005988024,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2019-12-31,41882000000.0,3086000000.0,3997000000.0,41882000000.0,11672000000.0,15935000000.0,828000000.0,93000000.0,,-969000000.0,-717000000.0,-285000000.0,-99000000.0,-3.9700000000000015,-365000000.0,-1371000000.0,,-557000000.0,,16763000000.0,0.7721,21.3419,,-3.9700000000000015,-1526000000.0,-0.0614290610006854,-0.017119526288142877,,,-0.023136430924979703,-0.03407772111834007,,1.4361720356408498,0.7720790592944708,,1169000000.0,1707000000.0,,2970000000.0,641000000.0,6.31,6.31,5.644107744107744,2.6630265210608424,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2020-03-31,43232000000.0,3526000000.0,3972000000.0,43232000000.0,11822000000.0,17026000000.0,1131000000.0,552000000.0,,546000000.0,340000000.0,175000000.0,49000000.0,1.76,192000000.0,1061000000.0,,353000000.0,,18157000000.0,,16.5093,,1.76,899000000.0,0.02875993909659956,0.007864544781643227,,,0.012629533678756476,0.01821274892424697,,1.535865335814583,0.8877139979859013,,1108000000.0,1711000000.0,,3031000000.0,664000000.0,5.879999999999999,5.879999999999999,5.9904322005938635,2.5768072289156625,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2020-06-30,43739000000.0,3497000000.0,4196000000.0,43739000000.0,11724000000.0,17341000000.0,914000000.0,579000000.0,,913000000.0,617000000.0,354000000.0,55000000.0,3.2,192000000.0,1681000000.0,,703000000.0,,18255000000.0,,17.2153,,3.2,1616000000.0,0.05262708973046742,0.014106403895836667,,,0.020873819703239673,0.030454651589445946,,1.5570624360286591,0.8334127740705434,,1142000000.0,1782000000.0,,3204000000.0,712000000.0,5.8999999999999995,5.8999999999999995,5.697565543071161,2.502808988764045,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2020-09-30,44439000000.0,3821000000.0,3417000000.0,44439000000.0,12323000000.0,18219000000.0,988000000.0,945000000.0,,1521000000.0,1093000000.0,532000000.0,118000000.0,5.66,193000000.0,2781000000.0,,1059000000.0,,19207000000.0,,16.3729,,5.66,2580000000.0,0.08869593443155076,0.024595512950336417,,,0.03422669276986431,0.04823977164605138,,1.5586302036841677,1.1182323675738952,,1333000000.0,2011000000.0,,3569000000.0,776000000.0,6.6499999999999995,6.6499999999999995,5.381619501260857,2.591494845360825,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
2020-12-31,45496000000.0,3498000000.0,2691000000.0,45496000000.0,12425000000.0,19001000000.0,38000000.0,514000000.0,,-994000000.0,-682000000.0,-341000000.0,-55000000.0,-3.540000000000001,-384000000.0,-1826000000.0,,-672000000.0,,19039000000.0,1.2999,17.1784,,-3.540000000000001,-1666000000.0,-0.05488933601609658,-0.014990328820116054,,,-0.021848074556004925,-0.03159166031019578,,1.532313883299799,1.2998885172798216,,1368000000.0,1986000000.0,,3429000000.0,720000000.0,7.08,7.08,5.552347623213765,2.7583333333333333,0.44715035,154.63,123.69,1.24355,30625.35,20.9476,2.1773,2.9673
