report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,152873000000.0,,,133395000000.0,19478000000.0,56271000000.0,4027000000.0,,,,,3845000000.0,1682000000.0,1677000000.0,3.31,1149000000.0,10614000000.0,765000000.0,,9849000000.0,60298000000.0,,12.8595,1.9386,3.31,,0.19740219735085737,0.025151596423174792,,,,,,,,3.0956977102371908,,5203000000.0,17099000000.0,2192000000.0,4.570000000000001,4.570000000000001,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2012-12-31,153140000000.0,,,134254000000.0,18886000000.0,58973000000.0,3314000000.0,,,,,-3214000000.0,-1154000000.0,-1282000000.0,-2.7099999999999995,-2332000000.0,-13706000000.0,-474000000.0,,-14180000000.0,62287000000.0,0.9299,14.3516,1.9041,-2.7099999999999995,,-0.1701789685481309,-0.020987331853206215,,,,,,,,3.2980514666949063,,4482000000.0,5081000000.0,2226000000.0,3.890000000000002,3.890000000000002,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2013-03-31,156855000000.0,,,137565000000.0,19290000000.0,56366000000.0,3359000000.0,,,,,,519000000.0,629000000.0,,1106000000.0,7547000000.0,204000000.0,,7343000000.0,59725000000.0,,13.8923,2.1708,,,,,,,,,,,,3.096163815448419,,,9258000000.0,2171000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2013-06-30,151933000000.0,,,132899000000.0,19034000000.0,52675000000.0,2961000000.0,,,,,2685000000.0,1011000000.0,1219000000.0,,1101000000.0,,475000000.0,,,55636000000.0,,15.2348,2.3945,,,0.14106336030261638,0.017672263431907486,,,,,,,,2.922979930650415,,,,2058000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2013-09-30,150103000000.0,,,130887000000.0,19216000000.0,52529000000.0,3247000000.0,,,,,4051000000.0,1495000000.0,1857000000.0,,1094000000.0,,635000000.0,,,55776000000.0,,14.7111,2.3372,,,0.21081390507910075,0.026988134814094324,,,,,,,,2.9025811823480434,,,,1871000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2013-12-31,153375000000.0,,,133879000000.0,19496000000.0,55330000000.0,5021000000.0,,,,,-1377000000.0,-1067000000.0,-1176000000.0,4.88,-2212000000.0,1000000000.0,-308000000.0,,692000000.0,60351000000.0,1.1786,15.6487,2.7636,4.88,,-0.07062987279441937,-0.00897799511002445,,,,,,,,3.0955580631924495,,,,1958000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2014-03-31,151497000000.0,,,131520000000.0,19977000000.0,54095000000.0,2821000000.0,,,,,1432000000.0,439000000.0,776000000.0,,1067000000.0,,226000000.0,,,56916000000.0,,17.3103,2.7145,,,0.07168243480002003,0.009452332389420252,,,,,,,,2.849076437903589,,6791000000.0,,1878000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2014-06-30,152384000000.0,,,132171000000.0,20213000000.0,54836000000.0,3436000000.0,,,,,2961000000.0,882000000.0,1559000000.0,,1062000000.0,,546000000.0,,,58272000000.0,,17.6103,2.7968,,,0.14648988274872607,0.01943117387652247,,,,,,,,2.8828971454014742,,7067000000.0,,1749000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2014-09-30,153862000000.0,,,133646000000.0,20216000000.0,55712000000.0,3382000000.0,,,,,4438000000.0,1302000000.0,2328000000.0,,1057000000.0,,854000000.0,,,59094000000.0,,15.9444,2.5866,,,0.2195290858725762,0.028844029065006303,,,,,,,,2.923130193905817,,7454000000.0,,1556000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2014-12-31,159103000000.0,,,138430000000.0,20673000000.0,57955000000.0,3480000000.0,,,,,-2946000000.0,-916000000.0,-1557000000.0,,-2135000000.0,,-431000000.0,,,61435000000.0,1.182,16.1733,2.6516,,,-0.1425047162966188,-0.01851630704637876,,,,,,,,2.9717505925603445,,5885000000.0,,1707000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2015-03-31,154684000000.0,,,132854000000.0,21830000000.0,54712000000.0,2361000000.0,,,,,1525000000.0,410000000.0,791000000.0,,1023000000.0,,256000000.0,,,57073000000.0,,13.3185,2.2338,,,0.06985799358680715,0.009858808926585813,,,,,,,,2.6144296839212093,,5978000000.0,,1678000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2015-06-30,157152000000.0,,,135267000000.0,21885000000.0,52740000000.0,4486000000.0,,,,,2998000000.0,824000000.0,1548000000.0,,1018000000.0,,537000000.0,,,57226000000.0,,13.3312,2.2386,,,0.1369888051176605,0.019077071879454285,,,,,,,,2.614850354123829,,6015000000.0,,1620000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2015-09-30,154216000000.0,,,132881000000.0,21335000000.0,48653000000.0,3160000000.0,,,,,4264000000.0,1223000000.0,2220000000.0,,1011000000.0,,879000000.0,,,51813000000.0,,12.9969,2.1125,,,0.19985938598546987,0.027649530528609224,,,,,,,,2.4285446449496133,,5841000000.0,,1541000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2015-12-31,161184000000.0,,,140511000000.0,20673000000.0,48061000000.0,4812000000.0,,,,,-3624000000.0,-834000000.0,-1784000000.0,,-2049000000.0,,-331000000.0,,,52873000000.0,1.1805,13.2586,1.9876,,,-0.1753011173995066,-0.022483621203097083,,,,,,,,2.557587191022106,,5163000000.0,,1623000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2016-03-31,158816000000.0,,,138089000000.0,20727000000.0,47311000000.0,2596000000.0,,,,,1426000000.0,425000000.0,758000000.0,,963000000.0,,302000000.0,,,49907000000.0,,11.6197,1.7009,,,0.06879915086602016,0.00897894418698368,,,,,,,,2.407825541564143,,5064000000.0,,1638000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2016-06-30,159642000000.0,,,138930000000.0,20712000000.0,50649000000.0,2343000000.0,,,,,3441000000.0,861000000.0,1759000000.0,3.0,952000000.0,,649000000.0,,,52992000000.0,,10.3077,1.6717,3.0,,0.16613557358053302,0.0215544781448491,,,,,,,,2.558516801853998,,5507000000.0,,1675000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2016-09-30,153377000000.0,,,132360000000.0,21000000000.0,44894000000.0,2861000000.0,,,,,4583000000.0,1291000000.0,2352000000.0,4.0,943000000.0,,975000000.0,,,47755000000.0,,10.7915,1.7309,4.0,,0.21823809523809523,0.029880620953597996,,,,,,,,2.274047619047619,,5826000000.0,,1743000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2016-12-31,158893000000.0,,,138392000000.0,20501000000.0,46990000000.0,5581000000.0,,,,,-4042000000.0,-873000000.0,-2181000000.0,,-1923000000.0,,-551000000.0,,,52571000000.0,1.0383,12.8306,1.8567,,,-0.19716111409199552,-0.02543850264014148,,,,,,,,2.5643139359055658,,5408000000.0,,1704000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2017-03-31,161385000000.0,,,140450000000.0,20935000000.0,51647000000.0,3600000000.0,,,,,1237000000.0,443000000.0,580000000.0,1.0,903000000.0,,277000000.0,,,55247000000.0,,13.6909,1.8843,1.0,,0.05908765225698591,0.00766490070328717,,,,,,,,2.6389777883926437,,5219000000.0,,1722000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2017-06-30,166997000000.0,,,145822000000.0,21175000000.0,51945000000.0,3426000000.0,,,,,2577000000.0,965000000.0,1189000000.0,2.0,898000000.0,,538000000.0,,,55371000000.0,,16.6244,1.9403,2.0,,0.12170011806375443,0.015431414935597645,,,,,,,,2.6149232585596223,,4355000000.0,,1826000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2017-09-30,168577000000.0,,,147492000000.0,21085000000.0,48762000000.0,2352000000.0,,,,,3933000000.0,1532000000.0,1660000000.0,4.0,892000000.0,,812000000.0,,,51114000000.0,,16.8638,1.9782,4.0,,0.1865307090348589,0.023330584836602858,,,,,,,,2.424187811240218,,3705000000.0,,2067000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2017-12-31,181159000000.0,,,162932000000.0,18227000000.0,55804000000.0,3278000000.0,,,,,-5011000000.0,-828000000.0,1249000000.0,,-1807000000.0,,-565000000.0,,,59082000000.0,1.0593,31.2516,2.2026,,,-0.2749218192790915,-0.02766078417301928,,,,,,,,3.241454984363856,,2736000000.0,,2112000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2018-03-31,179956000000.0,,,160343000000.0,19613000000.0,52461000000.0,1852000000.0,,,,,1634000000.0,621000000.0,448000000.0,1.0,861000000.0,,237000000.0,,,54313000000.0,,24.9994,1.9482,1.0,,0.08331208892061388,0.009079997332681323,,,,,,,,2.7692346912761945,,3133000000.0,,2290000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2018-06-30,184861000000.0,,,163969000000.0,20892000000.0,55883000000.0,1972000000.0,,,,,3257000000.0,1332000000.0,916000000.0,3.0,862000000.0,,536000000.0,,,57855000000.0,,24.9783,2.0675,3.0,,0.15589699406471377,0.017618643196780283,,,,,,,,2.7692418150488227,,3813000000.0,,2657000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2018-09-30,189092000000.0,,,167632000000.0,21460000000.0,55300000000.0,2292000000.0,,,,,4911000000.0,2109000000.0,1380000000.0,5.0,861000000.0,,871000000.0,,,57592000000.0,,25.0763,2.1985,5.0,,0.2288443616029823,0.025971484779895502,,,,,,,,2.683690587138863,,4791000000.0,,3234000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2018-12-31,188602000000.0,,,166312000000.0,22290000000.0,58423000000.0,3100000000.0,,,,,-2881000000.0,-1119000000.0,-1543000000.0,,-1725000000.0,,-334000000.0,,,61523000000.0,1.0072,11.7654,1.8814,,,-0.12925078510542845,-0.015275553811730522,,,,,,,,2.760116644235083,,6921000000.0,,2943000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2019-03-31,18463000.0,14957000.0,19770000.0,19770000.0,-1307000.0,,,4399000.0,1657000.0,-1204000.0,-5543000.0,-6010000.0,502000.0,,-0.03,,-4925000.0,51000.0,315000.0,-4976000.0,0.0,,13.7072,2.1202,-0.03,-5228000.0,4.59831675592961,-0.3255158966581812,-3.627036813518407,-0.7266143633071817,-3.3452021726010863,-0.3002220657531279,4.241009946442234,-3.003017501508751,-3.1550995775497888,-0.0,0.7565503287809813,5280990000.0,,2322502000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2019-06-30,198000000000.0,,,174511000000.0,23092000000.0,57736000000.0,2827000000.0,,,,,3311000000.0,1786000000.0,866000000.0,3.87,839000000.0,11477000000.0,840000000.0,,10637000000.0,60563000000.0,,14.956,2.3071,3.87,,0.1433829897800104,0.01672222222222222,,,,,,,,2.6226831803221895,,5334990000.0,,2776502000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2019-09-30,194000000000.0,,,171159000000.0,23025000000.0,58474000000.0,2818000000.0,,,,,5066000000.0,2663000000.0,1377000000.0,5.95,835000000.0,10436000000.0,1214000000.0,,9222000000.0,61292000000.0,,13.8685,2.1259,5.95,,0.22002171552660152,0.02611340206185567,,,,,,,,2.661976112920738,,5489990000.0,,3330502000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2019-12-31,198000000000.0,,,175250000000.0,23071000000.0,57835000000.0,6442000000.0,,,,,-1611990000.0,-985502000.0,-573000000.0,,-844000000.0,-8276075000.0,-409051000.0,,-8685126000.0,64277000000.0,0.8611,15.0713,2.1665,,,-0.06987083351393525,-0.008141363636363636,,,,,,,,2.786051753283343,,6759000000.0,11168898000.0,3464000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2020-03-31,186000000000.0,,,165054000000.0,21006000000.0,52588000000.0,3497000000.0,,,,,367000000.0,716000000.0,85000000.0,0.41,808000000.0,-2219000000.0,335000000.0,,-2554000000.0,56085000000.0,,12.3714,1.4744,0.41,,0.017471198705131866,0.0019731182795698927,,,,,,,,2.669951442445016,,7132010000.0,8619874000.0,4179498000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2020-06-30,189000000000.0,,,167546000000.0,21062000000.0,48797000000.0,1567000000.0,,,,,624000000.0,1258000000.0,450000000.0,0.71,807000000.0,-89000000.0,689000000.0,,-778000000.0,50364000000.0,,18.8196,1.7708,0.71,,0.02962681606685025,0.0033015873015873015,,,,,,,,2.3912259044725097,,4445010000.0,-2795126000.0,3651498000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2020-09-30,187000000000.0,,,165390000000.0,21869000000.0,44777000000.0,1716000000.0,,,,,1697000000.0,1708000000.0,741000000.0,2.01,806000000.0,2091000000.0,1042000000.0,,1049000000.0,46493000000.0,,23.8104,1.9876,2.01,,0.0775984269971192,0.009074866310160428,,,,,,,,2.1259774109470024,,1076010000.0,-10968126000.0,2696498000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2020-12-31,191000000000.0,,,168383000000.0,22984000000.0,42952000000.0,1878000000.0,,,,,447000000.0,-1584000000.0,-115000000.0,,-1615000000.0,5808000000.0,-588000000.0,,5220000000.0,44830000000.0,0.7629,31.0549,2.5496,,,0.01944831186912635,0.0023403141361256546,,,,,,,,1.95048729550992,,3135000000.0,2937000000.0,2098000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2021-03-31,193067000000.0,,,168618000000.0,24449000000.0,42019000000.0,1578000000.0,,,,,2235000000.0,362000000.0,758000000.0,2.74,805000000.0,2280000000.0,319000000.0,,1961000000.0,43597000000.0,,22.7136,3.1061,2.74,,0.09141478179066628,0.011576292168003854,,,,,,,,1.783181316209252,,5003000000.0,7452000000.0,1744000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2021-06-30,187000000000.0,,,161434000000.0,25539000000.0,37363000000.0,1864000000.0,,,,,4515000000.0,684000000.0,1418000000.0,5.54,803000000.0,5465000000.0,609000000.0,,4856000000.0,39227000000.0,,18.8913,3.4092,5.54,,0.1767884412075649,0.024144385026737967,,,,,,,,1.5359646031559575,,8894000000.0,13086000000.0,1170000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2021-09-30,184000000000.0,,,159835000000.0,24426000000.0,34483000000.0,2253000000.0,,,,,6341000000.0,991000000.0,2042000000.0,7.82,797000000.0,9637000000.0,1079000000.0,,8558000000.0,36736000000.0,,17.109,3.2487,7.82,,0.25960042577581266,0.03446195652173913,,,,,,,,1.5039711782526817,,13538000000.0,20595000000.0,453000000.0,,,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2021-12-31,189000000000.0,,,166371000000.0,22177000000.0,38675000000.0,2243000000.0,,,,,-5031000000.0,-754000000.0,-1589000000.0,-6.080000000000002,-1615000000.0,-2737000000.0,-457000000.0,,-3194000000.0,40918000000.0,0.7536,15.7217,2.9022,-6.080000000000002,,-0.22685665328944402,-0.02661904761904762,,,,,,,,1.8450647066780899,,8060000000.0,12181000000.0,1283000000.0,10.02,10.02,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2022-03-31,196000000000.0,,,173479000000.0,22383000000.0,38337000000.0,2122000000.0,,,,,2099000000.0,321000000.0,613000000.0,2.73,758000000.0,3880000000.0,447000000.0,,3433000000.0,40459000000.0,,17.8714,3.0591,2.73,,0.09377652682839654,0.010709183673469388,,,,,,,,1.8075771791091453,,7924000000.0,13653000000.0,1242000000.0,10.009999999999998,10.009999999999998,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2022-06-30,205000000000.0,,,182063000000.0,23235000000.0,40495000000.0,1984000000.0,,,,,4063000000.0,760000000.0,1192000000.0,5.3,756000000.0,8139000000.0,899000000.0,,7240000000.0,42479000000.0,,13.6834,2.1005,5.3,,0.17486550462664086,0.01981951219512195,,,,,,,,1.828233268775554,,7472000000.0,16037000000.0,1318000000.0,9.77,9.77,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2022-09-30,215000000000.0,,,190975000000.0,23940000000.0,42393000000.0,1515000000.0,,,,,5942000000.0,1556000000.0,1772000000.0,7.77,753000000.0,12647000000.0,1342000000.0,,11305000000.0,43908000000.0,,13.203,1.9201,7.77,,0.24820384294068504,0.02763720930232558,,,,,,,,1.8340852130325815,,7073000000.0,18784000000.0,1883000000.0,9.719999999999999,9.719999999999999,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2022-12-31,228000000000.0,,,203643000000.0,24711000000.0,42573000000.0,1348000000.0,,,,,-4590000000.0,126000000.0,-1506000000.0,-5.949999999999999,-1515000000.0,-3587000000.0,-833000000.0,,-4420000000.0,43921000000.0,0.7189,14.6931,1.9848,-5.949999999999999,,-0.18574723807211363,-0.02013157894736842,,,,,,,,1.7773865889684757,,7514000000.0,17558000000.0,2763000000.0,9.850000000000001,9.850000000000001,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2023-03-31,236000000000.0,,,209850000000.0,25992000000.0,41138000000.0,1724000000.0,,,,,1816000000.0,1433000000.0,351000000.0,2.4,744000000.0,-377000000.0,360000000.0,,-737000000.0,42862000000.0,,16.9489,2.0673,2.4,,0.06986765158510311,0.007694915254237288,,,,,,,,1.649045860264697,,7231000000.0,13388000000.0,3875000000.0,9.52,9.52,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2023-06-30,245000000000.0,,,218201000000.0,26703000000.0,46725000000.0,1583000000.0,,,,,3990000000.0,3103000000.0,911000000.0,5.29,742000000.0,3546000000.0,736000000.0,,2810000000.0,48308000000.0,,17.2304,2.0622,5.29,,0.14942141332434558,0.016285714285714285,,,,,,,,1.8090851215219264,,7158000000.0,8958000000.0,6218000000.0,9.510000000000002,9.510000000000002,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2023-09-30,251000000000.0,,,223263000000.0,27324000000.0,46447000000.0,1613000000.0,,,,,6441000000.0,4901000000.0,1560000000.0,8.59,739000000.0,11790000000.0,1137000000.0,,10653000000.0,48060000000.0,,13.5993,1.6765,8.59,,0.2357268335529205,0.025661354581673308,,,,,,,,1.7588932806324111,,7657000000.0,8306000000.0,9563000000.0,10.330000000000002,10.330000000000002,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2023-12-31,261000000000.0,,,233051000000.0,28057000000.0,47866000000.0,1293000000.0,,,,,-3873000000.0,-2588000000.0,-683000000.0,-5.07,-1489000000.0,3600000000.0,-670000000.0,,2930000000.0,49159000000.0,0.733,16.3032,2.0266,-5.07,,-0.13804041772106782,-0.014839080459770115,,,,,,,,1.7521117724631998,,8374000000.0,15656000000.0,6849000000.0,11.21,11.21,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2024-03-31,269000000000.0,,,240497000000.0,28764000000.0,48826000000.0,1742000000.0,,,,,2437000000.0,2006000000.0,708000000.0,3.33,722000000.0,5552000000.0,396000000.0,,5156000000.0,50568000000.0,,18.1936,2.3562,3.33,,0.08472396050618829,0.009059479553903346,,,,,,,,1.7580308719232374,,8995000000.0,21549000000.0,7422000000.0,12.14,12.14,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2024-06-30,272219000000.0,,,242679000000.0,29540000000.0,51521000000.0,1639000000.0,,,,,5452000000.0,,1483000000.0,7.48,719000000.0,10084000000.0,961000000.0,,9123000000.0,53160000000.0,,17.0984,2.3644,7.48,,0.18456330399458362,0.020027992168070562,,,,,,,,1.799593771157752,,10457000000.0,27862000000.0,,14.330000000000002,14.330000000000002,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2024-09-30,270979000000.0,,,241272000000.0,29707000000.0,53546000000.0,1457000000.0,,,,,7959000000.0,,2180000000.0,10.97,716000000.0,8272000000.0,1416000000.0,,6856000000.0,55003000000.0,,19.4904,2.6509,10.97,,0.26791665264079173,0.029371279693260362,,,,,,,,1.8515164775978725,,11975000000.0,24065000000.0,,16.71,16.71,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2024-12-31,271461000000.0,,,241197000000.0,30264000000.0,49715000000.0,1374000000.0,,,,,-5719000000.0,,-1605000000.0,-7.770000000000001,-1444000000.0,-9858000000.0,-862000000.0,,-10720000000.0,51089000000.0,0.6359,20.641,2.8422,-7.770000000000001,,-0.18897039386730108,-0.02106748299019012,,,,,,,,1.6881112873380915,,10129000000.0,10415000000.0,,14.010000000000002,14.010000000000002,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
2025-03-31,282244000000.0,,,251042000000.0,31202000000.0,51236000000.0,1559000000.0,,,,,2584000000.0,,746000000.0,3.64,702000000.0,4764000000.0,430000000.0,,4334000000.0,52795000000.0,,18.3567,2.5472,3.64,,0.0828152041535799,0.009155199047632545,,,,,,,,1.6920389718607782,,10276000000.0,9593000000.0,,14.320000000000002,14.320000000000002,1.1616973,387.49,220.43,3.85763,202132.3,18.6589,7.6131,2.603
