report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2017-12-30,120232000000.0,7266000000.0,10132000000.0,53985000000.0,66034000000.0,,460000000.0,1629000000.0,,,-4876000000.0,-3383000000.0,5058000000.0,-625000000.0,-7813000000.0,5.0,-229000000.0,-797000000.0,-533000000.0,-1026000000.0,460000000.0,0.7092,3.599,8.5775,5.0,-3916000000.0,0.0765969046248902,0.04206866724332956,,,,-0.028137267948632645,-0.050876770836466446,,,0.00696610836841627,0.7171338333991315,10999000000.0,6773000000.0,9703000000.0,-2284000000.0,7809000000.0,1234000000.0,8.0,8.0,0.05890639006274811,5.488654781199352,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2018-03-31,120787000000.0,7437000000.0,10329000000.0,54324000000.0,66248000000.0,,1001000000.0,1794000000.0,,,2245000000.0,1481000000.0,993000000.0,317000000.0,261000000.0,0.0,413000000.0,223000000.0,234000000.0,190000000.0,1001000000.0,,2.8094,6.624,0.0,1715000000.0,0.014989131747373506,0.008221083394736189,,,,0.012261253280568273,0.0220226323068001,,,0.01510989010989011,0.7200116177751961,11099000000.0,6703000000.0,9647000000.0,-1575000000.0,7711000000.0,1238000000.0,8.0,8.0,0.12981455064194009,5.41437802907916,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2018-06-30,121896000000.0,9501000000.0,9091000000.0,56024000000.0,65677000000.0,,34000000.0,3369000000.0,,,4610000000.0,2810000000.0,1749000000.0,635000000.0,552000000.0,1.0,229000000.0,438000000.0,476000000.0,-209000000.0,34000000.0,,2.8993,7.1105,1.0,3286000000.0,0.02663032720739376,0.014348296908840322,,,,0.023052438143991598,0.04276300771560317,,,0.0005176850343346986,1.0450995490045099,10796000000.0,6041000000.0,9275000000.0,-1985000000.0,7008000000.0,1253000000.0,8.0,8.0,0.0048515981735159815,4.82122905027933,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2018-09-29,119730000000.0,7590000000.0,7581000000.0,54152000000.0,65385000000.0,,973000000.0,1366000000.0,,,6717000000.0,3880000000.0,2379000000.0,962000000.0,738000000.0,1.0,899000000.0,594000000.0,736000000.0,305000000.0,973000000.0,,2.5834,6.5611,1.0,4616000000.0,0.03638449185593026,0.01986970684039088,,,,0.03240624738996074,0.05847071943096537,,,0.014881088934770971,1.001187178472497,10179000000.0,4788000000.0,8696000000.0,-740000000.0,5701000000.0,1289000000.0,7.0,7.0,0.17067181196281353,3.7145073700543056,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2018-12-29,103461000000.0,9075000000.0,7503000000.0,51683000000.0,51657000000.0,30770000000.0,21000000.0,1130000000.0,,26268000000.0,-4651000000.0,-18391000000.0,-15313000000.0,-630000000.0,-2618000000.0,-10.36,1033000000.0,-429000000.0,-463000000.0,604000000.0,30791000000.0,1.2095,1.998,,-10.36,-18854000000.0,-0.2964361074007395,-0.14800746174887155,-0.5829526419978681,-0.17705954012486677,-0.7001294350540582,-0.17775780245696446,-0.22306180865515235,0.02299375666209837,-0.7177554438860971,0.5960663608029889,1.2095161935225909,-10192000000.0,-10220000000.0,8921000000.0,890000000.0,-9237000000.0,1284000000.0,-8.36,-8.36,-3.333441593590993,-7.959501557632398,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2019-03-30,103562000000.0,8835000000.0,7972000000.0,51727000000.0,51703000000.0,,2000000.0,1096000000.0,,,2011000000.0,562000000.0,405000000.0,321000000.0,217000000.0,0.33,304000000.0,249000000.0,239000000.0,55000000.0,2000000.0,,1.5288,,0.33,801000000.0,0.007833201168210742,0.003910700836214055,,,,0.005426700913462467,0.010869354994681366,,,3.868247490474441e-05,1.1082538886101354,-10780000000.0,-11139000000.0,8687000000.0,755000000.0,-10151000000.0,1288000000.0,-8.03,-8.03,-0.00019702492365284208,-8.648291925465838,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2019-06-29,103201000000.0,9168000000.0,7797000000.0,51524000000.0,51543000000.0,,1000000.0,1452000000.0,,,4093000000.0,1296000000.0,854000000.0,637000000.0,320000000.0,0.7,1325000000.0,448000000.0,494000000.0,877000000.0,1000000.0,,1.4493,,0.7,1790000000.0,0.016568690219816464,0.008275113613240181,,,,0.012558017848664256,0.025143566661493092,,,1.9401276604000544e-05,1.1758368603308964,-11675000000.0,-12653000000.0,8170000000.0,1841000000.0,-11647000000.0,1290000000.0,-8.33,-8.33,-8.585901948999742e-05,-9.808527131782945,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2019-09-28,102822000000.0,9125000000.0,9112000000.0,51016000000.0,51673000000.0,,15000000.0,2315000000.0,,,6040000000.0,2476000000.0,1753000000.0,1035000000.0,584000000.0,1.43,1990000000.0,581000000.0,737000000.0,1409000000.0,15000000.0,,1.3454,,1.43,3213000000.0,0.03392487372515627,0.017048880589757055,,,,0.0240804497092062,0.047902801423928186,,,0.00029028699707777755,1.0014266900790167,-12301000000.0,-14057000000.0,7493000000.0,2945000000.0,-13050000000.0,1363000000.0,-7.8999999999999995,-7.8999999999999995,-0.0011494252873563218,-10.313279530447542,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2019-12-28,101450000000.0,8097000000.0,7875000000.0,49701000000.0,51623000000.0,,6000000.0,2279000000.0,,,-3997000000.0,-1264000000.0,-1077000000.0,-632000000.0,-393000000.0,-0.8799999999999999,-67000000.0,-510000000.0,-476000000.0,-577000000.0,6000000.0,1.0282,1.5503,20.0119,-0.8799999999999999,-1740000000.0,-0.02086279371597931,-0.010616067028092657,,,,-0.012459339576145884,-0.024482364562552053,,,0.00011622726304166748,1.028190476190476,1935000000.0,3070000000.0,8147000000.0,1764000000.0,4064000000.0,1361000000.0,1.58,1.58,0.0014763779527559055,2.2556943423952975,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2020-03-28,104073000000.0,11708000000.0,7934000000.0,52949000000.0,51009000000.0,,6000000.0,5403000000.0,,,1858000000.0,770000000.0,378000000.0,310000000.0,160000000.0,0.31,212000000.0,131000000.0,243000000.0,81000000.0,6000000.0,,1.2215,16.1172,0.31,1013000000.0,0.007410456978180321,0.003632065953705572,,,,0.007398652868659499,0.01509359992159169,,,0.00011762630124095747,1.4756743130829342,1908000000.0,3278000000.0,7994000000.0,1790000000.0,4276000000.0,1350000000.0,1.56,1.56,0.001403180542563143,2.428148148148148,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2020-06-27,98306000000.0,8776000000.0,8050000000.0,49141000000.0,49040000000.0,,6000000.0,2812000000.0,,,4310000000.0,-569000000.0,-1273000000.0,752000000.0,109000000.0,-1.04,2216000000.0,258000000.0,490000000.0,1958000000.0,6000000.0,,1.521,,-1.04,-79000000.0,-0.025958401305057097,-0.012949362195593351,,,,-0.005788049559538584,-0.011601353831097337,,,0.00012234910277324632,1.0901863354037267,-219000000.0,1413000000.0,8211000000.0,2871000000.0,2407000000.0,1465000000.0,-0.17999999999999994,-0.17999999999999994,0.0024927295388450354,0.9645051194539249,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2020-09-26,98122000000.0,10065000000.0,7694000000.0,48783000000.0,49218000000.0,,6000000.0,2720000000.0,,,6654000000.0,578000000.0,-676000000.0,1066000000.0,417000000.0,-0.55,3326000000.0,397000000.0,722000000.0,2929000000.0,6000000.0,,1.4145,,-0.55,1300000000.0,-0.013734812466983624,-0.0068893826053280606,,,,0.005890625955443224,0.011742239557939217,,,0.00012190661952944045,1.3081622043150507,-2648000000.0,-485000000.0,8825000000.0,4391000000.0,494000000.0,1496000000.0,-2.16,-2.16,0.012145748987854251,-0.32419786096256686,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2020-12-26,99830000000.0,10822000000.0,8061000000.0,49587000000.0,50103000000.0,28070000000.0,6000000.0,3417000000.0,,26185000000.0,-3645000000.0,1349000000.0,1927000000.0,-734000000.0,-17000000.0,1.57,-825000000.0,-190000000.0,-486000000.0,-1015000000.0,28076000000.0,1.3425,1.644,120.923,1.57,863000000.0,0.03846077081212702,0.01930281478513473,0.07359175100248233,-0.13920183311055948,0.051518044682069886,0.013512972052489232,0.01725527315519513,-0.038762650372350584,0.03295780026732862,0.5603656467676587,1.342513335814415,356000000.0,2128000000.0,9177000000.0,3953000000.0,3097000000.0,1394000000.0,0.29000000000000004,0.29000000000000004,9.065547303842429,1.526542324246772,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2021-03-27,98664000000.0,13136000000.0,7570000000.0,48233000000.0,50288000000.0,,6000000.0,2360000000.0,,,2201000000.0,1089000000.0,563000000.0,415000000.0,136000000.0,0.46,810000000.0,227000000.0,222000000.0,583000000.0,6000000.0,,1.8878,92.1972,0.46,1311000000.0,0.011195513840279987,0.005706235303656855,,,,0.011037460471904646,0.02165268222849644,,,0.00011931275851097678,1.7352708058124173,541000000.0,2447000000.0,9520000000.0,4455000000.0,3395000000.0,1499000000.0,0.44000000000000006,0.44000000000000006,0.0017673048600883653,1.6324216144096064,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2021-06-26,97038000000.0,11385000000.0,9879000000.0,46896000000.0,49997000000.0,,6000000.0,3941000000.0,,,4492000000.0,2324000000.0,536000000.0,1028000000.0,806000000.0,0.43,2029000000.0,431000000.0,449000000.0,1598000000.0,6000000.0,,1.8948,23.0958,0.43,2773000000.0,0.010720643238594316,0.0055236093076938934,,,,0.023949380655001132,0.04647721136731796,,,0.00012000720043202592,1.1524445794108715,2350000000.0,5340000000.0,9702000000.0,4095000000.0,6247000000.0,1775000000.0,1.91,1.91,0.0009604610212902193,3.008450704225352,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2021-09-25,94897000000.0,9557000000.0,8455000000.0,44659000000.0,50089000000.0,,1000000.0,2273000000.0,,,6520000000.0,3480000000.0,1269000000.0,1443000000.0,949000000.0,1.03,2448000000.0,655000000.0,677000000.0,1793000000.0,1000000.0,,1.7155,19.587,1.03,4157000000.0,0.025334903871109427,0.013372393226340137,,,,0.03667133839847413,0.06947494509882211,,,1.9964463255405378e-05,1.1303370786516853,4295000000.0,8242000000.0,9568000000.0,2959000000.0,9104000000.0,2152000000.0,3.49,3.49,0.00010984182776801405,3.829925650557621,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2021-12-25,93394000000.0,8994000000.0,9064000000.0,43942000000.0,49298000000.0,,14000000.0,3445000000.0,,,-4531000000.0,-3433000000.0,-1356000000.0,-839000000.0,-1207000000.0,-1.1,77000000.0,-408000000.0,-438000000.0,-331000000.0,14000000.0,0.9923,1.6653,42.8536,-1.1,-3871000000.0,-0.027506186863564444,-0.014519133991476968,,,,-0.03675824999464634,-0.06961794289422453,,,0.00028398718000730255,0.9922771403353927,1012000000.0,3460000000.0,8682000000.0,3643000000.0,4370000000.0,2047000000.0,0.8199999999999998,0.8199999999999998,0.003203661327231121,1.6902784562774793,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2022-03-26,93864000000.0,9275000000.0,9064000000.0,44020000000.0,49644000000.0,20970000000.0,50000000.0,2978000000.0,,6045000000.0,1931000000.0,1115000000.0,776000000.0,242000000.0,190000000.0,0.63,486000000.0,214000000.0,220000000.0,272000000.0,21020000000.0,,1.8779,39.3866,0.63,1335000000.0,0.015631294819112077,0.008267280320463649,0.1283705541770058,0.3194375516956162,0.18444995864350702,0.011878888604789908,0.015778897316879884,0.04499586435070306,0.22084367245657568,0.4234147127548143,1.023278905560459,1225000000.0,3486000000.0,8412000000.0,3332000000.0,4394000000.0,1874000000.0,0.9899999999999998,0.9899999999999998,4.783796085571233,1.8601921024546424,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2022-06-25,91676000000.0,8138000000.0,9119000000.0,42674000000.0,48796000000.0,,47000000.0,1518000000.0,,,3915000000.0,1657000000.0,1041000000.0,476000000.0,324000000.0,0.84,788000000.0,435000000.0,456000000.0,353000000.0,47000000.0,,1.8461,31.1918,0.84,2113000000.0,0.021333715878350683,0.011355207469784894,,,,0.018074523321261835,0.03392502508035952,,,0.0009631937044020002,0.8924224147384582,1730000000.0,2819000000.0,7835000000.0,2087000000.0,3734000000.0,1322000000.0,1.4,1.4,0.012587038028923407,2.132375189107413,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2022-09-24,89992000000.0,7860000000.0,8686000000.0,41649000000.0,48148000000.0,,4000000.0,997000000.0,,,5758000000.0,2408000000.0,1473000000.0,704000000.0,434000000.0,1.19,1517000000.0,632000000.0,685000000.0,885000000.0,4000000.0,,1.617,34.3244,1.19,3093000000.0,0.03059317105591094,0.01636812161080985,,,,0.026757934038581208,0.050008307027745474,,,8.307717869901138e-05,0.9049044439327654,1934000000.0,1747000000.0,7073000000.0,1179000000.0,2670000000.0,583000000.0,1.5599999999999998,1.5599999999999998,0.00149812734082397,2.9965694682675816,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2022-12-31,90513000000.0,7897000000.0,9028000000.0,41643000000.0,48678000000.0,,6000000.0,1040000000.0,,,-3482000000.0,-1546000000.0,-927000000.0,-501000000.0,-350000000.0,-0.7500000000000002,-322000000.0,-365000000.0,-428000000.0,-687000000.0,6000000.0,0.8747,1.8828,21.1032,-0.7500000000000002,-1974000000.0,-0.019043510415382717,-0.010241622750323158,,,,-0.017080419387270337,-0.03175581299811026,,,0.0001232589670898558,0.8747230837394772,2363000000.0,3634000000.0,8122000000.0,823000000.0,4567000000.0,921000000.0,1.91,1.91,0.0013137727173199037,3.9457111834961998,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2023-04-01,90943000000.0,8216000000.0,8954000000.0,41590000000.0,49153000000.0,,2000000.0,826000000.0,,,2113000000.0,1243000000.0,836000000.0,227000000.0,214000000.0,0.68,486000000.0,266000000.0,220000000.0,220000000.0,2000000.0,,1.7702,19.6735,0.68,1463000000.0,0.017008117510630073,0.009192571170953234,,,,0.01366790187260152,0.02528735632183908,,,4.068927634122027e-05,0.9175787357605539,2423000000.0,3762000000.0,8304000000.0,771000000.0,4695000000.0,906000000.0,1.96,1.96,0.0004259850905218317,4.152317880794702,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2023-07-01,90956000000.0,7994000000.0,8385000000.0,40942000000.0,49814000000.0,,1000000.0,947000000.0,,,4374000000.0,2619000000.0,1836000000.0,455000000.0,388000000.0,1.49,1584000000.0,508000000.0,436000000.0,1076000000.0,1000000.0,,1.6219,13.9162,1.49,3055000000.0,0.03685710844340948,0.02018558423853292,,,,0.02879414222261313,0.05257452574525745,,,2.0074677801421287e-05,0.9533691115086463,3218000000.0,4724000000.0,8763000000.0,1494000000.0,5637000000.0,885000000.0,2.6099999999999994,2.6099999999999994,0.00017739932588256165,5.337853107344633,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2023-09-30,89656000000.0,7838000000.0,7804000000.0,40198000000.0,49276000000.0,,0.0,1052000000.0,,,6609000000.0,3272000000.0,2098000000.0,683000000.0,594000000.0,1.7,2620000000.0,779000000.0,710000000.0,1841000000.0,0.0,,1.4973,13.6103,1.7,3982000000.0,0.04257650783342804,0.02340055322566253,,,,0.03649504773802088,0.06640149362772953,,,0.0,1.004356740133265,3843000000.0,5588000000.0,9614000000.0,2450000000.0,6526000000.0,864000000.0,3.1199999999999997,3.1199999999999997,0.0,6.467592592592593,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2023-12-30,90339000000.0,7929000000.0,8037000000.0,40617000000.0,49526000000.0,,0.0,1400000000.0,,,-4170000000.0,-2562000000.0,-1915000000.0,-453000000.0,-409000000.0,-1.56,-714000000.0,-540000000.0,-405000000.0,-1254000000.0,0.0,0.9866,1.7026,15.887,-1.56,-2967000000.0,-0.03866655897912208,-0.021197932233033352,,,,-0.028359844585395012,-0.051730404232120504,,,0.0,0.986562150055991,2855000000.0,4572000000.0,8926000000.0,1883000000.0,5533000000.0,912000000.0,2.31,2.31,0.0,5.0131578947368425,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2024-03-30,90309000000.0,8233000000.0,7571000000.0,40621000000.0,49522000000.0,,,1626000000.0,,,2243000000.0,1302000000.0,801000000.0,226000000.0,225000000.0,0.66,771000000.0,294000000.0,230000000.0,477000000.0,0.0,,1.6888,15.9068,0.66,1532000000.0,0.016174629457614796,0.008869547885592797,,,,0.014417167724147095,0.02629134526069222,,,0.0,1.0874389116365077,2820000000.0,4631000000.0,9056000000.0,2140000000.0,5602000000.0,911000000.0,2.29,2.29,0.0,5.083424807903403,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2024-06-29,88797000000.0,7530000000.0,7486000000.0,39766000000.0,48895000000.0,,,900000000.0,,,4537000000.0,1824000000.0,903000000.0,455000000.0,473000000.0,0.74,1713000000.0,543000000.0,469000000.0,1170000000.0,0.0,,1.4701,20.1288,0.74,2293000000.0,0.018468146027201145,0.010169262475083618,,,,0.02054123450116558,0.03730442785560896,,,0.0,1.0058776382580819,1887000000.0,3836000000.0,9219000000.0,2234000000.0,4840000000.0,911000000.0,1.5399999999999996,1.5399999999999996,0.0,4.210757409440176,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2024-09-28,88566000000.0,8202000000.0,7728000000.0,40097000000.0,48328000000.0,,13000000.0,1284000000.0,,,6723000000.0,1723000000.0,613000000.0,685000000.0,480000000.0,0.5,2796000000.0,777000000.0,714000000.0,2019000000.0,13000000.0,,1.6246,30.986,0.5,2437000000.0,0.012684158251945042,0.006921391956281191,,,,0.019454418174017118,0.03564262220475373,,,0.0002689951994702864,1.061335403726708,402000000.0,2287000000.0,9333000000.0,2412000000.0,3295000000.0,913000000.0,0.33999999999999975,0.33999999999999975,0.0039453717754172985,2.5049288061336252,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2024-12-28,88287000000.0,7655000000.0,7253000000.0,38962000000.0,49185000000.0,,,1334000000.0,,,-4535000000.0,-3166000000.0,427000000.0,-454000000.0,-3068000000.0,0.3599999999999999,-1096000000.0,-590000000.0,-465000000.0,-1686000000.0,0.0,1.0554,1.4204,13.3785,0.3599999999999999,-3631000000.0,0.008681508590017283,0.004836499144834461,,,,-0.035860319186290165,-0.06436921825759886,,,0.0,1.0554253412381083,2744000000.0,1683000000.0,8968000000.0,1980000000.0,2631000000.0,912000000.0,2.26,2.26,0.0,1.8453947368421053,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2025-03-29,90274000000.0,9458000000.0,7235000000.0,40669000000.0,49460000000.0,,,2113000000.0,,,2064000000.0,1196000000.0,712000000.0,229000000.0,304000000.0,0.59,720000000.0,238000000.0,231000000.0,482000000.0,0.0,,1.4278,13.678,0.59,1427000000.0,0.014395471087747675,0.007887099275538914,,,,0.013248554401045705,0.024181156490093003,,,0.0,1.307256392536282,2655000000.0,1577000000.0,8789000000.0,1985000000.0,2526000000.0,915000000.0,2.1899999999999995,2.1899999999999995,0.0,1.7234972677595628,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2025-06-28,81581000000.0,9241000000.0,8624000000.0,40089000000.0,41358000000.0,,,1567000000.0,,,4247000000.0,-6778000000.0,-7112000000.0,469000000.0,-40000000.0,-5.98,1929000000.0,425000000.0,472000000.0,1504000000.0,0.0,,1.2074,,-5.98,-6306000000.0,-0.17196189370859327,-0.08717716134884348,,,,-0.08308307081305696,-0.16388606799168237,,,0.0,1.0715445269016697,-5360000000.0,-7025000000.0,8499000000.0,2319000000.0,-6073000000.0,929000000.0,-4.530000000000001,-4.530000000000001,-0.0,-7.5618945102260495,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
2025-09-27,81695000000.0,9988000000.0,8863000000.0,40116000000.0,41450000000.0,,,2114000000.0,,,6237000000.0,-5753000000.0,-6497000000.0,709000000.0,154000000.0,-5.47,3086000000.0,596000000.0,717000000.0,2490000000.0,0.0,,1.2088,,-5.47,-5036000000.0,-0.15674306393244875,-0.07952751086357794,,,,-0.07042046636881082,-0.13879372738238843,,,0.0,1.1269321900033848,-12470000000.0,-14501000000.0,8013000000.0,2790000000.0,-13546000000.0,953000000.0,-10.5,-10.5,-0.0,-15.216159496327387,0.048407782,31.15,21.715,18.24599,25758.285,0.6889,1.0327
