report_date,total_assets,current_assets,current_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-28,86654000000.0,29712000000.0,27008000000.0,33210000000.0,16181000000.0,,9615000000.0,,22137000000.0,8596000000.0,7153000000.0,302000000.0,2236000000.0,1.0,4593000000.0,7840000000.0,1971000000.0,1469000000.0,5869000000.0,16181000000.0,,21.1937,3.5872,1.0,10065000000.0,0.21538693164709424,0.08254667989936991,,,,0.09919911371662012,0.17403980482274098,,,0.48723276121650105,1.1001184834123223,,9106000000.0,11127000000.0,29329000000.0,6443000000.0,13086000000.0,384000000.0,2.0,2.0,1.2365123032248204,28.9765625,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2012-12-31,86174000000.0,30328000000.0,27821000000.0,32790000000.0,14736000000.0,,8442000000.0,,-14612000000.0,-6129000000.0,-5030000000.0,-193000000.0,-1652000000.0,-2.0,-4608000000.0,-1866000000.0,-1088000000.0,-889000000.0,-2954000000.0,14736000000.0,1.0901,18.0272,3.386,-2.0,-7018000000.0,-0.15340042695943884,-0.05837027409659526,,,,-0.07112354074314758,-0.12896098977401843,,,0.4494053064958829,1.0901117860608893,,9019000000.0,10779000000.0,28964000000.0,5689000000.0,12761000000.0,397000000.0,1.0,1.0,1.154768435075621,27.151133501259444,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2013-03-29,88450000000.0,31519000000.0,31102000000.0,32480000000.0,14291000000.0,,9162000000.0,,6711000000.0,2408000000.0,1751000000.0,102000000.0,575000000.0,0.0,4530000000.0,478000000.0,498000000.0,473000000.0,-20000000.0,14291000000.0,,20.6831,3.7624,0.0,2881000000.0,0.053910098522167486,0.019796495195025438,,,,0.027224420576596946,0.05148489448589938,,,0.43999384236453204,1.0134074979101022,,8716000000.0,10678000000.0,28886000000.0,5768000000.0,12686000000.0,411000000.0,1.0,1.0,1.1265174207788113,25.980535279805352,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2013-06-28,89511000000.0,32572000000.0,32469000000.0,32223000000.0,14179000000.0,,9406000000.0,,14471000000.0,5651000000.0,4427000000.0,224000000.0,1406000000.0,0.0,4528000000.0,3956000000.0,1069000000.0,947000000.0,2887000000.0,14179000000.0,,20.7624,3.7546,0.0,6598000000.0,0.13738633895043914,0.04945760856207617,,,,0.06313190557585101,0.1217835438127667,,,0.44002730968562825,1.0031722566140011,,8301000000.0,10526000000.0,28707000000.0,5782000000.0,12526000000.0,435000000.0,-1.0,-1.0,1.13196551173559,24.19770114942529,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2013-09-27,89432000000.0,31576000000.0,33042000000.0,32132000000.0,14173000000.0,,11118000000.0,,21708000000.0,8123000000.0,6874000000.0,314000000.0,2331000000.0,1.0,4518000000.0,7712000000.0,1625000000.0,1444000000.0,6087000000.0,14173000000.0,,19.4775,3.6014,1.0,9567000000.0,0.2139300385908129,0.07686286787726988,,,,0.0908287861168262,0.1754238203217795,,,0.4410867670857712,0.9556322256522002,,8022000000.0,10053000000.0,28278000000.0,6000000000.0,12028000000.0,447000000.0,-1.0,-1.0,1.1783338875956102,22.48993288590604,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2013-12-31,90055000000.0,31304000000.0,27811000000.0,33173000000.0,19154000000.0,,10414000000.0,,-14457000000.0,-5954000000.0,-4468000000.0,-177000000.0,-1461000000.0,0.0,-9067000000.0,-1604000000.0,-642000000.0,-887000000.0,-2246000000.0,19154000000.0,1.1256,21.2514,3.8934,0.0,-6841000000.0,-0.13468784855153287,-0.04961412470157126,,,,-0.06611515185164622,-0.11378447073212682,,,0.5773972809212311,1.1255977850490813,,8584000000.0,10228000000.0,28433000000.0,6708000000.0,12205000000.0,463000000.0,1.0,1.0,1.5693568209750102,22.09071274298056,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2014-03-28,91289000000.0,31052000000.0,30056000000.0,32654000000.0,18640000000.0,,9131000000.0,,6493000000.0,2376000000.0,1619000000.0,124000000.0,579000000.0,0.0,4464000000.0,1066000000.0,449000000.0,473000000.0,617000000.0,18640000000.0,,20.3041,3.6989,0.0,2849000000.0,0.04958044956207509,0.017734885911774693,,,,0.0260272321966502,0.04632120715873202,,,0.5708335885343296,1.033138142134682,,8452000000.0,10196000000.0,28215000000.0,7345000000.0,12173000000.0,485000000.0,1.0,1.0,1.5312577014704674,21.022680412371134,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2014-06-27,95489000000.0,33871000000.0,32629000000.0,34071000000.0,18643000000.0,,11618000000.0,,14248000000.0,5546000000.0,4214000000.0,231000000.0,1358000000.0,0.0,4459000000.0,4470000000.0,1030000000.0,967000000.0,3440000000.0,18643000000.0,,22.1518,4.012,0.0,6513000000.0,0.12368289747879428,0.04413073757186692,,,,0.058079988270900315,0.10520924232651667,,,0.5471808869713246,1.038064298630053,,8239000000.0,10091000000.0,27992000000.0,7898000000.0,12088000000.0,492000000.0,1.0,1.0,1.5422733289212442,20.510162601626018,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2014-09-26,96314000000.0,35452000000.0,32760000000.0,33429000000.0,20111000000.0,,11084000000.0,,21594000000.0,8257000000.0,6328000000.0,344000000.0,1896000000.0,1.0,4454000000.0,7979000000.0,1618000000.0,1477000000.0,6361000000.0,20111000000.0,,23.0264,4.0091,1.0,9734000000.0,0.18929671841813994,0.06570176713665718,,,,0.08573000809851113,0.15422114307060142,,,0.601603398247031,1.082173382173382,,7693000000.0,10225000000.0,27878000000.0,8172000000.0,12255000000.0,522000000.0,1.0,1.0,1.641044471644227,19.588122605363985,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2014-12-31,92023000000.0,32986000000.0,32374000000.0,30320000000.0,19063000000.0,,8958000000.0,,-14226000000.0,-6471000000.0,-5063000000.0,-216000000.0,-1632000000.0,0.0,-8927000000.0,-2900000000.0,-691000000.0,-941000000.0,-3591000000.0,19063000000.0,1.0189,26.0535,4.0203,0.0,-7412000000.0,-0.16698548812664907,-0.05501885398215663,,,,-0.07031937667756974,-0.1310369965372699,,,0.6287269129287599,1.0189040588126275,,7098000000.0,9708000000.0,28109000000.0,6827000000.0,11684000000.0,483000000.0,1.0,1.0,1.6315474152687435,20.099378881987576,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2015-04-03,91016000000.0,32119000000.0,26123000000.0,28837000000.0,26087000000.0,,8211000000.0,,6608000000.0,2296000000.0,1557000000.0,447000000.0,415000000.0,0.0,4422000000.0,1574000000.0,516000000.0,473000000.0,1058000000.0,26087000000.0,,25.5615,3.8985,0.0,2769000000.0,0.05399313382113257,0.017106882306407663,,,,0.025226333831414257,0.04180321899351832,,,0.9046364046190658,1.2295295333614056,,7036000000.0,9628000000.0,28224000000.0,7268000000.0,11604000000.0,806000000.0,1.0,1.0,2.2481041020337815,11.945409429280398,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2015-07-03,93538000000.0,32803000000.0,28852000000.0,28418000000.0,25977000000.0,,8805000000.0,,14016000000.0,4831000000.0,4665000000.0,575000000.0,1665000000.0,1.0,4415000000.0,5118000000.0,1114000000.0,961000000.0,4004000000.0,25977000000.0,,22.7606,3.7585,1.0,5792000000.0,0.16415652051516644,0.04987277897752785,,,,0.05164745878680323,0.08881331004687931,,,0.9141037370680555,1.1369402467766532,,7487000000.0,8913000000.0,27992000000.0,7832000000.0,10883000000.0,1150000000.0,2.0,2.0,2.386933749885142,7.7504347826086954,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2015-10-02,93008000000.0,36594000000.0,31545000000.0,26049000000.0,25949000000.0,,9983000000.0,,20866000000.0,7210000000.0,6114000000.0,713000000.0,1937000000.0,1.0,4410000000.0,8390000000.0,1670000000.0,1443000000.0,6720000000.0,25949000000.0,,25.5225,3.89,1.0,8653000000.0,0.23471150524012438,0.06573628075004301,,,,0.07752021331498365,0.13865917919919996,,,0.9961610810395792,1.1600570613409416,,7273000000.0,7866000000.0,27264000000.0,8191000000.0,9802000000.0,1519000000.0,2.0,2.0,2.647316874107325,5.178406846609612,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2015-12-31,90093000000.0,33395000000.0,26930000000.0,25554000000.0,28407000000.0,,7309000000.0,,-14678000000.0,-5609000000.0,-4985000000.0,-879000000.0,-1778000000.0,-1.0,-8842000000.0,-4554000000.0,-747000000.0,-907000000.0,-5301000000.0,28407000000.0,1.2401,25.4159,4.218,-1.0,-6516000000.0,-0.1950770916490569,-0.05533171278567702,,,,-0.06225788907018303,-0.1039454420785382,,,1.1116459262737732,1.24006683995544,,7351000000.0,8728000000.0,26812000000.0,6481000000.0,10698000000.0,856000000.0,1.0,1.0,2.655356141334829,10.19626168224299,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2016-04-01,91263000000.0,36510000000.0,30987000000.0,24914000000.0,26990000000.0,,8748000000.0,,6213000000.0,2141000000.0,1483000000.0,141000000.0,401000000.0,0.0,4382000000.0,604000000.0,536000000.0,458000000.0,68000000.0,26990000000.0,,27.8569,4.6213,0.0,2599000000.0,0.05952476519226138,0.016249739763102244,,,,0.02345967149885496,0.04124922934648582,,,1.0833266436541704,1.1782360344660665,,7277000000.0,8573000000.0,26417000000.0,5491000000.0,10528000000.0,550000000.0,1.0,1.0,2.5636398176291793,15.587272727272728,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2016-07-01,94094000000.0,35873000000.0,29544000000.0,26637000000.0,29252000000.0,,9647000000.0,,13281000000.0,5000000000.0,4931000000.0,303000000.0,1240000000.0,1.0,4379000000.0,3820000000.0,1085000000.0,903000000.0,2735000000.0,29252000000.0,,25.6266,4.5135,1.0,5903000000.0,0.18511844426924953,0.0524050417667439,,,,0.053138351010691434,0.0894630428170123,,,1.098171716034088,1.2142228540481992,,7543000000.0,8742000000.0,25682000000.0,4222000000.0,10639000000.0,278000000.0,1.0,1.0,2.7495065325688506,31.446043165467625,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2016-09-30,93927000000.0,37956000000.0,27792000000.0,26076000000.0,31663000000.0,,11147000000.0,,19783000000.0,7271000000.0,5977000000.0,485000000.0,1618000000.0,1.0,4374000000.0,6723000000.0,1561000000.0,1323000000.0,5162000000.0,31663000000.0,,25.3194,4.3024,1.0,8594000000.0,0.22921460346678937,0.06363452468406315,,,,0.07741118102356086,0.12592874833301582,,,1.2142583218285012,1.3657167530224525,,7406000000.0,8803000000.0,24599000000.0,2664000000.0,10580000000.0,50000000.0,1.0,1.0,2.9927221172022684,176.06,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2016-12-31,87270000000.0,34010000000.0,26532000000.0,23062000000.0,29684000000.0,,8555000000.0,,-13879000000.0,-5786000000.0,-5864000000.0,-196000000.0,-1673000000.0,-1.0,-8768000000.0,-2351000000.0,-920000000.0,-897000000.0,-3271000000.0,29684000000.0,1.2818,27.621,4.3065,-1.0,-6683000000.0,-0.2542710953082994,-0.06719376647186891,,,,-0.06629998854130859,-0.10969552193531264,,,1.2871390165640448,1.28184833408714,,6527000000.0,8626000000.0,25398000000.0,4694000000.0,10413000000.0,733000000.0,1.0,1.0,2.850667434937098,11.768076398362892,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2017-03-31,91201000000.0,40251000000.0,28656000000.0,22876000000.0,31538000000.0,,12120000000.0,,5605000000.0,1982000000.0,1182000000.0,192000000.0,323000000.0,0.0,4334000000.0,788000000.0,442000000.0,328000000.0,346000000.0,31538000000.0,,29.2568,4.4756,0.0,2310000000.0,0.05166987235530687,0.012960384206313527,,,,0.021732217848488503,0.036424449590179,,,1.3786501136562337,1.4046273031825796,,6226000000.0,8467000000.0,24790000000.0,4972000000.0,10124000000.0,784000000.0,1.0,1.0,3.115171868826551,10.799744897959183,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2017-06-30,91146000000.0,38961000000.0,28830000000.0,22001000000.0,31805000000.0,,11718000000.0,,11648000000.0,4060000000.0,2553000000.0,423000000.0,1575000000.0,0.0,4330000000.0,3391000000.0,832000000.0,629000000.0,2559000000.0,31805000000.0,,46.1856,4.9309,0.0,4689000000.0,0.11604017999181855,0.028010005924560596,,,,0.04454391854826323,0.07545626881760399,,,1.445616108358711,1.3514047866805412,,3848000000.0,7527000000.0,23157000000.0,4796000000.0,8910000000.0,904000000.0,0.0,0.0,3.569584736251403,8.326327433628318,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2017-09-29,90515000000.0,38404000000.0,27633000000.0,22119000000.0,32471000000.0,,12528000000.0,,17331000000.0,6180000000.0,4000000000.0,631000000.0,1805000000.0,0.0,4327000000.0,5918000000.0,1194000000.0,926000000.0,4724000000.0,32471000000.0,,42.1936,5.146,0.0,7106000000.0,0.1808400018084,0.04419157045793515,,,,0.0682759763575098,0.11320754716981132,,,1.4680139246801391,1.3897875728295879,,1871000000.0,6436000000.0,20705000000.0,4358000000.0,7422000000.0,1050000000.0,-1.0,-1.0,4.374966316356777,6.12952380952381,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2017-12-31,87896000000.0,36545000000.0,27194000000.0,17072000000.0,31182000000.0,,6006000000.0,,-12430000000.0,-4721000000.0,-6487000000.0,-405000000.0,1857000000.0,0.0,-8667000000.0,-3102000000.0,-793000000.0,-623000000.0,-3895000000.0,31182000000.0,1.3439,155.4736,5.3582,0.0,-5344000000.0,-0.37997891283973756,-0.07380313097296805,,,,-0.053711204150359515,-0.09783644879181,,,1.8264995313964385,1.3438626167536956,,1248000000.0,7501000000.0,22154000000.0,3734000000.0,8761000000.0,841000000.0,0.0,0.0,3.5591827416961532,8.919143876337694,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2018-03-30,93282000000.0,38042000000.0,31480000000.0,19610000000.0,29792000000.0,,8291000000.0,,4888000000.0,1811000000.0,1368000000.0,230000000.0,506000000.0,0.0,4306.0,,274000000.0,270000000.0,,29792000000.0,,126.894,5.1414,0.0,2081000000.0,0.06976032636409994,0.014665208721939924,,,,0.019414249265667545,0.0366584348811789,,,1.5192248852626211,1.2084498094027953,,1434000000.0,7330000000.0,21437000000.0,,8532000000.0,879000000.0,0.0,0.0,3.4917955930614157,8.339021615472127,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2018-06-29,89593000000.0,36024000000.0,31398000000.0,18323000000.0,28063000000.0,,7975000000.0,,10563000000.0,4538000000.0,3684000000.0,471000000.0,1100000000.0,0.0,4298.0,,612000000.0,553000000.0,,28063000000.0,,78.4515,5.3156,0.0,5091000000.0,0.20105877858429297,0.04111928387262398,,,,0.050651278559708905,0.09783124218514207,,,1.5315723407738908,1.1473342251098797,,2565000000.0,7808000000.0,20352000000.0,,8934000000.0,927000000.0,0.0,0.0,3.1411461831206626,8.422869471413161,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2018-09-28,86877000000.0,33413000000.0,31430000000.0,18264000000.0,25523000000.0,,9065000000.0,24798000000.0,15749000000.0,7064000000.0,5564000000.0,677000000.0,1628000000.0,1.0,4297.0,,917000000.0,807000000.0,,25523000000.0,,69.8585,5.6436,1.0,7871000000.0,0.3046430135786246,0.0640445687581293,0.22437293330107266,0.6350915396402935,0.28486168239374143,0.0813103583226861,0.16132642108388334,,0.3174046294055972,1.397448532632501,1.0630925867006045,,4129000000.0,8692000000.0,18770000000.0,,9699000000.0,973000000.0,1.0,1.0,2.631508402928137,8.933196300102775,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2018-12-31,83216000000.0,30634000000.0,29223000000.0,16981000000.0,25364000000.0,,8926000000.0,7058000000.0,-11114000000.0,-4713000000.0,-4182000000.0,-459000000.0,-1611000000.0,0.0,4298987099.0,7320000000.0,-456000000.0,-544000000.0,6864000000.0,25364000000.0,0.8662,31.3251,5.876,0.0,-5257000000.0,-0.24627524880749072,-0.05025475870024995,-0.5925191272315103,-1.5746670444885236,-0.6677529045055256,-0.05663574312632186,-0.11130003542330853,0.9725134599036555,-0.7448285633323888,1.493669395206407,1.048283885980221,,6434000000.0,8700000000.0,20086000000.0,,9786000000.0,919000000.0,1.0,1.0,2.591865930921725,9.466811751904244,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2019-03-29,88347000000.0,28540000000.0,27943000000.0,17735000000.0,29400000000.0,,5645000000.0,8020000000.0,5030000000.0,2336000000.0,1678000000.0,232000000.0,486000000.0,0.0,4306.0,,364000000.0,275000000.0,,29400000000.0,,29.7055,5.774,0.0,2611000000.0,0.09461516774739216,0.018993287830939364,0.20922693266832917,0.6271820448877805,0.2912718204488778,0.02644119211744598,0.04955977511403416,,0.32556109725685783,1.657738934310685,1.0213649214472318,,6744000000.0,9225000000.0,20228000000.0,,10316000000.0,921000000.0,1.0,1.0,2.849941837921675,10.01628664495114,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2019-06-28,89996000000.0,24360000000.0,29382000000.0,18181000000.0,29296000000.0,,6731000000.0,18691000000.0,11405000000.0,5423000000.0,4285000000.0,481000000.0,943000000.0,1.0,4305000000.0,,767000000.0,602000000.0,,29296000000.0,,30.8786,6.1587,1.0,6025000000.0,0.23568560585226336,0.04761322725454464,0.229254721523728,0.6101867208817078,0.29013963939864107,0.06025823369927552,0.11422372938475472,,0.32234765395109943,1.611352510862989,0.829079027976312,58567000000.0,7345000000.0,10110000000.0,21070000000.0,,11250000000.0,931000000.0,2.0,2.0,2.6040888888888887,10.859291084854995,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2019-09-27,87433000000.0,23117000000.0,25100000000.0,18713000000.0,31012000000.0,,7531000000.0,28198000000.0,17145000000.0,7922000000.0,6878000000.0,711000000.0,1446000000.0,1.0,4311000000.0,7771000000.0,1206000000.0,965000000.0,6565000000.0,31012000000.0,,29.973,6.4501,1.0,8887000000.0,0.3675519692192593,0.07866594992737296,0.2439180083693879,0.608021845520959,0.28094191077381375,0.09060652156508413,0.1593162393162393,0.2328179303496702,0.3151641960422725,1.6572436274247848,0.920996015936255,61967000000.0,8659000000.0,10968000000.0,22466000000.0,,12266000000.0,965000000.0,2.0,2.0,2.528289580955487,11.36580310880829,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2019-12-31,86381000000.0,20411000000.0,26973000000.0,18981000000.0,27516000000.0,,6480000000.0,-17643000000.0,-10933000000.0,-5595000000.0,-3921000000.0,-478000000.0,-1074000000.0,0.0,-4302004306.0,2700000000.0,-283000000.0,-477000000.0,2417000000.0,27516000000.0,0.7567,26.586,6.3636,0.0,-6072000000.0,-0.20657499604868026,-0.04539192646531066,0.222241115456555,0.6196791928810294,0.31712293827580346,-0.06477118810849608,-0.1203303438931544,-0.13699484214702715,0.34415915660601937,1.4496601865022918,0.7567196826456086,37266000000.0,8920000000.0,10086000000.0,22647000000.0,,11451000000.0,946000000.0,2.0,2.0,2.4029342415509563,10.661733615221987,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
2020-03-27,94013000000.0,28234000000.0,32397000000.0,18158000000.0,31094000000.0,,13561000000.0,8601000000.0,5230000000.0,2380000000.0,2775000000.0,193000000.0,215000000.0,0.0,4325000000.0,556000000.0,327000000.0,367000000.0,229000000.0,31094000000.0,,18.3489,4.9445,0.0,2747000000.0,0.15282520101332747,0.029517194430557475,0.3226369026857342,0.6080688292059063,0.27671201023136843,0.025315647835937583,0.04832291074474133,0.02662481106848041,0.31938146727124755,1.712413261372398,0.871500447572306,37847000000.0,10017000000.0,10130000000.0,22847000000.0,,11587000000.0,907000000.0,2.0,2.0,2.683524639682403,11.168687982359426,0.36566487,82.0,65.3538,15.46434,326786.16,24.9322,9.3483,6.8164
