ticker,final_score,label,fundamental_score,valuation_score,momentum_score,bear_score,sector_score,rank,selected,common_score,common_label,score_gap_vs_threshold,score_gap_vs_selected_cutoff,selected_cutoff_score,selected_rank,selection_reason,above_threshold,distance_to_threshold,selected_position
UNH,0.6303221970759626,1,0.675422284661173,0.49362946522469786,0.4989556826262985,0.5348588663513291,0.6105304927873977,125,False,0.6303221970759626,Outperform,0.06032219707596265,-0.16368437147755543,0.794006568553518,,qualified_but_not_selected,True,0.06032219707596265,
AVY,0.6292731565643117,0,0.37303861574116826,0.48627657434424043,0.5380948051945718,0.4457339182868284,0.39227583825915363,126,False,0.6292731565643117,Outperform,0.05927315656431176,-0.16473341198920632,0.794006568553518,,qualified_but_not_selected,True,0.05927315656431176,
ADM,0.6275421871417972,1,0.45742442616704604,0.46633995515597715,0.4938576685407116,0.47144012405939356,0.49413281808656245,127,False,0.6275421871417972,Outperform,0.05754218714179726,-0.16646438141172082,0.794006568553518,,qualified_but_not_selected,True,0.05754218714179726,
AMD,0.6262111792060415,0,0.40743603706730624,0.45016166060900886,0.5641207223177035,0.5227592471477222,0.7704709077364975,128,False,0.6262111792060415,Outperform,0.05621117920604157,-0.1677953893474765,0.794006568553518,,qualified_but_not_selected,True,0.05621117920604157,
TDG,0.6248045020879648,0,0.4477229782931388,0.45355288299658497,0.5376793187985529,0.514033368750279,0.6937541019379148,129,False,0.6248045020879648,Outperform,0.054804502087964835,-0.16920206646555325,0.794006568553518,,qualified_but_not_selected,True,0.054804502087964835,
LH,0.6214330555088934,0,0.44952942152164205,0.48692280216751554,0.5373958214112663,0.5206471847775684,0.6105304927873977,130,False,0.6214330555088934,Outperform,0.05143305550889343,-0.17257351304462465,0.794006568553518,,qualified_but_not_selected,True,0.05143305550889343,
WY,0.6200991385597486,0,0.4397413254022741,0.5789496506138925,0.5079914248223809,0.5017925654647195,0.7069928387567611,131,False,0.6200991385597486,Outperform,0.05009913855974868,-0.1739074299937694,0.794006568553518,,qualified_but_not_selected,True,0.05009913855974868,
INTC,0.6194264927103191,0,0.47997108825261253,0.465849654396019,0.5519657058321842,0.5252680390341501,0.7704709077364975,132,False,0.6194264927103191,Outperform,0.04942649271031918,-0.1745800758431989,0.794006568553518,,qualified_but_not_selected,True,0.04942649271031918,
WMT,0.6184071037304848,0,0.5465064193023175,0.5192826303625231,0.5057300180410433,0.5062222570901398,0.7706374609078226,133,False,0.6184071037304848,Outperform,0.048407103730484846,-0.17559946482303324,0.794006568553518,,qualified_but_not_selected,True,0.048407103730484846,
ADBE,0.6174122861166341,0,0.5375130246011088,0.4574507922834449,0.5918348918689763,0.5067652824307565,0.7704709077364975,134,False,0.6174122861166341,Outperform,0.04741228611663417,-0.1765942824368839,0.794006568553518,,qualified_but_not_selected,True,0.04741228611663417,
T,0.6161087693209493,0,0.46845404243947114,0.5439082122563792,0.5610776798718384,0.4927375174763044,0.7152234504194207,135,False,0.6161087693209493,Outperform,0.04610876932094932,-0.17789779923256877,0.794006568553518,,qualified_but_not_selected,True,0.04610876932094932,
