ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
FDS,balanced,True,balanced,selected,,,0.1134767081558776,,,,0.31747929253589285,0.08,1.0,0.3445782215043699,0.5777777777777777
FDX,balanced,True,balanced,selected,,,0.3034012480479123,,,,0.3508851259923816,0.17074889685351047,1.0,0.7115714274714268,0.49259259259259264
FE,balanced,False,conservative,lower_selection_score,,,-0.09492428921238892,,,,0.22081863213342015,0.14629858152047914,1.0,0.21077775420811906,0.49259259259259264
FFIV,balanced,True,balanced,selected,,,0.03635756350551886,,,,0.37834464476989926,0.24406930208399974,1.0,0.43423228659573204,0.42962962962962964
FIS,balanced,True,balanced,selected,,,0.28659556589682467,,,,0.2770979499122895,0.09248410441641208,1.0,0.693601564349033,0.5777777777777777
FISV,balanced,True,balanced,selected,,,0.3240891562788006,,,,0.3275944887581325,0.08,1.0,0.5938367294338714,0.6629629629629629
FITB,balanced,True,balanced,selected,,,0.22523494193285432,,,,0.32839476075909374,0.1873026050935086,1.0,0.6668607476469326,0.5407407407407407
FMC,balanced,False,conservative,lower_selection_score,,,-0.06731447764539972,,,,0.347848922243715,0.202761197359406,1.0,0.2826892564501428,0.5481481481481482
FRT,balanced,False,conservative,lower_selection_score,,,-0.05208394669166393,,,,0.21868978474237416,0.11753181716880556,1.0,0.24383857238193193,0.4777777777777778
GD,balanced,True,balanced,selected,,,0.17399688010053616,,,,0.3190459509583968,0.08406903900908831,1.0,0.43003835030628174,0.5296296296296297
GE,balanced,False,aggressive,lower_selection_score,,,0.14363489489647846,,,,0.22040009494199087,0.21672026612421405,1.0,0.7577759206658187,0.45925925925925926
GILD,balanced,False,aggressive,lower_selection_score,,,0.27521281264076713,,,,0.3049803005319911,0.15584545505458788,1.0,0.73920977468439,0.48148148148148145
GIS,balanced,True,balanced,selected,,,0.013696660759689784,,,,0.23453608517318159,0.08,1.0,0.279471210291298,0.5074074074074074
GL,balanced,True,balanced,selected,,,0.007838298240831001,,,,0.2688066799755122,0.10269496691088632,1.0,0.2891854471411064,0.5296296296296297
GLW,balanced,False,conservative,lower_selection_score,,,-0.03334196043909705,,,,0.3176157856242473,0.17316643494701311,1.0,0.30625933167251107,0.4777777777777778
GPC,balanced,False,aggressive,lower_selection_score,,,0.025274005249151382,,,,0.2576849549604517,0.11738991958467057,1.0,0.3564850193295533,0.5629629629629629
GPN,balanced,True,balanced,selected,,,0.3477552593683375,,,,0.4246341079820194,0.12611774566991624,1.0,0.5718300670385212,0.6037037037037037
GRMN,balanced,True,balanced,selected,,,0.4902347991762503,,,,0.42012099410162723,0.13940441762249084,1.0,0.7488346166916363,0.5592592592592592
GS,balanced,False,aggressive,lower_selection_score,,,0.3391804773715979,,,,0.3252805943575463,0.18537690609488772,1.0,0.8246934450719252,0.5185185185185185
GWW,balanced,False,conservative,lower_selection_score,,,-0.043971324970894086,,,,0.30118134372250743,0.14445028152844852,1.0,0.25928507871251666,0.5370370370370371
HAL,balanced,False,aggressive,lower_selection_score,,,0.18810908476771485,,,,0.4506954357062736,0.24745370695931268,1.0,0.5395820018438628,0.45185185185185184
HAS,balanced,False,aggressive,lower_selection_score,,,0.16804906473437878,,,,0.2855162836542164,0.12659937269724683,1.0,0.5679475882761412,0.49259259259259264
HBAN,balanced,False,conservative,lower_selection_score,,,-0.019283702425936633,,,,0.25710184512753403,0.1661495668661806,1.0,0.35970327562045684,0.5407407407407407
HD,balanced,True,balanced,selected,,,0.2788590053333566,,,,0.3547579833895662,0.08,1.0,0.5047164423661838,0.7037037037037037
