report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2022-09-30,4362146000.0,414209000,526923000.0,6607526000,3491393000.0,0.0,670384000.0,,7365000.0,-120694000.0,-15187000.0,163250000.0,162029000.0,5587556000.0,2706250000.0,3116133000.0,2154534000.0,0.11863717433127695,0.0626874566971057,0.0949553270339874,,0.0,2.064685819861432,2.064685819861432,0.07974588370897065,0.15092056379788812,2.537267993874426,511736000.0,0.0
2022-12-31,3441528000.0,219276000,539238000.0,5590434000,3113535000.0,0.0,486699000.0,,14138000.0,-106311000.0,-14922000.0,157691000.0,156526000.0,4518017000.0,2054055000.0,2476899000.0,2034131000.0,0.07042670148239863,0.03922343059590722,0.06371472206531517,,0.0,2.199559894939522,2.199559894939522,0.09645726968603868,0.1731915652144588,1.3905422630334008,524316000.0,0.0
2023-03-31,2592589000.0,226011000,275969000.0,5332577000,3150368000.0,0.0,546412000.0,2142741000.0,18775000.0,-74580000.0,-15261000.0,155472000.0,154164000.0,4257011000.0,1760056000.0,2182209000.0,2350794000.0,0.07174114262206828,0.042383072949532655,0.08717579222931209,0.8264869595605011,0.0,2.4186792920225266,2.4186792920225266,0.05175152651335368,0.087598972564475,1.4537087063908614,260708000.0,0.0
2023-06-30,2239752000.0,196800000,248497000.0,4564040000,2558104000.0,0.0,158446000.0,1811194000.0,17792000.0,-70390000.0,-15506000.0,151563000.0,150435000.0,3482546000.0,1579107000.0,2005936000.0,1698587000.0,0.07693197774601815,0.043119692202522326,0.0878668709750008,0.8086582800238598,0.0,2.205389501788036,2.205389501788036,0.05444671825838512,0.09714108574162739,1.29846994319194,232991000.0,0.0
2023-09-30,2190001000.0,171353000,216069000.0,4578121000,2491474000.0,0.0,189980000.0,1777496000.0,17156000.0,-61048000.0,-15607000.0,148001000.0,147099000.0,3511916000.0,1667045000.0,2086647000.0,1639428000.0,0.06877575282744271,0.03742867434041171,0.07824334326787978,0.8116416385197998,0.0,2.1066713855954697,2.1066713855954697,0.04719600028046441,0.08672336135155334,1.15778271768434,200462000.0,0.0
2023-12-31,2277768000.0,158719000,431756000.0,4523809000,2391413000.0,0.0,158353000.0,1868163000.0,16728000.0,-57231000.0,-21386000.0,145708000.0,144866000.0,3435196000.0,1704412000.0,2132396000.0,1512883000.0,0.06637038437108103,0.035085256694082356,0.06968181131704371,0.8201726426923198,0.0,2.0154727847492273,2.0154727847492273,0.09544081105104128,0.18054430581417763,1.0892950284129903,410370000.0,0.0
2024-03-31,2206678000.0,169152000,276028000.0,4488268000,2197665000.0,0.0,256904000.0,1793516000.0,14878000.0,-62782000.0,-15161000.0,144125000.0,143194000.0,3373694000.0,1826341000.0,2290603000.0,1370456000.0,0.07696896478762687,0.03768758906553708,0.07665459119998477,0.8127674268742426,0.0,1.8472421086752144,1.8472421086752144,0.06149989260890838,0.12560058061624496,1.1736478751084127,260867000.0,0.0
2024-06-30,2439001000.0,175469000,283516000.0,4788341000,2178427000.0,0.0,126769000.0,2012570000.0,11904000.0,-60770000.0,-14979000.0,141716000.0,141013000.0,3696754000.0,2160918000.0,2609914000.0,1271853000.0,0.08054848750956539,0.036645050968592253,0.07194297993317755,0.8251616132998716,0.0,1.710733123607652,1.710733123607652,0.05920965110880783,0.1301471199172614,1.2381735301589094,268537000.0,0.0
2024-09-30,3000131000.0,229574000,362548000.0,5170917000,2359170000.0,0.0,89972000.0,2549823000.0,9917000.0,-82488000.0,-15774000.0,141027000.0,140417000.0,4083045000.0,2375746000.0,2811747000.0,1293173000.0,0.09731134254843865,0.044397154315182395,0.07652132523546472,0.8499038875302445,0.0,1.7186370091752232,1.7186370091752232,0.07011290260508919,0.15367608099458707,1.6278726768632956,346774000.0,0.0
2024-12-31,2954705000.0,235878000,360244000.0,4754458000,2225784000.0,0.0,249716000.0,2481952000.0,10007000.0,-77127000.0,-15176000.0,140020000.0,139344000.0,3659775000.0,2066473000.0,2528674000.0,1148320000.0,0.1059752428807108,0.049611964181826826,0.07983131987795736,0.8399999323113475,0.0,1.7710248331335565,1.7710248331335565,0.07576973021951187,0.16185038620099704,1.6846021996857592,345068000.0,0.0
