report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2022-09-30,22799000000.0,1195000000,1172000000.0,50765000000,16317000000.0,10597000000.0,8453000000.0,-107000000.0,127084000.0,126523000.0,34448000000.0,7798000000.0,2799000000.0,13558000000.0,0.07323650180793038,0.02353984044124889,0.05241457958682398,0.649445363731078,0.02308677238254703,0.04354610983131456,9.403229360108275
2022-12-31,22435000000.0,-15000000,120000000.0,43055000000,15370000000.0,11126000000.0,-5127000000.0,58000000.0,134414000.0,132679000.0,27685000000.0,9034000000.0,2092000000.0,5061000000.0,-0.0009759271307742355,-0.00034839159214957615,-0.0006685981724983285,0.7238776837996096,0.002787132737196609,0.004528985507246377,-0.11159551832398411
2023-03-31,26725000000.0,1237000000,1702000000.0,54776000000,16634000000.0,11610000000.0,6681000000.0,-359000000.0,125564000.0,125005000.0,38142000000.0,9743000000.0,1867000000.0,13735000000.0,0.07436575688349165,0.022582883014458887,0.04628624883068288,0.6979680173139353,0.031072002336789833,0.06026058631921824,9.851549807269599
2023-06-30,26737000000.0,959000000,1426000000.0,56455000000,16891000000.0,11744000000.0,3146000000.0,-296000000.0,125109000.0,124574000.0,39564000000.0,9722000000.0,2022000000.0,16214000000.0,0.05677579776212184,0.01698698078115313,0.035867898417922726,0.6952815108637737,0.025259055885218314,0.04979919678714859,7.665315844583523
2023-09-30,26411000000.0,832000000,1194000000.0,55905000000,17004000000.0,11728000000.0,1235000000.0,-256000000.0,123983000.0,123426000.0,38901000000.0,9483000000.0,2245000000.0,15148000000.0,0.04892966360856269,0.014882389768357034,0.03150202567112188,0.6897200658668549,0.02135766031660853,0.04155645273562578,6.710597420614117
2023-12-31,26438000000.0,-541000000,-372000000.0,47065000000,16318000000.0,11656000000.0,-7081000000.0,75000000.0,123108000.0,122459000.0,30747000000.0,10213000000.0,1443000000.0,4694000000.0,-0.03315357274175757,-0.011494741315202379,-0.020462969967471066,0.7143032234342443,-0.007903962604908105,-0.013298062486594694,-4.394515384865321
2024-03-31,29587000000.0,737000000,1212000000.0,50091000000,16186000000.0,13212000000.0,423000000.0,-251000000.0,121268000.0,120978000.0,33905000000.0,12390000000.0,822000000.0,5910000000.0,0.04553317681947362,0.014713221936076342,0.02490958867069997,0.8162609662671444,0.02419596334670899,0.041227294373766925,6.0774482963353895
2024-06-30,29523000000.0,679000000,1124000000.0,50093000000,16728000000.0,12895000000.0,1213000000.0,-223000000.0,120665000.0,120445000.0,33365000000.0,11746000000.0,1149000000.0,5501000000.0,0.04059062649450024,0.01355478809414489,0.022999017715001863,0.7708632233381157,0.022438264827420996,0.037943489855855245,5.627149546264451
2024-09-30,29381000000.0,480000000,712000000.0,50007000000,17624000000.0,13022000000.0,1858000000.0,-155000000.0,120764000.0,120405000.0,32383000000.0,11886000000.0,1136000000.0,5116000000.0,0.02723558783477077,0.009598656188133662,0.016337088594670025,0.7388788016341352,0.01423800667906493,0.0232330483586765,3.9746944453645128
2024-12-31,29176000000.0,-693000000,-580000000.0,46479000000,16445000000.0,11721000000.0,-528000000.0,216000000.0,120779000.0,120456000.0,30034000000.0,11144000000.0,577000000.0,2221000000.0,-0.042140468227424746,-0.014909959336474536,-0.02375239923224568,0.7127394344785649,-0.012478753845822844,-0.020592203365760137,-5.737752423848517
