report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2022-09-30,8797000000.0,1273000000.0,1647000000.0,74323000000.0,38939000000.0,15338000000.0,,2636000000.0,,3512000000.0,-18000000.0,-391000000.0,-1045000000.0,501151000.0,497186000.0,11203000000.0,15061000000.0,35384000000.0,10608000000.0,4730000000.0,3756000000.0,,0.032692159531575025,0.017127941552413116,0.1447084233261339,0.39922700920768445,0.39389814838593695,0.743841710377797,0.743841710377797,0.022160031215101652,0.0303443447500783,2.5401525687866533,602000000.0,,25.47840531561462
2022-12-31,7899000000.0,1596000000.0,2720000000.0,79658000000.0,41387000000.0,17914000000.0,,2095000000.0,,3472000000.0,-31000000.0,-388000000.0,-956000000.0,564804000.0,558130000.0,13047000000.0,16479000000.0,38271000000.0,12198000000.0,5716000000.0,5436000000.0,,0.03856283374006331,0.02003565241407015,0.20205089251804026,0.43954931003924547,0.43284123033802885,0.791734935372292,0.791734935372292,0.0341459740390168,0.0458676919444866,2.825759024369516,1764000000.0,,10.155328798185941
2023-03-31,8193000000.0,1588000000.0,1938000000.0,80308000000.0,41336000000.0,18777000000.0,,1908000000.0,,3762000000.0,-37000000.0,-430000000.0,-948000000.0,495676000.0,491817000.0,12904000000.0,17785000000.0,38972000000.0,11744000000.0,7033000000.0,4962000000.0,,0.03841687633055932,0.019773870598196942,0.1938239960942268,0.45917246429879166,0.4542529514224889,0.7255552431824571,0.7255552431824571,0.024132091447925486,0.03223928268427794,3.2037056464303295,990000000.0,,18.966666666666665
2023-06-30,8204000000.0,1649000000.0,2038000000.0,78718000000.0,41248000000.0,17490000000.0,,2150000000.0,,3888000000.0,-52000000.0,-438000000.0,-960000000.0,493549000.0,489618000.0,11411000000.0,14552000000.0,37470000000.0,13528000000.0,3962000000.0,3357000000.0,,0.039977695888285494,0.02094819482202292,0.20099951243295952,0.47391516333495853,0.42402055857253684,0.7841533809785597,0.7841533809785597,0.02588988541375543,0.034696448636317205,3.341106962024034,1078000000.0,,16.224489795918366
2023-09-30,8155000000.0,1637000000.0,2038000000.0,77827000000.0,40238000000.0,18003000000.0,,2520000000.0,,3841000000.0,-40000000.0,-487000000.0,-959000000.0,491076000.0,487122000.0,11737000000.0,14162000000.0,37589000000.0,13232000000.0,4771000000.0,3894000000.0,,0.04068293652766042,0.02103383144667018,0.20073574494175353,0.4709993868792152,0.44741289328495454,0.8287671232876712,0.8287671232876712,0.026186284965371915,0.034992531034838,3.333496240907721,1079000000.0,,16.68489341983318
2023-12-31,8302000000.0,1609000000.0,2091000000.0,80811000000.0,41095000000.0,19373000000.0,,2727000000.0,,3871000000.0,-71000000.0,-459000000.0,-949000000.0,488859000.0,484207000.0,12620000000.0,15717000000.0,39716000000.0,13397000000.0,5976000000.0,4664000000.0,,0.03915318165226913,0.019910655727561843,0.19380872079017103,0.4662731871838111,0.4714198807640832,0.8029522173442769,0.8029522173442769,0.0258751902587519,0.03458027386386188,3.291337584047752,1142000000.0,,16.964098073555167
2024-03-31,8100000000.0,1703000000.0,2037000000.0,80347000000.0,40229000000.0,20319000000.0,,1954000000.0,,3884000000.0,-65000000.0,-463000000.0,-949000000.0,485592000.0,481949000.0,13102000000.0,14389000000.0,40118000000.0,15227000000.0,5092000000.0,4848000000.0,,0.04233264560391757,0.02119556424010853,0.2102469135802469,0.4795061728395062,0.5050833975490318,0.9105566752380291,0.9105566752380291,0.02535253338643633,0.03364272973508621,3.5070594243727244,1088000000.0,,18.675551470588236
2024-06-30,8267000000.0,1737000000.0,2182000000.0,80215000000.0,39551000000.0,21518000000.0,,1929000000.0,,4016000000.0,-70000000.0,-508000000.0,-958000000.0,483177000.0,479973000.0,12843000000.0,13504000000.0,40664000000.0,16931000000.0,4587000000.0,4626000000.0,,0.04391797931784278,0.021654304057844544,0.21011249546389257,0.4857868634329261,0.5440570402771105,0.9510515402843602,0.9510515402843602,0.027201894907436266,0.0357300758158804,3.594955885731316,1224000000.0,,17.580065359477125
2024-09-30,8356000000.0,1550000000.0,2180000000.0,82546000000.0,40603000000.0,22262000000.0,1665000000.0,2731000000.0,4356000000.0,4000000000.0,-68000000.0,498000000.0,960000000.0,480898000.0,477662000.0,13460000000.0,14049000000.0,41943000000.0,17475000000.0,4787000000.0,5187000000.0,-1066000000.0,0.038174519124202645,0.01877740895985269,0.1854954523695548,0.47869794159885115,0.5482846095116124,0.9580753078510926,0.9580753078510926,0.026409517117728296,0.03467748349638113,3.2231367150622376,3140000000.0,0.19925801819052177,7.089808917197452
2024-12-31,8282000000.0,1725000000.0,2196000000.0,80147000000.0,39488000000.0,21623000000.0,1559000000.0,2809000000.0,4320000000.0,3962000000.0,-53000000.0,533000000.0,913000000.0,478701000.0,475508000.0,12945000000.0,14544000000.0,40659000000.0,15343000000.0,6280000000.0,4850000000.0,-1250000000.0,0.043684157212317665,0.02152295157647822,0.20828302342429364,0.47838686307655154,0.5475840761750406,0.8900577557755776,0.8900577557755776,0.027399653137360102,0.03593461079020144,3.6035019772258674,3109000000.0,0.18823955566288336,6.954969443550981
2025-03-31,8112000000.0,1673000000.0,2221000000.0,82704000000.0,39463000000.0,23897000000.0,891000000.0,2161000000.0,4157000000.0,3955000000.0,,511000000.0,910000000.0,476262000.0,473303000.0,13597000000.0,14485000000.0,43241000000.0,17608000000.0,6289000000.0,5294000000.0,-1270000000.0,0.04239414134759142,0.020228767653317856,0.20623767258382644,0.4875493096646943,0.6055545701036413,0.9386952019330341,0.9386952019330341,0.026854807506287482,0.035053661616161615,3.5127723815882854,3131000000.0,0.10983727810650888,7.632385819227084
2025-06-30,8495000000.0,1766000000.0,2339000000.0,86078000000.0,39986000000.0,25920000000.0,954000000.0,2211000000.0,4306000000.0,4189000000.0,,573000000.0,942000000.0,473573000.0,470865000.0,13627000000.0,14714000000.0,46092000000.0,19701000000.0,6219000000.0,4786000000.0,-1257000000.0,0.044165457910268595,0.020516275935779177,0.20788699234844027,0.49311359623307827,0.6482268794077928,0.9261247791219247,0.9261247791219247,0.02717302911312995,0.03548994021788608,3.7290977315007403,3281000000.0,0.11230135373749264,7.900030478512648
2025-09-30,8615000000.0,1929000000.0,2342000000.0,85993000000.0,40086000000.0,25925000000.0,1672000000.0,2948000000.0,4379000000.0,4236000000.0,,424000000.0,961000000.0,471509000.0,468802000.0,13331000000.0,16192000000.0,45907000000.0,18592000000.0,7333000000.0,4509000000.0,-1276000000.0,0.048121538691812606,0.02243205842336004,0.22391178177597215,0.49170052234474754,0.6467345207803223,0.8233078063241107,0.8233078063241107,0.02723477492354029,0.03547893532896033,4.091120211915361,3303000000.0,0.19408009286128844,7.848925219497427
2025-12-31,,,,,,0.0,,,,,,,,468702000.0,466247000.0,,,,,,,,,,,,,,,,,,,,
