report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_liabilities,total_liabilities,long_term_debt,short_term_debt,roe,roa,net_margin,gross_margin,debt_equity,roi,roic,eps,ebitda,debt_to_ebitda
2022-09-30,303989000.0,87578000,114994000.0,10898837000,6198740000.0,3729404000.0,200485000.0,,-36361000.0,,-129847000.0,171525000.0,171121000.0,4700097000.0,4700097000.0,,3729404000.0,0.014128355117330297,0.008035536268686283,0.28809595084032646,,0.6016390427732088,0.010551034023171464,0.011582628132710404,0.5105844629062819,-14853000.0,-251.08759173230996
2022-12-31,314517000.0,97368000,116002000.0,10860220000,6178039000.0,3726754000.0,127573000.0,,-36388000.0,,-134595000.0,162220000.0,162384240.0,4611939000.0,4682181000.0,,3726754000.0,0.0157603407812738,0.008965564233505398,0.30957945039536816,,0.6032260398485668,0.010681367412446525,0.011711703616622781,0.6002219208482308,-18593000.0,-200.43855214327974
2023-03-31,317977000.0,97281000,120988000.0,10805680000,6139435000.0,3741784000.0,162099000.0,266955000.0,-36393000.0,,-82707000.0,171494000.0,171212000.0,4636245000.0,4666245000.0,30000000.0,3711784000.0,0.015845269149359836,0.009002765212369791,0.3059372218745381,0.839541853656082,0.6094671578084954,0.011196703955697374,0.012244238286794372,0.5672559972943659,38281000.0,97.74519996865286
2023-06-30,314247000.0,86782000,111436000.0,10827945000,6143786000.0,3709074000.0,172578000.0,259853000.0,-36956000.0,,-83161000.0,170998004.0,170998004.0,4607066000.0,4684159000.0,,3709074000.0,0.014125166469014383,0.00801463250875397,0.27615856316846304,0.8269068598904683,0.6037114573977674,0.01029151884314152,0.011310015569083495,0.5075029998595773,28275000.0,131.1785676392573
2023-09-30,330638000.0,90720000,119299000.0,12381414000,7231527000.0,4069093000.0,209312000.0,271411000.0,-38807000.0,,-87505000.0,181056506.0,181056506.0,5072887000.0,5149887000.0,77000000.0,3992093000.0,0.012545068282259058,0.007327111426853185,0.27437862556632936,0.8208705593428463,0.5626879357568602,0.009635329211994689,0.01055685440267879,0.5010590450696094,31794000.0,127.98304711580802
2023-12-31,359604000.0,91782000,116427000.0,12426913000,7191935000.0,152000000.0,175602000.0,,-42093000.0,,-328118000.0,181935490.0,181073490.0,5082978000.0,5234978000.0,152000000.0,,0.01276179498285232,0.007385744150618902,0.2552307538292121,,0.021134785005704305,0.009368939816348598,0.015853489988677732,0.5044755149201511,-211691000.0,-0.7180276913047792
2024-03-31,363852000.0,109774000,129911000.0,12650903000,7178019000.0,4417181000.0,150798000.0,,-42868000.0,,-160859000.0,184770000.0,184678000.0,5442884000.0,5472884000.0,30000000.0,4387181000.0,0.015293077379706017,0.008677167155577748,0.3016995921418599,,0.6153760529193361,0.010268911238984284,0.01120386021802125,0.5941115982031715,-30948000.0,-142.72912627633448
2024-06-30,357250000.0,102668000,124009000.0,12384180000,6963170000.0,4365390000.0,220416000.0,,-43178000.0,,-160459000.0,183868000.0,183703000.0,5111010000.0,5421010000.0,310000000.0,4055390000.0,0.01474443392879967,0.008290254179122073,0.2873841847445766,,0.6269256674761639,0.010013501095752808,0.01094658103059877,0.558378836991755,-36450000.0,-119.76378600823045
2024-09-30,360266000.0,101469000,124378000.0,12426579000,6944197000.0,4395007000.0,227599000.0,,-47022000.0,,-161432000.0,181772000.0,181498000.0,5452382000.0,5482382000.0,30000000.0,4365007000.0,0.014612056656802794,0.008165481424936017,0.28165022511144544,,0.6329035596196364,0.010009029838381102,0.010968847548734461,0.5582212882072046,-37054000.0,-118.61086522372753
2024-12-31,372536000.0,88815000,135508000.0,12391961000,6900307000.0,65000000.0,191385000.0,,-47051000.0,,-160601000.0,181750000.0,181389000.0,5426654000.0,5491654000.0,65000000.0,,0.012871166456796777,0.007167146507320351,0.23840648957416197,,0.009419870739084507,0.010935153846917369,0.01945470601654744,0.48866574965612103,-25093000.0,-2.5903638464910532
