report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,cash,capex,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2022-09-30,2724400000.0,228879000.0,318045000.0,33076819000.0,6369976000.0,2842478000.0,,767650000.0,-55791000.0,,419287500.0,415222500.0,26706843000.0,2842478000.0,1130750000.0,,0.03593090460623399,0.006919619447081656,0.08401079136690648,0.446230566645777,0.009615344208280729,0.03452337455362057,0.5458760397102227,,,
2022-12-31,3013802000.0,382223000.0,1003511000.0,33861099000.0,6768161000.0,2837194000.0,,795301000.0,-96437000.0,,419622750.0,416144250.0,27092938000.0,2837194000.0,1449346000.0,,0.05647368613128441,0.011287967942210026,0.12682419083934512,0.41919717926331834,0.029636102478540344,0.10447411886390456,0.9108729209748518,,,
2023-03-31,2895004000.0,294126000.0,530674000.0,34296064000.0,6965623000.0,2836532000.0,,445323000.0,-80342000.0,,416008500.0,412465500.0,27330441000.0,2836532000.0,1242357000.0,,0.04222536878610858,0.008576086165456187,0.101597787084232,0.40721870821892026,0.015473320786898462,0.05413850321689465,0.7070192075402305,,,
2023-06-30,2995914000.0,356308000.0,602578000.0,35308694000.0,6908352000.0,2835810000.0,,708746000.0,-101460000.0,,409642500.0,406296000.0,28400342000.0,2835810000.0,1823558000.0,,0.051576410698238886,0.010091225690760468,0.11893131778816081,0.4104900850448848,0.017065995134229548,0.0618398996240005,0.8698023276393441,,,
2023-09-30,3030638000.0,333586000.0,585776000.0,36111348000.0,6929909000.0,2836956000.0,,1077093000.0,-86519000.0,,407158500.0,403786500.0,29181439000.0,2836956000.0,1646074000.0,,0.04813714004036705,0.009237705554497716,0.11007121272814503,0.40937853585090367,0.016221382818497943,0.05997584690686315,0.8193025566210702,,,
2023-12-31,3221382000.0,397339000.0,687831000.0,37202015000.0,7469237000.0,2837041000.0,,698076000.0,-102235000.0,,406978500.0,403452000.0,29732778000.0,2837041000.0,1363195000.0,,0.05319673214278781,0.010680577382703598,0.12334426652908596,0.3798300950953893,0.018489079153373816,0.06673903032695218,0.9763144736146996,,,
2024-03-31,3256773000.0,442471000.0,724406000.0,37851072000.0,7798512000.0,2837266000.0,,746235000.0,-132036000.0,,405757500.0,402316500.0,30052560000.0,2837266000.0,1169053000.0,,0.05673787512284395,0.011689787808387567,0.13586178711258046,0.36382145722158277,0.01913832189481978,0.0681102971498653,1.0904813835850231,,,
2024-06-30,3314032000.0,371909000.0,640501000.0,38909919000.0,7787051000.0,2837871000.0,,881330000.0,-115788000.0,,403737000.0,400273000.0,31122868000.0,2837871000.0,1580270000.0,,0.04775992863023499,0.009558205453987195,0.11222251324066877,0.3644346235821494,0.016461123961733253,0.060282889606154286,0.9211665019554809,,,
2024-09-30,3375760000.0,365634000.0,506169000.0,40359298000.0,8439402000.0,2837417000.0,1227568000.0,1240770000.0,109135000.0,-11931000.0,401817000.0,398338000.0,31919896000.0,2837417000.0,24193187000.0,-13202000.0,0.04332463366480232,0.009059473730192235,0.10831160983008271,0.3362106699029149,0.012541570965877553,0.04488579625158478,0.9099515451063543,494238000.0,0.3636419650686068,5.740993205702516
2024-12-31,3721268000.0,576101000.0,760052000.0,40567268000.0,8407439000.0,2840966000.0,796080000.0,810033000.0,152958000.0,-13645000.0,400888000.0,398042000.0,32159829000.0,2840966000.0,24328200000.0,-13953000.0,0.0685227689430753,0.01420112885097414,0.15481309059170154,0.33791098573537076,0.018735597378655128,0.06756975766786491,1.4370622218674542,746407000.0,0.21392708076924316,3.806188848711226
2025-03-31,3528021000.0,417571000.0,570333000.0,41345792000.0,8926372000.0,2842810000.0,727616000.0,743817000.0,121257000.0,-9786000.0,399825000.0,396929000.0,32419420000.0,2842810000.0,25296094000.0,-16201000.0,0.0467794754688691,0.01009948001479812,0.11835842246970753,0.31847317140715176,0.013794221187007374,0.04845986747422208,1.0443844181829551,560547000.0,0.2062391351978914,5.071492666984214
2025-06-30,3615412000.0,401288000.0,553640000.0,42658057000.0,9304808000.0,2841806000.0,683214000.0,703807000.0,121155000.0,-13969000.0,400368000.0,397016000.0,33353249000.0,2841806000.0,26047634000.0,-20593000.0,0.0431269511418183,0.009407085747013747,0.11099371247315659,0.3054126425822005,0.01297855643073476,0.04557978050508561,1.0022978859449307,539671000.0,0.18897265373904829,5.265811948390779
2025-09-30,3780245000.0,511032000.0,679870000.0,43715217000.0,9805003000.0,2839858000.0,1122917000.0,1139860000.0,136141000.0,-9069000.0,400204000.0,397220000.0,33910214000.0,2839858000.0,27321648000.0,-16943000.0,0.05211951490478891,0.01169002546641825,0.1351848888101168,0.2896335676796835,0.015552250375424192,0.053766506409204495,1.2769287663291722,670801000.0,0.2970487362591578,4.233532746671517
2025-12-31,,,,,,0.0,,,,,399135000.0,396707000.0,,,,,,,,,,,,,,
