report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2022-09-30,6052000000.0,1666000000.0,2581000000.0,22063000000.0,3670000000.0,9184000000.0,,2000000.0,-102000000.0,-510000000.0,-109000000.0,39671000.0,39564000.0,12410000000.0,8543000000.0,18393000000.0,7950000000.0,1234000000.0,9137000000.0,,0.4539509536784741,0.07551103657707474,0.2752808988764045,2.5024523160762944,1.4526512934566311,1.4526512934566311,0.11698318451706477,0.20079352730667496,41.99541226588692,2472000000.0,,3.715210355987055
2022-12-31,4049000000.0,1235000000.0,1305000000.0,25361000000.0,2782000000.0,12485000000.0,,2651000000.0,74000000.0,-217000000.0,-124000000.0,40052000.0,39872000.0,15798000000.0,8474000000.0,22579000000.0,11985000000.0,500000000.0,12396000000.0,,0.4439252336448598,0.048696817948819054,0.3050135836008891,4.487778576563623,1.8642907717724806,1.8642907717724806,0.05145696147628248,0.08547848300255453,30.834914611005694,1181000000.0,,10.571549534292972
2023-03-31,3778000000.0,266000000.0,450000000.0,25206000000.0,1074000000.0,12126000000.0,,2889000000.0,34000000.0,-37000000.0,-120000000.0,37983000.0,37621000.0,17632000000.0,11070000000.0,24132000000.0,11272000000.0,854000000.0,14499000000.0,,0.24767225325884543,0.010553042926287393,0.07040762308099524,11.29050279329609,1.592773261065944,1.592773261065944,0.017852892168531302,0.03409090909090909,7.003132980543928,330000000.0,,36.74545454545454
2023-06-30,5462000000.0,1290000000.0,1673000000.0,26558000000.0,-665000000.0,14053000000.0,,1543000000.0,25000000.0,-328000000.0,-121000000.0,36964000.0,36678000.0,19349000000.0,12481000000.0,27223000000.0,13198000000.0,855000000.0,15242000000.0,,-1.9398496240601504,0.04857293470893893,0.2361772244599048,-21.13233082706767,1.5502764201586412,1.5502764201586412,0.06299420137058513,0.12496265312219898,34.89882047397468,1552000000.0,,9.054768041237113
2023-09-30,7341000000.0,2511000000.0,3103000000.0,25635000000.0,-625000000.0,13769000000.0,,1695000000.0,35000000.0,-638000000.0,-129000000.0,35987000.0,35570000.0,18479000000.0,12832000000.0,26260000000.0,11856000000.0,1913000000.0,13918000000.0,,-4.0176,0.09795201872440024,0.3420514916223948,-22.0304,1.4400716957605986,1.4400716957605986,0.12104544567973474,0.23607729762629337,69.77519659877179,2974000000.0,,4.629791526563551
2023-12-31,4784000000.0,222000000.0,609000000.0,24342000000.0,-2744000000.0,14184000000.0,,1075000000.0,29000000.0,-189000000.0,-134000000.0,35186000.0,34691000.0,17034000000.0,13330000000.0,27086000000.0,12223000000.0,1961000000.0,12683000000.0,,-0.08090379008746355,0.009120039438008381,0.04640468227424749,-5.169096209912537,1.2778694673668418,1.2778694673668418,0.025018486566428397,0.053234265734265734,6.30932757346672,475000000.0,,29.861052631578946
2024-03-31,4415000000.0,776000000.0,791000000.0,27728000000.0,-4052000000.0,16900000000.0,,2840000000.0,24000000.0,-161000000.0,-137000000.0,34706000.0,34206000.0,20476000000.0,16832000000.0,31780000000.0,13438000000.0,3462000000.0,15991000000.0,,-0.19151036525172754,0.02798615118291979,0.17576443941109854,-4.170779861796643,1.2164923954372624,1.2164923954372624,0.02852712060011541,0.06156600249066003,22.359246239843255,654000000.0,,25.840978593272173
2024-06-30,5859000000.0,1521000000.0,1856000000.0,28541000000.0,-4276000000.0,16808000000.0,,2566000000.0,29000000.0,-401000000.0,-142000000.0,34267000.0,33839000.0,21293000000.0,18206000000.0,32817000000.0,13361000000.0,3447000000.0,16327000000.0,,-0.35570626753975676,0.053291755719841634,0.25960061443932414,-3.9307764265668848,1.1695594858837746,1.1695594858837746,0.06502925615780807,0.14810086179380785,44.38672775556658,1714000000.0,,9.80630105017503
2024-09-30,7994000000.0,2517000000.0,3179000000.0,27978000000.0,-3653000000.0,16212000000.0,2296000000.0,2373000000.0,22000000.0,352000000.0,190000000.0,33864000.0,33401000.0,20529000000.0,16678000000.0,31631000000.0,13793000000.0,2419000000.0,15775000000.0,-77000000.0,-0.6890227210511908,0.0899635427836157,0.31486114585939456,-4.437996167533534,1.2309029859695406,1.2309029859695406,0.11362499106440775,0.25312524882554344,74.32671863926294,3369000000.0,0.287215411558669,4.812110418521817
2024-12-31,5471000000.0,1068000000.0,1729000000.0,27708000000.0,-4020000000.0,16598000000.0,645000000.0,721000000.0,-256000000.0,496000000.0,203000000.0,33426000.0,33051000.0,20491000000.0,15647000000.0,31728000000.0,14853000000.0,1745000000.0,16164000000.0,-76000000.0,-0.2656716417910448,0.03854482459939368,0.19521111314202158,-4.128855721393035,1.3095801112034255,1.3095801112034255,0.06240075068572253,0.13746223564954682,31.951175731466524,1932000000.0,0.11789435203801864,8.591097308488612
2025-03-31,4762000000.0,333000000.0,1062000000.0,27191000000.0,-6112000000.0,16024000000.0,3162000000.0,3283000000.0,,63000000.0,184000000.0,33093000.0,32845000.0,19950000000.0,16394000000.0,33303000000.0,15369000000.0,655000000.0,15578000000.0,-121000000.0,-0.05448298429319372,0.012246699275495569,0.06992860142797144,-2.6217277486910993,1.2169086251067465,1.2169086251067465,0.03905704093266154,0.10714285714285714,10.062550992657057,1246000000.0,0.6640067198656027,12.860353130016051
2025-06-30,6798000000.0,895000000.0,2250000000.0,30684000000.0,-6657000000.0,18472000000.0,3137000000.0,3201000000.0,,209000000.0,194000000.0,32619000.0,32494000.0,23263000000.0,18636000000.0,37341000000.0,17473000000.0,999000000.0,17595000000.0,-64000000.0,-0.1344449451704972,0.029168296180419762,0.13165636952044718,-2.7748234940663963,1.2482828933247478,1.2482828933247478,0.07332811888932343,0.19043588658484978,27.437996259848553,2444000000.0,0.46145925272138866,7.55810147299509
2025-09-30,9008000000.0,2748000000.0,3940000000.0,28752000000.0,-4736000000.0,16996000000.0,1371000000.0,1435000000.0,,721000000.0,199000000.0,32558000.0,32384000.0,21703000000.0,16265000000.0,33488000000.0,15997000000.0,999000000.0,16509000000.0,-64000000.0,-0.5802364864864865,0.09557595993322204,0.30506216696269983,-3.5886824324324325,1.3343375345834614,1.3343375345834614,0.13703394546466333,0.32137030995106036,84.40321887093802,4139000000.0,0.1521980461811723,4.106305870983329
