Date,sp500_momentum_12m
2020-12-28,0.15288179853971662
2020-12-29,0.1570023170428918
2020-12-30,0.1551513892063756
2020-12-31,0.15292906541696083
2021-01-04,0.14399424722183762
2021-01-05,0.1480402410722068
2021-01-06,0.15784107517265555
2021-01-07,0.16929957485061542
2021-01-08,0.1679482055361854
2021-01-11,0.16361492452190585
2021-01-12,0.15603400013958835
2021-01-13,0.16042221683843483
2021-01-14,0.1539085924281367
2021-01-15,0.13610666074669653
2021-01-19,0.14094394507631702
2021-01-20,0.1599197938884671
2021-01-21,0.15995185319767447
2021-01-22,0.15514169896630392
2021-01-25,0.16989690141199842
2021-01-26,0.18682471683531143
2021-01-27,0.1448398257488237
2021-01-28,0.1570171674107832
2021-01-29,0.13112809780852164
2021-02-01,0.17000052226317064
2021-02-02,0.17771756479166445
2021-02-03,0.16150577233359265
2021-02-04,0.16104947034495476
2021-02-05,0.16171118366733395
2021-02-08,0.17666206906671156
2021-02-09,0.16680336086372183
2021-02-10,0.16443448226118673
2021-02-11,0.15888086505155563
2021-02-12,0.16624188529122796
2021-02-16,0.16343314817804222
2021-02-17,0.166466396826358
2021-02-18,0.15587616720513187
2021-02-19,0.158151084734109
2021-02-22,0.1614111302524155
2021-02-23,0.2031936136808179
2021-02-24,0.2548486133150105
2021-02-25,0.2287743895622416
2021-02-26,0.2794417441650894
2021-03-01,0.3207615231951446
2021-03-02,0.2524278333729144
2021-03-03,0.2718112725580737
2021-03-04,0.20393781376326237
2021-03-05,0.2705080179666526
2021-03-08,0.28562391189427894
2021-03-09,0.411015910349505
2021-03-10,0.35270609389736096
2021-03-11,0.4369916816669297
2021-03-12,0.5896463245990606
2021-03-15,0.46400244661140544
2021-03-16,0.660726848727407
2021-03-17,0.5713015666106347
2021-03-18,0.6327341651685936
2021-03-19,0.624104139271999
2021-03-22,0.709642947024834
2021-03-23,0.7477966345823344
2021-03-24,0.5891358208443034
2021-03-25,0.579246686405203
2021-03-26,0.5111916929048963
2021-03-29,0.5625170211206469
2021-03-30,0.5070718200000408
2021-03-31,0.5371450626511303
2021-04-01,0.6271483979710586
2021-04-05,0.6137995447809517
2021-04-06,0.6370080570873036
2021-04-07,0.5316967713380394
2021-04-08,0.5406312141723315
2021-04-09,0.5013926770418606
2021-04-12,0.47966181804784647
2021-04-13,0.4996904072938697
2021-04-14,0.44925267609707853
2021-04-15,0.49834004976736845
2021-04-16,0.4950510410041653
2021-04-19,0.44831197844643
2021-04-20,0.4646495664911716
2021-04-21,0.5250605988964177
2021-04-22,0.4771425436687715
2021-04-23,0.4940917324044971
2021-04-26,0.4762086520455171
2021-04-27,0.4544899541604448
2021-04-28,0.4609188174561931
2021-04-29,0.43271164270658224
2021-04-30,0.43562936105373384
2021-05-03,0.48113378414135965
2021-05-04,0.46501620639129815
2021-05-05,0.45291166239542835
2021-05-06,0.4750704714990699
2021-05-07,0.4690458399942923
2021-05-10,0.4295959130236746
2021-05-11,0.41700714994045196
2021-05-12,0.4156341453207091
2021-05-13,0.45833333333333326
2021-05-14,0.4632252752519719
2021-05-17,0.4538150330165738
2021-05-18,0.39741231145987577
2021-05-19,0.40806183441496335
2021-05-20,0.39961837752527063
2021-05-21,0.4094779564989832
2021-05-24,0.4201051866986665
2021-05-25,0.3998836325890769
2021-05-26,0.38201934578901175
2021-05-27,0.38655256735537646
2021-05-28,0.380972956881811
2021-06-01,0.37513460479839433
2021-06-02,0.3659090838850725
2021-06-03,0.3426271155434375
2021-06-04,0.35906630166833153
2021-06-07,0.32329766462979825
2021-06-08,0.307781519590564
2021-06-09,0.31565733592283984
2021-06-10,0.3288383326523461
2021-06-11,0.414822891722445
2021-06-14,0.3991174264919437
2021-06-15,0.38479213785988775
2021-06-16,0.3516965278751709
2021-06-17,0.3559895411654881
2021-06-18,0.33739819017113293
2021-06-21,0.3638297766698142
2021-06-22,0.3619725693586635
2021-06-23,0.3546620692537301
2021-06-24,0.3986978868193696
2021-06-25,0.388143105091322
2021-06-28,0.42590179414005713
2021-06-29,0.4056542618381105
2021-06-30,0.3861606320225206
2021-07-01,0.3864357809634318
2021-07-02,0.39051946484858147
2021-07-06,0.36601338453776533
2021-07-07,0.38559185968178333
2021-07-08,0.3630604693103259
2021-07-09,0.38625647975101773
2021-07-12,0.376632578880576
2021-07-13,0.3847560555227607
2021-07-14,0.36802890301489444
2021-07-15,0.35129354668095236
2021-07-16,0.3456898976727236
2021-07-19,0.32057265574712757
2021-07-20,0.32941963373051175
2021-07-21,0.33812970130718245
2021-07-22,0.3331664502751335
2021-07-23,0.36349003260555524
2021-07-26,0.37525149530567403
2021-07-27,0.3587227551796446
2021-07-28,0.3673208811831843
2021-07-29,0.35621646610327606
2021-07-30,0.35396239481361924
2021-08-02,0.3411797791216753
2021-08-03,0.3425412288936942
2021-08-04,0.3315127258792341
2021-08-05,0.3309513793504677
2021-08-06,0.32466652413053376
2021-08-09,0.32258422420945587
2021-08-10,0.32027663948197116
2021-08-11,0.3325804841874582
2021-08-12,0.3196355256864949
2021-08-13,0.3244680015710433
2021-08-16,0.3281675233804173
2021-08-17,0.31522567806794255
2021-08-18,0.2980989862176915
2021-08-19,0.3054801479174494
2021-08-20,0.3119647878939491
2021-08-23,0.31861022178811904
2021-08-24,0.3074508469622199
2021-08-25,0.3056579379837092
2021-08-26,0.2849516993548544
2021-08-27,0.29410398875000454
2021-08-30,0.2909854950399855
2021-08-31,0.29207987294652327
2021-09-01,0.2828293051554023
2021-09-02,0.26700720611768314
2021-09-03,0.31269213815843866
2021-09-07,0.3189619478132808
2021-09-08,0.35482787443036923
2021-09-09,0.3219572565711881
2021-09-10,0.33522805122230803
2021-09-13,0.33755466815174096
2021-09-14,0.313136464588303
2021-09-15,0.3173880570498908
2021-09-16,0.3214483022855683
2021-09-17,0.3205174311304768
2021-09-20,0.3127788529280482
2021-09-21,0.3270680400993451
2021-09-22,0.3257569727349541
2021-09-23,0.3744485769952748
2021-09-24,0.3723567989340979
2021-09-27,0.3470255561381481
2021-09-28,0.29867220312359555
2021-09-29,0.3070002126322593
2021-09-30,0.2808623369201606
2021-10-01,0.2887600497322418
2021-10-04,0.28432516269625774
2021-10-05,0.2749281494863134
2021-10-06,0.2983007413703944
2021-10-07,0.28669017178748635
2021-10-08,0.2740227235509076
2021-10-11,0.25424632776929945
2021-10-12,0.23100710720000772
2021-10-13,0.2425645982774256
2021-10-14,0.27219251606343975
2021-10-15,0.28364443447013166
2021-10-18,0.28780268886084803
2021-10-19,0.31886066375885314
2021-10-20,0.3174649117706705
2021-10-21,0.3243196764310312
2021-10-22,0.31603100492418257
2021-10-25,0.3177391641410525
2021-10-26,0.34514273235899706
2021-10-27,0.34240927116316167
2021-10-28,0.4051903775591521
2021-10-29,0.39130715696930807
2021-11-01,0.4109255088714472
2021-11-02,0.3988864601976747
2021-11-03,0.38330324051043485
2021-11-04,0.35912347484779494
2021-11-05,0.33815603426794283
2021-11-08,0.3397294935409283
2021-11-09,0.3196028728348119
2021-11-10,0.31058259908716757
2021-11-11,0.3013469330715617
2021-11-12,0.3239572646746771
2021-11-15,0.3061656924376228
2021-11-16,0.2961170848629524
2021-11-17,0.29896963976452584
2021-11-18,0.3186146010707236
2021-11-19,0.31159416931241446
2021-11-22,0.31634216059036135
2021-11-23,0.31113405395143334
2021-11-24,0.2932406728818018
2021-11-26,0.2658576559190038
2021-11-29,0.2795002939739304
2021-11-30,0.26103443691858996
2021-12-01,0.2322462011032973
2021-12-02,0.2475027556407876
2021-12-03,0.23773569076532652
2021-12-06,0.24128705649226645
2021-12-07,0.26944767808638237
2021-12-08,0.2698250958032278
2021-12-09,0.27080829129683437
2021-12-10,0.2845941752085821
2021-12-13,0.27447010875722366
2021-12-14,0.2704873368143854
2021-12-15,0.2747860262401174
2021-12-16,0.2614038318753731
2021-12-17,0.24128005011779807
2021-12-20,0.2314681115772459
2021-12-21,0.2582762492209796
2021-12-22,0.27372630249969254
2021-12-23,0.28069843348816925
2021-12-27,0.29384613416875593
2021-12-28,0.2813624282558831
2021-12-29,0.2860232271074279
2021-12-30,0.2804605337699382
2021-12-31,0.2689273866137125
2022-01-03,0.29613991735773815
2022-01-04,0.28621410541178616
2022-01-05,0.2541100953656634
2022-01-06,0.2345712451165971
2022-01-07,0.22285521108952078
2022-01-10,0.22914980932909512
2022-01-11,0.23989326944160805
2022-01-12,0.24056390520922477
2022-01-13,0.2275011558847979
2022-01-14,0.23740465671233335
2022-01-18,0.2048482246686849
2022-01-19,0.1767747058440996
2022-01-20,0.1634177165061217
2022-01-21,0.14485860229209901
2022-01-24,0.14389570881398317
2022-01-25,0.13165716686229434
2022-01-26,0.15974324022267816
2022-01-27,0.14234903798774567
2022-01-28,0.1932050996458612
2022-01-31,0.19653343689316372
2022-02-01,0.18823095082196506
2022-02-02,0.19821834968769236
2022-02-03,0.15644127774582528
2022-02-04,0.15789208550307854
2022-02-07,0.14513266622426624
2022-02-08,0.1560404429403064
2022-02-09,0.17322790297116408
2022-02-10,0.1500621014554009
2022-02-11,0.12295576911526807
2022-02-14,0.11928012416772926
2022-02-15,0.13729189240481499
2022-02-16,0.14334289714059478
2022-02-17,0.12121447699533383
2022-02-18,0.12185479612730554
2022-02-22,0.10908252386512807
2022-02-23,0.07644259955850519
2022-02-24,0.11995803372870739
2022-02-25,0.15047951791329783
2022-02-28,0.12099990895925417
2022-03-01,0.11264523386162173
2022-03-02,0.1483930949668637
2022-03-03,0.15789438904852293
2022-03-04,0.1267407047500646
2022-03-07,0.09937318915810822
2022-03-08,0.07618754473565947
2022-03-09,0.09722705608168969
2022-03-10,0.0812775552496332
2022-03-11,0.06617992992907773
2022-03-14,0.05144192779159562
2022-03-15,0.07564021523898945
2022-03-16,0.09655967479043492
2022-03-17,0.1267309501023961
2022-03-18,0.14055863785868516
2022-03-21,0.13210967806329066
2022-03-22,0.1537109746907912
2022-03-23,0.14581639063153928
2022-03-24,0.15619312183288558
2022-03-25,0.1430404559882985
2022-03-28,0.15220755970350908
2022-03-29,0.17002438785064045
2022-03-30,0.15846407017483055
2022-03-31,0.12700411311291293
2022-04-01,0.11475240043491275
2022-04-04,0.12486688626462805
2022-04-05,0.10911167326642324
2022-04-06,0.09371834407420132
2022-04-07,0.08995596149475005
2022-04-08,0.08727965191899245
2022-04-11,0.06541930795371265
2022-04-12,0.06613636729541161
2022-04-13,0.06622113049729417
2022-04-14,0.04948539071469238
2022-04-18,0.05486810543683607
2022-04-19,0.07914746626765967
2022-04-20,0.06853618346389512
2022-04-21,0.06255899109623386
2022-04-22,0.021915344350441845
2022-04-25,0.02590970454905328
2022-04-26,-0.002751561828852722
2022-04-27,0.00018640965090743755
2022-04-28,0.018053026918788406
2022-04-29,-0.011776547476852861
2022-05-02,-0.008891794719380286
2022-05-03,0.0025980089161687925
2022-05-04,0.031812170366003256
2022-05-05,-0.013030687799697849
2022-05-06,-0.02581397991432066
2022-05-09,-0.047079735669723566
2022-05-10,-0.036379192523173676
2022-05-11,-0.03146907394281484
2022-05-12,-0.044357427811550165
2022-05-13,-0.035928507629522266
2022-05-16,-0.03729743252090156
2022-05-17,-0.009443213439264464
2022-05-18,-0.04665091453666681
2022-05-19,-0.06211171373903224
2022-05-20,-0.0612387722954727
2022-05-23,-0.053203992108482034
2022-05-24,-0.0588926106031159
2022-05-25,-0.05177806471673341
2022-05-26,-0.034049960701592275
2022-05-27,-0.010910663707168089
2022-05-31,-0.016632429979021035
2022-06-01,-0.02540092339146205
2022-06-02,-0.0038232402933890963
2022-06-03,-0.0286887114638833
2022-06-06,-0.02486439038839694
2022-06-07,-0.015750058793443045
2022-06-08,-0.024594989977594572
2022-06-09,-0.05221766904047198
2022-06-10,-0.08159734775899596
2022-06-13,-0.11880192969296055
2022-06-14,-0.12035771809549389
2022-06-15,-0.10268489358204458
2022-06-16,-0.1314799310554523
2022-06-17,-0.11799255586325386
2022-06-21,-0.10888115048246894
2022-06-22,-0.11457834222117813
2022-06-23,-0.10516895491435296
2022-06-24,-0.0831480267509841
2022-06-27,-0.08890837258525675
2022-06-28,-0.10932241089251837
2022-06-29,-0.1102031194572316
2022-06-30,-0.11916698480221055
2022-07-01,-0.11449461566362473
2022-07-05,-0.11969422652506423
2022-07-06,-0.11475891932726068
2022-07-07,-0.10451954803399266
2022-07-08,-0.09753703198731523
2022-07-11,-0.11788854597658383
2022-07-12,-0.12904848279267445
2022-07-13,-0.12987014510945405
2022-07-14,-0.13348877487758648
2022-07-15,-0.11396020154230868
2022-07-18,-0.11469648468566551
2022-07-19,-0.07556675611726027
2022-07-20,-0.08400534605761001
2022-07-21,-0.08253397123226247
2022-07-22,-0.0929254626171615
2022-07-25,-0.10085474313877962
2022-07-26,-0.11334594622645566
2022-07-27,-0.0858464820466398
2022-07-28,-0.07458237776353338
2022-07-29,-0.06536548197381797
2022-08-01,-0.0629382329062782
2022-08-02,-0.06746282431064377
2022-08-03,-0.06058577854816816
2022-08-04,-0.05694743767306876
2022-08-05,-0.06410109277056908
2022-08-08,-0.06682263567669489
2022-08-09,-0.06991322345596285
2022-08-10,-0.05105308291542232
2022-08-11,-0.05293075795532587
2022-08-12,-0.040503711779399265
2022-08-15,-0.038240793035194676
2022-08-16,-0.03895559470293897
2022-08-17,-0.03912700221347254
2022-08-18,-0.026482416906011497
2022-08-19,-0.04024690909244055
2022-08-22,-0.06837061124339583
2022-08-23,-0.07831174732891388
2022-08-24,-0.07700451435648514
2022-08-25,-0.06607145785434432
2022-08-26,-0.0922461046735179
2022-08-29,-0.10617004089791326
2022-08-30,-0.1198179032970701
2022-08-31,-0.12551853186991901
2022-09-01,-0.12317167990453881
2022-09-02,-0.135044503283262
2022-09-06,-0.13829784828887914
2022-09-07,-0.1195035638354931
2022-09-08,-0.1125126354610666
2022-09-09,-0.09479037542719237
2022-09-12,-0.07808986622965819
2022-09-13,-0.11995355311360112
2022-09-14,-0.1118690576903929
2022-09-15,-0.12929900961959895
2022-09-16,-0.13420953827884885
2022-09-19,-0.12025750421533155
2022-09-20,-0.11515170767284388
2022-09-21,-0.12959012292959105
2022-09-22,-0.14506422879293457
2022-09-23,-0.16987039800533632
2022-09-26,-0.17965290943177747
2022-09-27,-0.1791132447107744
2022-09-28,-0.14556483340150184
2022-09-29,-0.16492638920343627
2022-09-30,-0.16759447743453126
2022-10-03,-0.1557502573623103
2022-10-04,-0.11848268183522337
2022-10-05,-0.12942392923173895
2022-10-06,-0.1418638065025094
2022-10-07,-0.17275939915043304
2022-10-10,-0.1773832085167628
2022-10-11,-0.1770961283256064
2022-10-12,-0.17781708259957119
2022-10-13,-0.15901047794006573
2022-10-14,-0.1926858143566088
2022-10-17,-0.17744452935483845
2022-10-18,-0.17084293343578283
2022-10-19,-0.18241979809861542
2022-10-20,-0.19188127555336498
2022-10-21,-0.17517985985971807
2022-10-24,-0.16448322966752638
2022-10-25,-0.15490484488541723
2022-10-26,-0.16267193358643295
2022-10-27,-0.16353963771748525
2022-10-28,-0.15128292782213737
2022-10-31,-0.15924851391322437
2022-11-01,-0.16420113208074338
2022-11-02,-0.188085901397269
2022-11-03,-0.20183796555355993
2022-11-04,-0.19433725174007954
2022-11-07,-0.18961662343105234
2022-11-08,-0.18580301839780777
2022-11-09,-0.19992101417013497
2022-11-10,-0.1485652966407054
2022-11-11,-0.14117056766619007
2022-11-14,-0.1549483930778417
2022-11-15,-0.1475762050572793
2022-11-16,-0.15786548931008992
2022-11-17,-0.15827726746532844
2022-11-18,-0.1571248081712956
2022-11-21,-0.15922230622458922
2022-11-22,-0.14507123127384025
2022-11-23,-0.14143734579538092
2022-11-25,-0.1436447081036787
2022-11-28,-0.13726492282180391
2022-11-29,-0.1498602946320603
2022-11-30,-0.10661044286799326
2022-12-01,-0.09671307298966336
