Company Name,Ticker,Market Cap (mil),Sector,Industry
"Adams Diversified Equity Fund, Inc.","ADX","2832.75","Finance","Financial - Investment Funds"
"Addex Therapeutics","ADXN","8.93","Medical","Medical - Drugs"
"Adyen","ADYEY","34690.36","Computer and Technology","Internet - Software"
"AltEnergy Acquisition Corp.","AEAE","75.26","Unclassified","Unclassified"
"Aebi Schmidt Holding AG","AEBI","1137.7","Auto-Tires-Trucks","Automotive - Domestic"
"Ameren","AEE","30757.75","Utilities","Utility - Electric Power"
"abrdn Emerging Markets ex-China Fund, Inc.","AEF","355.26","Finance","Financial - Investment Funds"
"Aegon","AEG","14885.89","Finance","Insurance - Multi line"
"Antelope Enterprise Holdings L","AEHL","3.97","Conglomerates","Diversified Operations"
"Aehr Test Systems","AEHR","1201.51","Computer and Technology","Electronics - Measuring Instruments"
"ALSET INC","AEI","88.32","Conglomerates","Diversified Operations"
"Advanced Energy Industries","AEIS","12674.52","Computer and Technology","Semiconductor Equipment - Wafer Fabrication"
"Agnico Eagle Mines","AEM","122321.37","Basic Materials","Mining - Gold"
"Aethlon Medical","AEMD","2.64","Medical","Medical - HMOs"
"Alliance Entertainment Holding Corporation","AENT","261.41","Consumer Discretionary","Media Conglomerates"
"American Eagle Outfitters","AEO","4027.6","Retail-Wholesale","Retail - Apparel and Shoes"
"AEON Biopharma, Inc.","AEON","14.68","Medical","Medical - Biomedical and Genetics"
"American Electric Power","AEP","71604.66","Utilities","Utility - Electric Power"
"Aercap","AER","24774.49","Transportation","Transportation - Equipment and Leasing"
"Applied Energetics","AERG","255.09","Computer and Technology","Lasers Systems and Components"
"Grupo Aeromexico SAB DE CV - Sponsored ADR","AERO","2668.45","Aerospace","Aerospace - Defense"
"Aeries Technology, Inc.","AERT","14.36","Business Services","Technology Services"
"AES","AES","11586.21","Utilities","Utility - Electric Power"
"Atlas Energy Solutions Inc.","AESI","1285.69","Oils-Energy","Oil and Gas - Integrated - United States"
"Arc Resources","AETUF","10330.38","Oils-Energy","Oil and Gas - Exploration and Production - Canadian"
"Aeva Technologies","AEVA","784.64","Auto-Tires-Trucks","Automotive - Original Equipment"
"American Exceptionalism Acquisition Corp.","AEXA","551.98","Unclassified","Unclassified"
"Audioeye","AEYE","85.56","Computer and Technology","Internet - Software"
"Affinity Bancshares","AFBI","121.63","Finance","Banks - Southeast"
"Advanced Flower Capital Inc.","AFCG","52.65","Finance","Financial - SBIC & Commercial Industry"
"American Financial Group","AFG","10913.36","Finance","Insurance - Property and Casualty"
"Aimei Health Technology Co., Ltd.","AFJK","215.91","Unclassified","Unclassified"
"Aflac","AFL","58941.85","Finance","Insurance - Accident and Health"
"Air France-KLM","AFLYY","3836.44","Transportation","Transportation - Airline"
"Affirm","AFRM","15946.01","Computer and Technology","Internet - Software"
"Afya","AFYA","1299","Consumer Discretionary","Schools"
"First Majestic Silver","AG","14546.21","Basic Materials","Mining - Silver"
"Allied Gaming & Entertainment Inc.","AGAE","11.84","Consumer Discretionary","Gaming"
"AGI, Inc.","AGBK","1919.16","Business Services","Technology Services"
"Agencia Comercial Spirits Ltd","AGCC","496.36","Consumer Staples","Beverages - Alcohol"
"AGCO","AGCO","9842.13","Industrial Products","Manufacturing - Farm Equipment"
"Agenus","AGEN","109.51","Medical","Medical - Biomedical and Genetics"
"Ageas","AGESY","14128.01","Finance","Insurance - Multi line"
"iShares Core U.S. Aggregate Bond ETF","AGG","140767.81","Finance","Financial - Investment Funds"
"Aureus Greenway Holdings Inc.","AGH","59.32","Consumer Discretionary","Leisure and Recreation Services"
"Alamos Gold","AGI","21228.85","Basic Materials","Mining - Gold"
"Abundia Global Impact Group, Inc.","AGIG","119.14","Oils-Energy","Alternative Energy - Other"
"Agios Pharmaceuticals","AGIO","1780.62","Medical","Medical - Biomedical and Genetics"
"Agilon Health","AGL","163.46","Medical","Medical Services"
"Federal Agricultural Mortgage","AGM","1726","Finance","Financial - Mortgage & Related Services"
"AgomAb Therapeutics NV","AGMB","579.43","Medical","Medical - Biomedical and Genetics"
"AGM Group Holdings","AGMH","4.23","Finance","Financial - Miscellaneous Services"
"AGNC Investment","AGNC","12540.2","Finance","REIT and Equity Trust"
"Assured Guaranty","AGO","3945.55","Finance","Insurance - Multi line"
"Axe Compute Inc.","AGPU","7.5","Medical","Medical - Dental Supplies"
"Adecoagro","AGRO","914.79","Consumer Staples","Agriculture - Operations"
"Agroz Inc.","AGRZ","8.69","Consumer Staples","Agriculture - Operations"
"Argan","AGX","6209.74","Construction","Building Products - Miscellaneous"
"Agilysys","AGYS","2022.95","Computer and Technology","Computer - Integrated Systems"
"iShares Agency Bond ETF","AGZ","576.08","Finance","Financial - Investment Funds"
"AdaptHealth","AHCO","1199.18","Medical","Medical - Products"
"Adecco","AHEXY","4477.23","Business Services","Outsourcing"
"Akso Health Group","AHG","772.61","Retail-Wholesale","Internet - Commerce"
"Armada Hoffler Properties","AHH","615.83","Finance","REIT and Equity Trust - Residential"
"COREwafer Industries","AHIX","4.61","Computer and Technology","Electronics - Testing Equipment"
"Asahi Kasei","AHKSY","16568.28","Basic Materials","Chemical - Diversified "
"Ambitions Enterprise Management Co. L.L.C","AHMA","206.5","Consumer Discretionary","Leisure and Recreation Services"
"American Healthcare REIT, Inc.","AHR","9287.68","Finance","REIT and Equity Trust - Other"
"Ashford Hospitality Trust","AHT","18.91","Finance","REIT and Equity Trust - Other"
"C3.ai","AI","1424.42","Computer and Technology","Computers - IT Services"
"Firefly Neuroscience, Inc.","AIFF","9.34","Business Services","Technology Services"
"AIFU Inc. - Sponsored ADR","AIFU","5.21","Finance","Insurance - Multi line"
"American International Group","AIG","42838.92","Finance","Insurance - Multi line"
"Senmiao Technology","AIHS","4.11","Computer and Technology","Internet - Services"
"American Integrity Insurance Group, Inc.","AII","356.1","Finance","Insurance - Property and Casualty"
"AI Infrastructure Acquisition Corp.","AIIA","193.19","Unclassified","Unclassified"
"Robo.ai Inc. - Class B","AIIO","37.98","Business Services","Technology Services"
"Jianpu Technology","AIJTY","16.9","Business Services","Technology Services"
"AIM ImmunoTech","AIM","3.51","Medical","Medical - Drugs"
"Ainos","AIMD","7.84","Medical","Medical - Drugs"
"Albany International","AIN","1573.62","Industrial Products","Textile - Products"
"NetraMark Holdings Inc.","AINMF","66.72","Medical","Medical Info Systems"
"AIOS Tech Inc.","AIOS","2.95","Business Services","Technology Services"
"PowerFleet","AIOT","485.61","Computer and Technology","Internet - Software"
"Arteris","AIP","709.74","Computer and Technology","Internet - Software"
"Air Liquide","AIQUY","120917.65","Basic Materials","Chemical - Diversified "
"AAR","AIR","4679.85","Aerospace","Aerospace - Defense Equipment"
"reAlpha Tech Corp.","AIRE","42.79","Finance","Real Estate - Operations"
"Airgain","AIRG","57.76","Computer and Technology","Communication - Components"
"Air Industries Group","AIRI","15.81","Aerospace","Aerospace - Defense"
"AirJoule Technologies Corporation","AIRJ","194.18","Business Services","Technology Services"
"AIRO Group Holdings, Inc.","AIRO","315.23","Aerospace","Aerospace - Defense"
"AirSculpt Technologies","AIRS","107.7","Business Services","Technology Services"
"Air T","AIRT","61.08","Transportation","Transportation - Air Freight and Cargo"
"Air China","AIRYY","16576","Transportation","Transportation - Airline"
"Airship AI Holdings, Inc.","AISP","92.86","Business Services","Technology Services"
"Applied Industrial Technologies","AIT","10529.36","Industrial Products","Manufacturing - General Industrial "
"Apartment Investment and Management","AIV","803.94","Finance","REIT and Equity Trust - Residential"
"AIxCrypto Holdings, Inc.","AIXC","4.95","Business Services","Technology Services"
"XIAO-I Corporation Unsponsored ADR","AIXI","2.98","Business Services","Technology Services"
"Assurant","AIZ","11075.59","Finance","Insurance - Multi line"
"Arthur J. Gallagher & Co.","AJG","55528.46","Finance","Insurance - Brokerage"
"Ajinomoto","AJINY","29713.38","Consumer Staples","Food - Miscellaneous"
"Ashmore Group","AJMPF","2423.32","Finance","Financial - Investment Management"
"a.k.a. Brands Holding Corp.","AKA","115.34","Retail-Wholesale","Retail - Apparel and Shoes"
"Akamai Technologies","AKAM","14507.65","Computer and Technology","Internet - Services"
"Akanda Corp.","AKAN","1.93","Medical","Medical - Products"
"Akebia Therapeutics","AKBA","329.05","Medical","Medical - Drugs"
"Acadia Realty Trust","AKR","2683.69","Finance","REIT and Equity Trust - Retail"
"Aktis Oncology, Inc.","AKTS","1012.99","Medical","Medical - Drugs"
"Akari Therapeutics","AKTX","11.68","Medical","Medical - Biomedical and Genetics"
"AkzoNobel","AKZOY","12161.15","Basic Materials","Chemical - Diversified "
"Air Lease","AL","7268.86","Transportation","Transportation - Equipment and Leasing"
"Astera Labs, Inc.","ALAB","21855.54","Computer and Technology","Internet - Software"
"ALARUM TEC LTD","ALAR","48","Business Services","Technology Services"
"Albemarle","ALB","22017.4","Basic Materials","Chemical - Diversified "
"Avalon GloboCare","ALBT","2.13","Medical","Medical - Biomedical and Genetics"
"Community Capital Bancshares","ALBY","37.9","Finance","Banks - Southeast"
"Alcon","ALC","41612.07","Medical","Medical - Instruments"
"Alico","ALCO","318.44","Consumer Staples","Agriculture - Operations"
"Alchemy Investments Acquisition Corp 1","ALCY","49.28","Unclassified","Unclassified"
"Aldeyra Therapeutics","ALDX","313.45","Medical","Medical - Drugs"
"Alector","ALEC","239.04","Medical","Medical - Biomedical and Genetics"
"Alexander & Baldwin Holdings","ALEX","1512.65","Finance","REIT and Equity Trust - Other"
"Centurion Acquisition Corp.","ALF","336.25","Unclassified","Unclassified"
"Alamo Group","ALG","2606.63","Industrial Products","Manufacturing - Farm Equipment"
"Allegro MicroSystems","ALGM","7233.75","Computer and Technology","Electronics - Semiconductors"
"Align Technology","ALGN","13311.78","Medical","Medical - Dental Supplies"
"Aligos Therapeutics","ALGS","43.63","Medical","Medical - Biomedical and Genetics"
"Allegiant","ALGT","1898.94","Transportation","Transportation - Airline"
"Alliance Laundry Holdings Inc.","ALH","4561.92","Retail-Wholesale","Retail - Home Furnishings"
"Alignment Healthcare","ALHC","3921.8","Medical","Medical Services"
"Alight","ALIT","409.55","Computer and Technology","Internet - Software"
"Allianz","ALIZY","170085.28","Finance","Insurance - Multi line"
"Alaska Air Group","ALK","6019.82","Transportation","Transportation - Airline"
"Alkermes","ALKS","5513.27","Medical","Medical - Biomedical and Genetics"
"Alkami Technology","ALKT","1638.06","Computer and Technology","Internet - Software"
"Allstate","ALL","54455.81","Finance","Insurance - Property and Casualty"
"Allegion","ALLE","13685.07","Industrial Products","Security and Safety Services"
"Atlantic Lithium Limited","ALLIF","173.66","Basic Materials","Mining - Miscellaneous"
"Allogene Therapeutics","ALLO","514.63","Medical","Medical - Biomedical and Genetics"
"Allarity Therapeutics, Inc.","ALLR","15.28","Medical","Medical - Biomedical and Genetics"
"Allot","ALLT","475.32","Computer and Technology","Internet - Software"
"Ally Financial","ALLY","12479.23","Finance","Financial - Consumer Loans"
"Almonty Industries Inc.","ALM","4618.73","Basic Materials","Mining - Miscellaneous"
"Alumis Inc.","ALMS","2931.37","Medical","Medical - Biomedical and Genetics"
"Aeluma, Inc.","ALMU","320.38","Computer and Technology","Electronics - Semiconductors"
"ANA","ALNPY","10222.77","Transportation","Transportation - Airline"
"ALLIENT INC","ALNT","1143.18","Computer and Technology","Electronics - Miscellaneous Components"
"Alnylam Pharmaceuticals","ALNY","44143.61","Medical","Medical - Biomedical and Genetics"
"Allied Resources","ALOD","1.13","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"AstroNova","ALOT","70.43","Business Services","Technology Services"
"Blackboxstocks, Inc.","ALOY","81.32","Business Services","Technology Services"
"Alps Group Inc.","ALPS","154.93","Medical","Medical - Biomedical and Genetics"
"Alarm.com","ALRM","2258.32","Industrial Products","Security and Safety Services"
"Alerus Financial","ALRS","615.63","Finance","Financial - Miscellaneous Services"
"Alpha Star Acquisition","ALSAF","56.48","Unclassified","Unclassified"
"Alstom","ALSMY","15847.63","Transportation","Transportation - Rail"
"Allison Transmission Holdings","ALSN","10153.07","Auto-Tires-Trucks","Automotive - Original Equipment"
"Altimmune","ALT","515.65","Medical","Medical - Drugs"
"Alta Equipment Group","ALTG","222.75","Industrial Products","Manufacturing - General Industrial "
"ALTI GLOBAL INC","ALTI","684.87","Finance","Financial - Miscellaneous Services"
"Alto Ingredients","ALTO","186.4","Consumer Discretionary","Consumer Products - Discretionary"
"ALT5 Sigma Corporation","ALTS","154.13","Finance","Financial - Miscellaneous Services"
"Altex Industries","ALTX","2.8","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Alussa Energy Acquisition Corp. II","ALUB","358.66","Unclassified","Unclassified"
"Allurion Technologies, Inc.","ALUR","16.7","Medical","Medical - Products"
"Autoliv","ALV","9221.02","Auto-Tires-Trucks","Automotive - Original Equipment"
"Alvotech","ALVO","1239.09","Medical","Medical - Biomedical and Genetics"
"Alvopetro Energy","ALVOF","215.2","Oils-Energy","Alternative Energy - Other"
"Alexander's","ALX","1214.87","Finance","REIT and Equity Trust - Other"
"ALX Oncology Holdings","ALXO","132.83","Medical","Medical - Biomedical and Genetics"
"Alithya Group","ALYAF","91.44","Business Services","Technology Services"
"Alzamend Neuro","ALZN","7.95","Medical","Medical - Biomedical and Genetics"
"Antero Midstream","AM","10464.55","Oils-Energy","Oil and Gas - Integrated - United States"
"Amadeus IT Group","AMADY","25218.95","Business Services","Technology Services"
"Amalgamated Financial","AMAL","1156.44","Finance","Financial - SBIC & Commercial Industry"
"Applied Materials","AMAT","299928.97","Computer and Technology","Electronics - Semiconductors"
"Ambarella","AMBA","3065.63","Computer and Technology","Electronics - Semiconductors"
"Ambu A/S Unsponsored ADR","AMBBY","2946.58","Medical","Medical - Hospital"
"American Bank","AMBK","116.8","Finance","Banks - Northeast"
"Ambow Education Holding","AMBO","5.83","Consumer Discretionary","Schools"
"Ardagh Metal Packaging","AMBP","2809.19","Industrial Products","Containers - Metal and Glass"
"Ambiq Micro, Inc.","AMBQ","577.6","Computer and Technology","Electronics - Semiconductors"
"American Business Bank","AMBZ","632.24","Finance","Banks - Southwest"
"AMC Entertainment","AMC","601.25","Consumer Discretionary","Leisure and Recreation Services"
"AMC Robotics Corporation","AMCI","150.03","Unclassified","Unclassified"
"Amcor","AMCR","23185.45","Industrial Products","Containers - Paper and Packaging"
"AMC Networks","AMCX","313.52","Consumer Discretionary","Broadcast Radio and Television"
"Advanced Micro Devices","AMD","348647.06","Computer and Technology","Computer - Integrated Systems"
"Amada","AMDLY","3868.34","Industrial Products","Manufacturing - Tools & Related Products"
"AMETEK","AME","54230.96","Computer and Technology","Electronics - Testing Equipment"
"AMEN Properties","AMEN","25.49","Computer and Technology","Internet - Content"
"AMB Financial","AMFC","29.65","Finance","Financial - Savings and Loan"
"Amplifon","AMFPF","3532.48","Medical","Medical Services"
"Affiliated Managers Group","AMG","8062.52","Finance","Financial - Investment Management"
"Amgen","AMGN","206392.81","Medical","Medical - Biomedical and Genetics"
"American Homes 4 Rent","AMH","11081.22","Finance","REIT and Equity Trust - Residential"
"Autonomix Medical, Inc.","AMIX","2.58","Medical","Medical - Instruments"
"A.P. Moller-Maersk","AMKBY","38938.79","Transportation","Transportation - Shipping"
"Amkor Technology","AMKR","12001.91","Computer and Technology","Electronics - Semiconductors"
"American Lithium","AMLIF","131.67","Basic Materials","Mining - Miscellaneous"
"American Lithium Minerals","AMLM","9.53","Basic Materials","Mining - Non Ferrous"
"Amylyx Pharmaceuticals","AMLX","1615.45","Medical","Medical - Drugs"
"AmeraMex International","AMMX","2.64","Transportation","Transportation - Equipment and Leasing"
"AMN Healthcare Services","AMN","788.28","Business Services","Business - Services"
"Armanino Foods of Distinction","AMNF","351.18","Consumer Staples","Food - Miscellaneous"
"Alpha Modus Holdings, Inc.","AMOD","20.42","Unclassified","Unclassified"
"Ameriprise Financial","AMP","42511.3","Finance","Financial - Investment Management"
"AmpliTech Group","AMPG","61.05","Computer and Technology","Communication - Components"
"Amphastar Pharmaceuticals","AMPH","1271.5","Medical","Medical - Generic Drugs"
"Amplitude","AMPL","711.3","Business Services","Technology Services"
"Amprius Technologies, Inc.","AMPX","1409.22","Business Services","Technology Services"
"Amplify Energy","AMPY","221","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Alpha Metallurgical Resources","AMR","2322.54","Basic Materials","Mining - Miscellaneous"
"Ameresco","AMRC","1754.99","Oils-Energy","Alternative Energy - Other"
"Amarin","AMRN","322.7","Medical","Medical - Biomedical and Genetics"
"Amneal Pharmaceuticals","AMRX","4608.56","Medical","Medical - Drugs"
"Amrize Ltd","AMRZ","36425.98","Construction","Building Products - Miscellaneous"
"American Shared Hospital Services","AMS","14.2","Medical","Medical - Instruments"
"American Superconductor","AMSC","1605.01","Computer and Technology","Electronics - Miscellaneous Components"
"AMERISAFE","AMSF","704.93","Finance","Insurance - Accident and Health"
"ams-OSRAM AG Unsponsored ADR","AMSSY","1146.21","Computer and Technology","Electronics - Semiconductors"
"AMESITE INC","AMST","8.23","Business Services","Technology Services"
"American Tower","AMT","89036.81","Finance","REIT and Equity Trust - Other"
"Amerant Bancorp","AMTB","888.86","Finance","Banks - Southeast"
"AMTD IDEA Group","AMTD","80.59","Finance","Financial - Investment Management"
"Amentum Holdings, Inc.","AMTM","7364.4","Construction","Engineering - R and D Services"
"Aemetis","AMTX","94","Oils-Energy","Biofuels"
"Amerityre","AMTY","3.18","Auto-Tires-Trucks","Rubber - Tires"
"American Woodmark","AMWD","778.87","Consumer Discretionary","Furniture"
"American Well","AMWL","89.71","Medical","Medical Info Systems"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","76852.35","Computer and Technology","Wireless Non-US "
"InfraCap MLP ETF","AMZA","433.24","Finance","Financial - Investment Funds"
"Amaze Holdings, Inc.","AMZE","7.5","Computer and Technology","Internet - Software"
"Amazon.com","AMZN","2238875","Retail-Wholesale","Internet - Commerce"
"AutoNation","AN","6876.16","Retail-Wholesale","Automotive - Retail and Whole Sales"
"AnaptysBio","ANAB","1534.22","Medical","Medical - Biomedical and Genetics"
"The Andersons","ANDE","2187.98","Basic Materials","Agriculture - Products"
"Andersen Group Inc.","ANDG","2271.31","Finance","Financial - Miscellaneous Services"
"Anebulo Pharmaceuticals","ANEB","17.6","Medical","Medical - Biomedical and Genetics"
"Arista Networks","ANET","161804.39","Computer and Technology","Internet - Software"
